"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FO538757.2",14,82,0,2,0,6,6,1,0,2,0,9,1,2,5,251,8
"AP006222.2",25,145,0,2,1,6,4,0,4,0,0,16,0,0,5,97,8
"RP4-669L17.10",1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"RP11-206L10.9",2,12,0,0,0,0,1,0,1,0,0,0,0,1,0,32,1
"LINC00115",6,15,0,1,0,1,1,0,0,0,0,4,1,0,1,30,2
"FAM41C",4,10,0,1,0,0,0,0,1,0,0,2,1,0,1,23,0
"RP11-54O7.1",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SAMD11",0,212,0,0,0,0,0,0,11,0,0,0,0,0,0,6,1
"NOC2L",7,109,1,5,0,1,5,1,7,0,0,15,1,6,6,440,17
"KLHL17",2,8,0,0,0,0,0,0,1,0,0,2,0,0,0,33,1
"PLEKHN1",3,21,0,0,0,4,1,0,0,1,0,0,0,0,4,172,2
"PERM1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.17",0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
"HES4",1,157,0,0,1,0,0,0,8,0,0,59,0,0,0,164,15
"ISG15",344,1291,1,2,7,70,57,13,152,7,4,123,21,29,48,1895,87
"AGRN",9,113,1,0,0,0,1,0,3,0,0,38,1,1,1,967,30
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"C1orf159",3,28,0,0,0,0,0,0,1,1,0,3,0,0,0,62,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,183,1
"TTLL10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"TNFRSF18",0,9,0,2,0,12,20,3,0,5,4,0,3,23,131,79,2
"TNFRSF4",2,7,0,0,0,14,13,1,3,2,0,2,0,23,139,19,98
"SDF4",75,763,1,9,1,15,9,3,13,1,2,50,1,6,18,905,56
"B3GALT6",10,43,0,0,0,0,0,0,0,0,0,1,0,0,1,88,4
"FAM132A",0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,68,12
"RP5-902P8.12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UBE2J2",20,121,0,5,0,3,4,4,6,0,1,7,2,2,7,240,20
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SCNN1D",0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,26,0
"ACAP3",10,75,0,0,0,2,2,2,4,0,0,10,0,2,1,78,2
"PUSL1",9,42,0,1,0,1,1,1,1,1,0,4,0,3,1,61,6
"CPSF3L",20,156,0,2,0,2,4,4,8,3,1,13,2,4,8,377,18
"CPTP",4,48,0,1,0,1,0,2,4,0,0,2,0,1,0,114,10
"TAS1R3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"DVL1",5,27,0,0,0,0,1,0,4,0,0,4,0,1,3,293,13
"MXRA8",4,1348,0,0,6,0,0,0,50,0,0,66,1,0,3,46,2
"AURKAIP1",150,560,0,9,2,22,18,8,29,7,5,74,10,35,39,1745,86
"CCNL2",9,143,0,1,0,3,5,1,2,0,0,18,1,1,5,403,22
"MRPL20",114,449,1,20,6,20,13,9,23,3,0,55,6,19,20,1146,53
"RP4-758J18.13",1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1
"ANKRD65",0,39,0,0,0,0,0,0,2,0,0,1,0,0,0,14,9
"RP4-758J18.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",2,45,0,0,3,0,1,1,8,0,0,6,0,0,0,322,137
"ATAD3C",1,17,1,0,0,1,0,0,1,1,0,2,0,0,1,41,8
"ATAD3B",12,27,0,0,0,2,2,2,0,0,1,6,0,3,4,135,15
"ATAD3A",11,51,1,0,1,0,3,1,1,0,0,13,1,3,1,154,5
"TMEM240",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"SSU72",70,367,4,6,3,10,12,10,12,2,0,35,5,12,21,793,40
"RP5-832C2.5",2,6,0,1,0,1,0,2,0,0,0,0,0,0,0,11,2
"C1orf233",5,30,0,0,0,0,0,0,0,0,0,1,0,0,1,119,2
"RP11-345P4.9",2,19,0,0,0,0,0,1,2,0,0,4,1,0,0,31,0
"MIB2",7,55,0,0,0,1,4,3,4,2,0,3,0,0,3,193,11
"MMP23B",10,1210,0,1,0,0,1,0,4,0,2,14,0,0,1,52,2
"CDK11B",29,69,1,2,0,2,2,6,3,1,1,7,0,3,6,302,16
"RP11-345P4.10",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
"SLC35E2B",10,90,0,1,0,2,4,2,4,2,0,14,0,0,4,219,6
"CDK11A",8,44,0,2,0,0,3,3,5,2,0,6,2,1,9,154,3
"SLC35E2",0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,17,0
"NADK",26,53,0,2,0,3,0,0,2,0,0,2,1,3,1,236,11
"GNB1",85,316,1,13,0,5,7,0,12,4,0,24,15,5,9,804,58
"RP1-140A9.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALML6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM52",0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0
"CFAP74",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2
"GABRD",0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,22,11
"PRKCZ",1,13,0,0,0,0,0,0,0,1,1,0,0,1,2,167,4
"RP5-892K4.1",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1
"RP11-181G12.2",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",90,527,4,7,6,12,9,5,25,4,1,53,10,6,11,950,59
"RP11-181G12.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SKI",20,173,0,2,0,2,2,1,4,0,0,13,1,0,1,146,18
"MORN1",1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,42,2
"RER1",100,526,0,10,1,11,11,4,24,2,1,56,9,21,14,1165,38
"PEX10",8,61,0,0,1,0,1,1,2,0,0,2,0,1,0,161,4
"PLCH2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,57,0
"PANK4",2,19,0,0,0,0,3,0,2,1,0,5,0,1,3,43,1
"RP3-395M20.12",4,3,0,2,0,1,3,2,0,0,0,4,2,2,4,94,1
"RP3-395M20.8",3,1,0,0,0,0,2,1,0,1,0,0,0,2,0,101,2
"TNFRSF14",55,78,0,7,1,8,5,6,7,5,4,16,4,4,12,531,30
"RP3-395M20.9",0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,27,0
"FAM213B",5,22,0,2,0,0,3,0,0,0,0,1,0,3,0,440,15
"MMEL1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0
"TTC34",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRDM16",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARHGEF16",1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,283,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"MEGF6",2,37,0,0,1,0,0,0,0,0,0,4,0,0,1,180,1
"RP11-46F15.2",0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,5,1
"TPRG1L",8,56,0,0,0,0,1,0,4,0,0,5,0,1,0,255,7
"WRAP73",11,38,0,0,0,1,5,0,3,0,0,5,1,1,3,155,9
"TP73",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0
"TP73-AS1",3,28,0,1,0,1,1,0,2,0,0,1,0,1,0,0,1
"SMIM1",3,31,0,1,0,8,0,0,3,0,0,1,0,0,0,125,1
"LRRC47",7,76,0,1,2,2,2,1,5,0,0,4,1,2,5,199,5
"CEP104",10,59,0,1,0,0,1,1,6,0,0,10,1,0,6,125,8
"DFFB",4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1
"C1orf174",15,73,0,4,0,5,2,1,3,1,0,4,1,2,3,141,7
"LINC01134",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"AJAP1",0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
"NPHP4",1,17,0,0,0,0,0,0,1,0,0,0,0,0,1,44,3
"KCNAB2",29,14,0,1,0,0,6,3,0,0,0,0,1,7,4,28,3
"RPL22",952,5712,13,177,25,204,247,88,180,106,14,392,83,162,320,10506,565
"RP1-120G22.11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RNF207",1,66,0,0,0,0,2,0,6,0,0,2,0,1,0,141,1
"ICMT",20,125,0,0,0,2,1,0,2,0,0,24,1,2,2,266,14
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GPR153",1,15,0,0,0,0,0,0,0,0,1,3,0,0,0,56,0
"ACOT7",9,49,1,2,0,31,2,2,5,0,0,13,0,10,2,140,22
"RP1-202O8.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"HES2",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1
"ESPN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
"TNFRSF25",2,16,0,1,0,0,18,1,2,4,0,0,0,2,30,86,9
"PLEKHG5",1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,28,9
"NOL9",4,42,0,0,0,1,0,0,2,1,0,3,2,2,4,72,8
"TAS1R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZBTB48",12,21,0,1,1,4,5,2,0,0,0,3,1,0,2,85,3
"KLHL21",6,27,0,1,0,0,2,1,2,0,0,1,0,0,0,86,3
"PHF13",1,36,0,0,0,0,1,0,4,0,0,6,2,2,0,63,6
"THAP3",3,65,0,0,1,1,2,1,3,0,0,8,1,2,3,100,4
"DNAJC11",6,29,0,2,0,0,0,0,3,0,0,1,0,1,2,124,2
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CAMTA1",132,447,1,8,5,16,5,2,25,3,1,43,10,5,9,846,75
"RP11-338N10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"VAMP3",105,231,0,9,3,7,4,0,13,1,0,20,1,3,6,322,52
"PER3",13,69,0,0,2,1,0,0,2,1,0,4,0,1,0,91,4
"RP3-467L1.4",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"UTS2",0,1,0,0,0,8,0,0,0,0,0,0,0,0,2,15,1
"TNFRSF9",3,0,0,0,0,0,2,1,0,0,0,0,0,1,17,3,1
"PARK7",193,1424,2,42,4,40,36,18,64,13,1,152,5,52,72,1713,136
"ERRFI1",48,1185,0,0,0,0,3,0,22,0,0,73,1,1,2,303,5
"RP11-431K24.1",0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0
"SLC45A1",0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
"RERE",14,154,1,0,0,6,2,3,5,1,2,5,2,0,5,336,31
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENO1",676,2290,9,70,19,70,92,24,119,15,2,215,56,157,139,3661,176
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
"CA6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SLC2A5",5,4,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1
"GPR157",7,9,0,1,0,1,0,0,0,0,0,2,0,0,1,50,1
"MIR34AHG",3,13,0,0,0,0,0,0,0,0,0,3,0,0,0,23,2
"RP3-510D11.2",4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
"H6PD",13,105,0,1,0,2,0,0,3,0,0,7,1,0,1,155,11
"SPSB1",3,210,0,0,3,0,0,0,14,0,0,20,0,2,1,64,20
"SLC25A33",9,43,0,5,1,1,0,0,1,0,0,0,0,3,1,75,5
"TMEM201",3,16,0,0,0,1,0,0,0,0,0,2,1,0,0,38,3
"PIK3CD",7,10,0,0,0,0,6,2,1,2,1,0,0,2,3,14,1
"PIK3CD-AS2",3,45,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"CLSTN1",27,172,1,3,2,4,1,0,5,1,0,13,0,1,4,1153,35
"CTNNBIP1",32,107,0,4,1,2,2,1,5,0,0,9,3,2,1,261,23
"LZIC",29,69,3,1,0,8,3,0,7,2,0,4,4,1,2,155,3
"NMNAT1",7,25,0,0,2,0,3,1,0,1,0,3,1,0,0,51,2
"RBP7",14,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,15
"UBE4B",8,40,0,2,0,1,0,3,2,0,0,2,1,1,3,142,8
"KIF1B",23,88,1,0,0,1,0,1,5,0,0,7,0,0,0,166,14
"PGD",95,111,0,6,0,2,2,2,3,0,0,7,5,1,3,286,19
"APITD1-CORT",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
"APITD1",1,29,0,0,0,0,0,0,0,0,0,2,0,0,0,63,2
"CORT",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFFA",12,98,0,3,1,0,1,2,2,1,0,12,0,2,4,202,25
"RP5-1113E3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PEX14",4,55,0,2,0,2,1,0,3,0,0,2,0,3,2,78,3
"CASZ1",2,3,0,0,0,0,1,0,1,1,0,0,0,0,1,281,1
"TARDBP",41,170,0,7,3,4,7,3,13,4,0,22,1,6,6,384,20
"MASP2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.8",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"SRM",7,171,1,2,0,0,2,2,5,1,0,17,6,7,3,154,19
"EXOSC10",9,50,0,2,0,0,0,2,2,0,0,3,0,0,2,114,11
"RP4-635E18.6",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0
"MTOR",7,23,0,1,0,1,1,0,2,1,0,4,0,0,2,85,11
"ANGPTL7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",8,22,2,2,0,1,2,0,0,0,0,5,0,2,3,74,1
"FBXO2",0,12,0,0,0,0,1,0,0,0,0,0,0,0,2,88,0
"FBXO44",5,50,0,0,0,2,2,0,2,1,0,1,0,1,5,108,0
"FBXO6",24,51,0,0,0,1,3,2,9,0,0,1,0,3,7,60,4
"MAD2L2",22,145,1,7,2,0,7,3,7,1,0,16,6,4,3,170,9
"DRAXIN",0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,6,0
"AGTRAP",82,286,0,1,2,17,1,4,14,1,0,10,11,4,8,429,21
"C1orf167",1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,25,1
"RP11-56N19.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MTHFR",12,13,0,0,0,2,1,0,1,0,0,4,1,1,1,64,3
"CLCN6",3,16,0,0,1,0,0,0,1,0,0,3,0,2,0,49,4
"NPPA-AS1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
"KIAA2013",32,87,0,0,1,3,1,1,5,0,0,8,2,2,2,448,19
"PLOD1",41,535,0,2,1,1,0,0,5,0,0,60,3,1,0,159,46
"MFN2",12,40,0,0,0,0,2,1,0,0,0,2,1,3,4,134,4
"MIIP",18,73,0,1,1,3,5,2,3,0,1,9,0,2,4,105,7
"TNFRSF8",2,9,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1
"TNFRSF1B",86,11,2,13,0,0,9,8,0,6,0,2,8,11,31,26,10
"VPS13D",11,56,0,0,0,2,0,1,1,0,0,10,1,3,2,149,11
"DHRS3",58,245,1,2,0,0,6,3,17,1,3,6,2,2,2,546,2
"RP11-474O21.5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"HNRNPCL1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",19,625,0,0,3,0,0,0,3,0,0,0,0,0,2,14,0
"PRDM2",23,98,2,1,0,1,1,1,6,0,0,9,1,1,6,125,7
"RP11-344F13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"KAZN",0,33,0,0,0,0,0,0,1,0,0,4,0,0,0,32,6
"TMEM51-AS1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"TMEM51",67,32,0,3,0,0,0,0,5,0,0,2,3,1,0,175,4
"FHAD1",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EFHD2",102,62,0,17,1,7,4,2,2,2,0,6,11,11,9,761,34
"CELA2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CASP9",3,23,0,1,0,0,1,0,0,0,1,1,0,0,0,35,10
"DNAJC16",10,38,0,0,0,1,0,0,0,0,0,1,0,1,0,170,4
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AGMAT",0,2,0,1,0,0,0,1,1,2,0,0,1,1,1,36,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"DDI2",17,44,0,1,0,1,1,2,1,0,0,2,4,1,3,190,12
"PLEKHM2",20,80,0,1,0,0,0,0,4,0,0,6,1,1,2,138,10
"SLC25A34",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"FBLIM1",5,232,1,1,0,3,1,0,7,0,0,52,0,0,1,225,21
"UQCRHL",9,64,1,0,0,4,3,2,3,2,0,8,1,1,0,227,6
"FLJ37453",5,11,1,0,0,1,1,0,0,0,0,4,0,0,4,45,2
"SPEN",14,74,0,1,0,2,2,1,2,0,0,8,1,0,3,225,17
"ZBTB17",9,33,0,1,0,2,0,2,3,1,1,2,1,1,1,71,8
"HSPB7",2,53,0,0,0,0,0,0,48,0,0,1,0,0,0,2,0
"CLCNKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CLCNKB",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM131C",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
"EPHA2",8,111,0,1,0,1,0,0,2,0,0,5,0,0,1,912,17
"RP11-276H7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"RP11-276H7.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"ARHGEF19",4,70,0,0,1,0,1,1,0,0,0,6,1,0,1,79,2
"RSG1",0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0
"FBXO42",8,72,0,0,0,1,0,0,2,0,0,2,0,1,2,65,3
"SZRD1",42,220,0,5,0,4,4,2,17,1,0,21,3,14,5,315,18
"NECAP2",66,152,0,9,0,3,13,4,3,4,1,17,3,13,17,261,31
"RP4-798A10.2",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
"RP4-798A10.7",0,3,1,0,0,1,1,1,0,0,0,0,0,1,2,43,0
"RP4-798A10.4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"NBPF1",10,46,0,1,0,1,1,0,4,0,0,3,0,0,0,92,2
"CROCC",2,69,0,0,0,3,0,0,2,0,0,2,0,0,2,91,3
"RP11-108M9.4",14,94,0,2,0,1,0,0,4,0,0,4,3,0,3,315,15
"RP11-108M9.6",0,1,0,0,0,1,1,0,1,0,1,0,0,0,2,6,0
"MFAP2",6,1295,0,0,1,1,1,0,25,0,0,8,1,0,0,35,25
"ATP13A2",7,32,0,0,0,0,4,1,2,0,0,2,0,1,1,213,18
"SDHB",74,207,0,4,2,8,6,6,19,1,0,25,6,16,10,500,15
"PADI2",5,0,0,2,0,1,0,0,0,0,0,0,1,0,0,37,0
"RP11-380J14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP11-380J14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"PADI1",9,12,0,0,0,0,0,0,0,0,0,0,0,0,1,486,7
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
"PADI4",0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1
"RCC2",32,73,0,2,0,1,1,0,1,0,0,4,2,2,2,510,30
"ARHGEF10L",18,24,0,2,0,0,0,0,3,0,0,3,3,1,0,214,1
"IGSF21",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ALDH4A1",0,12,0,0,0,1,0,0,0,0,0,2,0,0,0,54,2
"IFFO2",0,9,0,0,0,1,1,1,1,0,0,1,0,0,0,88,5
"UBR4",45,98,0,4,1,1,4,0,2,2,0,6,2,2,4,544,9
"RP1-43E13.2",0,23,0,1,0,0,0,0,1,0,0,2,0,1,1,9,0
"EMC1",17,72,0,1,0,1,2,0,1,0,0,11,0,0,1,130,5
"MRTO4",19,73,0,2,0,5,6,1,5,1,0,15,0,5,3,216,18
"AKR7A3",1,17,0,0,0,1,1,0,1,0,0,1,0,0,0,758,2
"AKR7A2",44,345,1,7,1,0,4,5,10,1,0,17,3,4,10,644,21
"PQLC2",13,49,0,0,0,0,0,0,2,0,0,2,0,0,1,75,1
"CAPZB",297,1637,1,34,6,38,71,20,102,16,3,123,12,35,60,1327,92
"MINOS1",316,1106,2,27,3,33,46,16,49,11,2,125,22,44,36,2567,87
"NBL1",23,2935,0,0,0,0,4,2,75,1,0,51,1,1,2,2102,19
"TMCO4",3,21,0,1,0,0,1,1,0,1,0,1,1,1,2,70,5
"RNF186",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,114,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"OTUD3",2,12,0,1,0,0,0,0,0,0,0,1,0,0,0,70,0
"PLA2G2A",1,426,0,0,0,0,0,0,11,0,0,1,0,0,1,19,0
"PLA2G5",0,13,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0
"PLA2G2D",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLA2G2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"PLA2G2C",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBXN10-AS1",0,7,0,0,0,2,3,0,0,0,0,0,0,1,2,43,0
"UBXN10",2,10,0,0,0,2,0,0,0,0,0,0,0,0,1,62,0
"CAMK2N1",13,94,0,1,0,0,3,0,11,0,0,11,0,0,0,2099,3
"MUL1",12,59,0,2,0,2,1,0,4,0,0,6,0,1,1,128,5
"FAM43B",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDA",17,34,0,0,1,1,3,0,3,1,0,6,3,3,1,3013,23
"PINK1",10,75,0,0,0,1,0,0,3,0,1,6,0,0,0,397,29
"PINK1-AS",1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
"DDOST",52,360,1,8,3,15,7,7,9,1,3,38,6,4,15,512,31
"KIF17",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
"RP5-930J4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HP1BP3",80,366,1,3,1,10,11,7,20,4,0,31,6,9,14,924,46
"EIF4G3",21,155,0,2,0,4,3,1,1,0,0,9,3,1,3,267,26
"ECE1",3,46,0,0,0,1,1,0,3,1,0,45,1,1,1,282,79
"RP3-329E20.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NBPF3",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"ALPL",0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"RAP1GAP",0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,46,0
"USP48",17,106,0,2,0,12,1,0,3,1,0,16,2,1,8,237,14
"LDLRAD2",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4
"HSPG2",10,695,0,1,1,3,4,1,13,0,0,29,1,0,1,811,757
"RP1-224A6.3",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"LINC00339",11,41,0,1,2,1,2,2,2,0,0,4,0,1,3,63,5
"CDC42",448,835,0,54,5,33,40,18,38,7,5,100,46,39,51,1522,111
"RP1-224A6.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"WNT4",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
"ZBTB40",2,14,0,2,0,0,0,1,0,0,1,3,0,0,3,40,5
"EPHA8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"C1QA",2518,60,1,39,1,1,2,1,1,1,0,1,25,2,3,89,1
"C1QC",1464,46,0,23,0,0,0,0,1,0,0,2,14,0,0,31,0
"C1QB",2323,51,0,44,0,2,3,0,1,1,0,2,32,0,2,60,5
"EPHB2",9,68,0,0,0,0,0,0,1,0,0,0,1,0,0,256,5
"C1orf234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"KDM1A",6,62,0,0,0,1,0,0,0,0,0,5,0,1,1,252,11
"LUZP1",16,194,0,1,2,1,10,5,3,2,0,21,1,3,5,212,43
"HTR1D",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,75,1
"LINC01355",1,13,0,0,0,0,0,0,0,1,0,1,0,0,0,70,2
"HNRNPR",65,300,1,10,1,12,19,7,23,3,3,52,6,16,25,682,47
"ZNF436",1,18,0,0,0,0,0,0,1,0,0,0,0,0,0,32,5
"ZNF436-AS1",0,15,0,0,0,0,0,0,1,0,0,4,0,0,0,25,0
"RP5-1057J7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TCEA3",1,138,0,2,1,0,1,0,4,0,0,7,0,0,1,437,1
"ASAP3",1,45,0,0,0,0,0,0,1,0,0,0,0,0,0,31,4
"E2F2",0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,6,1
"RP1-150O5.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ID3",170,4202,3,1,13,3,10,3,275,4,2,506,2,12,15,151,232
"MDS2",0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0
"RPL11",2321,13647,78,418,72,650,776,194,402,277,41,869,213,321,793,29261,1233
"TCEB3",13,55,0,0,0,2,1,1,2,1,0,7,2,3,3,119,12
