"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"FO538757.2",9,138,2,2,6,2,6,2,1,0,0,15,2,6,1,2,226,18
"AP006222.2",23,280,0,2,2,0,0,0,2,0,0,28,4,3,3,5,99,11
"RP4-669L17.10",0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-206L10.9",1,21,0,0,1,0,0,0,0,0,1,1,2,1,0,0,34,2
"LINC00115",2,27,0,0,0,0,0,0,1,0,1,3,2,1,0,1,35,6
"FAM41C",2,10,0,0,0,1,0,0,0,0,0,2,0,0,0,0,22,0
"RP11-54O7.1",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.3",0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,311,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7,5
"NOC2L",19,261,1,1,1,2,6,3,10,5,1,24,8,1,3,4,505,39
"KLHL17",0,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,2
"PLEKHN1",2,69,0,0,2,0,3,1,0,1,0,2,0,1,0,0,155,5
"PERM1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
"HES4",2,88,0,0,0,0,0,0,0,0,0,16,1,2,0,0,80,7
"ISG15",209,1363,0,6,6,1,22,17,14,13,1,165,15,143,22,60,1108,172
"AGRN",7,167,0,0,0,1,1,0,0,1,0,32,1,4,1,0,923,64
"RNF223",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0
"C1orf159",4,33,0,1,0,0,0,0,1,1,0,3,0,1,1,1,78,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",1,13,0,1,0,0,0,0,0,0,0,0,2,0,0,0,193,4
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0
"TNFRSF18",3,29,0,0,9,1,20,1,0,6,13,1,1,0,29,148,78,2
"TNFRSF4",2,26,0,0,12,0,10,1,0,10,2,2,4,2,42,211,17,149
"SDF4",67,1276,1,11,5,1,11,3,10,4,2,68,39,8,11,19,882,110
"B3GALT6",4,60,0,0,0,0,1,0,0,0,0,5,1,0,0,0,99,10
"FAM132A",0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,24
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",23,223,1,2,2,1,4,1,9,3,1,20,9,2,9,7,247,27
"RP5-902P8.10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SCNN1D",2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
"ACAP3",5,105,0,0,0,0,1,0,0,0,0,12,7,1,2,2,100,14
"PUSL1",17,112,0,0,0,0,3,0,1,1,0,11,4,0,4,4,62,7
"CPSF3L",13,256,0,1,5,0,3,0,7,3,3,30,10,4,5,9,361,39
"CPTP",3,88,0,1,0,0,1,0,3,2,1,6,11,1,2,2,128,14
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0
"DVL1",3,76,0,0,0,0,0,0,3,0,0,10,1,3,1,0,275,10
"MXRA8",5,2494,0,0,1,0,0,1,39,0,0,98,5,1,1,0,66,5
"AURKAIP1",118,997,3,7,11,1,12,6,17,5,1,115,64,19,32,24,1945,156
"CCNL2",19,284,0,1,2,2,7,4,1,0,0,18,10,3,2,2,506,45
"MRPL20",110,866,2,7,8,2,19,4,17,6,4,82,37,15,21,19,1240,132
"RP4-758J18.13",0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,1
"ANKRD65",0,66,0,0,0,0,0,0,5,0,0,1,0,1,0,0,11,22
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"VWA1",1,55,0,0,0,0,1,0,3,0,0,7,1,0,0,0,392,232
"ATAD3C",5,20,0,0,0,0,2,0,0,2,0,0,4,0,0,1,42,31
"ATAD3B",4,54,0,0,1,0,0,3,0,0,0,8,2,2,4,2,149,17
"ATAD3A",5,111,0,0,0,0,2,1,2,1,0,14,9,2,2,1,130,3
"TMEM240",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"SSU72",65,611,0,0,4,1,14,4,8,9,3,47,18,11,9,15,904,73
"RP5-832C2.5",2,8,1,0,0,1,0,0,0,3,0,1,0,1,0,0,16,4
"AL645728.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C1orf233",2,42,0,0,1,0,0,0,0,0,0,2,2,0,1,0,107,1
"RP11-345P4.9",2,42,0,1,0,0,1,1,0,0,1,0,1,0,0,0,20,5
"MIB2",3,135,1,0,3,0,2,1,0,0,0,7,9,3,5,4,221,15
"MMP23B",3,1864,0,1,1,0,0,1,6,1,2,10,3,0,0,0,67,5
"CDK11B",13,144,1,0,2,1,1,2,2,6,1,10,2,4,5,2,335,27
"RP11-345P4.10",0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8,1
"SLC35E2B",5,157,1,0,1,0,4,1,7,1,1,8,4,0,0,3,197,21
"RP11-345P4.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CDK11A",10,79,0,0,2,2,4,0,2,3,1,3,5,2,3,3,154,16
"SLC35E2",0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1
"NADK",16,97,1,0,2,2,2,1,5,0,1,10,7,5,2,2,214,18
"GNB1",72,612,2,1,2,3,8,2,8,3,1,51,7,17,6,6,753,126
"RP1-140A9.1",0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0
"TMEM52",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"CFAP74",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"GABRD",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21
"RP11-547D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRKCZ",1,30,0,0,0,0,2,0,0,2,0,0,0,0,0,0,209,8
"RP5-892K4.1",1,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0
"RP11-181G12.2",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FAAP20",80,897,1,8,3,3,12,2,10,10,1,70,17,21,8,8,1028,84
"SKI",19,313,0,2,2,0,2,0,3,1,0,18,2,0,0,1,111,36
"MORN1",0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,50,4
"RER1",88,1089,1,2,6,4,10,1,12,6,0,70,52,9,11,17,1353,77
"PEX10",2,113,0,0,1,1,0,0,1,0,0,7,4,0,0,1,176,9
"PLCH2",0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,0
"PANK4",2,46,1,0,0,0,2,1,2,1,0,8,2,0,0,1,38,8
"RP3-395M20.12",2,6,2,1,0,1,3,1,1,2,1,4,1,7,0,0,121,9
"RP3-395M20.8",1,7,0,0,1,3,0,1,0,0,1,2,3,1,0,2,105,2
"TNFRSF14",49,148,1,4,7,4,11,0,7,6,2,22,15,11,10,14,551,44
"RP3-395M20.9",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,1
"FAM213B",6,48,0,0,0,0,1,0,0,2,0,6,1,1,0,2,489,20
"MMEL1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0
"TTC34",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"ARHGEF16",1,15,0,0,0,0,0,1,1,0,0,3,1,1,1,0,313,4
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"MEGF6",3,68,0,0,0,0,1,0,1,0,0,1,0,0,0,1,170,5
"RP11-46F15.2",0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1
"TPRG1L",9,98,0,1,0,1,1,0,3,0,0,6,3,2,0,0,276,10
"WRAP73",11,81,1,2,0,0,5,0,1,1,0,12,5,0,1,3,175,12
"TP73",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0
"TP73-AS1",1,49,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,7
"SMIM1",5,46,0,1,21,0,1,0,1,0,0,0,1,0,0,2,140,2
"LRRC47",9,104,0,1,0,0,1,0,5,0,0,6,2,2,1,1,203,10
"RP1-286D6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CEP104",3,90,1,1,1,0,3,0,2,1,0,3,6,3,0,2,129,17
"DFFB",1,16,0,0,0,0,0,0,1,0,0,1,0,0,1,0,33,2
"C1orf174",16,182,1,2,2,0,2,0,3,0,1,12,1,5,3,3,174,15
"LINC01134",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0
"AJAP1",0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"NPHP4",0,17,0,0,0,0,0,0,0,0,0,2,1,1,0,0,40,2
"KCNAB2",24,14,2,2,1,1,5,3,1,2,1,1,3,2,9,6,43,2
"CHD5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"RPL22",835,10429,21,108,103,75,271,35,218,165,32,619,233,260,148,233,12286,1238
"RP1-120G22.11",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
"RNF207",0,89,0,0,0,0,1,0,3,0,0,3,1,0,0,2,168,6
"ICMT",11,206,0,1,0,1,0,0,4,0,0,12,2,2,3,0,274,32
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GPR153",0,32,0,0,0,0,1,0,0,0,0,2,2,0,0,0,54,1
"ACOT7",4,103,0,1,16,0,3,0,0,0,0,23,6,0,6,4,173,36
"RP1-202O8.3",0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0
"HES2",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8
"ESPN",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,49,0
"TNFRSF25",2,34,2,0,0,0,24,0,0,8,1,0,1,0,6,27,94,15
"PLEKHG5",0,26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,26,23
"NOL9",5,68,0,0,0,0,0,0,0,1,0,5,1,0,0,1,65,7
"ZBTB48",7,52,0,1,2,0,0,0,1,1,0,4,4,1,0,4,79,3
"KLHL21",4,62,0,0,1,0,1,0,3,1,0,3,1,3,1,1,77,6
"PHF13",3,90,1,0,0,2,0,0,3,2,0,8,2,0,1,1,54,10
"THAP3",11,107,0,1,1,0,2,0,0,2,0,6,10,1,2,2,97,16
"DNAJC11",5,45,2,1,0,0,0,0,2,1,0,7,3,0,2,2,117,2
"RP11-242F24.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
"CAMTA1",86,989,4,3,7,3,8,2,17,8,0,71,19,13,5,7,971,119
"RP4-549F15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-338N10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-338N10.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"VAMP3",73,416,0,0,2,1,0,2,11,4,0,37,5,11,1,4,338,69
"PER3",7,121,0,0,2,0,0,0,2,0,0,5,0,2,0,1,88,3
"RP3-467L1.4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UTS2",0,2,0,0,15,0,0,1,0,0,0,0,0,0,1,1,15,0
"TNFRSF9",4,7,0,0,0,0,0,1,0,0,1,0,0,1,1,10,0,2
"PARK7",163,2819,5,16,25,4,43,10,50,19,7,220,61,18,59,78,2239,306
"ERRFI1",63,2589,1,1,1,0,1,1,7,1,0,148,6,4,0,2,272,21
"RP11-431K24.1",1,10,0,0,0,0,0,0,0,0,0,7,0,0,0,1,6,1
"SLC45A1",0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,3
"RERE",11,240,1,1,1,0,4,2,10,1,0,10,8,5,0,3,331,36
"ENO1",695,4952,5,34,23,6,67,17,38,22,11,380,67,78,140,128,3877,372
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC2A5",3,7,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0
"GPR157",1,30,0,0,0,0,0,0,1,0,0,0,1,3,0,0,67,3
"MIR34AHG",1,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0
"RP3-510D11.2",4,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0
"H6PD",8,188,0,0,0,0,0,0,2,1,0,7,1,1,1,0,150,16
"SPSB1",4,370,0,0,0,0,1,0,25,1,0,19,3,0,0,1,78,28
"SLC25A33",8,92,0,1,0,0,0,1,1,0,0,10,1,1,2,0,77,9
"TMEM201",0,20,0,0,0,0,0,0,0,0,0,2,0,2,3,0,32,5
"PIK3CD",5,39,0,0,0,0,2,1,0,0,0,1,0,1,0,2,4,3
"PIK3CD-AS2",1,57,0,0,1,1,0,0,0,0,0,1,4,0,0,0,6,0
"CLSTN1",15,322,1,1,3,0,3,0,4,2,0,15,5,0,0,1,1096,52
"CTNNBIP1",19,108,0,1,0,0,1,0,0,1,0,11,3,3,2,3,254,31
"LZIC",24,121,0,1,1,1,1,1,4,0,0,13,0,6,4,0,187,10
"NMNAT1",4,43,0,1,1,0,0,0,0,0,1,3,1,0,0,0,59,6
"RBP7",12,2,0,0,0,0,0,0,0,0,0,0,0,13,0,1,2,35
"UBE4B",5,99,0,0,2,0,2,3,7,1,0,7,2,2,0,3,178,14
"KIF1B",15,206,0,0,3,0,0,0,1,0,0,10,2,1,0,0,173,32
"PGD",58,184,0,4,3,1,0,0,2,1,1,9,6,18,3,2,307,32
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"APITD1-CORT",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1
"APITD1",2,59,0,0,1,0,0,0,1,1,0,2,2,0,4,0,82,7
"CORT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DFFA",17,207,0,0,3,1,4,0,5,3,0,9,9,3,1,3,244,39
"RP5-1113E3.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEX14",6,75,0,0,1,0,3,0,1,0,0,6,2,0,0,1,95,5
"CASZ1",1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,293,3
"RP4-734G22.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TARDBP",27,289,3,0,0,1,3,5,9,1,0,22,5,9,6,7,372,49
"RP4-635E18.8",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SRM",11,297,0,0,2,1,0,1,1,0,0,31,27,4,4,1,162,44
"EXOSC10",10,88,0,0,0,0,2,1,2,2,0,11,0,1,1,0,115,9
"RP4-635E18.6",0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0
"MTOR",5,52,0,0,0,0,1,1,0,0,0,3,3,1,2,2,76,10
"ANGPTL7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",3,53,1,0,1,1,1,1,0,1,0,0,6,0,0,2,73,6
"FBXO2",0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,1
"FBXO44",5,79,0,1,2,2,4,0,2,1,1,4,2,0,0,3,114,5
"FBXO6",16,75,0,0,1,1,2,1,0,0,0,0,4,3,2,1,83,1
"MAD2L2",26,316,0,5,1,1,5,3,3,3,0,18,18,7,6,2,182,36
"DRAXIN",0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"AGTRAP",48,446,1,1,3,0,1,3,2,2,0,20,0,13,2,6,433,41
"C1orf167",0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0
"RP11-56N19.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MTHFR",6,22,1,0,0,0,1,0,0,0,0,11,1,2,0,1,67,3
"CLCN6",3,25,0,0,2,1,0,0,0,1,0,2,0,2,1,1,53,5
"NPPA-AS1",6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
"KIAA2013",21,137,0,0,2,0,1,0,1,0,0,11,5,4,0,3,433,27
"PLOD1",26,929,0,1,0,1,0,1,2,1,0,100,5,1,0,1,158,65
"MFN2",9,75,0,0,2,0,1,0,1,0,0,2,3,4,2,0,139,15
"MIIP",14,181,0,2,9,1,3,1,2,3,0,14,3,6,0,6,125,10
"TNFRSF8",3,21,0,0,1,0,0,0,0,0,0,0,0,2,0,4,1,1
"TNFRSF1B",51,12,4,5,0,1,4,3,0,4,0,3,1,46,18,49,19,41
"VPS13D",11,99,0,0,2,1,1,0,1,0,0,13,2,1,1,1,193,15
"DHRS3",50,368,1,0,0,0,10,2,7,3,0,1,0,5,1,2,631,16
"RP11-474O21.5",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"LRRC38",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",21,1046,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,4
"PRDM2",21,219,0,3,2,5,3,1,3,2,0,7,3,5,1,5,140,20
"KAZN",0,63,0,0,0,0,0,0,0,0,0,9,0,0,0,0,28,7
"TMEM51-AS1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"TMEM51",40,63,0,3,0,0,0,0,1,0,0,2,0,8,0,0,151,10
"FHAD1",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"EFHD2",75,172,0,5,2,4,3,3,0,4,0,19,2,19,14,16,735,42
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CASP9",3,32,0,0,0,0,1,0,1,0,0,3,0,0,0,1,49,9
"DNAJC16",9,70,0,0,0,0,2,0,3,0,0,2,2,2,1,1,168,9
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"AGMAT",0,13,0,0,0,0,0,0,0,1,0,0,2,0,1,1,43,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DDI2",9,72,0,0,0,1,1,0,0,0,1,3,2,0,0,0,237,17
"RP4-680D5.9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHM2",12,157,0,1,0,0,0,0,2,2,0,3,1,4,0,0,141,28
"SLC25A34",0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"TMEM82",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"FBLIM1",3,470,0,0,1,1,1,0,2,2,0,73,2,1,0,1,266,61
"UQCRHL",5,88,0,1,4,1,2,1,2,1,0,11,7,3,3,3,208,7
"FLJ37453",4,28,0,0,1,0,0,0,0,0,0,2,1,2,0,0,42,6
"SPEN",22,133,0,1,0,0,0,1,2,1,0,17,4,6,2,2,243,31
"ZBTB17",4,104,0,1,0,0,3,1,1,0,0,12,2,0,0,2,91,19
"HSPB7",0,103,0,0,0,0,0,0,21,0,0,4,0,0,0,0,3,0
"CLCNKA",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLCNKB",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM131C",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
"EPHA2",6,232,0,1,0,0,3,0,0,0,0,5,1,3,1,0,923,17
"RP11-276H7.2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ARHGEF19",5,138,0,0,0,0,0,0,0,1,0,3,1,0,1,1,94,10
"RSG1",1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1
"FBXO42",5,121,0,0,0,0,2,1,1,1,0,4,1,2,1,2,67,7
"SZRD1",31,392,0,2,1,1,7,0,6,3,0,33,6,2,5,14,373,47
"SPATA21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NECAP2",43,268,2,4,2,2,13,3,2,4,2,18,11,7,5,13,259,55
"RP4-798A10.2",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RP4-798A10.7",0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,48,0
"RP4-798A10.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NBPF1",4,83,0,0,0,0,0,0,2,2,0,4,0,0,0,0,81,6
"CROCC",1,84,0,0,1,0,0,0,0,0,0,4,0,1,0,0,68,6
"RP11-108M9.4",14,150,0,3,1,0,2,0,4,2,0,11,0,2,0,1,306,15
"RP11-108M9.6",1,4,0,0,0,0,1,0,0,1,0,0,1,1,0,0,14,2
"MFAP2",5,1981,0,1,1,0,0,1,13,0,2,11,2,2,1,1,63,45
"ATP13A2",8,49,0,0,0,0,1,0,1,3,0,2,1,1,0,2,238,29
"SDHB",59,454,0,3,7,0,5,1,8,4,1,46,19,9,8,8,648,38
"PADI2",3,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0,26,1
"RP11-380J14.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"RP11-380J14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"PADI1",8,57,1,1,0,0,1,0,1,0,0,4,2,3,0,0,888,6
"PADI3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"PADI4",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC004824.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCC2",13,108,0,3,1,0,1,0,0,1,0,16,7,6,2,1,521,42
"ARHGEF10L",18,46,0,1,0,0,0,0,0,0,0,6,0,1,0,0,255,7
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IGSF21",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHDC7A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"ALDH4A1",2,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66,0
"IFFO2",1,36,0,0,0,0,0,0,0,0,0,6,0,0,0,1,78,8
"UBR4",31,197,0,0,2,0,2,0,3,2,0,11,5,3,0,2,421,33
"RP1-43E13.2",0,49,0,0,0,0,3,1,1,1,0,0,2,0,0,0,11,5
"EMC1",7,113,0,0,0,0,1,0,0,0,0,14,4,0,2,1,148,13
"MRTO4",15,183,0,1,0,2,2,1,0,1,0,23,4,2,3,3,242,21
"AKR7A3",2,28,0,0,0,1,0,0,0,1,0,1,1,0,0,0,788,1
"AKR7A2",40,764,0,2,3,0,4,2,8,2,0,36,10,3,6,11,743,41
"PQLC2",15,90,0,0,0,0,2,0,2,0,0,5,3,0,0,1,77,6
"CAPZB",245,3531,8,18,21,5,53,16,39,26,7,245,33,40,36,51,1455,176
"MINOS1",212,2047,2,9,13,4,21,4,32,11,2,193,31,48,22,36,2944,184
"NBL1",14,4670,1,0,1,1,2,0,29,2,1,42,14,5,2,7,1868,68
"TMCO4",6,52,0,1,1,1,0,0,0,1,0,2,2,1,1,3,79,5
"RNF186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
"OTUD3",3,20,0,0,0,0,2,0,0,0,0,1,0,1,0,2,83,1
"PLA2G2A",0,162,0,0,0,0,0,0,42,0,0,0,0,0,0,0,18,0
"PLA2G5",0,30,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0
"PLA2G2D",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"PLA2G2F",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"RP3-340N1.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PLA2G2C",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UBXN10-AS1",0,9,0,0,2,0,2,0,3,1,0,1,0,0,0,2,51,0
"UBXN10",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64,0
"CAMK2N1",3,166,0,1,0,0,1,0,3,0,0,18,2,4,1,0,2169,9
"MUL1",15,132,0,0,1,0,2,0,6,0,0,5,6,2,2,2,127,8
"FAM43B",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CDA",12,97,0,1,1,1,3,1,2,0,0,3,6,8,3,3,3450,93
"PINK1",7,141,0,0,1,2,0,0,3,0,0,11,2,4,0,0,361,48
"PINK1-AS",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1
"DDOST",44,658,0,5,13,1,12,4,8,4,1,58,53,10,8,11,576,47
"KIF17",0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5
"SH2D5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP5-930J4.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP1BP3",46,645,1,6,6,2,14,3,14,8,1,54,15,5,9,14,963,86
"EIF4G3",15,241,1,3,1,0,2,0,0,0,0,7,1,5,1,2,294,29
"ECE1",3,75,0,0,2,0,2,2,1,0,0,59,2,2,0,3,263,149
"RP3-329E20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP5-1071N3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"NBPF3",1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0
"ALPL",0,105,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3
"RAP1GAP",0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59,1
"USP48",22,191,0,2,8,1,2,0,6,0,1,17,25,3,4,4,249,21
"LDLRAD2",0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
"HSPG2",8,1160,0,1,4,1,0,0,14,1,0,52,4,4,3,4,729,1086
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP1-224A6.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LINC00339",8,68,0,0,2,0,3,1,1,0,0,7,2,2,0,0,59,6
