"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",23,8,0,3,0,1,2,0,3,2,4,0,4,1,2,0,3,4,30,17,169,10
"AP006222.2",27,8,0,2,0,0,0,1,1,0,1,0,4,0,0,0,0,9,9,2,42,10
"RP4-669L17.10",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"RP11-206L10.9",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,4,1,8,1
"LINC00115",2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,12,0,12,2
"FAM41C",3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,22,0
"RP11-54O7.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"NOC2L",35,26,3,3,0,5,3,1,24,11,5,0,8,1,3,2,6,14,32,30,378,38
"KLHL17",1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0
"PLEKHN1",3,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,59,2
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.17",9,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,19,2
"HES4",137,40,0,9,2,2,0,0,0,16,2,1,5,0,2,0,44,38,161,19,393,36
"ISG15",4680,321,45,148,111,168,64,19,155,557,167,20,104,1,9,5,147,369,2989,667,5166,459
"AGRN",19,19,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,22,8,1,141,56
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"RNF223",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,117,0
"C1orf159",5,5,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,2,1,4,44,3
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,57,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"TNFRSF18",10,0,0,13,14,2,1,13,4,46,4,1,26,4,2,0,0,0,23,475,23,3
"TNFRSF4",18,2,0,13,1,0,0,9,0,76,1,1,41,0,1,1,9,2,25,867,25,90
"SDF4",164,74,4,22,4,5,5,2,14,53,9,2,20,1,4,2,9,35,115,70,568,106
"B3GALT6",25,5,0,5,0,2,1,0,0,4,0,0,7,0,1,0,5,2,12,7,93,13
"FAM132A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,79,6
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",34,18,2,2,4,7,2,2,15,15,2,4,18,1,1,0,7,11,41,30,256,25
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
"ACAP3",14,4,1,1,0,0,1,1,3,4,1,0,2,0,0,0,4,8,11,3,145,19
"PUSL1",18,8,0,1,0,0,0,0,6,4,0,0,2,0,0,0,2,6,7,8,110,9
"CPSF3L",30,13,1,4,2,4,0,1,9,8,2,1,2,0,2,2,8,14,22,30,215,30
"CPTP",8,6,1,0,1,1,0,0,1,2,2,0,3,2,0,0,2,0,5,5,161,14
"TAS1R3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"DVL1",5,9,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,12,0,214,11
"MXRA8",0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,1,2
"AURKAIP1",337,126,5,46,13,19,7,2,35,52,14,8,36,1,1,3,23,71,251,94,2078,164
"CCNL2",27,10,5,9,4,3,5,2,9,8,3,1,7,0,1,0,4,9,16,26,341,56
"MRPL20",297,87,5,42,8,9,11,0,32,41,12,4,24,2,4,4,24,39,179,101,1247,129
"RP4-758J18.13",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,6,2
"ANKRD65",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
"VWA1",4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,125,336
"ATAD3C",2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,2,60,5
"ATAD3B",18,6,1,1,1,0,1,0,5,2,1,0,0,0,0,2,3,3,16,6,184,5
"ATAD3A",24,23,1,4,0,1,1,0,1,1,0,1,3,0,0,0,5,5,15,5,277,22
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SSU72",214,70,4,26,5,10,9,2,32,49,13,5,25,7,3,4,17,35,175,96,1390,95
"RP5-832C2.5",7,4,0,1,0,0,0,0,0,5,1,0,3,0,0,0,2,0,9,6,35,4
"C1orf233",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,123,1
"RP11-345P4.9",6,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1,4,6,2,23,4
"MIB2",26,2,0,2,0,2,3,0,0,6,1,3,4,0,1,0,4,5,15,8,251,19
"MMP23B",2,52,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,0,3,1
"CDK11B",22,20,0,1,1,1,2,0,10,4,2,0,7,0,0,1,5,4,22,12,204,20
"RP11-345P4.10",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0
"SLC35E2B",11,14,1,4,1,0,2,0,6,6,4,0,6,0,0,0,3,7,11,11,151,18
"RP11-345P4.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",26,8,4,3,1,4,3,1,13,13,3,1,9,1,2,0,4,0,25,21,148,15
"SLC35E2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,1,9,1
"NADK",95,8,0,3,1,2,2,0,8,3,3,2,1,0,0,0,9,4,43,8,231,21
"GNB1",261,56,1,30,6,3,6,2,16,22,7,1,13,2,2,2,28,28,250,25,646,152
"TMEM52",1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,123,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
"PRKCZ",1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,107,8
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"FAAP20",137,66,1,19,1,5,4,2,19,16,6,3,12,0,1,0,21,35,129,33,452,99
"SKI",23,12,0,2,0,4,3,0,3,7,4,1,0,2,0,1,3,9,36,6,89,39
"MORN1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,7,2
"RER1",237,71,2,20,4,9,4,3,12,32,11,0,17,1,2,0,17,32,176,53,752,68
"PEX10",22,6,0,3,1,0,1,0,3,2,1,0,0,0,0,0,0,2,12,3,120,15
"PLCH2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0
"PANK4",5,2,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,5,2,16,2
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RP3-395M20.12",26,1,1,2,0,0,1,0,8,2,0,1,4,0,1,3,0,6,55,14,69,6
"RP3-395M20.8",8,1,0,1,1,0,0,0,3,0,0,0,1,1,0,0,0,0,2,4,43,5
"TNFRSF14",121,10,3,10,3,5,4,2,23,27,6,4,24,1,4,4,5,9,101,61,263,38
"RP3-395M20.9",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,10,0
"FAM213B",22,5,0,2,1,0,0,0,3,2,0,0,0,0,0,0,0,5,34,3,162,18
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0
"TTC34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"RP11-22L13.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARHGEF16",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,134,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MEGF6",3,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,58,4
"RP11-46F15.2",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TPRG1L",15,6,0,0,0,2,1,0,0,3,0,0,5,0,0,0,5,5,11,1,190,17
"WRAP73",15,4,2,1,1,1,1,1,6,3,0,0,2,0,2,0,3,4,5,10,100,9
"TP73",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP5-1092A11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TP73-AS1",3,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,0,0,6
"SMIM1",5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,34,1
"LRRC47",15,13,1,1,0,1,2,1,5,4,2,0,2,0,1,0,0,4,16,19,196,11
"CEP104",8,7,1,3,0,2,1,0,1,4,0,1,1,0,1,0,0,4,8,12,100,13
"DFFB",4,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,2,30,3
"C1orf174",24,5,0,4,1,4,0,1,4,7,1,3,7,0,5,1,1,4,13,8,122,14
"LINC01134",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"NPHP4",5,4,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,1,1,19,3
"KCNAB2",71,0,0,2,3,1,0,0,8,9,2,0,2,0,4,0,3,1,40,23,105,4
"RPL22",1440,521,36,280,47,60,82,27,519,534,91,74,525,24,32,23,210,315,2047,631,11215,1089
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNF207",0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,6,27,6
"ICMT",20,9,1,0,1,0,2,0,5,7,1,1,1,0,0,0,0,11,8,12,165,33
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"GPR153",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,62,0
"ACOT7",51,10,1,4,2,2,0,1,1,4,1,0,3,0,1,0,6,6,10,11,297,42
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"HES2",3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,272,3
"ESPN",1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,97,0
"TNFRSF25",5,2,0,3,1,0,2,4,1,59,2,0,37,1,0,1,0,1,8,108,53,17
"PLEKHG5",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16
"NOL9",7,7,0,0,0,0,0,0,3,4,1,1,2,2,0,0,0,5,7,6,93,8
"TAS1R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZBTB48",7,6,0,1,1,0,0,0,1,4,1,0,2,0,0,0,1,0,5,4,54,4
"KLHL21",48,9,0,11,1,2,1,1,2,3,0,1,2,0,0,0,7,6,75,3,262,16
"PHF13",4,2,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,2,2,2,38,5
"THAP3",6,3,0,1,1,0,0,0,0,2,1,1,2,0,0,0,0,7,9,1,40,7
"DNAJC11",11,4,0,1,0,0,1,1,1,2,2,0,2,0,0,0,0,3,7,3,75,11
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"CAMTA1",186,51,2,16,2,3,1,1,9,10,4,2,9,3,2,0,15,30,167,28,656,100
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"VAMP3",111,25,0,9,1,2,2,0,2,3,1,1,1,1,0,1,8,9,88,14,324,56
"PER3",8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,4
"RP3-467L1.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
"UTS2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0
"TNFRSF9",31,0,1,0,7,0,3,0,0,1,1,0,2,1,1,3,0,0,20,101,8,4
"PARK7",467,199,11,57,25,24,11,4,69,101,28,6,43,1,8,8,85,113,311,265,1650,256
"ERRFI1",138,44,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,23,43,4,670,5
"RP11-431K24.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0
"RP11-431K24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC45A1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"RERE",23,23,0,3,0,1,0,1,7,2,1,1,2,0,0,1,3,6,22,10,325,44
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENO1",1352,272,15,140,26,40,30,10,82,164,28,16,83,3,15,11,29,162,1884,397,3711,326
"ENO1-AS1",2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,9,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SLC2A5",47,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,25,0,2,1
"GPR157",11,5,0,17,0,0,1,0,2,0,0,0,0,0,0,0,20,0,26,0,182,1
"MIR34AHG",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18,0
"RP3-510D11.2",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,2
"H6PD",8,11,0,1,0,0,0,0,0,2,2,0,1,0,0,0,2,4,8,3,86,16
"SPSB1",21,17,0,2,0,1,1,0,5,3,1,0,5,0,0,0,3,2,64,5,94,20
"SLC25A33",60,10,0,10,4,1,0,2,15,8,3,2,7,0,1,0,5,8,49,13,305,20
"TMEM201",3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,34,5
"PIK3CD",23,1,1,2,4,2,1,1,2,2,1,1,5,0,0,2,6,1,14,7,4,1
"PIK3CD-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,17,0
"CLSTN1",34,20,1,1,1,1,0,0,3,6,0,0,3,0,2,0,0,16,13,17,227,35
"CTNNBIP1",84,18,0,13,1,1,0,0,2,2,2,1,4,0,0,0,7,3,44,6,355,40
"LZIC",49,4,0,2,3,1,1,0,3,4,0,0,3,0,0,0,2,6,29,9,115,7
"NMNAT1",9,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,3,1,40,3
"RBP7",18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,22
"UBE4B",15,3,0,1,0,1,0,2,3,5,2,0,0,0,0,0,2,3,10,12,117,11
"KIF1B",71,19,1,5,1,0,0,0,2,4,1,0,3,0,1,0,4,5,51,9,109,27
"PGD",154,20,2,4,0,2,0,1,5,4,0,0,3,1,1,0,10,6,103,8,182,20
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"APITD1",6,5,0,0,0,1,0,0,3,1,0,0,0,0,1,0,1,3,1,3,40,9
"DFFA",38,10,0,4,4,2,0,1,13,6,2,1,2,0,1,1,11,8,16,15,203,45
"PEX14",12,8,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,5,6,58,9
"CASZ1",1,0,1,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,5,5,115,5
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C1orf127",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",62,14,1,2,2,2,3,1,6,4,0,0,6,1,2,0,8,9,34,18,235,42
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.8",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"SRM",85,91,5,10,1,9,2,0,8,22,5,3,8,1,4,0,13,36,40,28,737,56
"EXOSC10",22,7,1,4,1,3,1,0,1,5,1,1,2,0,0,0,1,5,7,7,113,21
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,28,4
"MTOR",7,6,0,0,1,0,2,0,1,2,1,0,2,0,0,1,0,2,6,3,57,16
"ANGPTL7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",11,2,0,1,0,0,1,0,3,5,1,0,4,0,1,0,1,0,2,7,104,6
"PTCHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FBXO2",0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,5,0
"FBXO44",6,4,2,0,2,1,1,0,1,4,1,0,2,0,0,0,2,2,4,3,19,3
"FBXO6",49,8,0,5,1,5,0,0,1,5,3,0,0,1,1,1,3,2,39,10,40,0
"MAD2L2",66,34,2,9,3,4,0,1,6,14,3,1,6,0,0,3,19,9,92,13,183,36
"DRAXIN",0,5,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0
"AGTRAP",115,53,1,9,3,3,1,1,1,6,2,0,1,0,1,0,1,14,137,22,281,38
"C1orf167",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"MTHFR",15,0,0,2,1,0,0,0,2,3,0,0,1,0,0,0,1,3,15,2,120,4
"CLCN6",5,2,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,3,7,0,31,3
"NPPA-AS1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,2
"KIAA2013",49,14,2,1,1,1,1,0,3,4,1,1,3,0,1,0,1,12,13,13,279,20
"PLOD1",61,48,0,5,1,0,0,0,1,1,1,0,0,0,0,1,0,21,17,4,112,48
"MFN2",30,7,0,2,0,3,1,0,4,3,1,0,3,0,1,0,3,6,13,6,114,16
"MIIP",53,7,0,7,1,1,1,0,8,12,0,1,4,1,0,0,8,4,16,21,143,23
"TNFRSF8",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,9,2,0
"TNFRSF1B",186,2,6,29,7,8,3,4,8,31,7,0,20,1,9,4,25,4,628,209,114,20
"VPS13D",13,3,1,1,2,0,0,0,1,3,1,0,0,0,0,0,3,2,20,4,63,17
"DHRS3",97,6,1,1,0,1,1,0,0,2,0,0,2,0,2,1,0,1,19,0,140,15
"RP11-474O21.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C1orf158",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HNRNPCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LRRC38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",70,169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,2,0
"PRDM2",26,11,0,8,5,1,2,0,32,13,6,4,15,3,1,0,6,6,49,46,129,16
"KAZN",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,20,15
"TMEM51-AS1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"TMEM51",99,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,60,1,56,14
"FHAD1",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
"RP3-467K16.2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"EFHD2",264,25,1,34,2,4,5,2,8,12,3,0,6,0,4,2,11,10,262,46,296,53
"CTRC",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"CELA2A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP9",20,2,0,3,0,0,1,1,5,0,1,3,3,0,0,0,0,2,16,5,24,24
"DNAJC16",6,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,4,2,29,6
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AGMAT",0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,2,65,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"DDI2",13,3,0,2,1,1,0,1,2,7,0,0,5,0,0,3,2,1,10,14,104,37
"RP4-680D5.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"PLEKHM2",66,13,1,3,0,0,0,0,4,1,0,0,1,0,0,0,1,4,37,4,66,14
"SLC25A34",4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,2,1
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FBLIM1",3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,86,42
"UQCRHL",25,2,0,5,0,3,1,1,3,6,0,0,1,0,0,1,5,8,15,2,215,9
"FLJ37453",5,4,0,2,1,0,1,0,1,3,0,1,5,0,1,0,0,2,8,3,33,6
"SPEN",38,7,2,7,1,1,0,0,7,8,2,2,5,2,0,1,2,7,47,12,146,35
"ZBTB17",12,8,1,0,1,1,2,1,4,4,0,1,2,0,1,0,0,3,37,7,26,15
"C1orf64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPB7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLCNKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"EPHA2",6,7,1,0,0,0,0,0,1,1,0,0,0,0,0,1,4,3,13,1,469,16
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARHGEF19",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,21,2
"RSG1",3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,8,2
"FBXO42",11,1,1,3,2,1,1,0,4,6,1,1,3,0,0,1,0,0,10,2,31,3
"SZRD1",96,33,3,18,5,3,0,2,15,15,6,1,7,1,2,1,8,19,72,31,152,50
"NECAP2",84,26,0,2,2,7,2,0,11,14,4,0,9,0,4,0,9,13,73,47,140,57
"RP4-798A10.2",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"NBPF1",1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,10,6
"CROCC",1,8,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,2,3,5,27,4
"RP11-108M9.4",11,9,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,3,17,0,12,8
"RP11-108M9.6",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"MFAP2",1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,28
"ATP13A2",10,5,0,1,0,0,0,0,0,5,0,1,0,0,1,0,12,3,4,2,125,19
"SDHB",258,27,2,12,7,5,1,2,9,16,7,3,11,1,2,0,3,18,100,36,432,58
"PADI2",21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
"RP11-380J14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PADI1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PADI4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0
"RCC2",78,13,1,6,2,1,3,0,7,4,3,0,1,0,0,0,3,8,31,5,192,19
"ARHGEF10L",27,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,12,0,65,3
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IGSF21",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALDH4A1",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,25,0
"IFFO2",10,6,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,3,14,1,30,6
"UBR4",79,9,0,7,1,2,0,1,4,7,3,0,9,0,2,0,9,12,68,8,206,33
