"","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",2,0,1,7,2,2,17,5,4,4,4,0,3,0,0,0,0,2
"AP006222.2",0,0,0,3,1,1,9,2,3,1,0,0,1,0,0,0,0,6
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-206L10.9",0,0,0,0,0,2,1,1,1,2,0,1,1,0,0,0,0,2
"FAM87B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",1,0,0,2,1,1,4,2,3,3,1,1,0,1,1,0,0,0
"FAM41C",0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0
"RP11-54O7.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SAMD11",0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"NOC2L",6,3,2,22,8,16,52,29,17,37,15,5,12,8,6,1,6,12
"KLHL17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0
"RP11-54O7.17",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"HES4",3,25,1,10,8,3,40,11,8,17,2,4,17,8,0,2,8,6
"ISG15",48,53,25,88,52,27,319,210,23,157,48,28,92,7,6,24,81,102
"AGRN",0,1,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,5
"C1orf159",0,1,0,1,0,0,4,3,2,2,0,0,3,1,0,0,3,0
"RP11-465B22.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF18",6,15,1,2,9,1,153,14,2,5,3,11,10,2,10,0,72,2
"TNFRSF4",2,10,7,0,1,0,443,17,2,112,1,3,1,2,2,3,294,39
"SDF4",13,20,3,60,7,11,126,47,8,51,7,7,25,11,29,2,19,41
"B3GALT6",2,3,2,4,2,2,30,10,1,10,2,2,3,1,0,0,6,6
"FAM132A",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"RP5-902P8.12",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"UBE2J2",6,4,1,30,3,11,58,22,10,22,8,3,3,8,4,1,8,14
"RP5-902P8.10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"ACAP3",1,1,0,7,2,4,13,3,1,6,1,1,1,2,2,0,2,0
"PUSL1",1,0,0,3,4,4,21,11,0,9,1,0,4,2,3,0,3,0
"CPSF3L",8,4,0,11,3,9,27,9,3,12,3,2,4,4,3,0,2,7
"CPTP",2,0,0,2,1,3,13,3,4,6,1,1,2,3,1,0,1,0
"TAS1R3",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DVL1",0,0,0,3,1,0,2,2,0,1,1,0,0,3,1,0,0,1
"MXRA8",1,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"AURKAIP1",19,16,4,40,13,28,157,70,29,62,7,11,23,54,19,8,20,26
"CCNL2",13,3,2,22,5,8,42,20,15,15,6,3,6,4,3,1,3,8
"MRPL20",14,7,4,48,17,44,157,70,23,89,16,12,29,20,15,4,21,36
"ANKRD65",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"VWA1",1,0,0,11,1,0,0,0,0,1,0,0,0,2,0,0,0,73
"ATAD3C",0,1,0,1,0,1,0,2,0,0,0,0,2,0,2,0,0,1
"ATAD3B",2,3,0,0,1,6,16,9,1,6,0,2,2,3,5,0,2,2
"ATAD3A",2,2,0,6,0,6,6,5,3,5,1,0,2,2,2,0,3,2
"SSU72",18,14,4,46,13,46,151,96,25,110,18,21,23,14,5,5,22,24
"RP5-832C2.5",1,1,0,2,0,2,10,4,2,4,2,1,3,0,0,1,0,0
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-345P4.9",1,0,0,5,0,2,4,3,4,5,0,0,1,0,0,0,2,0
"MIB2",8,1,1,9,1,3,19,12,3,10,2,5,6,3,1,1,4,5
"MMP23B",0,0,1,63,1,1,1,1,0,0,0,1,1,0,0,0,0,0
"CDK11B",3,4,4,9,5,23,49,30,14,25,7,6,12,7,1,2,2,3
"RP11-345P4.10",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"SLC35E2B",1,0,2,7,2,4,16,7,3,7,0,0,4,0,2,0,1,1
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CDK11A",12,1,5,9,6,20,56,33,17,37,8,6,13,6,3,2,4,8
"SLC35E2",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"NADK",2,3,0,4,0,7,8,8,8,4,1,0,1,2,2,2,2,6
"GNB1",9,16,3,23,3,14,67,28,14,27,3,9,10,13,1,9,13,25
"TMEM52",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"GABRD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRKCZ",1,1,0,3,1,3,5,2,1,3,0,0,0,0,0,0,0,3
"RP5-892K4.1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"RP11-181G12.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",3,11,3,43,4,21,61,32,7,30,15,4,12,6,4,2,8,10
"SKI",5,2,1,15,3,14,36,15,4,11,4,0,12,2,1,3,4,18
"MORN1",1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0
"RER1",11,7,5,37,6,18,74,32,8,32,8,6,12,14,12,5,9,17
"PEX10",1,1,0,3,0,3,4,1,3,4,0,0,0,0,0,0,1,2
"PLCH2",1,0,0,0,2,0,3,0,2,1,0,1,2,0,0,0,0,0
"PANK4",0,0,0,4,0,2,5,0,0,1,0,0,0,2,1,0,0,0
"RP3-395M20.12",5,7,1,0,1,17,36,15,6,9,1,3,5,2,0,0,5,2
"RP3-395M20.8",0,0,0,2,0,5,3,2,0,1,0,0,2,2,1,0,0,2
"TNFRSF14",16,11,2,18,8,30,120,59,22,64,11,8,10,9,8,3,22,18
"RP3-395M20.9",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
"FAM213B",1,0,0,1,0,2,4,1,1,0,0,0,1,5,1,0,0,2
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF16",0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
"MEGF6",0,0,0,0,0,2,3,2,0,1,0,0,0,1,0,0,0,0
"TPRG1L",2,0,0,5,1,0,7,5,0,7,0,1,2,2,1,0,0,3
"WRAP73",0,0,0,2,1,1,10,5,0,3,2,1,3,1,0,1,2,2
"TP73",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TP73-AS1",0,0,1,4,0,2,4,1,0,0,0,1,0,0,0,0,0,4
"SMIM1",0,0,0,0,2,1,4,2,0,0,0,0,0,0,1,0,1,1
"LRRC47",4,2,1,13,1,4,24,14,7,11,2,1,5,3,3,0,1,7
"CEP104",2,0,1,5,0,1,15,3,1,12,1,1,5,0,1,0,0,4
"DFFB",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"C1orf174",7,1,1,1,5,4,15,10,4,8,3,1,2,1,2,0,5,2
"LINC01134",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"NPHP4",0,1,0,1,0,1,2,4,0,1,0,0,0,0,0,0,0,0
"KCNAB2",6,6,0,1,1,10,30,18,3,14,5,2,8,1,1,0,5,1
"RPL22",182,272,44,658,149,733,2641,896,453,1717,295,124,344,244,90,59,219,217
"RNF207",1,0,1,1,0,0,4,2,0,1,0,0,1,1,0,0,3,3
"ICMT",0,0,0,7,1,3,18,7,1,8,1,1,3,3,1,0,0,1
"GPR153",0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ACOT7",2,5,1,7,1,0,21,6,1,5,1,0,1,5,0,0,3,3
"RP1-202O8.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HES2",0,0,0,0,1,0,1,1,0,0,1,0,2,3,0,0,0,0
"ESPN",0,0,0,0,0,0,2,0,0,1,0,0,0,5,0,0,0,1
"TNFRSF25",5,1,1,0,9,2,180,18,0,64,9,0,1,1,0,3,24,1
"PLEKHG5",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
"NOL9",2,0,1,6,2,4,15,5,2,12,3,1,2,3,0,0,4,1
"ZBTB48",0,1,0,1,1,4,7,3,3,6,0,1,1,1,0,0,2,0
"KLHL21",1,6,0,4,3,5,9,10,1,9,1,1,1,6,2,1,2,8
"PHF13",0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,2
"THAP3",0,0,0,3,0,2,7,4,0,2,0,0,0,0,4,0,1,1
"DNAJC11",0,1,0,4,1,1,11,0,0,2,2,0,2,2,1,0,1,0
"RP11-242F24.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP11-312B8.1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"CAMTA1",3,4,0,41,6,15,64,19,9,30,4,4,5,14,5,3,4,44
"VAMP3",3,3,1,12,2,4,18,12,3,7,2,2,5,2,0,1,2,23
"PER3",0,0,0,9,0,0,1,0,0,0,1,1,0,0,0,0,0,9
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"UTS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TNFRSF9",7,5,1,2,21,0,7,10,0,6,1,8,15,0,0,0,44,0
"PARK7",27,27,10,168,33,70,282,106,35,147,30,24,65,40,18,7,57,56
"ERRFI1",1,0,1,55,1,5,11,9,0,9,1,0,6,46,0,0,0,9
"RP11-431K24.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC45A1",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"RERE",2,3,0,9,1,9,6,6,5,6,0,0,3,3,1,1,3,11
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENO1",42,90,14,105,25,79,502,173,48,206,45,30,42,61,30,12,70,71
"ENO1-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"CA6",0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0
"SLC2A5",0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0
"GPR157",0,18,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
"H6PD",0,0,0,8,2,2,6,0,2,3,0,2,0,0,0,0,0,4
"SPSB1",3,0,1,54,0,4,14,4,2,9,1,0,0,2,0,0,0,12
"SLC25A33",8,8,0,20,7,26,34,27,16,34,6,8,23,8,2,0,5,11
"TMEM201",1,0,0,3,1,0,0,0,0,1,1,1,2,0,0,0,0,0
"PIK3CD",2,1,0,1,4,2,20,6,2,12,4,0,6,0,0,1,1,0
"PIK3CD-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",0,0,0,3,0,2,0,0,1,0,0,0,0,1,1,0,0,0
"CLSTN1",2,3,0,26,2,6,27,7,1,19,4,1,4,6,0,0,3,14
"CTNNBIP1",1,6,0,6,1,4,13,6,0,8,1,2,2,4,1,0,2,4
"LZIC",3,1,1,6,2,4,17,3,3,8,2,0,4,3,0,0,2,0
"NMNAT1",0,0,0,2,0,1,2,0,0,1,0,2,0,0,0,0,0,2
"RBP7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,64
"UBE4B",3,2,0,3,1,4,21,5,2,3,4,0,2,0,2,0,4,3
"KIF1B",5,1,0,10,0,2,7,7,0,2,0,0,1,1,1,3,0,4
"PGD",0,4,0,3,2,3,11,8,0,9,0,0,2,1,1,3,2,2
"APITD1",0,0,0,1,0,1,10,1,0,2,0,0,0,2,0,0,5,1
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DFFA",2,2,0,12,1,4,12,8,1,11,1,1,6,3,1,1,2,12
"PEX14",1,0,0,1,1,2,4,5,1,1,1,1,2,2,0,0,2,1
"CASZ1",0,0,0,2,1,1,2,3,1,2,0,1,1,2,0,0,1,3
"C1orf127",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",4,2,0,16,2,8,25,12,6,10,3,1,4,7,0,1,4,10
"RP4-635E18.8",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"SRM",5,5,2,41,2,17,51,26,11,28,9,4,12,12,27,1,8,15
"EXOSC10",2,0,0,1,2,4,10,5,4,4,0,0,3,4,2,0,4,1
"RP4-635E18.6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTOR",0,0,0,3,0,2,4,2,2,4,3,0,1,2,1,0,0,4
"ANGPTL7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",2,0,0,5,0,4,12,7,5,9,0,1,4,1,0,0,2,4
"FBXO2",2,0,0,3,1,5,11,8,1,1,0,1,2,0,1,0,2,0
"FBXO44",1,1,1,7,3,5,10,6,0,3,0,2,3,0,0,0,1,0
"FBXO6",1,2,1,8,1,4,8,10,1,2,1,1,3,2,0,1,0,3
"MAD2L2",3,7,0,20,3,3,21,9,4,10,1,3,5,1,2,0,4,4
"DRAXIN",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"AGTRAP",2,0,0,36,1,2,13,16,1,3,2,3,2,3,0,2,4,2
"C1orf167",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTHFR",0,0,0,6,0,3,1,0,1,2,1,0,1,3,1,0,0,0
"CLCN6",0,2,0,2,0,0,1,0,2,1,0,0,1,1,1,0,0,1
"NPPA-AS1",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"KIAA2013",0,1,0,9,2,2,7,2,4,4,1,1,5,2,1,0,1,3
"PLOD1",0,0,0,14,0,0,1,1,1,0,0,0,0,3,0,0,0,8
"MFN2",1,3,0,5,1,3,8,4,1,1,2,1,2,3,0,1,0,4
"MIIP",3,1,1,3,4,3,8,4,5,5,0,0,3,1,2,1,2,1
"TNFRSF8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"TNFRSF1B",29,35,12,7,25,24,153,106,18,76,15,12,40,2,2,9,80,6
"VPS13D",0,1,0,3,1,1,6,3,1,5,0,0,1,1,2,1,0,2
"DHRS3",3,0,0,14,4,0,35,6,0,8,1,4,2,7,0,0,1,15
"LRRC38",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",0,0,0,135,0,0,1,1,0,0,0,0,0,0,0,0,0,2
"PRDM2",4,4,0,15,5,41,63,32,24,29,5,10,22,2,4,1,6,0
"RP11-344F13.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,7
"TMEM51",0,3,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,1
"FHAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"EFHD2",6,26,3,23,5,11,56,11,2,13,2,6,9,15,1,7,5,14
"CTRC",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"CASP9",1,1,0,0,1,7,5,10,8,4,0,1,2,0,2,0,1,0
"DNAJC16",1,0,0,0,0,1,4,2,0,2,0,1,1,2,1,0,1,0
"AGMAT",0,0,0,0,0,0,2,1,0,3,2,0,0,4,0,0,2,0
"DDI2",0,0,1,2,1,1,7,5,3,1,0,2,1,3,0,0,1,0
"PLEKHM2",0,5,0,7,0,4,6,1,1,4,2,1,1,1,0,1,0,5
"SLC25A34",1,0,0,1,0,0,1,0,0,1,0,2,0,1,0,0,0,1
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"FBLIM1",0,0,0,32,1,1,5,1,1,2,0,0,1,8,1,0,0,14
"UQCRHL",1,1,0,5,0,6,10,5,5,4,1,0,3,7,1,0,2,6
"FLJ37453",0,1,0,6,0,3,4,4,0,1,1,1,1,1,1,0,1,2
"SPEN",3,2,0,8,2,11,23,6,4,8,2,2,8,7,0,0,5,11
"ZBTB17",1,3,0,2,1,6,13,8,2,5,0,0,3,0,1,0,3,5
"FAM131C",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"EPHA2",1,0,0,0,0,0,1,2,1,2,0,0,0,18,0,0,0,14
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF19",1,0,1,1,0,0,3,3,2,2,0,0,0,0,0,0,0,1
"RSG1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"FBXO42",0,1,0,2,0,1,13,3,4,7,1,2,3,0,2,0,0,1
"SZRD1",2,5,3,19,5,16,54,28,8,33,10,3,16,8,2,0,11,16
"SPATA21",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"NECAP2",7,5,3,13,9,14,66,33,5,24,7,5,17,5,2,0,14,13
"RP4-798A10.2",0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"RP4-798A10.7",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"NBPF1",0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0
"CROCC",0,1,0,1,1,1,6,1,0,4,1,1,3,0,0,0,0,2
"RP11-108M9.4",0,0,0,8,0,3,1,2,0,1,0,0,0,2,0,0,0,8
"RP11-108M9.6",0,0,0,2,0,1,4,1,0,0,0,0,1,0,1,0,1,0
"MFAP2",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP13A2",1,1,0,1,0,0,8,4,2,5,0,0,1,1,1,0,0,3
"SDHB",8,5,4,17,5,7,42,22,11,27,5,9,9,26,1,1,7,15
"PADI2",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"PADI4",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"RCC2",2,2,0,11,1,2,6,8,2,3,2,1,0,2,1,0,2,0
"ARHGEF10L",0,1,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,0
"IGSF21",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ALDH4A1",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"IFFO2",0,1,0,0,1,1,17,3,1,3,0,1,1,1,0,0,1,1
"UBR4",4,1,0,8,5,12,22,17,5,15,2,0,4,3,2,2,0,5
"RP1-43E13.2",0,1,0,0,0,1,2,3,0,1,0,0,0,0,0,1,0,0
"EMC1",0,0,0,12,0,5,10,3,0,2,2,0,0,1,1,0,2,3
"MRTO4",2,2,2,18,0,7,37,10,7,14,3,1,5,3,4,1,5,8
"AKR7A3",0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"AKR7A2",3,5,0,33,5,8,21,8,5,8,3,1,7,4,0,0,2,9
"PQLC2",0,0,0,2,0,3,2,1,0,0,0,0,1,0,0,0,1,1
"CAPZB",24,25,9,113,22,57,287,146,32,134,23,18,50,16,3,5,47,53
"RP5-1056L3.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MINOS1",19,31,4,70,9,36,188,68,22,95,17,8,21,79,11,9,20,44
"NBL1",2,0,0,131,4,0,42,26,0,6,4,4,5,24,0,0,0,19
"TMCO4",1,0,1,5,1,1,7,1,0,2,3,0,0,0,1,0,0,2
"RNF186",0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
"OTUD3",1,0,0,1,0,1,5,1,0,1,0,0,1,0,0,0,0,1
"PLA2G2A",0,0,0,480,0,0,1,2,1,4,0,1,1,66,0,0,0,0
"PLA2G2D",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"UBXN10-AS1",0,0,0,1,0,1,2,0,0,3,0,0,0,0,0,0,0,0
"UBXN10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CAMK2N1",0,0,1,16,0,0,4,3,1,0,0,0,1,28,0,0,0,3
"MUL1",0,2,0,9,2,3,15,13,1,4,1,2,1,1,0,1,4,3
"CDA",1,1,0,2,0,0,0,0,0,1,0,0,0,5,2,1,1,13
"PINK1",0,1,0,9,1,0,2,2,0,2,0,0,0,3,1,0,2,24
"PINK1-AS",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"DDOST",9,7,1,50,11,13,70,29,10,30,6,7,17,15,17,1,10,12
"KIF17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"HP1BP3",7,1,3,32,4,15,58,36,6,34,7,5,17,9,5,1,10,25
"EIF4G3",3,4,0,10,0,4,12,5,3,10,0,0,3,2,0,0,2,5
"ECE1",2,1,2,14,0,5,15,8,6,8,0,2,1,2,0,1,3,39
"RP5-1071N3.1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"NBPF3",0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"ALPL",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24
"RAP1GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"USP48",2,1,0,13,3,13,28,8,4,18,2,2,7,3,14,0,8,9
"HSPG2",0,0,0,14,0,2,1,1,0,1,0,0,0,1,1,0,0,72
"CELA3B",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"RP1-224A6.3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"LINC00339",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"CDC42",44,31,10,70,39,109,320,143,47,178,43,27,58,29,10,8,54,76
"WNT4",0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ZBTB40",1,0,0,2,0,0,9,4,1,1,0,0,2,0,0,0,1,3
"C1QA",0,13,0,1,0,0,0,1,0,1,0,0,0,0,0,47,0,0
"C1QC",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"C1QB",0,29,0,2,2,0,0,0,0,0,0,0,0,0,0,45,0,0
"EPHB2",0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"KDM1A",0,0,0,7,1,2,2,4,1,2,0,0,1,4,0,1,1,5
"LUZP1",8,6,2,14,5,5,70,46,8,27,1,6,3,4,1,1,7,53
"LINC01355",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPR",5,8,6,44,12,17,67,36,16,60,8,8,16,16,14,1,15,22
"ZNF436",0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,1,2
"ZNF436-AS1",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
"TCEA3",1,0,0,12,1,0,1,0,0,3,2,0,0,26,1,0,0,1
"ASAP3",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E2F2",0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0
"ID3",0,0,0,151,31,90,65,19,24,19,11,8,23,27,4,0,7,106
"MDS2",1,0,0,1,0,1,0,0,1,6,0,0,0,0,0,0,2,0
"RPL11",549,570,140,1310,372,2236,6995,2531,1115,4720,878,266,792,573,194,156,612,561
"TCEB3",3,6,0,6,3,8,38,17,5,17,3,3,5,0,3,0,3,7
"TCEB3-AS1",0,0,0,1,0,0,2,0,0,1,0,0,2,0,2,0,0,1
"PITHD1",15,5,3,16,13,17,129,71,20,64,9,4,20,4,2,0,6,10
"LYPLA2",5,3,1,8,2,9,45,14,6,18,5,4,13,5,3,2,9,10
"GALE",0,2,0,2,0,0,4,2,0,1,0,0,1,3,2,0,0,2
"HMGCL",2,0,0,9,0,0,7,1,1,2,0,2,1,2,1,0,0,4
"FUCA1",1,1,0,7,2,2,10,2,2,4,1,0,7,3,2,0,3,2
"CNR2",0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
"PNRC2",12,14,2,55,11,12,61,30,23,40,4,5,15,13,3,3,10,34
"SRSF10",12,7,0,54,19,34,114,53,21,84,5,9,17,11,3,2,9,18
"MYOM3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"IFNLR1",1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"STPG1",0,0,1,1,0,0,4,1,0,0,0,0,3,4,0,0,0,1
"NIPAL3",3,0,2,2,2,1,16,20,1,6,1,1,6,2,2,1,2,2
"RCAN3",8,1,1,1,4,8,102,32,2,49,5,2,9,0,0,0,8,0
"RP4-594I10.3",2,1,0,1,0,1,24,6,3,19,1,0,2,0,0,0,1,0
"NCMAP",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SRRM1",29,10,8,49,34,64,219,127,43,127,21,11,41,24,7,1,14,36
"CLIC4",0,0,0,29,0,2,2,0,4,0,1,1,0,1,5,4,0,41
"RUNX3",41,26,4,0,22,37,229,169,18,55,28,24,48,0,5,2,12,0
"RP4-706G24.1",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SYF2",21,12,4,56,17,38,119,74,25,101,9,10,28,11,6,6,19,32
"RSRP1",23,6,5,83,22,63,201,106,32,100,11,15,38,12,10,1,18,41
"RP3-465N24.6",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"RHD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TMEM50A",20,13,8,74,19,13,177,88,22,77,16,10,35,8,12,4,30,51
"RHCE",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"TMEM57",5,2,1,4,4,5,28,17,5,10,2,3,9,2,2,0,1,6
"LDLRAP1",3,0,0,0,1,2,9,6,0,14,2,1,0,0,1,0,1,2
"RP11-70P17.1",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"MAN1C1",1,0,0,14,2,0,16,8,0,11,4,2,5,0,1,0,0,0
"RP1-187B23.1",4,1,1,0,12,0,28,22,0,13,4,0,14,0,1,0,1,0
"SEPN1",0,0,1,8,0,2,3,0,1,8,0,0,0,1,0,0,1,15
"RP1-317E23.3",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MTFR1L",0,2,0,10,2,3,9,3,2,3,1,0,5,1,1,0,0,5
"RP1-125I3.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PAQR7",0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
"STMN1",8,0,5,25,10,19,34,32,20,29,4,6,12,5,7,0,7,22
