"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells"
"FO538757.2",20,15,1,4,4,0,7,0,2,2,4,0,9,1,2,2,7,1,47,81
"AP006222.2",23,27,1,0,0,0,3,0,2,0,6,0,1,1,2,0,3,0,11,54
"RP4-669L17.10",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"RP11-206L10.9",0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15
"FAM87B",5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC00115",4,7,1,1,0,0,0,0,1,0,3,0,3,0,0,0,3,0,7,15
"FAM41C",4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4
"RP11-54O7.1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
"RP11-54O7.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
"NOC2L",20,27,3,3,5,3,7,6,5,2,10,2,18,4,3,4,9,4,51,322
"KLHL17",1,4,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4,7
"PLEKHN1",3,3,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,1,14,7
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-54O7.17",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"HES4",20,148,0,0,1,0,2,4,0,0,3,0,9,5,54,0,9,0,12,59
"ISG15",375,184,25,16,42,6,47,43,10,11,59,7,85,25,63,14,156,16,445,1222
"AGRN",8,27,0,0,0,0,0,1,0,0,2,0,0,0,9,0,1,0,1,95
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"C1orf159",4,6,1,0,0,1,1,0,1,2,0,0,1,1,0,0,0,0,6,45
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,9
"TNFRSF18",3,4,2,21,0,0,62,8,0,5,7,3,71,2,1,0,1,1,499,12
"TNFRSF4",1,6,0,3,0,1,34,1,0,0,3,3,2,0,0,0,2,0,649,2
"SDF4",79,159,4,2,6,5,19,4,1,3,11,6,39,4,20,5,15,3,125,459
"B3GALT6",9,16,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,1,11,67
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"UBE2J2",14,52,2,1,1,2,8,3,2,1,10,1,19,3,9,0,15,1,55,153
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACAP3",6,12,2,0,0,2,0,0,2,2,1,1,4,1,6,0,4,2,13,67
"PUSL1",9,13,0,0,0,0,0,2,0,1,2,0,5,2,0,0,2,0,16,114
"CPSF3L",22,44,6,3,1,4,6,3,4,3,5,2,13,3,5,3,6,1,62,240
"CPTP",7,14,2,1,1,0,4,2,1,1,1,0,2,1,3,2,0,1,20,41
"TAS1R3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"DVL1",6,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,92
"MXRA8",1,444,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2,7
"AURKAIP1",179,147,12,4,5,4,14,22,11,5,26,8,39,12,29,15,53,4,193,1054
"CCNL2",9,34,2,4,0,1,5,3,3,0,2,0,5,8,5,2,1,2,67,165
"MRPL20",174,166,7,6,5,1,16,20,9,11,21,10,37,14,22,3,55,6,180,852
"RP4-758J18.13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANKRD65",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"VWA1",1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
"ATAD3C",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,2
"ATAD3B",4,6,1,0,1,0,1,0,0,0,1,0,1,0,3,1,2,2,15,60
"ATAD3A",11,18,3,1,0,0,3,2,1,0,1,0,7,1,7,1,2,1,14,149
"SSU72",111,143,6,5,16,6,16,20,17,7,23,9,39,16,17,0,31,10,211,609
"RP5-832C2.5",5,1,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,2,18,14
"C1orf233",5,9,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,71
"RP11-345P4.9",2,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,7,7
"MIB2",7,20,4,3,8,4,3,5,1,1,7,4,17,5,2,0,2,1,15,208
"MMP23B",1,69,1,0,0,0,0,1,0,0,0,0,7,3,2,0,0,0,0,12
"CDK11B",9,9,5,4,1,2,4,2,7,0,4,4,6,5,4,3,5,2,38,135
"RP11-345P4.10",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"SLC35E2B",5,14,1,0,1,0,1,3,0,0,1,0,3,3,1,0,2,0,15,43
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CDK11A",15,12,2,2,1,2,2,4,3,3,1,9,14,2,2,1,8,0,51,110
"SLC35E2",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
"NADK",39,13,0,1,0,0,1,1,0,0,1,1,5,1,0,1,7,1,11,142
"GNB1",101,96,3,1,5,2,6,3,4,2,5,3,15,3,5,1,26,4,60,265
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"TMEM52",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,115
"CFAP74",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRKCZ",1,2,0,0,2,0,0,1,1,0,1,0,3,0,0,0,0,0,12,86
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"RP11-181G12.2",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",84,133,7,4,9,4,12,4,11,3,7,3,31,8,19,5,27,2,103,322
"SKI",14,27,0,1,1,1,2,1,0,1,1,2,12,4,0,0,4,0,18,51
"MORN1",0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,17
"RER1",135,151,9,9,11,2,15,9,6,1,17,6,36,15,24,2,38,6,162,713
"PEX10",12,21,0,1,0,0,1,1,0,1,4,0,3,0,3,0,3,0,5,66
"PLCH2",0,0,1,0,0,0,1,1,0,0,1,0,11,0,0,0,0,0,2,8
"PANK4",2,8,0,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,6,21
"HES5",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
"RP3-395M20.12",20,0,6,0,0,1,3,2,0,3,4,1,20,5,0,0,15,0,35,27
"RP3-395M20.8",4,3,0,0,1,1,0,0,0,1,0,1,1,0,0,0,2,0,5,17
"TNFRSF14",70,12,11,6,8,4,21,4,8,6,21,11,33,18,3,2,25,1,171,164
"RP3-395M20.9",0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,4
"FAM213B",10,3,1,0,1,0,2,0,0,1,1,0,3,0,0,0,4,0,15,98
"MMEL1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"ARHGEF16",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,92
"MEGF6",1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TPRG1L",5,12,1,0,1,0,0,0,0,0,2,0,1,0,3,0,2,0,6,48
"WRAP73",2,5,2,2,2,0,4,2,0,0,1,0,12,7,3,0,0,1,17,118
"TP73",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16
"RP5-1092A11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TP73-AS1",2,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,5,2
"SMIM1",0,9,0,1,0,0,0,1,0,0,0,0,3,0,2,0,0,0,6,35
"LRRC47",9,29,3,1,3,1,1,4,3,1,2,2,7,1,7,1,4,0,17,128
"RP1-286D6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CEP104",10,14,2,0,0,0,3,2,1,2,6,0,4,3,2,0,1,0,13,53
"DFFB",1,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,29
"C1orf174",9,27,1,3,4,0,4,1,4,0,5,2,9,7,4,0,5,0,31,77
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"NPHP4",3,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24
"KCNAB2",39,3,4,2,1,1,8,1,1,0,1,0,9,4,1,0,15,0,47,70
"RPL22",1291,1517,96,53,90,42,213,118,217,87,205,182,418,146,185,38,684,55,2358,7854
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNF207",1,7,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,8,21
"ICMT",17,30,1,0,1,0,3,1,0,0,0,1,1,1,10,0,4,1,24,99
"LINC00337",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8
"GPR153",1,6,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,19
"ACOT7",10,9,1,0,4,0,6,0,0,2,3,1,14,1,1,1,1,4,12,196
"RP1-202O8.3",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9
"HES2",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33
"ESPN",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83
"TNFRSF25",0,2,0,1,2,0,19,5,0,3,1,9,4,0,0,0,1,1,246,45
"PLEKHG5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
"NOL9",7,4,1,1,1,0,1,0,2,0,1,3,1,1,1,1,1,0,8,39
"ZBTB48",5,10,0,1,3,0,2,1,3,0,3,0,5,2,3,0,1,0,27,27
"KLHL21",18,17,0,0,1,0,6,2,1,2,1,0,7,1,1,0,9,0,26,44
"PHF13",6,11,0,0,0,1,1,0,0,1,0,0,1,1,0,0,5,0,15,15
"THAP3",5,18,0,1,1,0,3,2,0,0,2,2,5,2,1,1,1,0,12,35
"DNAJC11",7,7,0,0,1,0,0,0,0,0,2,0,2,2,1,0,1,0,7,61
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CAMTA1",88,129,7,3,6,4,13,7,5,2,11,3,9,5,22,4,26,2,55,353
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VAMP3",50,68,1,0,1,0,3,0,0,0,5,1,5,4,5,1,6,2,27,138
"PER3",11,8,0,0,0,0,0,1,1,1,2,0,1,1,2,0,0,0,6,18
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UTS2",1,0,1,1,1,0,0,4,0,0,2,0,1,0,0,0,0,1,14,2
"TNFRSF9",14,1,2,18,5,1,10,14,0,4,5,0,26,4,1,0,4,4,217,2
"PARK7",309,464,34,45,41,11,66,41,23,20,70,15,122,34,86,13,86,19,602,1574
"ERRFI1",22,130,1,0,1,2,0,0,0,2,2,0,1,1,10,0,2,0,14,31
"RP11-431K24.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5
"SLC45A1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RERE",11,28,2,0,1,1,3,0,3,0,3,1,2,0,6,0,0,0,27,91
"RP5-1115A15.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"ENO1",981,681,33,36,35,15,79,86,19,15,99,26,190,47,114,6,324,29,1017,5013
"ENO1-AS1",4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,8
"CA6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A5",24,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7
"GPR157",5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
"MIR34AHG",2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"RP3-510D11.2",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,18
"H6PD",10,19,2,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,8,61
"SPSB1",1,51,0,0,2,1,3,3,1,1,6,0,1,1,3,1,4,2,28,18
"SLC25A33",21,34,2,7,7,6,8,4,1,1,8,5,22,3,4,1,6,1,52,147
"TMEM201",2,6,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,5,42
"PIK3CD",10,3,1,1,3,1,4,0,0,2,3,4,13,1,0,0,2,4,21,0
"PIK3CD-AS1",2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
"PIK3CD-AS2",1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10
"CLSTN1",12,50,2,1,1,2,1,2,1,1,6,0,5,2,5,0,2,1,34,235
"CTNNBIP1",33,28,1,3,2,1,4,1,2,1,1,0,4,3,2,0,8,1,26,135
"LZIC",34,16,1,2,3,2,2,4,2,3,3,1,5,4,4,0,9,2,37,105
"NMNAT1",8,5,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,3,34
"RBP7",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9
"UBE4B",4,13,0,1,0,0,6,1,2,0,3,2,5,1,4,0,3,3,25,50
"KIF1B",14,13,0,1,1,1,1,3,2,0,1,1,3,1,7,0,5,1,19,66
"PGD",51,28,1,2,2,0,3,0,0,0,4,1,9,2,3,0,25,1,15,271
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"APITD1-CORT",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"APITD1",8,7,0,0,0,1,0,0,0,0,2,0,4,0,3,0,1,3,2,86
"DFFA",13,26,2,2,2,0,4,0,1,0,7,0,9,1,2,0,3,0,27,171
"PEX14",6,15,1,0,0,1,2,2,2,0,0,0,3,0,1,1,0,1,10,42
"CASZ1",1,0,2,1,2,1,0,2,0,0,1,0,4,2,0,0,1,0,8,38
"C1orf127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TARDBP",30,44,6,1,2,0,4,3,5,1,3,2,7,3,10,2,4,1,44,170
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SRM",45,133,6,5,11,0,12,9,1,1,14,1,26,1,17,9,18,3,54,415
"EXOSC10",9,18,1,1,1,0,0,2,3,0,4,1,8,2,1,0,1,0,17,100
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP4-635E18.6",0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
"MTOR",5,5,0,0,0,0,1,0,0,0,2,0,2,0,5,0,1,0,5,37
"UBIAD1",10,17,1,0,0,0,4,2,1,0,4,0,3,0,2,1,1,0,20,76
"PTCHD2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO2",0,3,1,1,2,0,3,1,1,0,1,1,4,0,0,0,0,1,13,23
"FBXO44",6,12,3,3,3,1,2,2,0,1,6,1,6,3,1,0,0,0,22,42
"FBXO6",23,16,1,2,3,0,2,2,1,2,4,0,21,4,1,0,7,2,20,69
"MAD2L2",30,49,3,3,2,1,1,5,1,2,7,1,26,8,2,0,13,10,43,118
"DRAXIN",0,2,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,2,1
"AGTRAP",61,80,2,0,7,3,2,2,0,3,9,1,25,5,5,0,30,4,65,174
"C1orf167",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-56N19.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MTHFR",18,3,0,0,1,0,0,0,1,0,0,0,3,0,1,0,4,1,5,31
"CLCN6",3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,9
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"KIAA2013",33,26,0,0,3,2,2,2,2,0,3,0,12,4,2,0,1,2,22,157
"PLOD1",36,143,1,1,0,0,0,0,2,0,0,0,3,1,27,0,6,1,3,217
"MFN2",19,10,0,0,0,0,2,1,0,1,0,0,3,0,2,0,7,0,11,52
"MIIP",9,27,2,3,1,1,6,6,1,3,3,1,4,0,2,0,3,2,56,46
"TNFRSF8",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0
"TNFRSF1B",43,1,3,9,6,2,12,8,0,1,10,7,28,11,0,0,59,4,315,30
"VPS13D",8,4,1,2,1,2,0,1,0,1,3,2,4,1,1,0,4,0,11,20
"DHRS3",58,16,2,0,1,1,3,2,0,0,4,2,14,2,0,0,7,1,10,54
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HNRNPCL2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",35,289,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
"PRDM2",10,28,4,1,6,2,11,10,10,2,12,4,8,2,3,1,7,2,82,55
"KAZN",0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"TMEM51",48,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,95
"C1orf195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"FHAD1",11,12,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,7,7
"RP3-467K16.2",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP3-467K16.4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"EFHD2",137,30,3,2,5,2,3,6,1,3,4,1,31,8,3,0,54,1,79,271
"CTRC",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0
"CELA2A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"CASP9",7,1,1,1,0,1,0,0,1,0,3,0,8,1,3,0,0,0,8,16
"DNAJC16",5,11,0,0,0,0,3,0,0,0,0,0,1,1,2,0,0,0,8,28
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"AGMAT",0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,1,0,1,9,73
"RP4-680D5.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DDI2",5,7,0,0,2,0,2,1,0,1,5,0,4,1,3,0,3,0,18,38
"RP4-680D5.9",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLEKHM2",23,16,0,0,1,1,2,1,1,0,0,0,1,2,2,0,7,0,10,41
"SLC25A34",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"FBLIM1",3,86,1,0,0,0,0,0,0,0,0,0,1,1,24,0,1,1,4,95
"UQCRHL",18,14,1,0,1,0,5,2,3,0,2,0,3,1,2,0,8,0,21,151
"FLJ37453",11,7,2,0,0,1,0,0,5,4,1,0,3,4,0,0,3,1,12,20
"SPEN",24,19,4,3,0,0,3,1,2,0,3,2,11,3,2,0,11,3,20,104
"ZBTB17",7,16,0,3,1,1,3,0,3,3,5,1,3,1,0,0,3,1,27,31
"HSPB7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FAM131C",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"EPHA2",3,3,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,102
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF19",3,17,0,0,1,1,1,2,1,2,1,0,6,0,0,0,0,0,7,37
"RSG1",2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9
"FBXO42",4,5,0,0,2,1,1,1,2,0,0,0,4,0,1,1,1,1,19,28
"SZRD1",38,47,5,1,4,0,7,5,3,1,7,2,15,1,8,7,16,3,68,141
"SPATA21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"NECAP2",95,41,7,6,4,2,7,3,7,3,6,3,24,4,5,1,14,1,126,126
"RP4-798A10.2",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"RP4-798A10.7",1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,21
"RP4-798A10.4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NBPF1",2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,15
"CROCC",3,22,0,0,0,0,0,1,1,0,2,0,5,0,1,0,1,0,8,16
"RP11-108M9.4",17,26,2,0,0,0,1,2,0,0,1,0,3,2,6,0,7,0,9,48
"RP11-108M9.6",6,2,2,2,0,1,0,2,1,0,4,0,3,2,1,0,2,1,11,7
"MFAP2",3,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"ATP13A2",6,11,1,1,0,0,0,1,1,0,0,0,1,2,0,0,3,0,7,66
"SDHB",91,73,5,4,5,3,9,3,4,1,12,4,21,8,12,1,25,3,98,588
"PADI2",7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17
"RP11-380J14.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PADI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PADI4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"RCC2",26,15,2,1,1,1,2,0,1,0,3,0,4,2,5,0,3,1,16,134
"ARHGEF10L",14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,71
"IGSF21",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PAX7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ALDH4A1",3,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,35
"IFFO2",3,5,1,0,0,0,1,1,0,1,2,0,5,0,2,0,0,0,9,8
"UBR4",36,22,1,1,2,2,1,4,1,0,4,1,2,0,6,0,14,1,25,122
"RP1-43E13.2",0,2,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,9,4
"EMC1",13,8,1,1,0,1,0,1,0,0,2,0,2,0,6,0,0,1,9,76
"MRTO4",31,31,0,1,0,0,5,3,1,1,1,2,7,0,4,2,7,1,24,238
"AKR7A3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,322
"AKR7A2",34,85,4,2,6,2,7,6,2,1,9,1,17,3,11,0,9,4,57,399
"PQLC2",11,25,0,0,0,1,1,1,0,1,0,0,0,0,1,0,2,0,2,29
"CAPZB",384,559,36,27,30,14,51,26,23,14,64,13,119,57,51,1,94,12,564,737
"MINOS1",323,311,11,12,28,2,31,15,9,11,36,11,43,9,61,8,72,8,280,1570
"NBL1",8,678,2,3,0,0,11,6,0,0,5,1,15,0,17,0,1,3,7,458
"TMCO4",1,3,0,1,0,1,0,0,2,0,1,0,0,1,2,0,2,0,14,38
"RNF186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"OTUD3",1,5,1,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,2,19
"PLA2G2A",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144
"PLA2G5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"PLA2G2D",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PLA2G2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLA2G2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UBXN10-AS1",0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,13,17
"UBXN10",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27
"CAMK2N1",1,58,0,0,0,0,0,0,2,0,2,0,0,0,24,0,0,0,6,181
"MUL1",6,21,1,2,0,0,2,2,0,0,2,1,2,2,1,1,1,0,20,37
"FAM43B",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDA",17,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,17,0,0,64
"PINK1",10,22,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,29
"PINK1-AS",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
"DDOST",63,99,2,6,11,2,10,6,9,4,12,0,38,8,13,0,12,4,93,1016
"KIF17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HP1BP3",32,89,3,6,10,1,15,6,7,3,17,7,25,6,10,2,9,4,96,241
"EIF4G3",11,20,0,1,0,0,1,2,0,1,1,0,5,2,7,0,7,2,25,48
"ECE1",2,18,2,0,0,2,2,3,1,0,3,0,10,0,17,0,7,1,21,87
"RP3-329E20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP5-1071N3.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"NBPF3",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
