"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FO538757.2",30,92,1,0,1,12,1,0,4,0,10,1,3,1,1,0,0,17,2,3,3,7,316,28,5
"AP006222.2",53,144,1,0,2,19,0,1,2,1,3,2,4,0,1,0,1,26,0,6,1,6,126,22,14
"RP4-669L17.10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-206L10.9",3,11,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,4,0,0,0,1,20,2,4
"FAM87B",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",9,8,0,0,0,1,0,1,1,0,2,0,0,0,3,0,0,1,0,0,0,1,25,4,0
"FAM41C",5,11,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,6,0,0,0,2,14,1,3
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-54O7.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",1,49,0,0,0,30,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0
"NOC2L",29,131,0,2,2,13,0,0,3,1,8,0,3,2,2,2,1,10,0,8,1,16,451,43,5
"KLHL17",1,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,24,2,0
"PLEKHN1",8,12,1,0,0,1,0,1,0,0,5,0,1,0,1,0,0,0,0,0,0,10,123,2,0
"PERM1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,7,1,2
"HES4",5,80,0,0,0,14,0,1,2,1,0,0,1,0,0,0,0,50,0,3,1,2,143,23,25
"ISG15",950,1464,2,4,23,92,7,17,24,12,83,9,2,10,19,4,46,159,8,152,18,150,8510,349,51
"AGRN",36,133,0,0,1,9,0,1,7,0,1,0,0,0,0,0,1,34,0,6,1,2,192,80,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
"C1orf159",7,26,0,0,0,2,0,0,0,0,3,1,1,0,0,0,0,2,0,3,0,3,83,4,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-465B22.8",8,12,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3,156,3,1
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0
"TNFRSF18",50,54,0,1,3,3,0,12,1,6,64,1,0,6,13,2,0,5,1,13,30,771,16,3,0
"TNFRSF4",27,40,0,2,1,4,0,0,15,4,26,1,0,19,1,0,0,2,2,8,25,1004,26,376,1
"SDF4",205,1005,5,5,4,108,0,4,22,4,26,3,6,4,7,0,7,86,4,55,9,84,1709,190,38
"B3GALT6",16,38,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,5,0,3,0,3,64,21,0
"FAM132A",1,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,84,9,1
"UBE2J2",54,244,1,2,5,20,2,4,5,2,15,5,2,0,6,0,0,14,2,19,2,36,384,51,13
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SCNN1D",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"ACAP3",24,65,0,0,0,8,0,0,4,1,3,1,0,2,0,0,0,3,1,2,0,2,126,14,2
"PUSL1",12,66,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,5,218,15,2
"CPSF3L",48,205,0,6,0,20,1,3,5,2,22,6,2,3,5,1,1,31,0,11,8,17,562,53,9
"CPTP",18,61,0,0,0,10,0,1,2,0,1,0,0,2,1,0,1,4,0,0,0,7,168,30,6
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DVL1",16,48,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,3,0,7,0,1,338,13,2
"MXRA8",9,2056,0,0,8,209,0,0,3,1,0,1,8,1,1,0,0,74,0,0,1,5,39,10,27
"AURKAIP1",327,864,3,7,10,81,1,9,24,5,43,13,1,5,11,0,18,94,8,86,13,102,3083,197,38
"CCNL2",34,188,2,0,1,15,2,0,5,0,14,1,1,2,1,1,2,29,0,10,3,14,348,58,6
"MRPL20",267,819,2,9,7,81,2,10,16,14,49,6,10,5,13,1,7,113,4,53,8,109,2765,170,52
"RP4-758J18.13",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
"ANKRD65",0,69,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,16,0
"RP4-758J18.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"VWA1",4,29,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,252,366,0
"ATAD3C",1,6,0,1,0,2,0,0,1,0,3,0,0,0,0,0,1,1,0,0,2,0,44,10,0
"ATAD3B",15,26,0,0,0,2,0,0,0,0,3,1,0,3,1,0,0,3,0,2,0,5,189,11,3
"ATAD3A",22,97,1,0,0,7,0,1,2,0,4,0,0,0,1,0,1,14,2,1,4,11,297,9,4
"TMEM240",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SSU72",123,450,3,5,6,45,2,4,12,4,23,6,2,6,4,0,2,48,3,31,9,72,699,116,16
"RP5-832C2.5",2,2,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,2,0,2,0,5,12,0,0
"C1orf233",17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"RP11-345P4.9",2,23,0,0,0,4,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,2,30,4,1
"MIB2",32,112,1,0,1,6,1,1,3,1,13,2,2,5,2,1,4,11,0,8,4,12,1009,22,6
"MMP23B",4,561,0,1,0,134,1,0,0,0,0,0,4,0,2,0,0,3,1,0,0,2,23,3,0
"CDK11B",30,112,1,1,2,7,1,2,5,2,11,2,1,1,0,0,0,19,1,9,3,28,451,46,8
"RP11-345P4.10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1
"SLC35E2B",27,82,1,0,1,6,0,2,2,0,8,1,2,2,1,1,0,14,0,3,0,8,183,32,2
"CDK11A",24,59,0,4,0,8,0,0,3,1,5,0,0,0,5,0,1,10,1,5,3,16,308,33,4
"SLC35E2",2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,19,1,0
"NADK",75,76,0,0,1,12,0,0,2,1,5,0,1,1,0,1,1,5,1,18,0,3,269,25,7
"GNB1",239,391,3,3,0,23,1,3,23,4,19,4,4,3,7,1,0,49,1,53,4,38,891,153,15
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TMEM52",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"RP11-547D24.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"GABRD",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,30,3
"PRKCZ",3,60,0,1,1,3,0,1,5,0,1,0,0,0,0,0,1,1,1,0,1,12,261,7,0
"RP5-892K4.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
"RP11-181G12.2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",165,542,1,9,4,62,1,2,6,3,24,1,1,2,5,2,1,74,4,31,7,35,756,95,16
"SKI",59,128,0,0,1,23,2,1,3,2,10,0,1,0,0,0,1,17,1,14,2,6,106,50,16
"MORN1",0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,43,1,0
"RER1",234,785,3,11,2,81,0,4,18,4,56,10,7,5,8,1,12,72,10,56,8,69,2072,105,24
"PEX10",28,82,0,0,0,11,0,0,1,1,4,1,0,0,1,0,1,6,1,5,0,5,128,10,6
"PLCH2",1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,54,0,0
"PANK4",11,30,0,1,0,5,0,1,4,0,3,0,0,0,0,0,0,9,0,1,1,2,80,10,1
"RP3-395M20.12",11,9,0,0,0,0,1,0,3,1,2,0,0,1,4,0,0,8,0,4,0,8,56,5,0
"RP3-395M20.8",14,16,0,0,0,2,0,1,1,0,3,0,0,0,3,1,3,0,0,0,0,6,245,3,0
"TNFRSF14",162,159,1,2,3,21,3,5,11,8,33,3,1,12,2,1,0,19,4,27,7,59,511,64,6
"RP3-395M20.9",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,2,0
"FAM213B",21,32,0,0,0,8,0,0,4,1,2,0,0,0,1,0,3,6,0,1,0,10,446,34,3
"MMEL1",1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,115,0,0
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TTC34",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0
"LINC00982",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6
"PRDM16",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,24,3,8
"RP1-163G9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-22L13.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ARHGEF16",3,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,2,0,0,341,0,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"MEGF6",8,104,0,0,7,5,0,0,8,0,1,0,0,0,0,0,0,4,0,2,0,2,61,5,0
"RP11-46F15.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TPRG1L",29,77,0,1,1,12,1,0,5,0,3,1,0,0,1,0,0,8,0,5,1,9,178,23,6
"WRAP73",24,73,0,2,1,9,0,0,3,1,8,1,1,2,0,0,0,17,0,9,0,14,175,23,0
"TP73",1,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,5,17,0,0
"RP5-1092A11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TP73-AS1",10,41,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,2,3,7,1
"SMIM1",21,24,0,1,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,3,0,2,33,0,1
"LRRC47",27,96,0,1,0,9,1,1,3,0,4,0,1,0,0,0,2,8,0,6,0,11,199,20,8
"CEP104",16,55,1,1,0,5,0,1,1,0,4,1,1,0,0,0,0,9,0,1,0,10,137,24,2
"DFFB",4,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,36,5,0
"C1orf174",27,109,1,1,1,15,0,1,2,0,9,1,0,4,1,1,0,11,0,12,4,7,209,18,3
"LINC01134",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"AJAP1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"NPHP4",1,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,16,3,0
"KCNAB2",121,17,2,1,1,4,2,3,0,1,17,6,0,3,4,0,0,2,1,17,8,48,168,11,1
"CHD5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"RPL22",1760,6347,19,103,34,848,26,59,166,104,522,87,66,141,98,20,176,694,39,473,81,702,13139,1443,345
"RP1-120G22.11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"RNF207",5,66,0,0,0,8,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,11,64,4,0
"ICMT",31,175,0,0,3,18,1,2,4,0,9,1,0,1,2,0,0,22,0,3,2,9,250,54,9
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"GPR153",0,34,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0,119,0,0
"ACOT7",39,136,1,4,1,16,0,0,3,9,9,0,3,0,2,0,3,18,2,6,6,9,925,79,5
"RP1-202O8.3",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,0
"HES2",4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,61,10,0
"ESPN",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,110,1,0
"TNFRSF25",4,10,0,0,0,2,0,3,1,0,45,1,0,6,1,2,0,1,0,4,5,72,48,16,1
"PLEKHG5",3,5,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,58,35,0
"NOL9",9,39,1,0,4,3,0,0,2,1,4,0,0,0,0,1,0,2,0,2,1,5,82,13,3
"ZBTB48",21,27,0,1,0,7,0,0,0,2,8,3,0,0,1,0,0,5,0,6,0,5,112,7,3
"KLHL21",15,32,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,5,0,3,1,6,127,8,1
"PHF13",8,20,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,27,11,0
"THAP3",16,77,0,1,0,9,0,0,1,1,2,1,1,0,1,0,0,10,0,4,3,5,92,13,7
"DNAJC11",28,95,1,2,2,13,1,2,1,1,4,1,1,0,4,0,1,17,0,6,1,8,254,18,9
"RP11-242F24.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CAMTA1",202,523,3,4,7,39,1,1,7,6,23,6,4,5,5,1,7,87,6,50,6,26,1070,117,63
"VAMP3",179,237,0,1,1,41,1,2,13,2,8,0,4,0,1,0,1,42,1,35,2,21,572,87,23
"PER3",27,30,0,0,0,7,0,0,2,1,1,0,2,0,0,0,0,2,0,2,0,1,85,9,0
"RP3-467L1.4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UTS2",49,7,1,1,0,0,0,1,1,2,14,1,0,0,1,1,0,1,0,9,1,39,181,1,0
"TNFRSF9",12,8,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,69,6,3,0
"PARK7",472,2157,6,32,21,232,7,16,54,21,138,23,16,17,22,3,33,236,13,120,40,287,3811,404,114
"ERRFI1",119,340,0,1,0,20,0,0,3,0,1,0,0,0,0,0,1,51,1,24,0,5,243,15,9
"RP11-431K24.1",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,5,0,0
"RP11-431K24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-431K24.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"SLC45A1",0,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
"RERE",22,132,1,1,0,20,1,0,6,2,3,0,2,2,1,0,0,18,3,7,0,5,288,51,16
"RP5-1115A15.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENO1",1279,4367,3,47,19,161,10,26,56,14,298,28,16,18,20,4,39,268,8,414,93,676,8501,600,67
"ENO1-AS1",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,18,3,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLC2A5",73,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0
"GPR157",5,24,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,22,2,2
"MIR34AHG",9,21,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,3,1,0,0,1,6,2,0
"RP3-510D11.2",1,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,3,1
"H6PD",26,142,0,2,2,28,0,1,2,0,3,0,1,0,0,1,0,17,0,3,1,4,99,28,4
"SPSB1",4,286,0,0,0,14,0,2,2,0,3,0,3,0,0,0,0,12,0,1,0,8,60,50,6
"SLC25A33",11,42,0,0,1,4,0,0,0,1,4,1,0,1,1,0,0,10,0,7,0,7,133,14,1
"TMEM201",1,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,32,5,0
"PIK3CD",27,14,2,2,1,1,0,1,0,1,7,1,0,3,1,0,0,1,0,6,2,5,3,1,0
"PIK3CD-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",2,14,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,4,2,0,0,1,20,0,0
"CLSTN1",61,197,2,1,0,25,0,1,8,2,7,2,1,1,2,0,1,18,0,3,1,8,738,74,5
"CTNNBIP1",57,111,0,5,2,5,1,0,2,1,9,3,1,0,2,0,6,8,1,12,1,14,577,51,2
"LZIC",59,85,2,0,1,17,0,2,1,0,9,1,1,2,1,0,1,12,1,11,2,19,375,22,3
"NMNAT1",9,35,0,0,0,4,1,0,0,1,2,0,0,0,1,0,1,1,0,0,0,5,75,9,1
"RBP7",14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,37,0
"UBE4B",21,48,0,1,0,5,0,0,0,2,2,1,0,1,1,0,0,5,1,3,3,8,106,15,2
"KIF1B",38,82,0,0,1,7,0,0,3,1,1,0,1,0,0,0,0,11,0,4,0,5,185,44,6
"PGD",171,102,0,4,0,20,0,0,2,3,8,1,0,3,1,0,4,5,1,44,1,7,384,26,2
"APITD1-CORT",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"APITD1",5,58,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,0,0,2,3,140,7,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"DFFA",36,122,0,2,1,18,0,1,7,5,13,2,0,0,1,1,0,23,0,8,3,11,220,35,9
"RP5-1113E3.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEX14",18,63,3,0,0,10,0,1,3,0,5,1,0,0,1,0,1,7,0,2,0,7,107,13,4
"CASZ1",2,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,183,2,1
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C1orf127",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",80,176,1,5,2,19,2,3,6,1,13,2,2,5,5,0,0,21,0,16,2,20,436,56,18
"RP4-635E18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,0
"SRM",27,217,1,0,1,10,0,0,3,2,2,3,2,2,2,0,0,15,1,5,1,7,397,39,1
"EXOSC10",33,54,1,3,0,9,2,1,2,0,4,0,0,1,1,0,3,14,1,2,4,12,236,34,10
"RP4-635E18.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,1,0
"MTOR",11,38,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,6,0,1,2,3,97,19,3
"ANGPTL7",0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",17,58,1,1,2,2,0,0,1,0,1,2,0,0,0,0,0,9,1,1,1,5,77,15,7
"FBXO2",2,19,0,0,0,3,0,1,0,0,8,3,0,1,0,0,0,0,0,1,0,5,21,0,0
"FBXO44",15,52,1,0,0,11,0,4,3,0,6,1,2,0,1,0,0,3,0,0,1,16,61,2,2
"FBXO6",37,72,0,1,2,1,0,2,1,1,9,0,0,0,2,0,0,3,0,13,0,8,58,1,0
"MAD2L2",64,231,0,3,2,33,2,5,7,0,18,0,1,1,2,0,2,16,2,23,8,36,170,30,8
"DRAXIN",2,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,2,0,0
"AGTRAP",139,470,0,5,5,45,3,2,15,8,10,3,1,2,2,0,0,12,1,53,2,33,341,41,8
"C1orf167",1,19,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,16,0,4
"MTHFR",33,40,0,0,0,7,0,0,3,0,2,1,1,1,1,0,0,6,0,7,0,3,119,16,8
"CLCN6",16,18,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,0,70,12,0
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
"KIAA2013",67,97,1,3,0,9,0,1,2,2,2,3,0,0,0,1,2,14,0,9,4,7,386,43,2
"PLOD1",55,445,0,2,1,24,0,0,3,0,1,0,4,0,0,0,0,40,0,2,0,2,156,117,2
"MFN2",36,68,0,0,0,3,0,1,1,2,4,1,0,0,0,0,0,6,0,5,1,6,163,12,0
"MIIP",61,79,1,0,3,13,1,3,3,1,4,2,1,1,0,0,0,8,1,13,1,29,117,10,7
"TNFRSF8",11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,9,2,4,0
"TNFRSF1B",283,28,0,5,2,8,2,8,0,0,30,1,0,3,4,1,0,1,0,115,9,220,82,38,0
"VPS13D",21,55,0,2,0,6,0,1,3,1,4,0,0,1,1,1,0,28,0,4,0,4,197,23,16
"DHRS3",82,118,0,0,3,69,0,3,2,0,7,0,0,2,4,1,3,8,0,6,0,4,463,36,16
"RP11-474O21.5",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"LRRC38",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",119,2408,0,0,6,96,0,0,96,0,1,0,0,0,0,0,0,0,0,8,0,2,34,6,0
"PRDM2",66,122,0,3,1,18,1,1,5,1,17,3,0,2,7,1,0,18,0,9,0,23,166,18,6
"RP11-344F13.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",1,21,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,7,8,1
"TMEM51-AS1",4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"TMEM51",155,89,0,3,0,25,0,0,3,0,1,1,0,0,0,0,0,13,0,37,0,1,276,11,9
"FHAD1",16,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,16,1,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"EFHD2",251,140,1,7,0,15,3,1,0,1,18,4,1,1,8,0,5,10,2,63,10,77,1691,54,1
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"CASP9",9,25,0,2,0,3,0,0,0,0,1,0,0,0,2,0,0,4,0,2,0,3,52,21,2
"DNAJC16",19,37,0,1,1,4,0,0,2,0,3,0,0,0,1,0,0,6,0,3,0,3,89,12,1
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"AGMAT",2,9,0,1,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,1,1,2,90,1,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DDI2",31,51,1,0,0,2,0,0,1,0,5,0,1,0,0,0,0,11,0,5,0,4,140,31,3
"RP4-680D5.9",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHM2",72,84,0,1,0,6,0,1,1,0,2,0,0,0,2,0,0,8,0,15,0,2,77,21,2
"SLC25A34",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0
"RP11-169K16.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,10,2
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"FBLIM1",6,255,0,0,0,27,1,0,6,0,0,0,0,0,1,0,0,114,1,3,0,3,354,92,35
"UQCRHL",22,72,0,1,0,9,0,1,2,0,3,2,2,0,1,0,0,11,0,15,0,13,312,22,3
"FLJ37453",5,25,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,4,1,2,0,3,37,6,1
"SPEN",66,76,0,1,2,10,0,1,3,1,6,2,0,3,0,0,0,18,1,13,3,7,263,34,10
"ZBTB17",7,77,0,2,0,7,0,1,3,2,5,1,0,0,0,0,0,9,2,4,1,9,65,33,4
"HSPB7",0,36,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,8
