"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FO538757.2",61,40,11,10,11,1,8,1,22,2,1,0,1,2,26,22,13,1,6,27,0,0,1,1,3,0,2,1,41,90,47,4
"AP006222.2",64,27,6,4,3,2,3,0,21,1,2,0,2,0,15,2,12,3,2,3,0,0,0,0,21,1,1,2,7,43,37,16
"RP4-669L17.10",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"RP11-206L10.9",4,4,1,4,2,1,0,0,2,1,0,0,0,0,7,2,1,0,2,1,0,0,0,0,2,0,1,1,3,9,4,5
"FAM87B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LINC00115",3,4,2,2,0,0,0,0,2,0,0,0,2,1,3,0,1,0,3,2,0,0,0,1,1,0,0,1,1,8,2,2
"FAM41C",5,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,1,1,1,5,2,0
"RP11-54O7.3",0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SAMD11",0,66,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
"NOC2L",39,46,7,10,14,2,6,4,26,7,2,1,2,2,44,21,15,6,4,17,1,4,0,3,10,2,1,5,28,138,45,7
"KLHL17",4,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2,0
"PLEKHN1",2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,3,1,0,1,5,0,1,0,0,0,0,0,0,7,34,4,0
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-54O7.17",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1
"HES4",30,170,1,5,0,1,0,3,31,0,0,0,17,3,1,2,2,1,1,0,0,0,0,0,78,0,2,1,7,69,166,122
"ISG15",567,628,43,50,175,10,13,10,108,26,7,3,14,12,74,234,79,6,16,22,3,4,35,2,126,4,48,18,265,612,533,26
"AGRN",11,35,0,1,0,0,0,1,5,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,10,0,1,0,0,52,145,0
"RNF223",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0
"C1orf159",9,5,1,1,2,1,1,0,2,1,0,0,0,0,3,2,2,0,0,2,0,0,0,0,4,0,0,0,3,17,7,0
"RP11-465B22.8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0
"TNFRSF18",10,19,0,0,67,1,2,1,5,69,11,8,2,8,6,45,23,1,3,22,3,22,1,0,9,3,1,1,764,18,8,2
"TNFRSF4",17,31,2,2,7,0,5,0,13,96,0,8,8,7,2,73,7,0,1,53,3,6,4,1,11,4,4,1,1019,17,270,0
"SDF4",151,195,5,37,22,2,5,7,193,26,3,4,13,7,61,38,23,3,13,44,2,3,4,1,42,5,10,11,115,195,241,19
"B3GALT6",7,7,1,5,6,0,0,0,5,0,0,0,0,2,2,3,2,0,0,2,1,0,0,0,1,0,1,0,8,12,14,2
"FAM132A",0,0,1,0,1,0,0,0,4,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,88,48,0
"RP5-902P8.12",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"UBE2J2",51,65,5,11,11,0,4,0,39,9,1,0,5,2,32,21,18,2,8,20,1,3,2,2,15,1,5,12,52,83,65,3
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
"ACAP3",12,23,1,6,4,0,3,0,14,1,0,0,1,1,7,11,2,0,2,5,0,0,0,0,6,0,2,1,6,44,21,2
"PUSL1",15,19,3,2,4,0,1,0,16,3,0,0,1,0,9,3,2,0,1,3,0,0,0,0,2,0,0,1,9,27,16,2
"CPSF3L",54,57,7,8,4,3,2,1,37,13,1,0,5,0,25,28,18,2,0,26,3,1,1,3,12,0,4,15,40,121,57,2
"CPTP",12,16,2,5,5,0,3,0,8,4,1,0,1,2,10,11,5,1,0,12,0,1,1,0,5,1,4,3,14,45,38,3
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0
"DVL1",4,5,1,1,0,0,2,0,6,0,0,0,0,0,1,2,2,1,1,1,1,0,0,0,2,0,1,0,2,59,22,1
"MXRA8",1,495,1,1,0,0,0,10,413,0,1,0,0,0,1,0,2,8,0,0,0,0,0,0,43,0,0,0,0,2,2,3
"AURKAIP1",231,218,19,43,45,8,13,8,117,24,3,1,9,6,101,91,45,13,27,85,0,4,2,6,51,4,20,25,134,685,253,44
"CCNL2",45,45,6,12,10,2,2,0,33,6,2,0,3,0,28,20,13,0,8,28,2,2,0,1,16,1,4,10,40,90,72,15
"MRPL20",225,200,32,48,25,8,12,5,141,34,5,4,5,12,115,93,56,15,25,65,6,8,3,11,43,6,26,39,141,457,243,36
"RP4-758J18.13",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ANKRD65",2,21,0,1,0,0,0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0
"VWA1",4,9,0,1,0,0,0,7,9,0,0,0,3,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,50,610,2
"ATAD3C",4,0,0,1,0,0,0,0,3,1,0,0,1,1,6,5,0,0,0,1,1,0,0,0,1,0,0,0,4,27,19,0
"ATAD3B",11,7,5,2,1,1,1,0,8,3,0,0,0,1,9,8,6,0,2,6,0,0,0,1,3,1,2,4,9,42,20,2
"ATAD3A",16,19,2,2,4,1,3,0,11,2,1,0,1,0,10,5,3,1,2,8,0,0,1,0,5,2,1,2,13,94,27,2
"TMEM240",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SSU72",189,199,38,49,40,7,16,2,104,41,3,3,6,12,143,113,66,9,26,96,8,5,7,2,36,7,13,30,148,345,193,27
"RP5-832C2.5",2,1,1,2,0,1,1,0,0,3,1,0,0,0,3,6,3,0,3,8,0,1,1,0,2,1,0,2,8,3,4,0
"C1orf233",3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0
"RP11-345P4.9",3,5,2,0,0,1,0,0,5,0,1,0,1,0,1,0,2,0,1,5,0,0,0,0,0,0,0,2,3,9,4,1
"MIB2",11,28,14,4,13,2,6,0,18,10,0,0,2,0,15,18,29,0,6,21,2,5,0,0,7,1,0,3,32,186,19,4
"MMP23B",1,106,1,1,0,1,1,0,256,0,0,0,1,1,0,1,6,0,1,0,0,0,1,4,2,0,0,0,2,7,2,1
"CDK11B",33,35,10,10,10,5,3,0,15,5,4,0,2,2,33,22,31,2,10,40,3,3,4,0,11,1,0,9,45,146,73,11
"RP11-345P4.10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"SLC35E2B",26,29,6,3,5,0,2,0,30,7,1,1,1,1,16,14,11,0,2,18,1,1,1,4,6,0,1,4,18,63,30,7
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",30,24,12,5,15,3,1,1,11,8,0,0,5,3,37,25,23,2,10,24,0,3,2,1,10,0,3,7,42,90,37,4
"SLC35E2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,2,2,2,0
"NADK",112,28,2,11,2,1,2,1,19,2,0,0,1,0,25,4,7,0,6,4,0,0,0,9,8,0,7,7,8,110,42,0
"GNB1",140,81,8,24,9,1,6,3,54,16,0,0,11,3,37,36,21,0,9,29,2,1,2,6,29,2,15,7,47,172,211,12
"RP1-140A9.1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM52",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
"CFAP74",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3
"PRKCZ",4,9,6,3,2,0,1,0,3,3,0,0,5,2,7,3,8,0,3,2,0,0,0,0,0,0,0,1,13,58,20,2
"RP5-892K4.1",0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",127,171,22,37,22,0,11,6,82,36,2,2,8,8,104,54,49,8,15,61,2,2,1,5,34,0,14,14,65,179,126,15
"RP11-181G12.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SKI",21,60,6,2,4,1,4,2,46,4,0,0,2,0,10,8,4,1,3,13,0,0,1,0,6,0,4,0,17,28,79,13
"MORN1",1,3,0,2,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0
"RER1",223,180,24,37,35,8,5,6,111,23,3,2,7,8,83,55,52,5,17,48,1,2,1,5,43,5,14,18,134,275,143,17
"PEX10",20,24,1,9,2,1,1,0,17,3,0,0,2,0,15,6,2,1,3,3,0,0,0,1,4,0,0,2,10,53,26,2
"PLCH2",0,0,3,0,1,0,0,0,0,1,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"PANK4",8,15,5,1,3,1,1,0,7,3,1,0,1,0,11,3,4,0,2,4,0,0,0,2,7,0,0,2,13,14,9,2
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP3-395M20.12",24,0,4,2,1,0,3,0,1,2,1,0,2,0,24,11,11,0,3,10,0,0,1,0,5,0,3,2,11,16,6,3
"RP3-395M20.8",7,1,2,3,3,1,0,0,1,3,0,1,1,4,10,3,6,0,2,5,0,0,0,0,0,0,0,1,6,46,5,0
"TNFRSF14",148,72,18,21,24,7,12,3,61,25,4,0,7,5,136,92,52,0,35,102,7,1,5,3,14,3,11,17,141,121,94,9
"RP3-395M20.9",0,2,0,1,0,1,0,0,0,1,0,0,0,0,11,3,3,0,0,2,0,0,0,0,0,0,0,2,3,16,0,0
"FAM213B",18,8,1,0,0,1,0,2,9,3,0,0,4,0,3,6,7,0,1,6,0,0,0,0,5,0,0,0,14,114,37,1
"MMEL1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,39,4,1
"RP13-436F16.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTC34",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"LINC00982",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
"PRDM16",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,8
"RP11-22L13.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ARHGEF16",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,58,0,0
"MEGF6",0,22,0,1,0,0,1,1,16,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,7,2,0
"RP11-46F15.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"TPRG1L",23,15,3,2,2,0,3,2,21,0,0,1,2,2,11,9,4,1,2,3,1,1,0,1,4,0,0,3,10,68,46,9
"WRAP73",31,26,6,6,10,2,3,0,14,5,1,0,0,3,22,15,12,1,4,15,1,1,0,1,8,1,2,9,28,36,26,5
"TP73",1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
"RP5-1092A11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TP73-AS1",3,8,2,2,0,0,0,1,10,0,0,0,0,0,3,3,0,1,2,3,0,0,0,2,4,0,1,1,7,0,7,1
"SMIM1",2,1,1,0,1,0,0,2,2,1,1,0,0,14,2,1,0,0,2,2,0,0,0,0,0,0,0,0,3,14,2,1
"LRRC47",23,23,7,9,10,2,7,1,30,6,0,1,2,3,15,15,11,2,9,16,0,4,2,1,7,1,1,4,31,80,47,6
"CEP104",19,20,3,3,4,1,3,1,9,4,1,0,1,1,15,17,9,0,4,8,1,0,1,1,4,0,2,6,16,36,29,5
"DFFB",2,4,2,0,0,1,2,1,2,1,0,0,0,0,1,6,3,0,0,5,0,0,0,0,1,0,0,0,3,12,3,0
"C1orf174",30,39,4,7,2,3,4,2,22,9,0,2,0,4,13,11,10,3,5,10,0,0,0,2,7,0,1,7,16,54,30,8
"LINC01134",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0
"RP13-614K11.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"NPHP4",2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,10,4,0
"KCNAB2",65,3,10,12,13,2,8,0,4,12,4,1,0,1,18,27,20,0,5,19,1,5,3,2,0,1,6,8,52,28,6,0
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RPL22",1964,1743,341,607,190,47,186,72,1324,463,51,53,107,166,3034,2054,693,96,634,2356,143,84,71,126,400,61,228,460,1501,6659,2143,398
"RP1-120G22.11",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RNF207",8,33,0,2,0,1,0,0,14,7,0,0,2,0,1,14,0,1,0,5,1,0,2,0,6,2,0,1,19,16,7,1
"ICMT",25,51,1,2,3,0,1,1,36,3,1,0,2,0,6,9,2,3,0,4,0,1,0,1,14,1,2,2,16,53,75,7
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"GPR153",1,17,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0
"ACOT7",48,23,2,13,8,0,2,3,13,4,2,2,4,20,5,5,11,4,0,4,0,0,0,17,7,0,1,1,13,221,94,4
"RP1-202O8.3",1,1,1,1,0,0,0,0,2,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"HES2",2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,62,6,0
"ESPN",1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,5,0,1,2,6,0,0,0,0,0,0,0,1,2,158,3,0
"TNFRSF25",2,3,5,2,10,1,8,0,3,33,6,2,0,0,1,101,12,1,0,74,5,1,4,0,2,1,2,0,131,39,24,1
"PLEKHG5",5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,1,15,39,0
"NOL9",16,17,3,1,4,0,0,1,7,1,0,0,0,0,10,7,5,0,3,11,1,2,0,1,4,1,0,6,13,24,25,4
"ZBTB48",19,8,2,6,4,0,3,1,6,2,0,0,0,1,11,7,8,0,2,7,0,0,0,0,4,0,1,6,12,9,14,2
"KLHL21",7,17,3,1,2,1,1,1,6,1,0,0,0,0,0,10,2,1,0,5,1,0,0,0,3,0,0,0,10,11,2,3
"PHF13",4,13,1,0,1,0,0,0,5,0,0,0,0,0,3,3,2,2,3,1,0,0,0,0,1,0,2,0,3,3,9,1
"THAP3",18,34,4,2,5,0,2,4,28,4,0,0,1,3,11,5,8,2,3,9,0,0,1,1,13,1,1,4,10,26,30,3
"DNAJC11",7,4,0,1,4,1,1,1,6,0,0,1,0,0,5,2,4,1,4,3,1,1,0,0,1,1,2,3,2,57,14,2
"RP11-312B8.1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CAMTA1",143,117,15,44,12,5,7,3,55,11,3,7,11,10,56,41,21,12,12,28,2,1,2,6,32,1,6,11,59,270,236,69
"RP4-549F15.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"VAMP3",119,71,5,17,1,0,2,3,50,6,1,1,11,2,24,11,8,6,2,12,0,0,0,3,30,0,6,5,19,166,181,20
"PER3",21,31,0,1,0,0,0,1,32,0,0,0,1,2,0,2,2,0,0,2,0,0,0,0,5,0,0,0,0,5,36,6
"UTS2",1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,6,1,0,0
"TNFRSF9",32,2,6,2,26,4,0,0,0,0,0,0,0,6,0,1,9,0,1,1,0,0,1,0,1,0,1,0,94,1,1,0
"PARK7",493,540,67,106,140,20,28,12,356,99,9,10,57,39,203,204,150,25,64,158,11,11,9,53,130,5,39,59,428,694,506,105
"ERRFI1",8,55,0,0,0,0,0,0,39,0,1,0,3,0,2,0,1,1,0,2,0,0,0,0,16,0,0,0,2,17,12,5
"RP11-431K24.1",0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,1
"RP11-431K24.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC45A1",0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,2
"RERE",29,47,8,7,1,4,3,1,30,5,3,1,6,2,42,22,13,8,11,16,0,0,2,1,8,1,5,7,30,84,76,7
"RP5-1115A15.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENO1",1355,568,91,307,146,23,34,13,274,83,15,13,25,26,285,249,183,15,56,211,20,20,14,26,129,9,83,98,594,1956,683,63
"ENO1-AS1",0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,4,0,0
"SLC2A5",56,4,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,1,0
"GPR157",6,4,3,1,1,0,1,0,2,0,1,0,0,1,9,4,1,0,0,5,1,0,0,0,1,0,0,1,2,35,2,0
"MIR34AHG",3,5,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
"RP3-510D11.2",1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
"H6PD",16,41,0,1,1,2,0,0,51,2,0,0,3,2,13,12,7,0,3,6,0,1,0,0,5,0,0,0,10,20,49,5
"SPSB1",3,124,2,1,4,0,1,1,55,3,1,0,15,1,6,8,11,7,3,4,0,2,0,0,8,2,0,1,23,30,52,16
"SLC25A33",28,11,4,4,4,0,0,0,8,0,0,0,0,0,6,1,6,0,3,7,0,0,0,4,2,0,1,0,5,42,17,5
"TMEM201",4,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10,7,0
"PIK3CD",19,0,13,1,7,2,5,0,0,5,2,1,0,0,12,17,10,0,2,16,1,2,0,1,2,0,1,5,13,1,1,0
"PIK3CD-AS1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"PIK3CD-AS2",1,8,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,4,2,0,0,1,0,2,0,0,6,2,4,0,0
"CLSTN1",31,40,3,7,3,3,2,2,35,6,2,1,0,1,19,14,13,3,4,17,2,0,0,4,9,1,2,3,28,123,92,3
"CTNNBIP1",60,32,3,17,9,1,2,0,12,4,0,2,0,0,8,1,8,0,2,5,0,2,1,2,7,1,3,4,12,73,70,4
"LZIC",35,31,2,11,4,3,5,0,22,10,0,0,1,1,11,13,8,2,2,20,0,0,0,0,3,1,1,4,20,67,40,8
"NMNAT1",18,17,0,2,0,0,0,1,7,1,0,0,0,0,7,9,4,1,1,1,0,2,0,0,2,0,3,1,4,27,21,1
"RBP7",11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,1,4,337,0
"UBE4B",19,11,3,1,1,0,1,0,6,4,0,0,0,1,15,10,6,1,5,13,0,0,0,3,3,1,0,0,22,33,12,2
"KIF1B",38,19,9,2,0,1,0,0,12,2,0,0,1,0,5,4,2,1,0,6,0,0,0,0,3,0,1,0,7,30,47,6
"PGD",119,39,2,25,6,0,3,1,25,4,1,1,0,4,15,4,10,0,3,8,2,0,2,7,3,0,8,4,13,183,35,1
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"APITD1",9,15,2,3,1,0,0,1,2,0,1,1,0,0,4,0,0,1,0,2,0,0,0,0,6,0,0,1,4,32,10,1
"DFFA",26,34,4,3,7,0,2,1,29,4,0,1,2,1,24,11,9,0,4,17,1,0,1,2,11,0,6,7,16,78,69,15
"RP5-1113E3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PEX14",17,15,4,2,5,0,0,0,12,1,0,0,0,2,6,10,7,1,0,7,0,0,0,1,6,0,0,1,13,37,19,3
"CASZ1",2,0,4,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,2,2,28,6,1
"C1orf127",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",63,54,10,8,11,2,5,1,28,15,1,1,3,3,44,25,21,0,11,24,2,6,1,3,20,0,6,14,53,139,82,14
"RP4-635E18.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SRM",51,56,5,9,4,0,3,0,50,2,2,0,1,1,27,8,9,2,1,9,1,3,1,2,12,5,2,4,21,146,55,3
"EXOSC10",18,23,4,6,6,0,2,0,14,4,2,2,2,2,14,9,8,1,5,11,0,1,1,0,2,0,2,3,16,46,27,2
"RP4-635E18.7",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP4-635E18.6",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,0
"MTOR",15,10,3,3,6,0,2,0,4,3,0,0,1,0,5,8,3,1,1,5,0,0,2,0,2,1,0,1,6,18,15,2
"ANGPTL7",0,1,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",13,16,4,0,5,0,2,1,5,3,0,0,1,0,14,11,5,2,5,11,2,0,0,1,7,0,1,3,13,18,18,1
"FBXO2",1,3,1,0,3,0,0,0,1,1,0,0,0,0,6,4,1,0,0,4,0,1,1,0,0,0,0,0,6,44,0,0
"FBXO44",6,10,1,1,11,2,1,0,15,3,5,0,2,3,23,14,8,4,3,15,0,1,1,1,3,0,1,2,12,13,4,1
"FBXO6",69,24,6,15,16,4,0,1,10,2,0,0,0,0,8,4,12,1,2,7,0,1,1,4,1,1,6,5,14,23,14,1
"MAD2L2",53,63,9,16,27,1,2,0,14,8,0,1,2,1,19,19,22,1,5,17,0,3,1,7,16,1,3,9,31,29,45,12
"DRAXIN",1,1,0,0,18,0,0,0,2,0,0,0,0,0,0,1,7,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
"AGTRAP",96,84,6,14,8,2,1,0,72,5,0,0,3,7,12,21,25,2,3,17,1,6,2,2,8,0,10,0,40,61,79,6
"C1orf167",0,23,0,1,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5
