"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"FO538757.2",14,10,2,1,0,3,1,3,1,0,1,1,5,13,2,0,6,1,0,1,2,2,4,0,1,1,0,0,7,116,11
"AP006222.2",26,11,1,2,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,1,0,0,14,2,1,0,0,0,0,83,14
"RP4-669L17.10",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
"RP11-206L10.9",5,0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,2,0,0,1,0,1,1,1,0,1,0,0,2,9,0
"FAM87B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC00115",3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,16,0
"FAM41C",3,2,1,0,0,0,0,1,0,1,0,0,1,5,1,3,1,0,1,1,0,0,0,0,0,0,0,0,1,17,1
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"NOC2L",39,16,22,11,6,6,6,5,9,15,1,1,29,88,25,9,41,3,7,8,4,6,15,27,3,4,2,2,37,515,28
"KLHL17",2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0
"PLEKHN1",0,1,0,1,2,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,2,0,1,4,1,0,0,0,2,31,0
"RP11-54O7.17",6,3,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,13,5
"HES4",277,62,2,63,4,0,1,6,12,52,0,1,12,101,10,7,77,3,10,9,3,72,113,1,50,0,4,0,69,365,111
"ISG15",1194,514,174,228,153,104,48,73,83,307,32,15,107,1140,208,36,515,20,67,57,31,86,565,516,331,12,39,48,982,2225,807
"AGRN",15,12,0,4,0,0,0,2,0,1,0,0,1,2,1,1,1,0,0,0,1,0,34,0,1,0,0,0,2,122,69
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
"C1orf159",3,2,1,0,1,0,0,1,0,0,0,0,1,3,0,0,3,0,0,1,2,0,0,1,0,0,0,0,5,42,3
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TNFRSF18",8,6,3,10,49,1,2,0,44,69,4,33,1,187,11,4,78,2,6,14,0,3,0,5,6,1,16,6,443,15,1
"TNFRSF4",21,2,1,7,6,2,7,1,48,7,6,5,2,241,3,1,215,0,1,5,1,10,2,10,10,1,35,0,855,33,115
"SDF4",141,65,12,25,6,6,7,14,7,15,4,4,20,100,20,6,43,3,3,8,6,10,39,57,24,1,6,5,74,672,128
"B3GALT6",8,3,1,2,1,1,1,2,0,0,2,0,2,13,5,2,9,0,0,0,1,2,5,2,3,0,1,0,12,100,24
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,10
"RP5-902P8.12",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",50,22,7,7,4,3,4,3,3,6,1,1,14,39,12,6,32,0,4,5,2,4,16,17,9,1,1,3,30,317,40
"SCNN1D",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP3",15,9,1,3,1,1,3,0,2,2,0,0,1,10,5,0,5,0,2,2,2,1,11,6,1,0,0,2,5,72,13
"PUSL1",23,1,2,6,1,0,0,0,3,4,0,1,5,13,2,3,16,1,1,1,1,1,7,4,3,0,0,1,9,119,7
"CPSF3L",31,10,6,3,4,5,3,1,2,9,4,0,8,36,12,3,18,1,1,5,4,3,19,8,6,5,0,5,26,263,30
"CPTP",5,6,3,3,0,0,1,2,1,2,0,0,3,10,6,1,5,2,1,2,0,2,2,9,0,3,0,0,7,46,15
"TAS1R3",0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0
"DVL1",3,3,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,1,2,2,0,1,0,0,0,0,83,8
"MXRA8",0,106,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,12
"AURKAIP1",314,105,36,59,21,18,11,12,19,44,4,4,50,161,47,14,101,5,21,12,20,22,99,144,41,12,18,18,108,2619,213
"CCNL2",28,14,12,9,4,4,5,3,5,14,0,1,25,51,15,3,28,2,0,7,1,5,14,11,1,0,2,5,22,226,43
"MRPL20",294,65,30,47,13,13,8,14,10,43,2,4,51,168,60,11,91,3,9,18,8,30,73,68,30,11,6,14,118,2156,172
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2
"ANKRD65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
"VWA1",2,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,229,443
"ATAD3C",3,2,0,0,0,0,0,0,0,1,0,0,1,2,3,0,1,0,0,0,0,0,0,6,0,0,0,0,3,57,9
"ATAD3B",13,9,4,5,1,1,0,0,2,1,0,2,5,11,4,1,6,1,0,0,2,2,7,10,1,1,1,3,6,234,6
"ATAD3A",20,7,3,8,0,0,1,1,1,3,1,1,2,8,2,1,6,1,1,1,2,1,8,8,1,1,1,2,6,208,16
"TMEM240",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"SSU72",198,43,50,40,13,20,13,6,15,45,4,3,39,174,49,27,115,7,23,13,9,19,60,47,37,9,11,12,112,1477,120
"RP5-832C2.5",7,0,1,1,0,1,1,0,0,3,0,0,3,6,1,3,7,1,0,0,1,0,1,3,1,0,0,0,1,22,2
"C1orf233",12,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"RP11-345P4.9",2,1,1,0,0,0,0,0,0,0,0,0,2,6,3,1,0,1,0,2,0,0,2,0,0,0,1,0,3,17,6
"MIB2",14,5,6,5,3,10,4,1,3,12,0,1,4,21,9,1,7,1,6,2,6,5,9,4,0,2,2,2,13,109,15
"MMP23B",1,55,0,0,0,3,0,6,0,3,0,0,0,1,2,0,0,0,1,0,0,3,4,0,0,0,0,0,2,7,0
"CDK11B",26,6,8,9,7,4,3,2,1,5,0,0,14,33,11,6,23,1,3,5,3,4,15,11,5,1,1,5,18,186,22
"RP11-345P4.10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
"SLC35E2B",9,10,2,0,2,2,2,4,0,4,0,0,10,18,6,0,8,0,2,0,1,2,8,4,2,1,2,0,8,77,19
"RP11-345P4.7",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"CDK11A",16,5,10,3,2,1,8,2,4,11,1,2,11,35,9,5,22,3,4,6,2,6,2,4,4,0,0,2,21,90,14
"SLC35E2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2
"NADK",69,3,2,5,1,1,3,0,2,3,0,0,4,12,0,1,2,1,0,1,1,13,11,8,9,3,0,0,9,148,15
"GNB1",167,48,11,39,7,7,10,5,6,19,2,4,22,64,19,8,40,1,15,2,1,23,41,20,22,13,7,16,45,595,159
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM52",2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,58,1
"CFAP74",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,4
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,26
"PRKCZ",0,1,0,1,0,0,0,1,0,2,0,0,0,7,0,1,2,1,1,0,0,0,1,2,1,0,0,0,5,125,4
"RP5-892K4.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"FAAP20",109,66,25,33,12,11,7,15,9,14,1,0,29,91,18,13,49,6,8,2,5,18,62,18,10,5,5,4,61,692,93
"SKI",26,10,2,8,5,4,0,1,5,12,1,0,14,28,9,0,21,3,1,5,0,4,9,2,5,0,0,2,5,69,37
"MORN1",2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,24,2
"RER1",249,73,21,51,4,8,8,5,12,18,2,3,18,91,24,5,51,3,8,9,5,26,53,66,24,3,7,10,75,973,96
"PEX10",15,8,1,0,1,1,0,1,0,2,0,0,2,3,1,0,1,0,1,0,0,0,8,3,2,1,1,1,4,153,9
"PLCH2",0,0,2,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0
"PANK4",4,1,0,3,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,2,2,2,0,1,1,4,16,4
"RP3-395M20.12",24,0,6,6,0,4,1,0,2,6,0,0,10,24,12,1,18,2,2,4,0,1,10,0,7,2,0,1,22,25,9
"RP3-395M20.8",5,2,1,2,0,0,1,1,1,0,0,0,6,5,4,1,2,0,2,0,1,0,1,2,2,0,0,0,6,37,0
"TNFRSF14",141,17,19,27,8,10,8,4,6,10,3,0,35,84,28,18,65,1,4,5,2,5,13,24,14,3,4,7,84,208,28
"RP3-395M20.9",1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,4,7,1
"FAM213B",15,4,0,1,0,0,0,0,1,0,1,0,0,5,2,1,3,0,0,1,2,0,5,1,4,0,0,0,10,145,11
"MMEL1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,21,2
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTC34",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,112,1
"MEGF6",3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,1
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"TPRG1L",6,2,1,0,1,1,0,1,1,3,0,0,3,12,2,0,3,0,1,0,1,0,2,1,1,0,0,0,6,80,13
"WRAP73",10,4,3,1,1,3,2,1,4,2,0,1,5,11,5,0,3,2,1,2,1,1,5,7,0,1,1,0,8,119,19
"TP73",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"TP73-AS1",1,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,5
"SMIM1",3,1,0,1,0,0,0,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,18,2
"LRRC47",21,8,10,5,0,7,4,3,1,7,0,1,5,24,3,2,9,0,3,0,0,4,5,4,2,1,0,2,11,202,15
"CEP104",4,6,7,1,0,2,1,3,0,4,2,0,7,13,5,3,5,0,2,3,0,1,8,8,3,1,1,0,10,116,19
"DFFB",1,1,0,2,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,24,1
"C1orf174",28,13,5,2,2,1,3,2,1,4,0,0,7,21,13,2,10,0,4,1,1,3,13,3,1,4,2,1,15,168,13
"LINC01134",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AJAP1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5
"NPHP4",1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,5
"KCNAB2",50,2,5,10,1,4,4,0,6,4,1,0,3,17,4,0,15,1,3,5,1,4,3,2,3,3,4,5,32,57,8
"RPL22",1162,371,275,457,89,135,121,83,151,369,26,31,815,1970,459,271,1705,72,115,129,84,198,370,396,271,109,60,61,847,12807,975
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RNF207",3,5,0,0,0,0,0,1,2,1,0,0,1,3,0,0,4,0,1,0,0,0,0,0,0,0,1,0,13,11,0
"ICMT",26,18,3,5,0,2,0,5,0,4,1,0,3,16,4,1,7,0,1,2,0,0,17,11,0,1,2,3,7,165,30
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,4,0
"GPR153",1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,51,1
"ACOT7",48,17,2,5,3,4,2,2,2,8,0,2,1,19,10,3,3,0,2,2,3,3,10,2,1,3,3,5,7,637,60
"RP1-202O8.3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,12,0
"HES2",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18,0
"ESPN",1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,4,0,0,1,2,1,1,1,0,0,0,0,1,414,2
"TNFRSF25",6,1,3,0,1,0,0,0,18,0,3,7,2,180,6,0,54,0,1,0,0,0,1,3,0,0,5,1,108,31,10
"PLEKHG5",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,8
"NOL9",8,5,3,1,0,3,0,0,0,6,0,3,6,16,7,0,6,0,3,0,1,1,3,1,2,2,1,2,11,75,13
"ZBTB48",5,3,3,1,0,0,3,0,0,3,0,0,1,9,1,1,4,0,0,1,1,0,3,1,3,1,0,0,2,29,4
"KLHL21",19,5,2,3,0,4,0,0,1,1,0,0,4,9,1,0,6,0,1,1,0,2,5,6,2,0,1,2,5,86,8
"PHF13",3,1,2,1,0,1,1,1,0,1,0,0,2,6,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,33,2
"THAP3",5,8,1,0,0,0,0,1,0,6,0,1,1,5,3,1,1,0,0,1,0,0,4,4,0,1,0,0,2,53,10
"DNAJC11",7,1,1,0,0,1,1,1,1,1,0,0,0,5,0,0,3,0,1,1,0,1,1,0,0,1,0,1,8,56,9
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"CAMTA1",111,37,12,33,10,7,1,7,6,14,3,2,14,58,21,8,32,2,1,4,6,12,56,26,17,12,4,6,29,968,131
"RP11-338N10.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VAMP3",95,21,5,12,5,2,4,3,0,5,1,0,6,18,5,4,7,0,2,2,3,3,27,9,16,0,1,0,16,380,74
"PER3",6,0,0,1,0,0,0,1,0,2,0,0,1,3,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,4,6
"RP3-467L1.4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTS2",11,0,8,4,3,4,4,0,0,3,1,1,0,24,6,1,7,2,4,1,0,1,0,0,2,0,2,1,27,11,1
"TNFRSF9",18,0,15,1,17,2,6,0,2,31,1,7,0,16,25,0,9,1,9,5,0,0,0,0,3,0,3,4,98,14,1
"PARK7",551,239,77,114,56,43,26,45,46,91,5,8,75,340,113,32,158,13,17,19,12,128,199,180,76,20,26,48,282,3477,358
"ERRFI1",66,31,1,0,2,2,1,1,2,2,0,0,5,12,4,2,9,0,0,1,19,0,29,4,2,0,0,1,10,1178,13
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14,0
"RP11-431K24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"SLC45A1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"RERE",18,9,3,2,0,0,2,3,3,3,0,1,7,12,2,7,6,0,4,1,4,5,10,8,6,2,1,2,8,166,39
"RP5-1115A15.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"ENO1",1264,209,99,313,55,54,43,16,58,98,18,15,104,500,131,40,277,12,33,31,12,38,203,158,224,29,59,74,462,6166,421
"ENO1-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A5",14,3,0,2,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,1,0,0,0,39,0,4,0,0,0,13,2
"GPR157",5,3,0,6,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,6,1,5,5,1,0,0,0,65,1
"MIR34AHG",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0
"RP3-510D11.2",0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2
"H6PD",7,8,3,3,1,1,0,1,0,1,0,0,1,4,3,0,5,0,1,0,1,1,2,0,1,0,0,0,3,60,19
"SPSB1",2,21,1,1,1,0,0,1,1,1,0,1,2,5,1,2,6,0,0,0,0,1,3,3,2,1,0,0,3,82,21
"SLC25A33",68,18,7,22,5,2,3,2,3,19,1,0,16,35,16,8,21,2,5,4,6,8,18,17,19,11,3,1,19,395,25
"TMEM201",4,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,32,4
"PIK3CD",7,0,9,0,2,2,1,0,0,5,1,0,4,14,6,1,8,2,1,2,0,3,1,1,0,2,0,3,9,1,0
"PIK3CD-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",0,3,0,0,0,0,1,2,0,1,0,0,2,1,0,1,1,0,1,0,1,0,4,4,0,0,0,0,0,5,0
"CLSTN1",11,15,8,5,0,3,3,5,2,3,0,1,5,22,9,0,13,0,2,0,1,0,11,8,3,3,1,4,17,201,35
"CTNNBIP1",56,14,2,14,3,0,1,1,1,4,0,0,3,23,2,0,8,1,1,0,1,4,6,8,5,2,1,4,15,337,55
"LZIC",29,12,3,7,3,0,4,1,4,1,0,0,2,21,4,0,12,0,1,0,0,3,8,3,7,4,2,5,15,217,16
"NMNAT1",3,1,0,0,0,0,0,0,3,0,1,0,0,1,1,2,2,0,0,0,1,2,3,0,3,0,0,0,3,36,2
"RBP7",11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6,0,0,0,0,4,64
"UBE4B",11,6,1,2,3,3,1,1,0,6,0,0,12,13,2,0,12,0,3,0,1,1,3,1,3,3,0,1,10,89,7
"KIF1B",73,7,4,18,1,1,2,0,0,4,0,0,3,5,3,0,4,1,0,1,3,5,9,3,11,0,0,1,10,107,33
"PGD",121,14,4,18,1,0,2,1,1,2,0,1,2,15,7,0,4,0,1,1,2,2,10,10,17,1,0,3,16,368,21
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"APITD1",14,9,0,0,1,0,0,0,0,0,0,0,0,9,0,0,4,0,1,0,0,0,4,5,1,1,3,4,5,128,9
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"DFFA",27,17,4,10,0,2,2,0,0,8,1,0,12,14,4,4,9,0,4,2,1,8,20,9,3,1,0,1,12,291,40
"PEX14",6,4,1,0,2,0,0,3,3,2,0,0,1,5,3,0,2,0,0,0,0,1,3,5,1,0,2,0,5,75,4
"CASZ1",4,0,3,0,0,2,2,0,0,0,0,0,2,3,4,2,2,1,1,0,1,1,0,0,0,0,1,0,7,63,4
"C1orf127",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TARDBP",56,14,6,5,2,3,9,4,3,11,0,2,7,32,8,7,13,0,3,1,0,7,17,8,7,2,3,3,20,377,40
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SRM",110,55,7,27,6,6,2,6,6,10,0,0,17,44,22,5,28,3,2,4,2,6,46,144,11,1,5,7,42,1148,90
"EXOSC10",17,7,2,2,1,1,2,0,0,2,0,0,8,12,7,0,8,1,3,1,0,1,11,3,2,0,2,2,11,89,12
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"RP4-635E18.6",0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,2
"MTOR",15,4,3,3,1,1,0,0,1,1,0,0,0,7,2,0,6,0,0,0,1,0,8,7,2,0,0,0,4,49,10
"UBIAD1",6,0,5,1,1,3,2,1,1,3,0,2,2,13,7,4,7,0,0,3,2,1,1,6,0,1,1,2,3,106,19
"PTCHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO2",0,0,0,0,0,1,0,1,0,3,0,0,2,3,3,1,1,0,1,0,1,0,0,1,0,0,0,0,3,220,1
"FBXO44",2,4,1,1,1,0,1,2,3,0,1,0,3,18,2,1,6,0,0,2,0,0,1,4,1,0,0,0,4,53,2
"FBXO6",43,8,1,12,2,1,0,2,0,4,0,0,5,5,4,2,1,0,1,0,0,7,1,7,3,0,1,1,5,100,5
"MAD2L2",55,28,6,18,12,2,0,3,2,14,0,0,3,24,8,4,16,4,8,3,2,5,7,19,7,1,3,8,17,191,26
"DRAXIN",0,0,0,3,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0
"AGTRAP",121,28,9,11,2,2,0,11,1,4,1,0,5,21,8,3,9,0,3,3,0,2,13,3,17,0,3,2,21,256,46
"C1orf167",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1
"MTHFR",31,2,4,9,0,1,0,2,0,0,0,0,9,6,2,3,2,0,0,1,3,2,6,8,1,5,0,0,3,51,14
"CLCN6",8,2,3,1,0,0,0,1,0,0,0,0,4,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,14,4
"NPPA-AS1",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1
"KIAA2013",46,16,7,5,2,1,2,3,1,1,0,0,5,11,1,1,6,1,1,1,1,3,11,8,4,3,0,1,6,258,28
"PLOD1",42,47,0,4,1,0,0,7,0,0,0,0,0,1,1,0,1,0,0,0,1,0,32,7,3,0,2,0,3,171,75
"MFN2",20,6,3,5,1,2,1,0,0,2,0,0,2,4,4,1,2,0,0,0,0,1,8,2,0,1,0,2,6,95,11
"MIIP",36,5,4,6,1,2,0,1,2,6,0,0,6,9,6,4,5,0,1,2,4,2,4,4,3,1,1,1,22,117,14
"TNFRSF8",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"TNFRSF1B",157,2,41,52,22,27,22,0,13,48,5,3,25,130,62,5,71,2,17,18,0,24,0,9,52,0,25,8,235,65,23
