"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"FO538757.2",1,2,1,1,9,37,0,4,12,12,2,3,3,5,2,0,0,15,0,0,0,2,26,3
"AP006222.2",1,0,0,0,10,50,3,4,4,2,5,2,1,3,0,0,1,8,2,0,0,0,43,5
"RP4-669L17.10",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"RP11-206L10.9",0,0,0,0,0,6,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,4,3
"FAM87B",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC00115",0,0,0,0,0,3,0,0,0,3,0,1,2,0,0,0,0,1,0,1,0,0,2,0
"FAM41C",0,0,0,0,1,5,4,0,3,4,2,0,0,0,0,0,0,2,0,0,0,0,1,0
"RP11-54O7.3",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,3,99,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0
"NOC2L",1,7,1,2,6,54,19,5,26,45,26,1,20,28,5,4,6,67,1,0,3,7,43,11
"KLHL17",0,0,0,0,0,6,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,5,2,0,0,3,1,0,0,0,0,0,0,2,1,1,0,0,1,0
"PERM1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,1
"HES4",9,1,15,0,12,51,119,8,25,74,17,13,15,37,1,18,19,97,11,0,0,8,230,78
"ISG15",18,45,39,20,57,383,441,42,64,551,245,13,69,173,23,61,53,115,6,9,7,54,759,15
"AGRN",0,0,0,0,3,21,3,2,1,1,0,4,0,0,0,1,1,11,2,0,0,0,52,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0
"C1orf159",0,0,0,0,0,7,0,4,0,3,0,0,1,1,0,0,0,4,0,0,0,0,4,0
"RP11-465B22.8",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"TNFRSF18",1,1,0,1,0,7,65,0,9,98,4,1,4,7,0,4,17,2,0,9,1,25,8,0
"TNFRSF4",0,0,0,0,2,12,0,9,4,179,2,0,2,36,0,0,5,4,0,4,1,44,147,2
"SDF4",4,14,4,6,28,413,45,25,21,81,25,13,12,31,3,4,10,101,3,5,4,10,220,12
"B3GALT6",1,0,0,0,3,19,1,1,2,11,4,1,2,6,0,0,1,7,0,0,0,0,20,1
"FAM132A",0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,1,13,0,0,0,0,7,1
"RP5-902P8.12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",0,4,2,1,9,75,16,12,15,26,18,3,3,11,3,1,3,39,2,3,5,7,60,2
"SCNN1D",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACAP3",0,2,0,0,1,32,2,1,3,4,4,4,1,5,0,0,0,10,0,1,0,0,16,3
"PUSL1",0,3,2,1,0,16,6,2,7,11,2,0,2,4,0,3,1,8,0,0,0,2,12,1
"CPSF3L",3,1,1,0,7,82,10,10,10,34,12,2,5,14,0,2,0,55,1,1,3,5,50,4
"CPTP",0,0,0,0,4,19,6,3,11,10,4,1,4,4,0,1,2,24,0,2,1,0,16,2
"TAS1R3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DVL1",0,0,0,1,1,13,0,1,0,3,0,0,1,0,0,0,0,19,0,0,0,0,15,0
"MXRA8",0,0,0,0,47,312,0,0,0,0,0,17,0,0,0,0,0,1,2,1,0,0,27,7
"AURKAIP1",4,14,11,1,24,261,52,34,51,104,62,11,29,41,2,5,18,351,3,11,14,20,189,19
"CCNL2",2,8,2,1,5,92,23,5,22,41,23,2,16,26,0,5,5,29,0,2,0,6,51,6
"MRPL20",7,13,3,5,40,288,63,34,56,112,37,11,32,56,4,12,20,191,2,10,7,13,200,32
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANKRD65",0,0,0,0,2,28,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,30,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",0,0,0,0,40,48,1,0,0,0,0,12,0,0,0,0,0,6,1,0,0,0,267,0
"ATAD3C",1,1,0,1,1,4,4,2,3,0,0,0,0,2,0,2,0,2,0,2,0,1,18,0
"ATAD3B",1,0,0,0,3,8,2,3,2,9,6,0,4,3,0,1,0,30,0,0,0,1,10,1
"ATAD3A",0,2,0,0,2,21,0,2,0,5,1,1,7,2,0,1,0,29,0,1,0,1,16,3
"TMEM240",0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0
"SSU72",4,16,10,9,36,234,51,22,75,126,52,12,37,59,7,5,12,140,2,1,14,12,167,12
"RP5-832C2.5",0,2,0,1,2,7,8,0,12,11,5,1,2,6,0,0,1,9,0,0,0,0,2,2
"C1orf233",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-345P4.9",1,0,0,0,4,19,0,0,3,5,1,3,2,3,0,0,0,7,0,0,0,0,6,1
"MIB2",0,3,0,1,7,39,12,3,9,24,8,2,6,15,0,2,3,38,0,3,0,2,26,1
"MMP23B",0,0,0,1,0,296,3,1,0,2,2,4,0,1,0,0,1,5,0,1,0,0,2,0
"CDK11B",0,4,2,2,6,64,14,8,36,48,22,1,21,29,0,4,6,44,1,4,2,7,64,4
"RP11-345P4.10",0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"SLC35E2B",0,5,1,0,4,58,9,0,10,10,10,2,10,7,0,2,3,12,0,0,2,3,23,3
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"CDK11A",0,3,2,2,2,36,11,2,30,44,24,1,24,22,2,2,5,19,1,2,1,6,46,0
"SLC35E2",0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"NADK",2,0,0,1,1,25,3,3,16,5,1,1,3,1,0,2,2,25,0,1,0,1,20,2
"GNB1",8,8,7,4,18,131,22,25,27,39,19,8,20,14,0,2,6,81,3,3,5,6,136,12
"RP1-140A9.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TMEM52",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"CFAP74",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABRD",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
"PRKCZ",0,2,0,0,0,32,4,3,1,4,3,0,2,0,0,0,0,22,1,0,0,0,8,2
"RP5-892K4.1",0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"FAAP20",6,4,4,3,22,220,17,14,41,47,21,9,27,26,2,1,1,57,4,3,3,8,114,13
"RP11-181G12.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKI",0,3,0,0,8,73,20,11,17,29,16,5,4,8,1,3,2,15,1,0,1,0,110,9
"MORN1",0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
"RER1",4,4,3,2,16,206,17,16,28,71,23,13,17,27,3,2,9,145,1,6,6,17,113,15
"PEX10",1,1,0,0,2,22,1,1,1,7,4,1,4,3,0,2,1,8,0,0,1,0,25,3
"PLCH2",0,1,0,0,0,0,5,0,6,2,0,0,1,0,0,0,0,0,0,0,0,2,2,0
"PANK4",0,0,0,0,3,8,1,0,7,1,1,1,1,1,0,1,0,8,0,1,0,0,11,1
"HES5",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
"RP3-395M20.12",1,4,1,0,1,2,12,3,8,17,15,0,4,6,0,1,1,17,2,1,0,2,23,5
"RP3-395M20.8",0,0,0,0,1,4,3,1,7,7,1,0,0,2,0,2,1,14,0,1,0,2,5,1
"TNFRSF14",8,10,4,5,9,77,21,32,41,79,25,1,27,39,3,2,7,39,0,5,1,12,81,0
"RP3-395M20.9",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,5,0
"FAM213B",1,0,0,0,0,11,0,4,1,4,1,1,1,1,0,0,0,18,1,0,0,2,26,3
"MMEL1",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0
"TTC34",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"PRDM16",0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF16",0,0,0,0,2,2,3,0,0,1,0,0,1,0,0,0,0,24,1,0,0,1,2,0
"MEGF6",0,0,0,2,5,5,0,3,0,2,0,0,0,0,1,0,0,3,0,0,0,1,11,1
"TPRG1L",1,1,0,0,2,25,2,2,4,7,1,0,0,2,0,0,0,22,0,2,0,0,38,0
"WRAP73",0,0,0,1,3,29,4,1,8,10,5,2,1,2,1,0,3,7,0,1,0,1,29,1
"TP73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TP73-AS1",0,0,0,0,2,25,1,2,2,6,1,2,2,0,0,0,0,0,0,1,1,0,8,5
"SMIM1",0,2,0,0,1,24,2,0,1,2,0,0,1,3,0,0,1,0,0,1,0,3,1,0
"LRRC47",1,3,0,4,2,48,8,6,13,19,10,1,4,2,2,3,2,26,3,0,1,1,53,6
"RP1-286D6.5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP104",0,0,2,0,2,13,3,4,4,8,5,0,3,2,0,1,2,10,0,0,0,0,22,1
"DFFB",0,0,0,0,1,5,0,0,0,2,2,1,0,1,0,0,0,5,0,0,0,0,6,2
"C1orf174",1,2,0,1,3,27,9,1,8,18,9,1,5,6,1,0,3,19,0,1,1,4,22,1
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AJAP1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,7,0
"KCNAB2",1,4,3,0,2,8,9,0,7,22,14,0,3,6,1,0,5,0,0,2,0,5,3,1
"RPL22",83,159,103,49,152,2482,555,354,1307,2074,632,89,709,1260,88,66,145,2093,34,72,126,171,1292,162
"RP1-120G22.11",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"RNF207",0,0,0,0,2,2,1,0,0,4,0,0,1,1,0,0,1,5,0,1,0,1,7,0
"ICMT",1,1,0,1,9,39,8,5,1,8,2,2,0,0,0,1,3,24,2,0,0,1,24,3
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GPR153",0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,1,0
"ACOT7",9,0,0,0,4,31,3,1,0,4,6,1,1,0,0,0,1,59,0,0,1,0,12,1
"RP1-202O8.3",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"HES2",0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,21,0,0,0,0,1,0
"ESPN",0,0,0,1,7,1,1,0,0,3,0,1,0,0,0,0,0,35,0,0,0,1,1,0
"TNFRSF25",1,0,0,1,1,2,0,0,1,74,6,0,1,25,1,0,1,8,0,0,0,9,7,0
"PLEKHG5",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,11,0
"NOL9",0,2,0,1,1,25,6,2,9,8,6,0,6,11,1,0,1,19,1,2,0,2,19,2
"ZBTB48",0,0,1,0,2,19,3,3,8,10,3,0,2,5,0,1,2,8,0,0,0,0,11,0
"KLHL21",1,1,1,0,8,44,3,0,3,6,3,1,2,3,0,1,3,14,0,1,0,2,30,5
"PHF13",0,1,0,0,1,12,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,2,17,0
"THAP3",0,0,0,0,4,27,1,3,1,2,0,1,1,3,0,1,0,4,1,0,0,0,15,1
"DNAJC11",0,2,0,0,3,13,2,0,2,6,2,0,0,1,0,0,0,16,0,0,1,0,10,2
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CAMTA1",8,4,3,0,38,193,21,19,33,35,18,13,14,15,0,2,6,177,3,4,6,5,322,44
"VAMP3",3,2,2,1,19,102,8,24,6,7,3,4,2,4,1,0,1,37,3,1,1,1,151,12
"PER3",0,0,1,0,10,16,1,1,1,2,0,1,0,1,0,0,0,2,0,0,1,0,13,0
"UTS2",1,4,0,1,0,1,3,0,2,8,5,0,1,6,0,0,3,5,0,0,0,4,0,0
"TNFRSF9",6,14,0,6,0,5,79,0,0,10,8,0,0,1,1,3,3,1,0,0,0,18,0,0
"PARK7",21,29,22,11,67,783,106,79,97,218,88,34,60,82,5,12,27,274,7,5,23,30,389,62
"ERRFI1",0,1,0,2,13,171,10,21,6,24,7,4,2,7,1,3,5,221,6,1,0,1,38,5
"RP11-431K24.1",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"SLC45A1",0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1
"RERE",1,8,1,1,9,60,9,11,20,11,3,3,19,2,0,1,1,42,2,0,1,4,47,3
"ENO1",22,36,36,14,102,528,152,55,98,394,148,48,96,122,12,18,48,397,5,7,21,63,348,20
"ENO1-AS1",0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SLC2A5",0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0
"GPR157",2,0,4,0,2,4,0,0,2,0,0,0,1,0,0,0,0,3,0,0,2,0,5,1
"MIR34AHG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP3-510D11.2",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"H6PD",0,1,0,0,0,63,5,2,3,5,5,1,0,5,1,0,1,9,0,0,1,0,38,3
"SPSB1",0,0,0,1,0,56,1,4,0,5,1,1,0,3,0,0,0,18,1,0,0,0,44,0
"SLC25A33",1,5,8,0,5,56,23,4,49,33,10,0,22,24,1,1,5,106,6,4,9,5,53,5
"TMEM201",0,0,0,0,1,6,0,2,3,1,0,2,1,1,0,0,0,3,1,1,0,0,9,0
"PIK3CD",1,1,0,1,0,1,2,1,3,15,11,0,4,9,0,1,3,0,0,0,3,1,0,0
"PIK3CD-AS1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",0,0,0,0,1,13,0,4,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0
"CLSTN1",0,6,1,1,16,74,6,4,12,25,8,3,3,4,0,1,0,40,1,0,2,1,77,4
"CTNNBIP1",1,2,1,0,7,37,6,2,2,16,8,3,3,2,0,1,2,39,0,0,1,0,107,1
"LZIC",1,1,0,2,11,52,5,3,5,9,6,1,2,4,1,0,0,18,1,0,2,2,36,5
"NMNAT1",0,0,0,0,1,11,0,1,2,1,0,0,0,0,0,0,0,7,0,0,0,1,10,0
"RBP7",1,1,0,0,8,2,0,1,0,0,1,0,0,1,0,0,0,2,2,0,0,0,467,0
"UBE4B",0,2,0,0,2,32,3,0,7,13,8,2,3,6,0,0,2,13,0,0,1,1,15,0
"KIF1B",3,1,3,0,4,54,3,6,7,7,5,0,0,2,1,2,0,23,1,1,1,0,46,3
"PGD",9,1,2,3,5,67,5,0,2,11,4,0,2,4,0,0,2,34,0,0,2,0,31,3
"APITD1-CORT",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APITD1",0,0,0,0,1,17,2,2,1,1,1,0,1,0,0,0,0,14,0,1,0,0,29,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"DFFA",0,2,0,1,6,45,10,5,9,8,12,3,8,4,0,1,2,17,2,0,1,2,91,4
"PEX14",0,0,0,0,1,12,4,2,5,8,1,0,1,1,1,0,0,8,0,0,0,0,17,2
"CASZ1",0,0,0,0,0,2,1,1,0,1,1,2,0,0,0,1,0,26,0,0,0,0,29,1
"TARDBP",0,5,1,1,10,71,10,12,22,35,7,7,12,13,2,3,3,45,1,1,2,2,46,8
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.8",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRM",0,3,3,1,15,150,15,7,14,23,11,3,14,13,1,1,1,40,1,1,2,3,69,2
"EXOSC10",2,2,0,0,6,22,6,3,2,14,8,2,4,2,0,1,3,17,0,1,2,1,21,2
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MTOR",0,1,0,0,0,10,0,0,5,8,1,1,2,2,0,0,1,8,0,0,1,1,20,0
"ANGPTL7",0,0,0,0,77,30,0,0,0,2,1,4,0,1,0,0,0,1,0,0,0,0,0,0
"UBIAD1",0,0,1,0,1,13,6,1,7,11,4,2,7,7,0,0,0,17,0,0,3,2,17,0
"FBXO2",0,0,0,0,1,20,1,3,1,4,2,0,1,1,0,2,1,0,0,1,0,0,1,0
"FBXO44",0,0,1,1,10,57,4,0,8,9,5,0,3,5,0,1,1,1,0,0,1,0,9,1
"FBXO6",4,0,0,0,5,15,2,2,3,4,3,1,0,1,0,2,0,8,0,1,0,1,8,0
"MAD2L2",0,2,0,2,7,65,8,5,13,15,8,1,5,2,1,3,1,12,1,1,3,4,55,2
"DRAXIN",0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"AGTRAP",6,3,2,0,8,120,7,12,5,17,4,9,3,3,0,6,1,21,1,0,0,4,65,4
"C1orf167",0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0
"MTHFR",3,1,0,0,2,72,1,8,12,6,2,1,3,4,0,0,0,14,0,0,1,1,52,5
"CLCN6",0,0,0,0,3,15,0,2,3,2,1,2,2,0,0,0,0,2,0,0,0,0,8,0
"NPPA-AS1",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"KIAA2013",0,4,1,0,9,41,5,3,8,5,3,2,1,2,0,1,0,56,0,0,0,0,54,5
"PLOD1",0,0,0,0,8,119,0,1,0,0,0,3,2,1,0,0,0,10,0,1,0,0,67,2
"MFN2",0,0,0,0,5,22,5,4,4,5,1,3,2,4,0,0,4,40,1,0,2,0,18,2
"MIIP",0,2,1,0,10,20,2,2,9,8,4,2,2,2,1,2,0,9,0,0,1,4,13,1
"TNFRSF8",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TNFRSF1B",8,32,18,10,1,37,109,1,33,184,115,1,14,44,9,14,28,6,0,0,0,33,33,1
"VPS13D",0,3,1,1,13,20,7,2,3,9,6,3,1,3,0,0,0,14,1,1,0,1,18,3
"DHRS3",1,3,1,0,56,107,7,3,2,21,9,1,0,5,1,0,0,28,1,0,0,0,92,4
"RP11-474O21.5",0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"C1orf158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HNRNPCL1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",0,0,0,0,20,87,0,25,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
"PRDM2",1,9,3,1,11,75,27,9,88,51,15,3,57,16,3,2,5,17,1,3,8,9,23,3
"KAZN",0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,33,2
"TMEM51-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TMEM51",2,0,1,0,0,33,0,3,0,0,0,0,0,0,0,0,0,27,0,0,0,0,13,24
"FHAD1",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"RP3-467K16.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-467K16.4",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"EFHD2",11,3,11,0,1,38,13,3,8,39,11,1,3,6,0,2,9,89,0,0,1,5,63,2
"CTRC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CELA2A",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP9",1,1,2,0,0,7,3,0,13,4,0,0,17,7,0,0,1,3,0,1,3,3,8,3
"DNAJC16",0,1,0,0,3,8,1,0,3,1,0,0,3,2,0,0,0,4,0,0,0,1,9,1
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"AGMAT",0,0,0,1,0,2,1,0,0,1,1,1,1,2,0,0,0,21,0,0,0,1,0,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DDI2",0,1,0,0,2,10,4,1,11,2,1,0,5,1,0,0,0,14,0,0,0,0,13,2
"PLEKHM2",0,1,2,0,3,23,0,2,4,5,4,0,3,1,0,0,0,13,3,0,1,2,23,1
"SLC25A34",0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"TMEM82",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"FBLIM1",1,0,1,0,1,135,3,1,1,4,1,9,0,0,0,1,0,52,3,0,0,1,34,4
"UQCRHL",0,1,0,2,0,7,3,2,5,16,1,1,9,2,0,0,1,38,0,1,3,0,8,2
"FLJ37453",0,1,1,0,5,16,2,3,9,5,1,0,1,1,1,0,0,8,0,0,0,1,4,1
"SPEN",2,3,1,2,1,32,12,2,19,16,15,2,11,9,1,2,6,43,1,0,1,4,58,4
"ZBTB17",0,1,0,0,2,15,4,1,7,7,4,0,3,5,0,0,0,7,0,0,1,2,12,1
"HSPB7",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FAM131C",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"EPHA2",0,0,0,0,1,5,1,6,0,2,3,0,0,1,0,0,0,169,0,0,1,1,82,1
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ARHGEF19",0,0,0,0,0,25,2,2,0,3,0,0,1,0,0,0,2,4,0,0,0,0,13,0
"RSG1",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FBXO42",0,0,0,0,0,14,4,1,9,9,3,3,5,5,1,2,1,6,0,0,0,0,16,1
"SZRD1",7,5,2,4,6,71,16,13,33,43,20,3,26,20,0,2,3,42,1,0,3,7,75,9
"SPATA21",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"NECAP2",6,4,1,1,3,62,10,11,24,43,10,2,12,15,1,3,3,25,1,2,0,4,76,1
"RP4-798A10.2",0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-798A10.7",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"NBPF1",0,0,0,0,0,23,1,1,3,3,0,3,1,0,0,1,1,10,0,0,0,0,9,0
"CROCC",0,1,1,0,0,9,3,3,4,7,4,1,0,0,0,1,0,7,0,0,1,0,8,1
"RP11-108M9.4",0,0,0,0,2,22,0,5,1,1,0,0,0,3,0,0,0,13,0,0,0,0,17,2
"RP11-108M9.6",0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"MFAP2",0,0,0,0,1,61,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
"ATP13A2",0,1,0,0,0,2,2,0,4,3,3,0,1,2,0,0,1,5,0,0,0,1,17,2
"SDHB",8,5,4,3,26,143,20,13,25,48,12,2,8,15,0,3,3,157,1,0,4,5,107,12
"PADI2",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,48,0,0,1,0,1,1
"PADI4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004824.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RCC2",1,0,3,0,2,16,5,3,5,3,0,3,3,5,0,1,0,28,0,0,1,0,19,1
"ARHGEF10L",0,0,1,0,4,18,0,0,0,1,1,0,0,0,0,0,0,31,0,0,0,0,6,1
"IGSF21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
