"","GSM2359397","GSM2359398","GSM2859440","GSM2859469","GSM2859498"
"8613",0,0,0,0,0
"8611",1,0,0,1,0
"8612",1,0,1,0,0
"5498",1,0,1,0,1
"8288",1,0,0,0,1
"9588",1,1,1,1,1
"4353",1,0,0,0,0
"5625",0,1,0,0,0
"6578",0,0,0,0,0
"23761",1,1,0,0,1
"9791",1,1,1,1,1
"81490",1,0,0,0,1
"10005",1,0,0,0,1
"10965",0,1,1,0,0
"122970",1,0,1,0,0
"5805",0,1,1,1,0
"6303",1,1,1,1,1
"112483",1,1,1,1,1
"8566",1,0,1,1,0
"151531",1,0,0,0,0
"7378",1,1,1,1,1
"2944",0,1,1,1,0
"64080",1,0,1,0,1
"5959",1,0,0,1,1
"8608",0,1,1,1,0
"112724",0,1,0,0,1
"157506",0,1,1,0,1
"51109",1,1,1,1,1
"57665",1,0,1,0,0
"195814",0,0,0,0,0
"145226",1,0,0,1,0
"50700",0,0,0,0,0
"8228",1,0,0,1,0
"113278",0,0,0,0,0
"54981",1,1,1,1,1
"6482",1,1,1,1,1
"6484",1,0,1,0,0
"6483",1,0,1,0,1
"10090",1,0,1,1,0
"9653",1,0,1,0,0
"3423",0,1,1,0,0
"222537",0,0,0,0,0
"9957",0,0,0,0,0
"9951",0,0,0,0,0
"9956",0,0,0,0,0
"9955",1,0,0,0,1
"9953",1,1,0,1,1
"55501",0,1,1,0,0
"113189",0,1,0,1,0
"50515",1,0,1,0,0
"166012",1,0,0,0,0
"411",1,0,1,1,0
"23563",1,0,0,0,1
"4166",0,0,0,0,0
"10164",0,0,0,0,0
"9435",1,0,0,1,1
"8534",0,1,0,0,0
"9469",0,0,0,0,0
"56548",1,0,1,0,0
"266722",0,0,0,0,0
"9394",0,1,1,1,0
"90161",0,0,0,0,0
"2799",1,1,1,1,1
"10157",0,1,1,0,0
"118881",1,0,0,1,1
"3176",1,0,1,1,1
"1757",0,1,0,0,1
"81537",1,0,0,1,0
"6652",1,0,1,0,1
"6342",1,1,1,1,1
"9056",1,0,0,0,1
"55304",0,1,1,0,1
"9517",1,0,0,1,1
"10558",1,1,1,1,1
"2098",1,1,1,1,1
"8879",1,1,1,1,1
"8869",0,1,1,0,1
"56848",1,0,1,0,0
"8877",1,0,0,1,0
"130752",0,1,0,0,0
"339221",0,0,0,0,0
"55627",1,1,1,1,1
"55512",1,0,0,1,0
"6609",1,1,1,1,1
"6610",0,1,1,0,0
"259230",1,1,1,1,0
"116369",1,0,0,1,0
"115111",0,1,1,1,1
"115019",0,0,0,0,0
"284129",1,1,1,1,1
"26266",1,0,0,0,1
"6646",1,1,1,1,1
"6649",0,0,0,0,0
"6648",0,1,1,1,0
"6647",1,1,1,1,1
"6697",1,0,0,1,1
"6723",1,0,1,0,0
"6611",1,1,1,1,1
"6713",0,1,0,1,1
"2222",1,1,1,1,1
"6715",1,0,0,1,1
"6716",0,0,0,0,0
"15",0,1,0,1,0
"6532",0,1,0,1,1
"6487",0,1,1,0,0
"10402",1,0,1,1,1
"10610",1,0,1,0,0
"81849",0,1,1,0,0
"256435",0,1,1,0,1
"30815",0,1,1,0,0
"6489",1,0,0,1,1
"29906",0,0,0,0,0
"412",1,0,0,1,0
"6391",1,0,0,0,1
"6390",1,1,1,1,1
"6392",1,1,1,1,1
"6389",0,1,0,0,1
"6821",1,0,1,0,1
"6533",1,1,0,1,1
"5092",1,0,0,0,1
"23530",1,1,1,1,1
"79178",0,1,0,0,1
"6567",0,1,0,0,1
"1890",1,0,1,1,0
"55217",1,0,0,1,1
"7296",1,1,1,1,1
"11181",0,0,0,0,0
"80162",1,1,1,1,1
"7166",0,1,1,0,1
"121278",0,0,0,0,0
"169355",0,0,0,0,0
"6999",0,0,0,0,0
"6561",0,0,0,0,0
"6916",1,0,0,0,1
"7054",0,0,0,0,0
"7306",0,0,0,0,0
"10020",0,1,0,1,1
"29880",1,1,1,1,1
"7355",1,0,0,1,0
"7358",1,0,0,1,0
"23169",0,1,1,1,0
"80146",1,1,1,1,1
"5168",0,1,0,1,0
"84912",0,1,0,0,1
"3906",0,0,0,0,0
"7357",1,1,1,1,1
"11046",1,0,1,1,0
"54576",0,0,0,0,0
"54575",0,0,0,0,0
"54657",0,0,0,0,0
"54659",0,0,0,0,0
"54658",0,0,0,0,0
"54577",0,0,0,0,0
"54600",0,0,0,0,0
"54579",0,0,0,0,0
"54578",0,0,0,0,0
"7364",0,0,0,0,0
"54490",0,0,0,0,0
"7367",0,0,0,0,0
"7365",0,0,0,0,0
"10720",0,0,0,0,0
"7363",0,0,0,0,0
"54963",1,1,1,1,1
"7498",0,0,0,0,0
"9942",1,0,0,0,1
"64132",1,0,0,1,1
"64131",0,1,0,1,1
"51181",1,1,1,1,1
"64077",1,0,0,0,1
"5464",1,1,1,1,1
"10724",1,1,1,1,1
"94033",0,0,0,0,0
"2495",1,1,1,1,1
"1356",0,1,0,0,1
"2512",1,1,1,1,1
"1727",1,1,1,1,1
"51706",1,1,1,0,1
"51700",1,0,0,0,0
"10587",1,0,0,1,0
"80347",1,1,1,1,1
"84618",0,1,0,0,0
"22978",1,1,1,1,0
"51251",1,1,1,1,1
"93034",0,1,1,1,0
"100526794",0,0,0,0,0
"353",1,1,1,1,1
"3251",1,1,1,1,1
"56954",0,1,0,1,1
"5313",0,0,0,0,0
"728441",0,0,1,0,0
"124975",0,0,0,0,0
"91227",0,0,0,1,0
"102724197",0,0,1,0,0
"92086",0,0,0,0,0
"2686",1,1,1,1,1
"5211",1,1,1,1,1
"1491",0,1,0,1,1
"2819",0,1,1,1,1
"29925",1,0,1,1,0
"29926",1,0,1,0,1
"102724560",0,0,0,0,0
"875",0,0,0,0,0
"249",0,0,0,0,1
"22934",1,1,1,1,1
"2766",0,1,1,0,1
"51292",1,1,1,1,1
"57571",0,1,0,1,1
"8833",1,1,1,1,1
"5538",1,1,1,1,1
"641371",0,1,1,0,1
"11332",0,1,0,1,1
"55825",1,0,1,0,0
"51102",1,0,1,0,1
"37",1,1,1,1,1
"33",0,0,0,0,0
"132158",0,1,1,0,0
"641649",1,0,0,0,1
"23475",0,1,1,0,1
"50484",0,1,0,1,0
"6240",1,1,1,1,1
"6241",0,1,0,1,0
"3156",1,1,1,1,1
"79966",0,1,1,1,0
"10588",1,0,0,0,1
"84890",1,0,0,1,0
"80025",1,0,1,1,0
"53354",0,1,1,0,0
"79646",0,1,0,1,0
"83594",1,0,0,0,1
"7263",1,0,1,1,0
"26275",1,0,0,1,1
"29920",1,1,1,0,1
"7389",1,1,1,0,1
"1595",0,1,1,0,1
"130367",1,0,0,1,1
"10478",1,0,1,0,1
"23443",0,1,0,1,1
"64240",1,0,1,0,0
"64241",0,0,0,0,0
"284111",1,0,0,1,0
"8435",1,0,0,0,1
"3988",1,1,1,1,1
"377677",1,0,0,1,1
"767",1,0,0,0,0
"765",1,0,1,1,0
"759",0,0,0,0,0
"760",1,0,0,0,1
"23632",0,1,1,0,0
"766",0,0,0,0,0
"771",1,0,0,0,0
"768",0,0,0,0,0
"762",0,0,0,0,0
"10057",1,0,0,1,1
"6556",1,0,0,1,0
"6568",1,0,0,0,0
"7779",0,1,0,1,0
"54020",0,1,1,0,1
"215",1,0,1,1,0
"5825",0,1,0,1,1
"641372",0,0,1,0,0
"9045",1,1,1,1,1
"4017",1,0,1,1,0
"84105",1,0,0,0,1
"25830",0,0,0,0,0
"84569",0,0,0,0,0
"4025",0,0,0,0,0
"54995",1,0,1,0,1
"93492",1,0,0,0,0
"1267",1,0,0,0,1
"10249",0,1,0,0,0
"1573",1,0,0,1,0
"1580",1,0,1,0,0
"199974",0,0,0,0,0
"260293",0,0,0,0,0
"1555",1,0,0,0,0
"1549",0,0,0,0,0
"57834",0,0,0,0,0
"29785",1,0,0,0,0
"1215",1,1,0,1,0
"1357",0,0,0,0,0
"93979",0,1,0,1,1
"57094",0,0,0,0,0
"1358",0,1,0,0,0
"7177",1,0,0,0,0
"64499",0,0,0,0,0
"23430",0,0,0,0,0
"1636",0,1,0,0,1
"9365",1,0,1,1,1
"9331",0,1,1,0,0
"7368",0,1,0,1,0
"5315",1,1,1,1,1
"1666",1,1,0,1,1
"874",1,0,0,0,1
"10901",1,0,1,0,1
"126410",1,0,0,1,1
"2053",1,1,1,1,1
"8897",1,0,1,0,0
"8898",0,1,0,1,0
"9152",0,0,0,0,0
"9497",1,1,1,1,1
"115584",0,0,0,0,0
"6575",0,1,1,0,0
"6574",1,1,1,1,1
"142680",1,0,1,1,1
"6534",0,0,0,0,0
"3293",0,0,0,0,1
"1622",1,1,1,1,1
"225",1,1,1,1,1
"28965",0,0,0,0,0
"23205",1,0,0,1,1
"26061",1,1,1,1,1
"54716",0,1,0,0,1
"6564",0,0,0,0,0
"113235",1,0,1,0,0
"1200",1,1,1,1,1
"2168",0,0,0,0,0
"51056",1,1,1,1,1
"9390",0,1,0,1,0
"5184",1,1,1,1,1
"4891",1,1,1,0,1
"30061",1,0,0,1,0
"248",0,0,0,0,0
"4524",0,1,0,1,1
"25796",1,0,1,0,1
"28982",0,1,0,0,1
"6120",1,0,0,1,0
"10864",0,1,0,0,0
"9376",0,0,0,0,0
"9356",0,0,0,0,0
"348932",0,0,0,0,0
"120103",0,1,1,0,0
"1080",0,0,0,0,0
"85320",0,1,0,1,0
"222962",1,0,0,1,1
"10351",0,0,0,0,0
"9429",1,0,0,1,0
"55867",0,0,0,0,0
"364",1,0,0,0,0
"89872",0,0,0,0,0
"360",1,1,1,1,1
"21",0,1,1,0,0
"24",0,0,0,0,0
"125206",0,1,0,1,1
"200010",0,0,0,0,0
"6524",1,0,0,0,1
"159963",0,0,0,0,0
"55065",0,1,1,1,0
"79581",1,0,1,0,0
"3767",0,1,0,0,0
"6833",0,0,0,0,0
"10060",0,0,0,0,0
"3764",0,1,0,0,0
"5947",0,0,0,0,0
"64220",0,0,0,0,0
"5950",0,0,0,0,0
"5948",1,0,1,1,1
"949",1,0,1,0,0
"29881",0,0,0,0,0
"2350",1,0,1,1,1
"3248",0,1,0,0,1
"166929",1,0,0,0,0
"56261",1,1,1,1,1
"3658",1,1,1,1,1
"203",1,0,1,1,0
"122481",0,0,0,0,0
"159",1,1,1,1,1
"122622",0,1,1,1,1
"11212",1,1,1,1,1
"383",1,0,1,0,1
"1371",1,0,0,1,1
"1503",0,1,0,1,0
"56474",1,0,1,1,0
"2987",1,1,1,1,1
"5860",1,0,0,0,1
"9453",1,0,0,0,1
"2027",0,1,1,1,0
"2026",1,1,1,1,1
"2023",1,1,1,1,1
"9843",0,1,0,1,0
"80308",1,1,1,1,1
"7360",1,1,1,1,1
"26330",1,0,0,0,0
"2597",1,1,1,1,1
"9945",0,1,0,1,1
"2673",0,1,0,1,1
"2752",1,1,1,1,1
"51557",0,0,1,0,0
"1800",0,0,0,0,0
"2762",0,1,1,0,1
"2643",1,1,1,1,1
"761",0,1,1,1,1
"359",0,0,0,0,0
"4284",1,1,1,0,1
"361",0,0,0,0,0
"358",0,1,1,1,1
"362",0,0,0,0,0
"3145",1,0,1,0,0
"586",1,0,0,1,1
"3614",1,1,1,1,1
"3615",1,1,1,1,1
"682",1,1,1,1,1
"4351",1,0,1,0,1
"441024",0,1,1,0,0
"100287639",0,0,0,0,0
"65220",1,0,1,0,0
"389015",0,0,0,0,0
"6553",0,1,1,0,0
"2821",1,1,1,1,1
"5230",1,1,1,1,1
"5232",0,0,0,0,0
"375056",1,1,1,1,1
"5236",1,0,1,1,1
"55276",1,1,0,1,0
"5373",0,1,0,1,1
"5372",1,0,1,0,1
"210",1,1,1,1,1
"60490",1,0,0,1,1
"79717",1,1,1,1,1
"58510",0,0,0,0,0
"153201",0,0,0,0,0
"5634",1,1,1,1,1
"5631",1,1,1,1,1
"221823",0,0,0,0,0
"29968",1,0,0,0,1
"5723",1,0,1,1,0
"55312",1,0,1,0,1
"6888",1,1,1,1,1
"79896",1,0,0,1,0
"84076",1,0,0,0,0
"7086",1,1,1,1,1
"8277",0,1,0,0,1
"27010",1,0,0,1,1
"7167",1,1,1,1,1
"286016",1,0,1,1,1
"2582",1,0,1,0,1
"6675",0,1,1,1,1
"91373",1,0,1,0,0
"7390",0,1,1,0,0
"8170",0,1,1,0,0
"6563",0,1,0,0,1
"374569",0,0,0,0,0
"100507855",0,0,0,0,0
"55191",1,1,1,1,1
"132",1,1,1,1,1
"97",1,0,0,1,1
"98",1,0,0,0,1
"112611",1,0,1,0,0
"51005",0,1,1,0,0
"471",1,1,1,1,1
"435",1,0,1,0,1
"171425",0,1,0,0,1
"10007",1,1,1,0,1
"132789",0,1,0,0,1
"2584",1,0,1,0,1
"2585",1,0,1,0,0
"2592",1,1,1,1,1
"5471",1,0,0,0,1
"84264",0,1,0,0,1
"3034",1,0,1,0,0
"144193",0,1,1,0,0
"2739",1,1,1,1,1
"3613",1,0,1,0,1
"3612",1,0,0,1,1
"8776",1,1,1,1,1
"2978",0,0,0,0,0
"4953",1,1,1,1,1
"5214",1,1,1,1,1
"5213",1,0,1,1,0
"6569",1,0,0,0,0
"10050",0,0,0,0,0
"10568",0,0,0,0,0
"10786",0,1,1,1,0
"10246",0,0,0,0,0
"5198",0,1,0,1,0
"113675",1,0,1,1,1
"7298",0,1,1,0,0
"131669",0,1,0,0,0
"5973",1,0,0,0,1
"1635",1,1,1,1,1
"286297",0,0,0,0,0
"10560",0,1,1,0,1
"191",1,0,1,1,1
"10768",1,0,1,0,0
"25874",1,0,1,0,1
"51660",1,1,1,1,1
"57198",1,1,1,1,1
"5205",1,0,0,1,1
"23250",0,1,0,1,1
"286410",0,1,1,0,1
"5243",0,1,1,1,0
"55856",1,0,0,1,0
"7350",0,0,1,0,0
"26027",0,1,0,0,1
"10058",0,1,0,1,0
"51458",0,0,0,0,0
"948",1,0,0,1,0
"10928",1,0,1,0,0
"1728",1,0,0,1,1
"2946",0,1,0,1,0
"125981",1,0,0,1,0
"55331",1,0,1,0,1
"340485",1,0,0,1,0
"2760",1,0,1,0,0
"5660",1,1,1,1,1
"57704",1,1,1,1,1
"4759",0,0,0,0,0
"10825",0,1,0,1,1
"7903",1,0,0,1,1
"5407",0,0,0,0,0
"119548",0,0,0,0,0
"5408",0,0,0,0,0
"221955",1,0,1,0,0
"9388",0,0,0,0,0
"13",0,0,0,0,0
"57104",1,1,1,1,1
"3991",1,0,1,0,0
"747",1,0,0,1,1
"8513",1,1,0,1,0
"5406",0,0,0,0,0
"2170",1,0,1,0,0
"2171",0,1,0,1,1
"2167",0,0,0,0,0
"2172",0,0,0,0,0
"646480",0,0,0,0,0
"2173",0,0,0,0,0
"646486",0,0,0,0,0
"2169",0,1,0,0,0
"6296",1,0,0,1,1
"341392",0,0,0,0,0
"54988",0,0,0,0,0
"123876",0,0,0,0,0
"348158",0,0,0,0,0
"344967",0,1,1,0,0
"154141",1,1,1,1,1
"51099",0,1,1,0,1
"253558",1,0,0,1,0
"84513",1,0,1,0,1
"64748",1,0,1,1,0
"9890",0,0,0,0,0
"9663",1,1,1,1,1
"196051",0,0,0,0,0
"79948",0,1,1,1,0
"23175",1,1,1,1,1
"64900",0,1,1,1,0
"85465",0,1,0,0,1
"122618",1,0,1,1,0
"201164",1,0,1,0,0
"23646",1,1,1,1,1
"590",0,0,0,0,0
"91012",1,1,1,1,1
"204219",1,0,0,1,1
"10715",0,0,0,0,0
"253782",0,1,1,0,0
"29956",1,1,1,1,1
"79603",1,0,1,0,0
"56624",0,1,1,0,1
"55757",1,0,0,1,0
"145173",0,1,1,1,0
"644974",0,1,0,0,1
"56886",1,1,1,1,1
"152586",0,0,0,0,0
"55830",1,1,1,1,1
"170384",0,1,1,0,1
"283358",0,1,0,1,0
"148789",0,1,1,1,0
"2526",0,1,1,0,0
"84750",1,0,1,1,0
"644378",1,0,0,0,0
"55624",1,0,1,0,0
"83468",1,0,0,1,1
"168391",0,0,0,0,0
"338707",0,1,1,1,0
"146664",0,1,0,0,0
"360203",0,1,0,0,0
"56983",1,1,1,1,1
"3703",1,1,1,1,1
"124872",0,0,0,0,0
"8473",1,1,1,1,1
"8708",0,1,0,0,1
"2529",1,0,0,1,1
"8702",0,1,1,0,1
"8707",0,1,0,1,1
"200810",0,1,0,1,1
"84752",1,0,1,1,0
"201595",1,1,1,1,1
"140687",0,1,1,0,0
"51228",1,1,1,1,1
"284004",1,1,1,1,1
"79411",0,1,0,0,1
"27090",1,1,1,1,1
"129807",0,1,0,1,0
"2524",0,1,1,0,1
"2528",0,0,0,0,0
"2527",0,0,0,0,0
"113612",1,0,1,1,0
"493869",0,0,0,0,0
"64180",0,1,0,1,0
"64174",1,1,1,1,1
"10728",1,1,1,1,1
"11102",0,1,1,0,1
"91179",0,1,1,1,0
"10826",1,0,0,1,0
"266740",0,0,0,0,0
"3930",1,1,1,1,1
"4645",1,0,0,0,1
"3069",1,1,1,1,1
"4864",1,1,1,1,1
"285440",1,0,1,1,0
"79644",1,0,1,1,0
"1646",1,0,1,0,0
"51170",1,1,1,1,1
"51144",1,0,1,1,0
"8630",1,0,1,0,0
"158160",0,1,1,1,0
"83401",1,0,0,0,0
"64834",1,1,1,1,1
"79993",1,0,0,0,0
"401494",1,0,0,1,1
"192286",1,1,1,1,1
"201562",1,1,1,0,1
"9200",1,0,0,1,1
"51495",0,1,0,1,0
"253017",0,0,0,0,0
"9524",1,1,1,1,1
"283985",0,0,0,0,0
"3995",0,1,0,0,1
"1155",1,1,1,1,1
"114571",0,0,0,0,0
"123096",0,1,1,1,0
"57016",0,0,0,0,0
"55277",0,1,1,0,1
"79707",1,1,1,1,1
"64122",0,1,1,0,0
"9917",0,1,0,1,1
"79672",1,1,1,1,1
"92370",1,0,0,1,1
"390928",0,1,1,0,0
"93650",0,1,0,1,0
"139596",0,1,0,0,1
"55066",0,1,0,1,0
"283208",1,0,0,1,0
"5033",1,1,1,1,1
"8974",1,0,1,0,0
"58478",1,1,1,1,1
"55256",1,0,1,0,1
"259307",0,1,1,0,1
"81894",1,1,1,1,1
"51312",0,1,1,1,0
"138639",0,1,0,1,0
"23203",1,1,1,1,1
"9896",1,0,0,1,1
"374462",0,0,0,0,0
"163404",1,1,1,0,1
"22908",1,1,1,1,1
"22876",1,0,1,1,0
"84814",0,0,1,0,0
"51559",1,0,1,0,1
"29085",1,0,0,1,1
"64419",1,1,1,1,1
"145553",1,0,1,0,0
"51496",1,1,0,1,1
"8446",1,1,1,1,1
"9107",1,1,1,1,1
"23371",1,0,0,0,1
"9108",1,0,0,1,0
"55613",1,0,1,1,0
"403313",1,0,0,1,0
"9562",1,0,1,1,0
"3705",1,0,1,0,1
"138429",0,1,1,0,0
"10170",1,0,0,0,0
"9249",1,1,1,1,1
"220074",1,0,0,0,1
"1733",0,1,0,1,1
"1735",0,0,0,0,0
"1734",0,0,0,0,0
"6819",0,0,0,0,0
"27284",0,1,0,0,1
"84274",1,0,0,0,1
"4297",1,1,1,1,0
"55904",1,1,1,1,1
"55870",1,1,1,1,1
"79723",1,0,1,0,0
"79813",0,1,1,1,0
"387893",0,1,0,0,1
"8085",0,1,1,0,0
"58508",1,1,1,1,1
"9869",1,0,0,0,1
"9757",1,0,1,0,1
"80854",0,1,0,1,1
"9739",0,1,1,0,1
"64754",0,1,0,0,1
"84444",0,1,1,0,0
"10919",1,0,1,1,0
"64324",1,1,1,1,1
"23067",0,1,1,1,1
"6839",1,0,0,1,0
"83852",1,1,1,1,1
"54904",1,1,1,1,1
"84787",0,1,1,0,0
"29072",1,1,1,1,1
"7468",0,1,1,1,0
"51111",1,0,1,0,0
"6419",0,1,1,1,0
"90701",1,1,1,1,1
"9789",1,1,1,1,1
"23478",1,1,1,1,1
"28972",1,1,1,1,1
"60559",1,1,1,1,1
"57171",1,0,1,0,1
"4249",1,1,1,1,1
"25834",0,0,0,0,0
"137902",1,0,0,0,1
"7837",1,0,1,0,1
"9677",1,0,1,1,0
"23262",0,1,0,1,1
"26007",1,0,1,0,0
"158584",0,1,1,0,1
"283209",1,0,0,1,1
"23491",0,1,0,0,0
"221223",0,0,0,0,0
"1208",0,0,0,0,0
"55244",0,1,0,0,1
"146802",0,0,0,0,0
"345274",1,0,0,0,0
"116085",0,0,0,0,0
"123688",1,0,1,0,0
"56898",0,1,0,1,1
"51171",0,1,0,1,0
"84869",1,0,1,0,1
"51741",1,0,1,1,0
"10202",0,0,0,0,0
"1487",1,0,0,1,1
"93517",0,1,0,1,0
"121214",0,0,0,0,0
"10553",1,1,1,1,1
"100288072",1,0,1,0,1
"374875",1,0,1,1,0
"441282",0,0,0,0,0
"340811",0,1,1,1,1
"133121",0,0,0,0,0
"85007",1,1,1,1,1
"250",0,0,0,0,0
"251",0,0,0,0,0
"123264",0,0,0,0,0
"200931",0,1,0,1,1
"10941",0,0,0,0,0
"79799",0,0,0,0,0
"10476",1,0,0,1,0
"518",1,1,1,1,1
"498",1,1,1,1,1
"516",1,0,1,0,0
"522",1,0,0,1,0
"515",1,1,1,1,1
"9551",1,0,1,0,0
"27109",1,0,0,0,1
"267020",1,0,1,0,0
"509",1,1,1,1,1
"513",1,1,1,1,0
"514",1,1,1,1,1
"517",1,1,1,1,1
"521",1,0,1,1,0
"10632",1,0,0,0,1
"506",1,1,1,1,1
"539",1,0,0,1,1
"29796",0,1,0,1,1
"4519",1,1,1,1,1
"1537",1,1,1,1,1
"7381",1,0,0,1,1
"10975",1,0,1,0,1
"27089",1,1,1,1,1
"7384",1,1,1,1,1
"7386",1,1,1,1,1
"7388",1,1,1,1,1
"7385",1,1,1,1,1
"9481",0,1,1,0,0
"9016",1,0,1,0,0
"7351",1,1,1,1,1
"7352",1,0,0,1,0
"4535",1,1,1,1,1
"4540",1,1,1,1,1
"4541",1,1,1,1,1
"4729",0,1,0,1,1
"126328",1,0,1,0,1
"4717",1,0,1,1,0
"4719",1,0,0,1,0
"7991",0,0,0,0,0
"4539",1,1,1,1,1
"4707",1,0,1,1,0
"4705",1,1,1,1,1
"4536",1,1,1,1,1
"4713",1,1,1,1,1
"4538",1,1,1,1,1
"4731",1,0,1,1,0
"4695",1,0,1,1,0
"4708",1,0,1,0,0
"4711",1,0,0,1,1
"4723",1,1,1,1,1
"4706",1,1,0,1,1
"4701",1,0,1,0,1
"4724",1,1,1,1,1
"4718",1,0,0,0,1
"4698",0,1,1,0,1
"4537",1,1,1,1,1
"55967",1,0,0,1,1
"4728",1,0,1,0,1
"4715",1,1,1,1,1
"51079",0,1,1,0,1
"54539",1,1,1,1,1
"4714",0,1,1,0,1
"4720",1,1,1,1,1
"4712",1,1,0,1,1
"4722",1,1,1,1,1
"4704",0,1,0,1,1
"4694",1,1,1,1,1
"4702",1,0,0,1,1
"4709",1,0,1,1,0
"4725",1,1,1,1,1
"4710",1,1,1,1,1
"4697",1,1,1,1,1
"4726",1,1,0,1,1
"4716",1,1,1,1,1
"374291",1,0,0,1,1
"1345",1,1,1,1,1
"1340",1,1,1,1,1
"1329",1,1,1,1,1
"4514",1,1,1,1,1
"4513",1,1,1,1,1
"1327",1,1,1,1,1
"1351",1,1,1,1,1
"1349",1,1,1,1,1
"1346",0,0,0,0,0
"1347",1,1,1,1,1
"9377",1,1,1,1,1
"1337",1,0,1,0,0
"4512",1,1,1,1,1
"1350",1,1,1,1,1
"9167",1,1,1,1,1
"125965",1,0,1,0,0
"1339",0,0,0,0,0
"170712",0,0,0,0,0
"84701",0,0,0,0,0
"4363",1,1,1,1,1
"146712",0,1,0,1,0
"10554",1,0,1,1,0
"240",1,0,1,0,0
"534",0,1,0,1,0
"8705",0,1,1,0,1
"570",1,0,1,0,0
"622",0,1,0,0,1
"57818",0,0,0,0,0
"8647",0,0,0,0,0
"124935",1,0,0,1,0
"6531",1,0,0,0,0
"11000",1,0,1,1,0
"4758",1,0,1,1,0
"2618",1,1,0,1,1
"2629",1,0,1,0,1
"7264",1,1,1,1,1
"284098",0,1,0,1,1
"3163",1,1,1,1,1
"7923",1,1,1,1,1
"10723",1,1,1,1,1
"201288",0,0,0,0,0
"645740",0,1,0,0,0
"1589",0,0,0,0,0
"9651",0,1,0,1,0
"8396",1,1,1,1,1
"8399",0,1,1,0,0
"64711",0,0,0,0,0
"7366",0,0,0,0,0
"9374",0,1,1,0,0
"93100",1,0,1,1,0
"55229",1,1,0,1,1
"26063",0,1,1,0,0
"2880",0,0,0,0,0
"65263",1,0,1,0,0
"8781",1,0,1,1,0
"31",0,1,0,1,0
"55750",0,1,0,1,1
"8644",0,1,1,0,1
"1066",1,0,1,1,1
"5446",0,0,0,0,0
"4905",1,1,0,1,1
"4700",1,1,1,1,1
"4696",1,0,0,1,1
"341947",0,0,0,0,0
