"","ImmProt_T8.CM_01","ImmProt_T8.CM_02","ImmProt_T8.CM_03","ImmProt_T8.CM_04","ImmProt_T8.CM_01_activated","ImmProt_T8.CM_02_activated","ImmProt_T8.CM_03_activated","ImmProt_T8.CM_04_activated"
"2744",1,1,1,1,1,1,1,1
"79751",1,1,1,0,1,1,1,1
"83733",NA,NA,NA,NA,NA,NA,NA,NA
"2639",1,0,1,0,1,1,0,1
"57084",NA,NA,NA,NA,NA,NA,NA,NA
"57030",NA,NA,NA,NA,NA,NA,NA,NA
"246213",NA,NA,NA,NA,NA,NA,NA,NA
"51179",NA,NA,NA,NA,NA,NA,NA,NA
"54363",NA,NA,NA,NA,NA,NA,NA,NA
"2628",0,0,0,1,1,0,0,1
"9380",1,1,1,1,1,1,1,1
"2712",1,0,0,1,0,0,0,0
"2713",NA,NA,NA,NA,NA,NA,NA,NA
"2710",1,0,0,0,0,1,0,0
"3029",0,0,0,0,0,0,0,0
"6536",NA,NA,NA,NA,NA,NA,NA,NA
"5226",1,1,1,1,1,1,1,1
"27232",NA,NA,NA,NA,NA,NA,NA,NA
"57678",NA,NA,NA,NA,NA,NA,NA,NA
"80055",NA,NA,NA,NA,NA,NA,NA,NA
"54965",1,0,1,0,0,1,0,0
"93183",0,0,0,0,0,0,0,0
"2936",0,0,0,0,0,0,0,0
"2876",1,1,1,1,1,1,1,1
"7001",1,1,1,1,1,1,1,1
"5052",1,1,1,1,1,1,1,1
"2879",1,1,1,1,1,1,1,1
"2877",NA,NA,NA,NA,NA,NA,NA,NA
"257202",NA,NA,NA,NA,NA,NA,NA,NA
"2878",0,1,1,0,0,0,1,1
"2882",1,0,1,0,1,1,0,1
"10935",1,1,1,1,1,1,1,1
"2937",1,0,1,1,1,1,1,1
"2678",1,0,1,0,1,1,0,0
"2679",NA,NA,NA,NA,NA,NA,NA,NA
"2983",0,1,0,0,0,0,1,0
"4881",NA,NA,NA,NA,NA,NA,NA,NA
"3000",0,1,0,0,0,0,0,0
"2974",NA,NA,NA,NA,NA,NA,NA,NA
"4882",NA,NA,NA,NA,NA,NA,NA,NA
"2986",NA,NA,NA,NA,NA,NA,NA,NA
"2982",1,0,0,0,1,1,0,0
"2984",NA,NA,NA,NA,NA,NA,NA,NA
"2977",NA,NA,NA,NA,NA,NA,NA,NA
"9615",NA,NA,NA,NA,NA,NA,NA,NA
"763",NA,NA,NA,NA,NA,NA,NA,NA
"11238",1,0,1,1,0,1,0,1
"23556",1,1,1,0,1,0,1,0
"55650",NA,NA,NA,NA,NA,NA,NA,NA
"53905",NA,NA,NA,NA,NA,NA,NA,NA
"50506",NA,NA,NA,NA,NA,NA,NA,NA
"343",NA,NA,NA,NA,NA,NA,NA,NA
"5281",NA,NA,NA,NA,NA,NA,NA,NA
"84720",1,1,1,0,1,1,1,0
"54872",0,1,1,0,0,1,1,0
"80235",NA,NA,NA,NA,NA,NA,NA,NA
"128869",1,1,0,0,1,1,0,0
"10026",0,1,1,0,1,0,1,0
"51604",1,1,0,0,1,0,0,1
"94005",0,0,0,1,1,1,1,0
"8733",1,0,0,0,0,1,1,0
"3028",1,1,1,1,1,1,1,1
"3033",1,1,1,1,1,1,1,1
"3037",NA,NA,NA,NA,NA,NA,NA,NA
"3038",NA,NA,NA,NA,NA,NA,NA,NA
"3036",NA,NA,NA,NA,NA,NA,NA,NA
"27235",NA,NA,NA,NA,NA,NA,NA,NA
"6522",0,0,1,1,0,0,1,1
"83697",NA,NA,NA,NA,NA,NA,NA,NA
"6521",1,1,0,1,0,0,1,1
"6508",NA,NA,NA,NA,NA,NA,NA,NA
"2645",NA,NA,NA,NA,NA,NA,NA,NA
"3098",1,1,1,1,1,1,1,1
"3099",1,0,0,1,0,1,1,0
"80201",NA,NA,NA,NA,NA,NA,NA,NA
"3101",0,0,0,1,0,0,0,0
"3081",0,1,0,0,0,0,0,0
"11112",1,1,1,1,1,1,1,1
"3067",0,0,0,0,0,0,0,0
"496",NA,NA,NA,NA,NA,NA,NA,NA
"495",0,0,0,0,0,0,0,0
"8942",1,0,1,0,0,0,1,1
"3157",0,0,1,1,0,1,0,1
"3158",NA,NA,NA,NA,NA,NA,NA,NA
"54511",NA,NA,NA,NA,NA,NA,NA,NA
"3155",1,1,1,1,1,1,1,1
"3162",1,0,1,1,0,0,1,1
"26062",NA,NA,NA,NA,NA,NA,NA,NA
"197257",0,0,0,0,0,0,0,0
"6448",1,0,1,1,0,1,1,1
"3290",0,0,0,0,0,0,0,1
"3291",NA,NA,NA,NA,NA,NA,NA,NA
"3292",NA,NA,NA,NA,NA,NA,NA,NA
"3294",NA,NA,NA,NA,NA,NA,NA,NA
"51478",0,0,1,0,1,0,0,0
"3283",NA,NA,NA,NA,NA,NA,NA,NA
"3284",NA,NA,NA,NA,NA,NA,NA,NA
"80270",0,0,0,0,0,1,0,0
"57026",1,0,1,0,0,0,1,1
"3419",1,1,1,1,1,1,1,1
"3421",1,0,1,1,1,0,1,1
"3420",1,1,1,1,1,1,1,1
"3417",1,0,1,0,0,0,1,1
"3418",1,1,1,1,1,1,1,1
"7173",NA,NA,NA,NA,NA,NA,NA,NA
"3425",1,0,1,0,1,1,0,0
"587",1,1,1,1,1,1,1,1
"8501",NA,NA,NA,NA,NA,NA,NA,NA
"55586",NA,NA,NA,NA,NA,NA,NA,NA
"114134",0,0,0,0,0,0,0,0
"6526",1,1,1,1,1,1,0,0
"3422",1,0,0,1,0,0,1,1
"91734",NA,NA,NA,NA,NA,NA,NA,NA
"160728",NA,NA,NA,NA,NA,NA,NA,NA
"8801",1,1,1,1,1,1,1,1
"8802",1,1,1,1,1,1,1,1
"8803",1,1,1,1,1,1,1,1
"9990",0,1,1,0,0,0,1,1
"6560",0,1,0,1,1,1,0,0
"57468",NA,NA,NA,NA,NA,NA,NA,NA
"3795",0,0,0,0,0,1,0,0
"84679",0,1,1,0,1,1,0,1
"23315",NA,NA,NA,NA,NA,NA,NA,NA
"8564",0,0,1,1,0,0,1,1
"3938",NA,NA,NA,NA,NA,NA,NA,NA
"53",1,0,1,0,1,0,0,0
"3931",0,1,1,1,0,0,0,0
"387775",NA,NA,NA,NA,NA,NA,NA,NA
"124637",NA,NA,NA,NA,NA,NA,NA,NA
"366",0,0,0,0,0,0,0,0
"11283",0,0,0,0,0,0,0,0
"4047",1,0,1,1,1,1,0,0
"1178",1,1,0,0,0,1,1,1
"5321",0,1,0,1,0,1,0,1
"29124",NA,NA,NA,NA,NA,NA,NA,NA
"51268",NA,NA,NA,NA,NA,NA,NA,NA
"4023",0,0,0,0,0,1,0,0
"1056",NA,NA,NA,NA,NA,NA,NA,NA
"3990",NA,NA,NA,NA,NA,NA,NA,NA
"80339",NA,NA,NA,NA,NA,NA,NA,NA
"11343",0,1,1,1,0,1,1,1
"50487",NA,NA,NA,NA,NA,NA,NA,NA
"9227",0,0,0,0,1,1,1,0
"6309",NA,NA,NA,NA,NA,NA,NA,NA
"4048",1,1,1,1,1,1,1,1
"4258",1,0,0,1,1,1,0,0
"4259",1,1,1,1,1,1,1,1
"4056",1,0,0,0,0,0,0,0
"2954",1,0,0,0,1,1,1,0
"2548",0,1,0,1,0,1,0,1
"56922",1,0,1,0,0,1,0,1
"64087",1,1,1,1,1,1,1,1
"23417",1,0,0,1,0,0,1,1
"4357",0,0,1,1,0,1,1,0
"4190",1,0,0,1,0,0,0,0
"4191",1,1,1,1,1,1,1,1
"4200",1,1,1,1,1,1,1,1
"4199",0,1,1,0,1,1,0,0
"10873",0,0,1,0,0,0,0,0
"3620",0,0,0,0,0,0,0,0
"1545",1,0,0,1,0,1,0,1
"1543",0,0,0,0,0,0,0,0
"1557",NA,NA,NA,NA,NA,NA,NA,NA
"1544",NA,NA,NA,NA,NA,NA,NA,NA
"27430",1,1,1,1,1,1,1,1
"4144",1,1,1,1,1,1,1,1
"4143",0,0,0,0,0,0,0,0
"4548",1,0,1,0,1,1,0,0
"4598",1,0,1,0,0,1,0,1
"8867",1,0,1,0,1,1,0,0
"3635",1,1,1,1,1,1,1,1
"3632",0,0,1,0,1,0,1,1
"3636",1,0,1,0,0,0,1,1
"27124",NA,NA,NA,NA,NA,NA,NA,NA
"3633",1,0,1,0,1,0,1,0
"56623",NA,NA,NA,NA,NA,NA,NA,NA
"3628",1,0,1,0,0,0,1,1
"3706",NA,NA,NA,NA,NA,NA,NA,NA
"3707",1,0,1,1,1,1,0,0
"80271",0,1,0,0,0,0,0,0
"51477",1,0,0,0,0,1,0,1
"8821",0,0,0,0,0,0,0,0
"3631",1,0,1,0,1,1,0,0
"2595",1,0,0,1,0,0,0,0
"84693",0,1,1,1,1,1,1,0
"4594",1,0,1,1,1,0,0,0
"80168",NA,NA,NA,NA,NA,NA,NA,NA
"116255",NA,NA,NA,NA,NA,NA,NA,NA
"4507",1,1,1,1,1,1,1,1
"10797",0,0,1,1,1,0,0,1
"56913",0,1,1,0,1,1,1,0
"91703",0,0,0,1,0,0,0,0
"443",NA,NA,NA,NA,NA,NA,NA,NA
"4668",1,0,1,1,0,1,0,0
"9498",NA,NA,NA,NA,NA,NA,NA,NA
"57282",0,0,0,0,1,0,0,0
"6528",NA,NA,NA,NA,NA,NA,NA,NA
"482",NA,NA,NA,NA,NA,NA,NA,NA
"476",1,1,1,1,1,1,1,1
"480",NA,NA,NA,NA,NA,NA,NA,NA
"483",1,1,1,1,1,1,1,1
"23439",NA,NA,NA,NA,NA,NA,NA,NA
"477",0,1,1,1,0,0,1,1
"481",0,1,1,1,1,0,0,0
"478",0,0,0,0,0,0,0,0
"6549",NA,NA,NA,NA,NA,NA,NA,NA
"6550",NA,NA,NA,NA,NA,NA,NA,NA
"6548",0,1,1,1,1,1,0,0
"84735",1,1,0,0,0,0,0,0
"55748",1,1,1,1,1,1,1,1
"6559",NA,NA,NA,NA,NA,NA,NA,NA
"57419",NA,NA,NA,NA,NA,NA,NA,NA
"123041",NA,NA,NA,NA,NA,NA,NA,NA
"9187",NA,NA,NA,NA,NA,NA,NA,NA
"25769",NA,NA,NA,NA,NA,NA,NA,NA
"124583",1,1,1,0,0,1,0,1
"79077",1,0,1,1,0,1,1,1
"9583",1,1,0,1,0,0,0,0
"1841",1,1,1,1,1,1,1,1
"4832",1,0,1,0,0,0,0,0
"4830",0,1,1,1,1,0,1,1
"29922",1,0,0,1,0,0,0,1
"10201",1,0,1,0,0,1,0,1
"4831",1,1,1,1,1,1,1,1
"4833",0,0,1,0,1,1,0,0
"57127",NA,NA,NA,NA,NA,NA,NA,NA
"6005",0,0,0,0,0,0,0,0
"6557",NA,NA,NA,NA,NA,NA,NA,NA
"6558",1,0,0,0,0,1,1,0
"349565",0,1,1,1,1,1,1,1
"64802",1,0,1,1,1,1,1,0
"23057",NA,NA,NA,NA,NA,NA,NA,NA
"10135",1,1,1,1,1,1,1,1
"4837",NA,NA,NA,NA,NA,NA,NA,NA
"5409",NA,NA,NA,NA,NA,NA,NA,NA
"4843",NA,NA,NA,NA,NA,NA,NA,NA
"4846",NA,NA,NA,NA,NA,NA,NA,NA
"4842",NA,NA,NA,NA,NA,NA,NA,NA
"4860",1,1,1,1,1,1,1,1
"6580",NA,NA,NA,NA,NA,NA,NA,NA
"55808",NA,NA,NA,NA,NA,NA,NA,NA
"30833",1,0,1,1,1,1,1,1
"5251",0,1,0,1,1,0,0,0
"56953",NA,NA,NA,NA,NA,NA,NA,NA
"4907",0,1,1,0,1,0,0,1
"6476",NA,NA,NA,NA,NA,NA,NA,NA
"5009",NA,NA,NA,NA,NA,NA,NA,NA
"5019",1,1,1,1,1,1,1,1
"64064",NA,NA,NA,NA,NA,NA,NA,NA
"1629",1,0,1,0,1,1,0,1
"594",1,0,1,1,1,1,0,0
"593",0,0,1,1,1,1,1,0
"26873",1,1,1,0,0,0,0,0
"4942",1,0,0,1,1,1,0,0
"7372",1,1,1,1,1,1,1,1
"10861",NA,NA,NA,NA,NA,NA,NA,NA
"1811",NA,NA,NA,NA,NA,NA,NA,NA
"1836",0,0,1,1,1,1,1,0
"1583",0,0,0,0,0,0,0,0
"1584",NA,NA,NA,NA,NA,NA,NA,NA
"1585",NA,NA,NA,NA,NA,NA,NA,NA
"1586",NA,NA,NA,NA,NA,NA,NA,NA
"1588",NA,NA,NA,NA,NA,NA,NA,NA
"1576",NA,NA,NA,NA,NA,NA,NA,NA
"1593",0,0,0,0,0,0,1,0
"1548",NA,NA,NA,NA,NA,NA,NA,NA
"1553",NA,NA,NA,NA,NA,NA,NA,NA
"1562",NA,NA,NA,NA,NA,NA,NA,NA
"1558",NA,NA,NA,NA,NA,NA,NA,NA
"1559",NA,NA,NA,NA,NA,NA,NA,NA
"1565",0,0,0,0,0,1,1,1
"1572",NA,NA,NA,NA,NA,NA,NA,NA
"51302",NA,NA,NA,NA,NA,NA,NA,NA
"64816",NA,NA,NA,NA,NA,NA,NA,NA
"1577",NA,NA,NA,NA,NA,NA,NA,NA
"1551",NA,NA,NA,NA,NA,NA,NA,NA
"10858",NA,NA,NA,NA,NA,NA,NA,NA
"66002",0,0,0,0,0,0,0,0
"8529",NA,NA,NA,NA,NA,NA,NA,NA
"4051",0,1,0,1,0,0,0,0
"9420",0,0,1,0,0,0,0,0
"1582",NA,NA,NA,NA,NA,NA,NA,NA
"5831",0,1,0,1,1,0,1,1
"5050",1,1,1,1,1,1,1,1
"5051",1,1,1,0,0,1,1,1
"5049",1,1,1,1,1,1,1,1
"5048",1,1,1,1,1,1,1,1
"7941",0,0,0,0,0,0,0,0
"347734",0,1,1,0,1,0,1,0
"57194",NA,NA,NA,NA,NA,NA,NA,NA
"5337",0,1,1,0,0,0,0,1
"5338",1,0,1,1,1,0,0,0
"130013",NA,NA,NA,NA,NA,NA,NA,NA
"5091",0,0,1,1,0,1,0,1
"5244",NA,NA,NA,NA,NA,NA,NA,NA
"5136",NA,NA,NA,NA,NA,NA,NA,NA
"5142",NA,NA,NA,NA,NA,NA,NA,NA
"5137",1,0,1,0,0,0,0,0
"5151",NA,NA,NA,NA,NA,NA,NA,NA
"50940",NA,NA,NA,NA,NA,NA,NA,NA
"5139",0,0,0,0,1,0,0,1
"5140",0,0,1,1,1,1,0,1
"27115",NA,NA,NA,NA,NA,NA,NA,NA
"5144",1,0,0,0,1,1,0,0
"5153",NA,NA,NA,NA,NA,NA,NA,NA
"5150",0,0,0,1,1,0,0,1
"5138",0,0,0,0,0,0,0,0
"8622",NA,NA,NA,NA,NA,NA,NA,NA
"5141",0,0,0,0,0,1,1,0
"5143",NA,NA,NA,NA,NA,NA,NA,NA
"10846",NA,NA,NA,NA,NA,NA,NA,NA
"5152",NA,NA,NA,NA,NA,NA,NA,NA
"5148",NA,NA,NA,NA,NA,NA,NA,NA
"8654",0,0,0,1,0,1,0,0
"5145",NA,NA,NA,NA,NA,NA,NA,NA
"5147",1,0,0,0,1,1,0,0
"5146",NA,NA,NA,NA,NA,NA,NA,NA
"5158",NA,NA,NA,NA,NA,NA,NA,NA
"5149",1,1,1,1,1,1,1,1
"1737",1,1,1,1,1,1,1,1
"5162",1,1,1,1,1,1,1,1
"5160",1,1,1,1,1,1,1,1
"5161",NA,NA,NA,NA,NA,NA,NA,NA
"55163",0,0,1,1,0,0,1,1
"10396",0,1,1,0,1,1,0,1
"5105",NA,NA,NA,NA,NA,NA,NA,NA
"5106",0,1,0,0,0,0,0,0
"8310",1,0,1,0,1,1,0,0
"5833",1,0,1,0,0,0,1,1
"10400",NA,NA,NA,NA,NA,NA,NA,NA
"26227",1,1,1,1,0,1,1,1
"5730",0,0,0,0,0,1,0,0
"27306",1,1,0,1,1,1,0,0
"9536",0,0,0,0,0,0,0,0
"80142",0,0,1,0,0,0,1,0
"5740",0,0,0,0,0,0,1,0
"114971",1,1,0,0,0,0,0,1
"9489",1,0,1,1,1,1,0,0
"5743",0,0,0,0,0,0,1,0
"5742",0,0,1,0,0,0,0,0
"6898",NA,NA,NA,NA,NA,NA,NA,NA
"5053",NA,NA,NA,NA,NA,NA,NA,NA
"5264",NA,NA,NA,NA,NA,NA,NA,NA
"5728",1,0,0,1,0,0,1,0
"8871",1,0,1,0,1,1,0,0
"8395",0,0,0,0,0,0,0,0
"8394",1,1,1,0,0,1,1,0
"23396",0,1,1,0,1,0,1,0
"5297",1,1,1,0,1,1,0,0
"55361",0,1,1,0,1,0,0,1
"5298",0,0,0,1,1,0,0,1
"5295",1,0,1,0,0,0,1,1
"23533",1,0,1,0,0,0,1,1
"5290",1,1,0,1,0,1,1,0
"5293",1,0,1,0,0,1,0,1
"5296",NA,NA,NA,NA,NA,NA,NA,NA
"8503",NA,NA,NA,NA,NA,NA,NA,NA
"5291",1,0,1,0,1,0,1,1
"5294",1,0,1,0,1,1,0,0
"10870",0,1,0,0,0,0,0,0
"4952",0,0,0,0,0,0,0,0
"23236",0,0,0,0,0,0,0,0
"5336",1,1,0,0,1,1,1,0
"5335",0,0,0,0,0,0,1,0
"5334",1,0,1,0,0,0,0,1
"5331",1,1,0,0,1,1,0,0
"257068",NA,NA,NA,NA,NA,NA,NA,NA
"84812",NA,NA,NA,NA,NA,NA,NA,NA
"5330",0,0,0,0,0,0,0,0
"23007",NA,NA,NA,NA,NA,NA,NA,NA
"51196",NA,NA,NA,NA,NA,NA,NA,NA
"5332",0,0,0,0,0,1,0,0
"113026",NA,NA,NA,NA,NA,NA,NA,NA
"5333",1,0,1,1,0,1,0,0
"89869",1,0,0,1,0,0,0,0
"5288",NA,NA,NA,NA,NA,NA,NA,NA
"5286",0,0,0,1,0,0,1,1
"5287",1,0,1,1,1,0,1,1
"200576",1,1,0,0,0,1,0,1
"5305",1,1,1,1,1,1,1,1
"79837",1,1,0,0,0,1,1,1
"5289",0,1,0,1,0,0,0,0
"5277",NA,NA,NA,NA,NA,NA,NA,NA
"51227",NA,NA,NA,NA,NA,NA,NA,NA
"8818",NA,NA,NA,NA,NA,NA,NA,NA
"9091",0,0,1,0,0,0,0,1
"5279",NA,NA,NA,NA,NA,NA,NA,NA
"5283",NA,NA,NA,NA,NA,NA,NA,NA
"123745",NA,NA,NA,NA,NA,NA,NA,NA
"8398",1,1,1,0,0,0,0,0
"64600",NA,NA,NA,NA,NA,NA,NA,NA
"81579",NA,NA,NA,NA,NA,NA,NA,NA
"100137049",NA,NA,NA,NA,NA,NA,NA,NA
"5322",NA,NA,NA,NA,NA,NA,NA,NA
"5320",NA,NA,NA,NA,NA,NA,NA,NA
"30814",NA,NA,NA,NA,NA,NA,NA,NA
"26279",0,0,0,0,0,0,0,0
"5319",NA,NA,NA,NA,NA,NA,NA,NA
"10654",1,1,1,1,1,1,1,1
"117283",NA,NA,NA,NA,NA,NA,NA,NA
"9807",1,0,1,1,0,1,0,1
"51447",NA,NA,NA,NA,NA,NA,NA,NA
"8876",1,1,0,0,0,1,0,1
"8875",1,0,0,1,0,0,0,1
"55350",NA,NA,NA,NA,NA,NA,NA,NA
"27068",1,1,1,1,1,1,1,1
"8613",NA,NA,NA,NA,NA,NA,NA,NA
"8611",0,0,0,0,1,1,0,0
"8612",NA,NA,NA,NA,NA,NA,NA,NA
"5498",0,1,1,0,1,1,0,0
"8288",0,0,0,0,0,0,0,0
"9588",1,1,1,1,1,1,1,1
"4353",0,0,0,0,0,0,0,0
"5625",NA,NA,NA,NA,NA,NA,NA,NA
"6578",NA,NA,NA,NA,NA,NA,NA,NA
"23761",0,0,1,1,1,0,1,0
"9791",0,0,1,1,1,1,0,0
"81490",0,0,0,0,1,1,1,0
"10005",1,1,0,0,1,1,1,0
"10965",1,0,1,1,0,0,1,0
"122970",NA,NA,NA,NA,NA,NA,NA,NA
"5805",NA,NA,NA,NA,NA,NA,NA,NA
"6303",NA,NA,NA,NA,NA,NA,NA,NA
"112483",0,1,0,0,1,0,0,0
"8566",1,1,1,1,1,1,1,1
"151531",NA,NA,NA,NA,NA,NA,NA,NA
"7378",0,0,1,1,1,0,0,1
"2944",1,1,0,0,0,0,1,1
"64080",1,0,1,0,1,0,0,0
"5959",NA,NA,NA,NA,NA,NA,NA,NA
"8608",NA,NA,NA,NA,NA,NA,NA,NA
"112724",0,1,1,0,0,1,1,0
"157506",1,1,1,0,0,1,1,0
"51109",1,1,1,1,1,1,1,1
"57665",1,1,0,0,1,1,0,1
"195814",NA,NA,NA,NA,NA,NA,NA,NA
"145226",NA,NA,NA,NA,NA,NA,NA,NA
"50700",NA,NA,NA,NA,NA,NA,NA,NA
"8228",0,0,0,1,1,0,1,0
"113278",NA,NA,NA,NA,NA,NA,NA,NA
"54981",1,0,1,0,0,0,0,1
"6482",0,0,1,0,0,0,0,1
"6484",1,1,0,1,0,0,0,0
"6483",0,0,0,0,0,0,0,1
"10090",NA,NA,NA,NA,NA,NA,NA,NA
"9653",0,0,1,1,1,1,0,0
"3423",0,0,1,1,1,0,0,0
"222537",NA,NA,NA,NA,NA,NA,NA,NA
"9957",NA,NA,NA,NA,NA,NA,NA,NA
"9951",NA,NA,NA,NA,NA,NA,NA,NA
"9956",NA,NA,NA,NA,NA,NA,NA,NA
"9955",NA,NA,NA,NA,NA,NA,NA,NA
"9953",NA,NA,NA,NA,NA,NA,NA,NA
"55501",0,0,0,1,0,0,0,0
"113189",1,1,1,0,0,0,0,0
"50515",1,0,0,0,0,1,0,1
"166012",NA,NA,NA,NA,NA,NA,NA,NA
"411",1,0,1,0,1,0,0,1
"23563",NA,NA,NA,NA,NA,NA,NA,NA
"4166",NA,NA,NA,NA,NA,NA,NA,NA
"10164",NA,NA,NA,NA,NA,NA,NA,NA
"9435",0,0,0,0,0,0,0,0
"8534",NA,NA,NA,NA,NA,NA,NA,NA
"9469",NA,NA,NA,NA,NA,NA,NA,NA
"56548",0,0,0,0,0,0,0,0
"266722",NA,NA,NA,NA,NA,NA,NA,NA
"9394",NA,NA,NA,NA,NA,NA,NA,NA
"90161",NA,NA,NA,NA,NA,NA,NA,NA
"2799",1,0,1,0,1,1,0,0
"10157",0,0,0,1,1,0,1,0
"118881",1,0,0,1,0,1,1,1
"3176",0,0,0,0,0,0,0,0
"1757",1,1,1,0,0,1,0,0
"81537",0,1,1,1,1,0,0,1
"6652",1,0,1,0,0,0,1,1
"6342",1,1,1,1,1,1,1,1
"9056",0,0,0,0,0,0,0,0
"55304",NA,NA,NA,NA,NA,NA,NA,NA
"9517",1,0,0,1,0,0,1,1
"10558",0,1,1,1,0,0,1,1
"2098",1,1,1,1,1,1,1,1
"8879",0,1,1,0,1,0,0,1
"8869",NA,NA,NA,NA,NA,NA,NA,NA
"56848",0,0,0,1,1,1,0,0
"8877",0,0,0,0,0,0,0,0
"130752",NA,NA,NA,NA,NA,NA,NA,NA
"339221",NA,NA,NA,NA,NA,NA,NA,NA
"55627",0,1,1,1,1,1,0,0
"55512",0,0,0,0,0,0,0,0
"6609",1,0,1,1,0,1,0,1
"6610",1,1,1,1,0,0,1,1
"259230",0,0,0,0,0,0,0,0
"116369",NA,NA,NA,NA,NA,NA,NA,NA
"115111",NA,NA,NA,NA,NA,NA,NA,NA
"115019",NA,NA,NA,NA,NA,NA,NA,NA
"284129",NA,NA,NA,NA,NA,NA,NA,NA
"26266",NA,NA,NA,NA,NA,NA,NA,NA
"6646",1,1,1,0,0,0,1,0
"6649",NA,NA,NA,NA,NA,NA,NA,NA
"6648",0,0,0,0,0,0,0,0
"6647",1,1,1,1,1,1,1,1
"6697",0,0,1,1,0,0,1,1
"6723",1,1,1,1,1,1,1,1
"6611",1,0,0,1,0,0,1,1
"6713",1,0,0,0,1,0,1,0
"2222",0,1,0,1,1,0,1,0
"6715",NA,NA,NA,NA,NA,NA,NA,NA
"6716",NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA
"6532",0,0,0,0,0,0,0,0
"6487",NA,NA,NA,NA,NA,NA,NA,NA
"10402",0,0,0,1,1,1,0,1
"10610",NA,NA,NA,NA,NA,NA,NA,NA
"81849",NA,NA,NA,NA,NA,NA,NA,NA
"256435",NA,NA,NA,NA,NA,NA,NA,NA
"30815",NA,NA,NA,NA,NA,NA,NA,NA
"6489",NA,NA,NA,NA,NA,NA,NA,NA
"29906",NA,NA,NA,NA,NA,NA,NA,NA
"412",0,0,0,0,0,0,0,0
"6391",1,1,1,1,1,1,1,1
"6390",1,1,1,1,1,1,1,1
"6392",0,0,1,1,1,1,0,0
"6389",1,1,1,1,1,1,1,1
"6821",0,0,0,1,1,1,0,1
"6533",0,0,1,1,0,0,1,1
"5092",1,0,1,0,0,1,0,0
"23530",0,0,0,0,0,0,0,0
"79178",1,0,1,0,1,0,0,1
"6567",NA,NA,NA,NA,NA,NA,NA,NA
"1890",1,0,1,1,0,1,1,1
"55217",0,0,1,1,1,1,1,0
"7296",1,1,1,1,1,1,1,1
"11181",NA,NA,NA,NA,NA,NA,NA,NA
"80162",0,0,1,1,1,1,0,0
"7166",NA,NA,NA,NA,NA,NA,NA,NA
"121278",NA,NA,NA,NA,NA,NA,NA,NA
"169355",NA,NA,NA,NA,NA,NA,NA,NA
"6999",NA,NA,NA,NA,NA,NA,NA,NA
"6561",NA,NA,NA,NA,NA,NA,NA,NA
"6916",1,0,0,1,1,1,0,1
"7054",NA,NA,NA,NA,NA,NA,NA,NA
"7306",NA,NA,NA,NA,NA,NA,NA,NA
"10020",1,0,1,0,1,1,0,0
"29880",1,0,1,0,1,0,0,0
"7355",NA,NA,NA,NA,NA,NA,NA,NA
"7358",1,0,1,0,0,1,1,0
"23169",1,0,0,1,0,0,0,0
"80146",0,1,0,1,1,0,0,0
"5168",0,0,0,0,0,0,0,0
"84912",NA,NA,NA,NA,NA,NA,NA,NA
"3906",NA,NA,NA,NA,NA,NA,NA,NA
"7357",1,0,0,0,0,1,1,1
"11046",NA,NA,NA,NA,NA,NA,NA,NA
"54576",NA,NA,NA,NA,NA,NA,NA,NA
"54575",NA,NA,NA,NA,NA,NA,NA,NA
"54657",NA,NA,NA,NA,NA,NA,NA,NA
"54659",NA,NA,NA,NA,NA,NA,NA,NA
"54658",NA,NA,NA,NA,NA,NA,NA,NA
"54577",NA,NA,NA,NA,NA,NA,NA,NA
"54600",NA,NA,NA,NA,NA,NA,NA,NA
"54579",NA,NA,NA,NA,NA,NA,NA,NA
"54578",NA,NA,NA,NA,NA,NA,NA,NA
"7364",NA,NA,NA,NA,NA,NA,NA,NA
"54490",NA,NA,NA,NA,NA,NA,NA,NA
"7367",NA,NA,NA,NA,NA,NA,NA,NA
"7365",NA,NA,NA,NA,NA,NA,NA,NA
"10720",NA,NA,NA,NA,NA,NA,NA,NA
"7363",NA,NA,NA,NA,NA,NA,NA,NA
"54963",0,0,0,1,0,0,1,1
"7498",NA,NA,NA,NA,NA,NA,NA,NA
"9942",0,1,1,1,0,1,1,1
"64132",0,1,0,1,0,1,0,0
"64131",0,0,0,1,0,0,0,0
"51181",1,1,1,1,1,1,1,1
"64077",1,0,1,0,0,1,0,1
"5464",1,1,1,1,1,1,1,1
"10724",1,0,1,0,0,0,1,0
"94033",NA,NA,NA,NA,NA,NA,NA,NA
"2495",0,0,1,1,1,1,1,0
"1356",0,0,0,0,0,0,0,0
"2512",0,0,1,1,1,0,1,0
"1727",1,1,1,1,1,1,1,1
"51706",1,1,1,1,1,1,1,1
"51700",0,0,1,0,0,0,0,0
"10587",1,0,1,1,0,0,1,1
"80347",1,0,1,0,0,1,1,0
"84618",NA,NA,NA,NA,NA,NA,NA,NA
"22978",1,0,1,1,1,1,0,1
"51251",1,0,0,0,1,0,0,1
"93034",NA,NA,NA,NA,NA,NA,NA,NA
"100526794",NA,NA,NA,NA,NA,NA,NA,NA
"353",1,1,1,1,1,1,1,1
"3251",1,1,1,1,1,1,1,1
"56954",1,1,1,1,1,1,1,1
"5313",1,0,0,0,0,0,1,0
