"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"FO538757.2",2,9,2,0,5,6,0,0,4,1,2,0,2,5,3,0,0,1,3,0,3,2,3,0,2,14,285,5
"AP006222.2",8,13,0,0,0,0,0,0,2,1,1,0,1,2,0,1,0,1,0,1,7,0,1,0,0,0,116,7
"RP4-669L17.10",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,8,0
"RP11-206L10.9",1,1,0,0,2,0,0,0,0,0,0,0,1,4,1,1,0,0,0,3,0,0,0,0,0,2,56,0
"FAM87B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1,60,0
"FAM41C",1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,20,1
"RP11-54O7.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-54O7.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SAMD11",0,44,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0
"NOC2L",9,25,7,1,21,4,0,3,7,2,0,1,11,21,15,5,4,10,6,3,10,1,5,2,3,28,845,6
"KLHL17",0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0
"PLEKHN1",0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,39,0
"RP11-54O7.17",1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,2
"HES4",155,174,1,41,5,2,0,10,6,6,12,3,3,41,2,0,9,10,2,40,64,0,89,1,3,92,271,96
"ISG15",326,508,107,131,290,85,31,15,128,108,65,24,39,265,168,7,62,110,44,94,256,70,549,31,102,708,2125,260
"AGRN",3,18,0,0,1,0,0,3,0,3,0,0,0,1,2,0,0,0,0,1,13,0,2,0,0,0,150,19
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"C1orf159",3,1,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,1,0,1,1,0,1,0,0,2,66,1
"RP11-465B22.8",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
"TNFRSF18",1,9,4,2,96,0,1,4,117,34,13,5,0,77,4,0,25,32,14,4,0,1,12,7,17,698,59,6
"TNFRSF4",7,8,2,1,20,0,4,2,77,0,10,3,2,165,2,0,80,5,3,6,3,0,8,12,2,1192,61,74
"SDF4",47,109,4,4,35,11,1,7,29,8,7,3,4,33,15,2,19,7,5,7,30,7,13,7,7,102,1217,59
"B3GALT6",3,9,0,1,1,1,0,0,0,0,0,0,0,2,0,1,1,2,1,0,1,0,2,0,2,4,106,5
"FAM132A",0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,144,8
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",10,30,3,1,15,7,1,5,8,5,3,0,6,19,10,1,4,0,5,5,14,1,3,0,10,38,547,11
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ACAP3",7,10,4,0,1,1,0,1,4,0,0,1,1,3,0,0,2,1,0,0,10,0,0,1,1,2,110,6
"PUSL1",6,7,2,0,7,1,0,1,3,1,1,0,0,5,5,0,4,1,1,0,2,0,3,0,0,10,237,5
"CPSF3L",11,29,2,2,12,3,1,2,14,2,3,4,6,16,8,1,3,1,4,4,12,0,8,0,4,22,501,9
"CPTP",3,3,0,1,1,1,0,0,2,1,1,0,1,2,0,0,0,2,0,0,2,6,0,1,2,6,177,2
"TAS1R3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DVL1",3,3,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,1,1,3,144,3
"MXRA8",0,168,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,8,7
"AURKAIP1",95,133,10,10,54,20,5,5,28,16,17,9,19,57,32,4,20,12,11,16,41,17,45,20,19,130,3911,98
"CCNL2",4,27,5,0,8,7,2,4,10,3,0,0,2,13,8,0,9,4,4,2,7,0,1,0,2,19,352,23
"MRPL20",88,108,9,10,36,12,2,6,18,11,12,1,11,37,27,6,12,4,1,16,33,6,31,3,11,89,3036,79
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0
"ANKRD65",0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,4,4
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"VWA1",0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,178,123
"ATAD3C",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1
"ATAD3B",3,3,0,0,5,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,1,1,1,2,5,150,7
"ATAD3A",6,9,2,3,7,0,0,0,4,1,0,1,1,4,4,0,0,2,2,1,5,3,3,1,0,4,371,9
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SSU72",63,120,20,9,44,19,3,10,34,16,10,5,13,40,40,4,22,8,2,15,34,14,35,7,9,102,2938,64
"RP5-832C2.5",1,0,1,0,1,0,0,0,0,1,1,0,0,3,1,1,1,1,0,1,0,0,0,0,0,4,25,1
"C1orf233",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0
"RP11-345P4.9",0,3,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,2,0,1,0,0,4,38,0
"MIB2",4,9,7,0,13,4,1,1,9,3,4,1,0,8,10,0,3,3,3,3,4,1,1,1,2,9,138,5
"MMP23B",0,76,1,0,0,0,0,3,0,1,0,0,0,0,2,0,0,1,1,8,1,0,0,0,0,0,11,0
"CDK11B",7,3,4,1,8,4,0,0,4,2,2,0,2,8,9,1,8,2,2,2,5,0,4,0,5,21,305,14
"RP11-345P4.10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"SLC35E2B",6,18,2,0,9,3,1,1,3,1,4,0,2,9,2,1,2,2,2,6,2,0,2,1,0,20,189,4
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"CDK11A",5,8,4,0,17,8,1,0,7,5,4,3,4,16,12,1,2,0,3,3,2,1,3,1,4,27,114,3
"SLC35E2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,1
"NADK",32,7,1,0,9,1,0,2,2,0,1,2,2,3,5,0,1,0,1,7,3,2,9,0,2,11,283,4
"GNB1",74,61,5,12,29,13,0,1,21,6,7,3,6,33,10,3,14,4,1,16,32,2,24,6,7,49,727,48
"RP1-140A9.1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"TMEM52",2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,96,1
"CFAP74",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9
"PRKCZ",1,4,1,0,2,1,0,1,1,1,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,9,138,1
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"FAAP20",52,105,14,3,30,16,2,7,23,5,9,1,13,34,25,3,12,4,5,11,26,3,21,2,8,41,1051,29
"SKI",4,24,5,1,7,4,2,2,1,1,3,0,0,11,5,1,8,4,3,1,4,0,5,1,2,8,74,11
"MORN1",0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
"RER1",68,88,6,6,33,18,3,8,17,9,6,2,9,35,21,2,6,5,7,8,26,4,39,6,13,59,1497,30
"PEX10",2,4,0,1,2,0,0,1,2,0,0,0,0,1,0,1,0,1,0,0,5,1,2,0,0,6,212,4
"PLCH2",1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,3,4,0
"PANK4",1,2,0,0,3,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,30,4
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0
"RP3-395M20.12",22,6,3,9,3,4,1,0,1,0,0,0,8,9,4,2,4,2,0,0,7,1,18,0,0,5,103,8
"RP3-395M20.8",2,4,0,1,2,0,0,0,1,0,0,0,2,0,3,0,0,0,0,1,0,1,1,1,0,7,58,3
"TNFRSF14",67,53,15,6,21,17,5,1,34,5,11,1,21,44,25,6,23,4,7,7,14,5,24,4,8,106,450,17
"RP3-395M20.9",1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,6,13,1
"FAM213B",6,4,0,0,2,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,1,0,1,1,0,11,291,5
"MMEL1",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,39,0
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"ARHGEF16",1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,213,1
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MEGF6",1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"TPRG1L",5,6,0,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,2,164,3
"WRAP73",8,9,1,1,7,2,1,0,6,3,0,0,1,7,1,2,2,2,1,0,1,0,1,2,4,11,224,5
"TP73",0,0,0,0,5,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,12,0
"TP73-AS1",2,5,2,0,1,1,0,0,1,0,3,0,1,3,0,0,0,1,0,0,1,0,0,0,0,4,0,2
"SMIM1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,30,0
"LRRC47",4,10,3,0,3,3,1,0,4,3,2,1,3,7,2,1,2,1,3,0,5,1,0,1,3,12,274,10
"CEP104",3,5,0,0,2,3,0,0,1,1,0,0,1,6,3,0,2,4,0,3,3,0,1,1,2,9,123,3
"DFFB",0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,71,1
"C1orf174",3,9,5,0,2,2,1,1,7,1,0,0,1,7,6,0,0,1,8,1,3,1,2,2,4,12,347,1
"LINC01134",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"AJAP1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"NPHP4",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,20,2
"KCNAB2",25,1,2,1,6,7,0,0,5,1,5,2,2,9,5,2,3,3,3,1,1,0,3,6,5,29,78,3
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RPL22",395,846,107,112,377,110,47,71,263,121,92,31,213,634,235,83,367,89,66,162,174,50,302,51,70,885,19421,356
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF207",1,8,0,0,1,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,2,1,1,0,0,7,32,3
"ICMT",6,20,2,0,3,1,1,0,1,3,2,1,0,6,4,0,3,0,1,1,8,2,4,0,5,7,286,17
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GPR153",0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,84,0
"ACOT7",24,14,2,1,14,5,0,2,5,1,3,2,0,3,7,0,1,0,1,91,8,2,4,2,13,18,1110,25
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,0
"HES2",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,3
"ESPN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0
"TNFRSF25",0,0,3,0,45,5,0,0,39,7,10,9,0,86,7,1,30,5,2,0,0,0,0,11,14,128,66,2
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3
"NOL9",3,6,0,1,5,3,0,1,3,1,0,0,1,4,3,0,2,0,0,2,3,0,3,1,1,6,87,6
"ZBTB48",3,3,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,6,52,1
"KLHL21",11,14,1,5,3,1,0,1,2,2,5,0,0,2,2,0,2,0,0,3,1,1,5,1,0,6,116,10
"PHF13",2,7,1,0,4,0,0,1,2,0,0,0,1,0,4,1,1,1,0,0,1,0,0,0,1,1,57,3
"THAP3",4,12,0,0,5,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0,8,2,1,1,0,7,141,3
"DNAJC11",4,4,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,133,2
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"CAMTA1",48,104,4,5,22,10,4,7,17,8,4,2,6,28,14,4,12,5,2,10,28,6,20,4,10,46,1832,76
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VAMP3",41,42,6,3,8,1,1,3,5,5,2,1,2,7,4,2,2,1,0,3,9,0,18,2,1,19,877,24
"PER3",3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"UTS2",14,4,11,0,26,3,1,0,18,9,3,1,0,23,18,0,0,2,2,1,0,0,4,0,3,56,70,2
"TNFRSF9",15,0,5,0,137,2,0,2,16,11,4,0,0,5,22,0,1,13,6,4,0,0,5,3,16,202,13,1
"PARK7",149,308,32,17,284,55,11,23,99,37,49,11,26,162,94,10,31,29,31,83,97,17,80,29,81,388,5755,145
"ERRFI1",16,85,2,1,5,2,0,16,2,0,1,0,3,4,1,1,1,2,1,0,15,0,3,0,1,9,2481,9
"RP11-431K24.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
"RP11-431K24.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC45A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0
"RERE",6,19,1,1,2,1,0,3,3,1,0,0,6,6,4,3,3,1,0,5,4,0,1,2,1,13,273,14
"ENO1",343,299,31,49,218,54,7,19,131,37,34,12,34,207,108,12,44,25,22,22,139,8,190,31,71,512,11451,129
"ENO1-AS1",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SLC2A5",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,6,1
"GPR157",10,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,147,3
"MIR34AHG",1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"RP3-510D11.2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"H6PD",5,21,2,0,7,0,0,1,2,0,0,0,0,1,1,2,1,0,0,2,1,1,1,0,0,1,82,6
"SPSB1",4,56,3,1,1,0,0,3,3,0,1,0,1,5,2,1,1,0,0,1,6,0,4,0,0,3,105,10
"SLC25A33",22,21,3,8,11,7,3,0,11,6,4,2,7,20,12,1,8,4,2,6,4,2,13,2,4,22,879,8
"TMEM201",3,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,2,0,0,1,0,0,0,0,2,51,2
"PIK3CD",2,1,3,0,11,2,1,1,4,1,2,0,4,10,8,2,4,0,0,2,0,0,3,0,1,11,7,0
"PIK3CD-AS2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0
"CLSTN1",6,29,2,1,14,3,0,2,4,4,3,2,0,9,6,0,3,2,0,2,10,0,3,0,5,17,404,12
"CTNNBIP1",23,23,0,5,8,3,1,0,2,1,0,1,2,1,2,0,0,1,3,4,5,0,3,1,5,16,554,16
"LZIC",16,11,0,1,6,5,1,0,7,1,4,0,0,8,3,0,3,1,0,2,3,1,6,1,1,15,229,5
"NMNAT1",3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,54,1
"RBP7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,12,26
"UBE4B",0,13,1,0,7,3,2,0,5,2,5,1,1,4,2,0,3,2,4,1,1,0,0,0,1,12,110,4
"KIF1B",16,19,0,3,0,4,0,3,2,2,0,0,1,4,0,0,1,0,0,5,7,0,15,2,0,9,165,12
"PGD",85,21,0,7,9,3,0,0,6,4,1,1,2,1,3,0,2,2,3,14,5,1,27,1,1,9,938,8
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"APITD1",2,8,0,0,1,1,0,0,2,1,0,0,0,2,0,0,0,1,0,2,1,0,0,1,0,0,244,3
"DFFA",13,18,2,0,11,5,2,1,4,0,0,0,7,6,3,1,2,0,0,36,11,4,3,0,3,12,407,12
"PEX14",4,7,1,1,4,0,0,1,5,0,1,0,2,5,4,0,2,2,0,3,3,1,0,0,0,11,100,5
"CASZ1",2,1,3,1,1,1,1,0,1,0,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,4,81,0
"TARDBP",11,20,5,0,12,2,1,1,8,7,4,2,4,15,8,3,2,5,2,5,4,1,2,1,6,25,701,14
"SRM",31,89,8,5,22,11,3,1,9,7,3,2,5,21,19,2,5,4,5,10,26,10,10,5,7,46,2293,31
"EXOSC10",3,5,1,0,2,3,2,1,3,0,0,0,2,8,3,0,1,0,1,2,4,0,3,0,2,8,218,6
"RP4-635E18.7",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP4-635E18.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0
"MTOR",7,3,0,0,6,0,0,0,2,1,2,0,0,2,1,0,2,2,0,0,2,0,0,0,0,7,67,4
"UBIAD1",3,8,1,0,9,2,0,1,4,1,0,0,5,2,4,0,3,1,0,1,1,0,0,0,0,3,165,6
"PTCHD2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO2",0,1,0,0,6,1,0,0,3,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,2,4,284,1
"FBXO44",4,4,2,0,9,0,0,0,5,1,2,0,2,9,3,1,2,1,2,0,0,0,1,0,3,3,73,2
"FBXO6",22,9,2,5,20,3,1,0,3,1,2,2,1,6,7,2,1,3,3,1,5,2,13,0,2,9,163,3
"MAD2L2",14,39,2,11,21,6,0,5,16,6,6,1,3,10,16,1,3,3,3,11,5,4,9,5,9,26,287,8
"DRAXIN",0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0
"AGTRAP",35,55,0,0,6,4,0,2,6,5,3,0,1,7,12,0,2,3,3,0,4,0,11,3,2,13,373,15
"C1orf167",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MTHFR",12,4,0,1,3,0,0,1,2,2,1,0,2,2,0,1,0,0,0,3,1,1,2,1,0,0,88,2
"CLCN6",4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,29,1
"NPPA-AS1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KIAA2013",12,12,2,0,7,1,1,4,1,0,1,0,1,2,6,1,1,0,1,2,5,2,5,0,0,8,347,10
"PLOD1",15,42,0,1,3,2,0,0,0,0,0,0,1,1,2,0,0,1,0,1,18,0,2,1,1,0,194,29
"MFN2",7,13,0,1,5,0,0,0,4,0,1,2,1,5,1,0,1,0,1,0,4,0,2,0,0,7,147,6
"MIIP",12,14,2,1,14,4,1,0,5,6,4,2,4,4,4,1,1,1,0,6,2,1,6,0,4,21,285,5
"TNFRSF8",0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,4,0
"TNFRSF1B",46,3,20,11,71,7,5,2,26,17,10,1,8,62,30,1,11,13,12,29,2,0,42,7,13,278,186,10
"VPS13D",2,5,4,1,4,2,1,0,1,1,0,0,1,1,0,0,1,2,1,5,3,0,2,0,1,4,48,2
"DHRS3",27,44,1,1,1,1,0,0,4,0,0,0,0,16,2,0,3,0,0,0,1,0,5,0,0,2,372,0
"RP11-474O21.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"HNRNPCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PDPN",11,402,0,2,1,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0
"PRDM2",12,24,5,0,21,2,1,1,13,9,7,0,9,12,9,5,7,5,4,2,6,1,4,2,6,69,113,11
"RP11-344F13.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,6
"TMEM51-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TMEM51",21,25,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,223,13
"FHAD1",4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"EFHD2",126,50,7,20,16,5,2,4,7,6,4,1,2,30,10,1,7,9,4,8,15,2,49,5,9,70,831,30
"CTRC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CASP9",11,5,0,0,3,0,0,0,8,2,1,1,1,0,1,0,1,2,3,1,2,0,3,0,2,4,63,11
"DNAJC16",0,5,0,0,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,81,2
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"AGMAT",0,1,0,0,4,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,7,312,0
"DDI2",7,10,2,0,10,0,0,0,4,2,2,0,3,2,4,1,0,2,2,1,0,0,2,1,2,3,121,11
"PLEKHM2",17,17,0,2,3,1,0,1,5,2,3,0,2,1,2,0,0,2,0,0,2,0,3,0,1,5,49,10
"SLC25A34",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
"FBLIM1",0,59,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,35,1,0,0,0,1,304,23
"UQCRHL",5,6,1,0,3,1,0,1,1,0,0,0,0,3,3,0,0,0,0,1,1,2,3,1,0,3,325,2
