"","Transcriptomics","Proteomics","Final"
"314",0,NA,0
"26",0,1,0
"8639",0,NA,0
"1591",0,NA,0
"1594",1,2,2
"10993",0,2,1
"6818",1,0,0
"89874",0,NA,0
"3945",2,2,2
"3948",1,NA,0
"55293",1,1,1
"160287",0,NA,0
"92483",0,NA,0
"3939",2,2,2
"9194",1,1,1
"6566",1,1,1
"9123",0,1,0
"57835",1,NA,0
"8671",0,2,1
"1738",2,2,2
"4967",2,2,2
"1743",2,2,2
"8050",2,1,2
"128",2,2,2
"137872",1,NA,0
"130",0,NA,0
"127",0,0,0
"131",1,NA,0
"126",0,NA,0
"124",0,NA,0
"125",0,NA,0
"1312",1,2,2
"117247",0,0,0
"220",0,NA,0
"221",0,0,0
"218",1,NA,0
"222",1,NA,0
"3242",0,NA,0
"18",0,0,0
"2531",1,1,1
"23498",0,0,0
"55268",1,1,1
"883",1,1,1
"51166",0,NA,0
"1644",0,NA,0
"4128",0,1,0
"4129",1,0,0
"8604",1,2,2
"10165",0,1,0
"2572",0,NA,0
"2571",0,NA,0
"51380",1,NA,0
"2805",2,2,2
"2806",2,2,2
"8659",1,0,0
"6817",1,0,0
"6799",0,NA,0
"6822",0,NA,0
"6573",0,2,1
"316",0,NA,0
"6570",0,NA,0
"6571",0,2,1
"2348",2,NA,1
"2352",0,2,1
"4125",2,1,2
"53947",1,NA,0
"51146",2,NA,1
"28",0,NA,0
"206358",1,2,2
"6538",1,NA,0
"6529",0,NA,0
"6539",1,0,0
"6540",0,NA,0
"3032",2,2,2
"10449",1,2,2
"38",1,2,2
"3030",2,2,2
"39",2,2,2
"30",1,1,1
"32",1,NA,0
"9197",0,0,0
"79611",0,NA,0
"84532",1,1,1
"64841",0,0,0
"55577",2,2,2
"5238",0,0,0
"9487",2,NA,1
"162417",1,NA,0
"43",0,NA,0
"6572",1,NA,0
"47",2,2,2
"54187",1,1,1
"26503",1,1,1
"54",2,1,2
"140838",0,1,0
"51205",1,1,1
"36",1,2,2
"34",2,2,2
"35",0,2,1
"84129",0,NA,0
"28976",1,2,2
"80724",0,1,0
"27034",2,0,1
"3712",1,2,2
"134526",0,NA,0
"51",0,1,0
"95",0,1,0
"50",2,2,2
"48",0,1,0
"8309",0,NA,0
"52",2,2,2
"55",0,1,0
"788",1,2,2
"55902",0,1,0
"65985",1,1,1
"438",0,NA,0
