"","GSM2859420","GSM2859448","GSM2859477","GSM2859512"
"314",1,1,0,0
"26",1,1,1,1
"8639",1,0,0,0
"1591",0,0,1,1
"1594",1,1,0,0
"10993",1,1,0,0
"6818",0,1,1,0
"89874",1,1,1,1
"3945",1,1,1,1
"3948",1,1,1,1
"55293",1,0,0,1
"160287",0,0,1,1
"92483",1,1,1,1
"3939",1,1,1,1
"9194",1,1,0,0
"6566",0,1,1,0
"9123",0,1,1,0
"57835",1,1,0,0
"8671",0,1,0,0
"1738",1,1,1,1
"4967",1,1,1,1
"1743",1,1,1,1
"8050",1,1,1,1
"128",1,1,1,1
"137872",0,1,1,0
"130",1,0,0,1
"127",0,0,1,0
"131",1,1,1,1
"126",1,1,1,1
"124",1,1,1,1
"125",1,1,1,1
"1312",1,0,0,1
"117247",1,0,0,1
"220",1,1,1,1
"221",0,0,1,0
"218",1,1,1,1
"222",1,1,1,1
"3242",1,0,1,1
"18",0,1,1,0
"2531",1,1,1,1
"23498",1,0,0,0
"55268",1,0,1,1
"883",1,0,1,0
"51166",1,1,1,1
"1644",0,0,0,1
"4128",0,0,1,0
"4129",1,1,1,1
"8604",1,0,1,0
"10165",0,0,1,1
"2572",1,1,1,1
"2571",1,0,0,0
"51380",1,0,0,1
"2805",1,1,1,1
"2806",1,1,1,1
"8659",1,0,1,1
"6817",1,1,0,1
"6799",1,0,0,1
"6822",1,1,1,1
"6573",1,1,0,0
"316",1,1,1,1
"6570",1,1,1,1
"6571",0,0,1,0
"2348",1,1,1,1
"2352",1,0,0,0
"4125",1,1,1,1
"53947",1,1,1,1
"51146",1,1,1,1
"28",0,1,0,0
"206358",0,0,1,1
"6538",1,1,1,1
"6529",1,0,0,0
"6539",1,1,1,1
"6540",0,0,1,0
"3032",1,1,1,1
"10449",0,1,1,1
"38",1,0,1,1
"3030",1,1,1,1
"39",1,1,1,1
"30",1,1,1,1
"32",1,1,0,0
"9197",0,0,1,1
"79611",1,1,1,1
"84532",0,1,1,1
"64841",1,0,1,0
"55577",1,0,1,1
"5238",0,1,0,0
"9487",1,1,1,1
"162417",0,0,1,1
"43",0,1,0,0
"6572",1,1,1,1
"47",1,1,1,1
"54187",1,0,0,0
"26503",0,1,1,0
"54",1,1,1,1
"140838",1,0,0,0
"51205",1,1,0,0
"36",1,0,1,1
"34",1,1,1,1
"35",0,1,1,0
"84129",0,0,1,0
"28976",1,1,1,0
"80724",0,1,0,1
"27034",1,1,1,1
"3712",0,1,1,1
"134526",1,1,1,1
"51",0,1,0,0
"95",0,0,1,0
"50",1,1,1,1
"48",1,1,0,0
"8309",1,1,1,1
"52",1,1,1,1
"55",0,0,1,0
"788",0,1,1,1
"55902",1,0,1,0
"65985",0,0,1,1
"438",0,0,0,1
"1571",0,0,1,1
"100",1,1,1,1
"3177",1,0,1,1
"205",1,1,1,1
"204",1,1,1,1
"26289",1,0,0,1
"50808",1,1,1,1
"262",1,1,1,1
"113",1,1,1,1
"109",0,1,0,1
"115",1,1,1,0
"112",1,1,1,1
"107",0,0,1,0
"114",1,1,1,1
"55811",0,1,1,0
"196883",1,1,0,1
"111",1,0,0,1
"108",1,1,1,1
"2030",1,1,0,0
"9154",1,1,1,1
"64078",0,1,0,0
"9153",1,1,1,1
"55315",0,0,1,1
"11164",1,1,1,1
"952",1,0,0,1
"1375",1,0,0,0
"1374",0,1,1,1
"126129",0,1,0,1
"1376",0,1,1,1
"9061",1,1,1,1
"9060",1,1,0,1
"158",0,0,1,1
"10331",1,0,1,0
"374907",0,1,0,1
"10678",1,1,1,1
"79369",1,0,1,0
"11041",0,0,1,1
"93010",1,0,0,0
"79814",1,0,0,1
"56894",0,0,0,1
"10555",0,0,1,1
"137964",1,1,1,1
"56895",0,1,1,1
"55326",0,0,1,1
"129642",0,1,0,0
"64850",1,1,1,1
"64902",1,1,1,1
"189",1,1,1,1
"3074",1,1,1,1
"3073",1,1,0,1
"10606",1,0,1,0
"8402",1,1,1,1
"1468",0,1,1,0
"64849",1,0,1,0
"1645",1,0,1,0
"1109",1,0,0,1
"6718",1,1,1,1
"6510",0,0,1,1
"6509",0,1,1,0
"56301",1,1,1,1
"6520",1,1,1,1
"211",1,1,1,1
"23464",1,0,1,1
"212",0,1,0,1
"59272",1,1,1,1
"6542",1,1,1,1
"6541",1,1,0,0
"84889",0,0,0,1
"54407",1,1,1,1
"81539",1,1,1,1
"340024",1,1,1,1
"11254",1,1,1,1
"57393",0,0,1,1
"55089",1,0,0,0
"2875",1,1,1,1
"84706",0,1,0,1
"92745",0,1,1,1
"10991",1,1,1,1
"284273",0,0,1,0
"10327",1,1,1,1
"8854",1,0,0,1
"224",0,0,1,1
"223",1,1,1,1
"216",0,0,0,1
"501",1,0,0,0
"217",1,0,0,0
"219",0,1,0,1
"239",0,1,1,0
"247",1,1,1,1
"246",0,0,0,1
"231",1,1,1,1
"8574",1,1,1,1
"23600",0,1,0,1
"115286",1,1,0,0
"271",1,1,1,1
