"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"FO538757.2",3,0,2,1,0,0,0,0,1,2,0,0,0,0,0,1,756
"AP006222.2",5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,233
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-206L10.9",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84
"LINC00115",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57
"FAM41C",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SAMD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"NOC2L",2,1,2,0,0,1,0,0,5,5,1,0,1,2,2,7,1990
"KLHL17",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"PLEKHN1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RP11-54O7.17",2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,286
"HES4",86,1,42,0,3,2,5,8,3,20,3,1,6,1,59,19,2747
"ISG15",52,9,17,7,3,8,8,8,10,68,26,1,17,2,69,52,1883
"AGRN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,589
"RP11-54O7.18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333
"C1orf159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"RP11-465B22.8",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,295
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"TNFRSF18",0,0,8,15,0,2,8,16,1,19,1,0,8,3,1,134,15
"TNFRSF4",4,0,20,0,0,0,8,7,0,60,0,0,26,0,4,341,19
"SDF4",32,1,11,1,1,4,5,3,5,26,2,1,6,1,4,21,3133
"B3GALT6",1,0,1,1,0,0,2,0,0,3,0,2,1,0,0,3,741
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2J2",2,1,4,0,2,0,1,2,2,7,3,0,5,3,3,11,1534
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ACAP3",0,0,0,0,0,0,1,0,2,4,2,0,0,0,0,3,408
"PUSL1",1,2,2,0,0,0,1,0,2,4,1,0,3,0,0,4,575
"CPSF3L",6,0,3,1,1,0,0,1,1,5,3,1,0,0,5,4,1055
"CPTP",1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,600
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
"DVL1",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,808
"MXRA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"AURKAIP1",32,3,10,2,9,3,3,3,5,23,5,3,10,0,17,25,8132
"CCNL2",2,0,0,1,1,0,0,2,2,8,1,1,4,0,0,2,1083
"MRPL20",22,4,6,1,2,0,3,2,1,21,1,1,3,2,3,11,6471
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
"ANKRD65",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"VWA1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,968
"ATAD3C",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22
"ATAD3B",1,1,1,0,0,0,0,1,1,1,1,0,2,1,0,1,432
"ATAD3A",3,0,2,2,1,0,0,1,0,1,1,0,0,0,0,1,1151
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"SSU72",17,2,7,0,2,0,2,0,9,25,6,2,13,2,7,13,8074
"RP5-832C2.5",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,91
"C1orf233",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198
"RP11-345P4.9",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,59
"MIB2",1,1,1,0,1,4,1,1,0,6,0,0,3,6,0,0,1914
"MMP23B",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,38
"CDK11B",0,0,0,0,0,0,0,0,2,4,0,0,2,0,1,0,782
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"SLC35E2B",1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,2,420
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"CDK11A",0,1,1,0,1,0,1,0,1,4,1,0,0,1,0,2,351
"SLC35E2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
"NADK",8,0,1,0,0,0,1,0,1,1,0,1,1,0,1,3,977
"GNB1",24,0,10,2,1,1,1,2,3,7,1,0,5,1,7,10,2691
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"TMEM52",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,645
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-547D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRKCZ",2,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,577
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"FAAP20",13,1,11,3,1,2,1,0,4,15,2,1,7,1,5,16,2634
"SKI",1,0,0,1,0,0,0,1,1,1,2,2,2,0,0,2,364
"MORN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"RER1",21,1,10,0,1,1,4,5,1,13,1,1,3,2,12,10,4129
"PEX10",7,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,686
"PLCH2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"PANK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"RP3-395M20.12",14,1,10,0,1,0,0,2,3,2,2,0,0,2,10,5,363
"RP3-395M20.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,166
"TNFRSF14",18,2,6,3,1,0,2,0,9,16,3,2,3,0,1,15,1075
"RP3-395M20.9",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45
"FAM213B",5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1170
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TTC34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MEGF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TPRG1L",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,826
"WRAP73",2,0,1,0,0,0,1,0,1,2,1,0,1,0,0,2,636
"TP73",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"TP73-AS1",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"SMIM1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35
"LRRC47",2,0,0,0,1,0,1,1,1,4,0,0,0,0,0,3,1190
"CEP104",3,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,632
"DFFB",2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,135
"C1orf174",1,0,1,0,1,0,0,2,1,6,1,2,0,0,0,4,918
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPHP4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"KCNAB2",12,1,1,1,1,0,1,0,0,10,1,1,1,2,7,3,447
"RPL22",197,20,109,18,41,21,45,33,106,267,34,37,119,23,82,161,67094
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"RNF207",1,0,1,1,0,0,1,0,0,3,0,0,0,0,1,1,72
"ICMT",1,0,0,0,2,0,1,0,0,4,0,0,0,1,0,2,727
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"GPR153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402
"ACOT7",9,0,3,1,0,0,1,2,0,4,0,0,0,1,0,1,1765
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"HES2",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1541
"ESPN",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997
"TNFRSF25",0,0,0,0,2,0,5,11,0,36,0,0,8,0,0,26,203
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
"NOL9",4,0,0,0,0,0,1,0,1,1,0,1,2,1,0,1,381
"ZBTB48",0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,166
"KLHL21",11,0,1,0,0,0,2,0,0,1,2,0,0,0,2,2,356
"PHF13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,134
"THAP3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,292
"DNAJC11",1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,368
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"CAMTA1",24,0,6,3,1,0,2,0,5,7,2,1,3,0,4,6,4674
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VAMP3",13,1,4,0,1,1,0,0,2,1,0,1,0,0,2,1,1717
"PER3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UTS2",8,4,4,0,0,2,2,0,0,8,2,0,3,0,1,10,135
"TNFRSF9",8,1,3,6,0,0,0,0,0,1,2,0,0,0,5,14,9
"PARK7",51,8,35,3,7,5,10,12,10,44,11,7,26,3,15,55,8901
"ERRFI1",2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,3330
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"RP11-431K24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"SLC45A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RERE",3,0,1,0,1,0,0,0,0,0,2,1,0,0,2,1,1023
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENO1",115,8,40,6,1,8,13,5,12,49,11,1,28,3,34,76,15075
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SLC2A5",2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6
"GPR157",4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,685
"MIR34AHG",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40
"RP3-510D11.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"H6PD",5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,442
"SPSB1",4,1,0,1,0,0,0,0,0,0,2,1,1,0,2,0,719
"SLC25A33",13,1,6,0,1,1,1,2,2,8,1,3,4,0,2,4,2247
"TMEM201",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,175
"PIK3CD",0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,3,3
"PIK3CD-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"CLSTN1",2,0,2,1,0,0,1,0,0,0,1,0,1,4,0,4,1176
"CTNNBIP1",6,0,5,1,0,0,1,0,0,2,0,0,1,0,1,5,952
"LZIC",9,0,0,0,0,0,2,1,0,3,1,0,0,0,1,2,913
"NMNAT1",1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,174
"RBP7",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
"UBE4B",2,1,2,0,0,0,0,1,2,5,0,0,2,0,0,4,461
"KIF1B",6,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,391
"PGD",6,0,3,0,0,0,0,0,1,0,0,0,0,1,6,5,1777
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"APITD1",2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,379
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"DFFA",4,0,2,0,0,0,0,0,2,3,1,0,0,0,2,1,1121
"PEX14",3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,217
"CASZ1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,514
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C1orf127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"TARDBP",4,1,4,0,0,1,0,0,3,2,1,1,0,0,1,4,1393
"RP4-635E18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"SRM",10,0,3,0,4,0,1,0,4,5,2,2,5,1,4,11,4004
"EXOSC10",1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,513
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"MTOR",2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,255
"UBIAD1",3,1,0,0,0,0,1,0,1,4,0,0,2,1,0,1,610
"FBXO2",1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1003
"FBXO44",4,1,1,0,1,0,0,0,5,1,1,0,1,0,0,3,384
"FBXO6",0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,299
"MAD2L2",9,0,1,1,2,4,1,1,1,3,2,0,2,3,2,10,985
"DRAXIN",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
"AGTRAP",9,0,0,2,0,2,0,0,0,3,4,0,0,0,5,6,1103
"C1orf167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"MTHFR",3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,196
"CLCN6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"KIAA2013",4,0,1,0,0,0,0,0,0,1,0,1,0,0,3,2,1355
"PLOD1",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,384
"MFN2",2,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,431
"MIIP",4,1,1,1,1,0,0,0,0,2,2,0,0,0,1,4,797
"TNFRSF1B",24,3,17,3,3,3,5,1,2,19,9,0,5,6,22,32,429
"VPS13D",2,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,211
"DHRS3",9,1,2,0,0,0,0,0,0,2,1,0,1,2,1,0,1256
"RP11-474O21.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"C1orf158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HNRNPCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PDPN",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRDM2",5,0,0,1,1,2,0,2,10,7,1,4,3,1,0,10,540
"KAZN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"TMEM51",8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,553
"FHAD1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP3-467K16.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
"EFHD2",41,0,15,0,0,2,3,3,0,11,0,0,2,3,11,12,2587
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"CASP9",1,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,150
"DNAJC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"AGMAT",0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1305
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"DDI2",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,617
"PLEKHM2",17,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,256
"SLC25A34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"FBLIM1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,685
"UQCRHL",2,0,0,1,0,0,3,1,0,2,0,1,0,0,1,3,616
"FLJ37453",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,179
"SPEN",2,0,2,1,0,0,1,0,1,0,2,1,1,1,0,2,978
"ZBTB17",3,0,0,0,2,0,0,1,0,3,0,0,0,0,0,1,210
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"EPHA2",1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,3728
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"ARHGEF19",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,128
"RSG1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45
"FBXO42",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,170
"SZRD1",8,2,4,0,1,1,1,2,2,11,0,1,8,1,4,13,1371
"SPATA21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NECAP2",7,0,4,0,0,1,1,1,2,18,1,1,3,1,2,8,931
"RP4-798A10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"NBPF1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
"CROCC",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,128
"RP11-108M9.4",3,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,291
"RP11-108M9.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"MFAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
"ATP13A2",3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,518
"SDHB",20,0,6,2,0,2,1,2,1,9,2,0,4,0,8,6,4125
"PADI2",2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,34
"PADI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"PADI4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RCC2",1,0,2,0,1,0,0,0,1,1,0,1,0,1,0,1,1138
"ARHGEF10L",2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,474
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"IGSF21",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ALDH4A1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,268
"IFFO2",0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,4,269
"UBR4",8,0,2,0,1,0,0,0,2,2,1,0,2,1,2,1,1285
"RP1-43E13.2",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29
"EMC1",5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,425
"MRTO4",2,0,0,1,0,0,1,0,1,2,0,1,2,0,1,1,1718
"AKR7A3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1377
"AKR7A2",7,3,5,1,0,0,1,1,0,8,1,0,1,1,3,5,2124
"PQLC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
"CAPZB",72,5,18,6,9,5,17,9,8,56,10,2,15,4,21,35,6145
"RP5-1056L3.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MINOS1",64,5,4,0,3,4,6,7,5,24,7,1,7,1,17,13,12427
"NBL1",2,2,0,4,1,2,1,2,0,7,7,0,3,1,4,3,8485
"TMCO4",2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,234
"RNF186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"OTUD3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266
"PLA2G2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1031
"PLA2G2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLA2G2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"PLA2G2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"UBXN10-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75
"UBXN10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306
"CAMK2N1",5,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,7964
"MUL1",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,314
"FAM43B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CDA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,177
"PINK1",4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,409
"PINK1-AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"DDOST",16,1,6,0,2,3,2,0,4,10,3,1,9,1,3,12,5927
"KIF17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP1BP3",13,5,2,0,0,0,2,5,5,14,2,0,9,2,2,2,1618
"EIF4G3",5,0,2,0,0,1,0,0,0,5,0,0,1,0,2,1,789
"ECE1",1,1,0,0,0,0,0,0,2,2,0,2,1,0,4,3,393
"RP5-1071N3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"NBPF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ALPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RAP1GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
"USP48",3,0,2,0,0,1,1,0,1,3,1,0,4,1,0,8,1050
"HSPG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP1-224A6.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
"LINC00339",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,92
"CDC42",69,9,28,6,9,9,7,11,17,55,13,1,28,6,32,46,7009
"RP1-224A6.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"WNT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"ZBTB40",0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,113
"EPHA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"C1QA",513,0,52,0,0,0,0,0,0,0,0,0,0,0,31,0,12
"C1QC",387,0,31,0,0,0,0,0,0,0,0,0,0,0,6,0,4
"C1QB",638,0,57,0,0,0,0,0,0,0,0,0,1,0,17,0,13
"EPHB2",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2669
"C1orf234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"KDM1A",1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1034
"LUZP1",0,0,2,2,2,3,1,1,1,8,2,1,7,0,1,3,1320
"HTR1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"LINC01355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"HNRNPR",7,3,6,2,1,2,6,3,5,14,2,2,4,2,3,15,3574
"ZNF436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"ZNF436-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"RP5-1057J7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"TCEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3478
"ASAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"E2F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
"RP1-150O5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"ID3",7,1,3,6,1,8,0,0,5,3,5,4,3,0,1,11,15268
"MDS2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
"RPL11",526,91,278,57,129,64,140,116,426,909,121,145,528,54,209,539,189394
"TCEB3",4,0,1,0,2,0,0,1,0,5,1,0,2,0,1,2,777
"TCEB3-AS1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137
"PITHD1",8,1,2,1,2,3,4,0,4,10,3,1,6,2,2,8,2588
"LYPLA2",9,1,0,0,0,0,2,2,1,3,3,0,1,0,0,5,1814
"GALE",5,0,3,0,1,0,0,0,0,3,0,0,1,0,0,1,2594
