"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",5,3,2,0,3,2,1,3,3,2,7,8,4,6,9,2,1,0,2,0,12,94,3
"AP006222.2",4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,1,0,0,63,3
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-206L10.9",1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,2,21,0
"LINC00115",0,0,0,0,1,0,0,1,0,0,4,1,0,1,2,1,0,0,0,0,1,12,0
"FAM41C",1,1,1,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,15,0
"SAMD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NOC2L",5,5,4,1,2,4,1,4,2,2,18,21,5,5,11,1,2,1,2,2,8,203,1
"KLHL17",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,0
"PLEKHN1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2
"HES4",113,4,39,0,0,0,2,4,2,3,6,57,3,7,18,7,3,0,36,1,26,92,18
"ISG15",88,29,26,12,44,17,13,59,25,11,34,280,45,21,91,12,18,3,53,21,144,452,27
"AGRN",1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,71,7
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"C1orf159",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,24,1
"RP11-465B22.8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"TNFRSF18",5,4,0,5,2,3,4,39,4,19,3,73,12,1,18,13,8,4,1,9,194,15,0
"TNFRSF4",9,1,2,0,0,0,0,19,7,6,2,118,2,1,87,4,0,5,1,5,324,28,9
"SDF4",15,7,4,0,1,4,4,19,7,6,11,63,5,4,36,3,2,14,4,0,32,403,14
"B3GALT6",3,0,0,0,0,0,0,0,0,0,1,7,1,1,1,0,2,1,0,0,3,24,2
"FAM132A",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,119,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"UBE2J2",7,0,1,0,2,2,1,1,2,2,8,30,6,4,8,4,0,3,3,2,8,146,5
"SCNN1D",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP3",0,0,3,0,0,0,0,1,0,0,2,9,4,0,4,0,0,2,1,1,4,34,1
"PUSL1",0,4,1,0,0,1,1,0,1,0,3,8,2,0,3,1,1,1,1,0,4,64,2
"CPSF3L",4,1,2,1,1,3,1,2,0,0,4,15,3,3,5,1,3,6,6,0,3,141,9
"CPTP",2,1,0,0,1,0,1,2,0,1,0,1,1,0,3,2,0,1,0,0,1,42,2
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"DVL1",0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,56,2
"MXRA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AURKAIP1",25,16,13,1,7,10,1,18,5,5,38,85,13,10,38,6,11,28,16,10,37,1047,30
"CCNL2",1,2,2,2,1,3,1,3,2,0,7,10,5,5,9,3,2,4,0,1,10,124,8
"MRPL20",15,8,8,1,6,9,1,9,3,1,22,56,17,4,26,0,6,12,10,3,33,516,9
"RP4-758J18.13",1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,3,0
"ANKRD65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"VWA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,27,55
"ATAD3C",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,4,1
"ATAD3B",2,1,1,0,0,1,0,0,0,0,1,5,1,0,3,0,2,0,1,0,2,46,1
"ATAD3A",2,0,1,0,0,0,0,2,1,0,4,4,2,1,5,0,0,4,0,1,1,109,5
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"SSU72",27,20,8,4,14,8,4,17,1,3,33,88,19,6,40,4,6,15,11,5,41,659,11
"RP5-832C2.5",0,0,2,0,0,0,2,2,0,0,3,5,1,1,2,0,1,0,0,1,3,6,0
"C1orf233",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"RP11-345P4.9",0,1,0,0,0,0,0,1,0,1,0,2,0,1,4,0,0,0,0,0,0,8,0
"MIB2",2,4,1,0,2,3,1,5,0,3,3,19,4,4,6,3,3,3,0,0,5,74,2
"CDK11B",3,8,1,3,2,1,4,3,1,1,9,18,4,10,9,0,2,2,3,2,8,156,2
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLC35E2B",1,3,0,0,2,2,0,3,1,2,6,16,1,1,9,1,1,1,1,0,6,70,1
"RP11-345P4.7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",0,3,1,1,4,6,3,2,2,2,14,26,4,5,14,1,2,2,2,3,11,87,3
"SLC35E2",0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0
"NADK",2,0,2,0,0,1,0,1,0,1,4,9,1,4,2,0,0,0,2,1,2,80,1
"GNB1",18,4,12,1,7,3,5,12,1,1,17,43,10,4,16,3,4,4,10,4,16,317,33
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM52",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"PRKCZ",0,0,0,0,1,1,0,2,0,0,2,4,0,2,4,0,0,1,0,0,2,120,1
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FAAP20",15,9,10,1,6,4,3,14,3,3,19,54,13,6,24,4,1,7,7,1,22,275,8
"SKI",1,0,2,0,2,3,1,3,0,1,13,15,7,1,8,4,2,0,2,1,7,46,6
"MORN1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"RER1",15,5,9,4,4,2,6,4,3,1,11,35,4,8,17,2,3,9,4,2,22,429,8
"PEX10",3,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,48,1
"PLCH2",0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0
"PANK4",0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,1,0,0,0,1,12,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP3-395M20.12",10,5,7,0,1,4,0,5,0,0,13,14,3,6,16,12,3,2,5,0,11,49,1
"RP3-395M20.8",3,0,0,0,0,0,1,1,0,1,2,4,0,0,2,0,0,0,0,0,2,44,0
"TNFRSF14",24,5,10,0,8,4,2,6,3,1,16,62,6,14,20,4,2,4,4,2,32,142,8
"RP3-395M20.9",3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,1
"FAM213B",2,0,4,0,0,0,0,1,1,3,1,5,2,0,2,0,0,1,0,0,2,139,2
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,35,1
"TTC34",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57,0
"MEGF6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0
"TPRG1L",1,0,0,0,0,2,0,1,0,1,2,3,0,0,0,1,1,0,0,0,1,69,2
"WRAP73",1,1,1,1,0,2,1,3,1,0,1,5,2,0,2,1,1,0,0,1,1,83,5
"TP73",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0
"TP73-AS1",1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2
"SMIM1",0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,2,37,0
"LRRC47",3,2,2,0,3,1,1,2,1,1,3,6,4,1,3,1,1,3,1,1,4,133,1
"CEP104",0,1,0,0,0,0,1,3,1,0,4,8,2,4,1,0,0,1,0,0,5,52,3
"DFFB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,12,0
"C1orf174",1,1,2,0,1,1,0,0,1,0,1,7,2,0,3,0,2,0,0,1,3,83,2
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"LINC01346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NPHP4",0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,11,1
"KCNAB2",5,2,1,1,0,2,1,2,1,1,5,19,8,2,5,0,3,0,2,2,7,16,0
"RPL22",220,103,224,20,69,81,47,172,46,47,542,1179,165,251,838,57,83,103,135,35,443,7141,220
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"RNF207",1,0,0,0,0,0,0,1,0,1,0,4,0,0,2,0,1,0,0,1,2,3,1
"ICMT",1,2,2,0,4,0,0,2,0,1,1,6,2,0,1,1,0,0,1,0,1,73,8
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"GPR153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0
"ACOT7",7,2,4,0,2,0,0,3,1,2,0,15,5,1,2,0,1,0,1,1,4,183,9
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HES2",0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,55,0
"ESPN",0,0,0,0,0,0,0,0,0,1,0,3,0,1,5,0,0,3,0,0,1,284,0
"TNFRSF25",1,2,0,1,0,0,2,28,4,10,0,92,4,0,39,2,0,2,1,4,33,30,1
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,2
"NOL9",1,1,0,0,0,0,0,2,0,1,0,6,1,0,4,2,1,0,0,0,2,39,0
"ZBTB48",0,3,0,0,0,1,0,0,1,1,2,3,2,0,0,0,0,1,0,0,1,33,0
"KLHL21",11,0,5,0,0,0,0,1,1,0,0,7,1,0,2,1,0,0,2,1,2,53,2
"PHF13",0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,17,0
"THAP3",1,0,0,0,0,0,0,1,1,1,0,3,1,0,0,1,0,2,1,0,3,30,1
"DNAJC11",3,0,0,0,0,0,1,0,0,1,6,3,1,0,1,0,0,0,0,0,0,57,1
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CAMTA1",15,9,14,1,4,3,1,5,2,2,12,38,5,7,15,3,1,5,8,0,13,510,34
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
"VAMP3",6,1,11,0,2,2,0,5,1,0,4,9,3,0,6,0,2,0,4,1,4,314,15
"PER3",1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,8,0
"RP3-467L1.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"UTS2",4,4,3,1,2,2,0,4,2,0,2,19,5,0,5,2,1,2,2,3,12,1,2
"TNFRSF9",5,5,4,8,2,1,7,7,0,0,0,10,8,0,1,1,2,0,2,2,60,3,0
"PARK7",50,13,28,6,11,13,7,42,11,12,38,135,23,16,63,6,2,22,8,4,83,772,24
"ERRFI1",4,0,1,1,1,0,1,1,0,0,3,10,1,0,2,3,0,3,1,1,5,954,1
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SLC45A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"RERE",1,0,2,1,0,0,0,0,0,0,6,10,2,2,4,1,2,0,1,0,5,121,8
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENO1",112,20,48,4,20,11,4,61,10,15,25,231,40,18,70,17,12,21,36,23,97,1627,29
"ENO1-AS1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,2,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"SLC2A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0
"GPR157",2,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,76,0
"MIR34AHG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP3-510D11.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"H6PD",0,0,1,1,0,1,0,0,0,0,1,2,0,1,2,2,0,1,2,0,5,35,3
"SPSB1",2,0,1,0,0,1,0,1,1,1,2,4,1,0,4,0,0,4,3,1,3,31,1
"SLC25A33",7,1,6,0,2,2,2,2,0,1,11,13,1,4,8,5,0,1,6,4,5,152,3
"TMEM201",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"PIK3CD",1,3,0,0,3,2,2,4,0,2,4,9,7,1,1,0,1,0,1,0,4,4,0
"PIK3CD-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"PIK3CD-AS2",0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,0,0,1,4,0
"CLSTN1",1,0,2,0,3,0,1,3,1,0,1,10,1,1,4,0,2,2,1,0,4,193,11
"CTNNBIP1",8,1,10,0,3,2,0,2,1,0,2,8,4,0,3,1,1,2,5,3,2,79,3
"LZIC",1,1,0,1,1,0,0,5,0,1,2,10,3,1,5,0,1,1,3,1,6,48,1
"NMNAT1",1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,11,2
"RBP7",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,3
"UBE4B",1,1,0,0,2,0,0,4,2,0,3,7,3,2,4,1,0,0,0,0,7,64,1
"KIF1B",17,1,3,0,0,0,0,0,0,0,3,4,1,0,2,1,0,0,0,0,6,64,6
"PGD",25,0,7,0,2,0,0,2,1,0,3,8,2,0,1,1,0,1,6,0,4,165,3
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"APITD1",2,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,39,0
"CORT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DFFA",3,0,2,0,0,2,0,2,0,0,2,10,3,2,2,0,1,1,2,0,4,85,8
"PEX14",2,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0,1,25,2
"CASZ1",0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,53,1
"C1orf127",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",7,3,4,1,1,3,1,6,0,1,9,15,3,5,11,1,4,1,4,1,10,231,10
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0
"SRM",8,3,1,0,4,3,0,3,0,2,16,25,5,3,11,4,2,14,2,2,9,303,10
"EXOSC10",2,0,0,0,1,3,0,1,0,0,3,2,3,1,3,1,0,1,1,0,0,64,3
"RP4-635E18.7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MTOR",0,2,1,0,0,0,0,0,0,0,2,1,1,0,2,0,0,1,0,0,0,33,0
"UBIAD1",1,1,0,1,1,2,0,4,1,0,5,5,0,1,4,0,0,1,1,0,2,53,2
"PTCHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"FBXO2",0,1,0,0,0,0,0,1,0,0,1,2,1,0,2,1,0,0,0,0,2,33,0
"FBXO44",2,1,1,0,0,0,3,2,0,0,5,13,0,2,2,1,0,1,0,0,3,21,1
"FBXO6",4,3,3,0,2,1,0,2,0,0,1,7,2,2,1,0,1,2,4,0,0,31,0
"MAD2L2",9,4,5,2,2,3,1,2,2,0,5,23,5,2,10,2,1,4,6,2,3,120,4
"DRAXIN",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"AGTRAP",5,1,1,0,2,0,0,3,0,0,2,12,6,2,3,2,3,0,8,1,7,137,8
"C1orf167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTHFR",2,1,3,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,1,1,42,0
"CLCN6",2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,7,0
"KIAA2013",0,2,1,0,0,1,0,2,0,0,3,3,2,0,5,2,1,3,1,0,3,176,2
"PLOD1",5,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,51,10
"MFN2",2,0,0,0,0,0,1,0,0,0,2,3,0,0,1,1,1,0,0,0,2,62,5
"MIIP",6,3,1,0,2,2,0,4,1,1,4,8,2,0,7,1,1,3,2,0,15,76,1
"TNFRSF8",1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF1B",14,19,23,3,10,7,4,23,4,3,11,67,15,2,27,6,10,0,34,3,80,39,6
"VPS13D",4,0,1,0,0,1,0,0,1,0,2,4,1,0,2,0,1,0,1,0,1,34,1
"DHRS3",11,1,7,0,0,2,0,0,0,4,0,5,2,0,3,1,1,0,1,0,0,110,3
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"PDPN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM2",3,5,1,0,3,4,3,4,3,1,22,21,10,13,13,1,2,4,3,4,28,67,5
"KAZN",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,1
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"TMEM51",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,46,1
"EFHD2",38,2,21,1,4,4,4,10,1,4,12,43,5,3,9,5,5,2,15,0,30,328,13
"CTRC",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CASP9",1,1,5,0,0,0,0,1,0,0,1,0,0,3,3,0,0,0,3,0,2,24,2
"DNAJC16",0,0,0,0,0,0,1,0,1,1,0,5,0,1,2,0,0,1,0,0,0,60,1
"RP4-680D5.8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AGMAT",0,0,1,0,1,0,0,3,0,0,0,3,0,1,1,0,0,0,0,0,1,90,0
"DDI2",2,1,0,0,2,1,1,0,0,0,8,5,5,2,6,1,1,1,1,0,4,94,4
"PLEKHM2",3,0,3,1,1,0,0,2,0,0,5,5,2,1,0,0,0,0,2,0,2,29,4
"SLC25A34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0
"FBLIM1",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,2,103,5
"UQCRHL",4,1,5,0,3,3,0,6,1,0,6,9,3,1,5,0,3,2,1,1,4,324,1
"FLJ37453",0,1,1,0,1,1,0,1,0,0,0,0,0,0,2,1,0,2,0,1,1,29,2
"SPEN",3,1,1,0,2,0,0,2,0,0,4,10,3,3,8,0,3,3,2,0,2,124,5
"ZBTB17",2,2,0,0,2,1,0,5,1,1,3,8,1,0,4,0,1,1,0,0,4,22,3
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EPHA2",2,0,0,0,0,0,0,1,0,0,0,5,1,1,2,1,0,0,1,0,0,447,1
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARHGEF19",0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,0,0,19,0
"RSG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
"FBXO42",0,1,0,0,1,1,0,2,1,0,3,4,1,0,3,0,1,1,0,1,2,20,0
"SZRD1",12,5,1,0,1,4,4,4,1,2,13,34,10,5,17,3,2,3,3,1,9,148,11
"NECAP2",6,3,4,1,2,2,0,7,0,1,15,33,1,2,11,2,3,2,3,2,25,75,6
"RP4-798A10.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,5,0
"NBPF1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0
"CROCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0
"RP11-108M9.4",5,1,2,0,0,1,0,0,0,0,1,2,0,0,5,0,0,0,2,0,1,85,2
"RP11-108M9.6",0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,5,1
"MFAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,3
"ATP13A2",3,0,0,0,1,1,1,1,0,0,2,7,1,0,4,2,0,1,1,0,1,89,1
"SDHB",14,4,7,0,1,0,1,5,0,1,2,21,6,4,11,3,0,5,2,0,7,512,4
"PADI2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,45,0
"PADI4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RCC2",5,0,4,1,0,0,2,1,0,1,8,9,1,1,4,1,0,2,1,1,5,124,5
"ARHGEF10L",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,61,0
"ALDH4A1",2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,11,1
"IFFO2",1,1,2,0,1,0,2,1,0,0,1,8,1,1,0,1,0,0,0,0,1,21,2
"UBR4",8,4,3,1,1,1,0,2,0,0,5,14,5,6,7,2,2,1,4,0,4,125,6
"RP1-43E13.2",0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"EMC1",2,0,2,0,0,0,0,1,0,0,1,7,1,2,0,1,0,0,0,0,2,69,5
"MRTO4",5,1,2,0,0,1,0,1,0,0,2,6,3,5,4,1,1,1,2,1,3,152,4
"AKR7A3",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,134,0
"AKR7A2",10,4,8,0,1,0,1,3,1,1,5,26,2,3,14,2,2,2,6,3,12,341,8
"PQLC2",4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,19,0
"CAPZB",78,24,23,5,21,4,4,59,14,13,28,184,20,9,63,5,10,6,21,7,69,443,25
"MINOS1",65,16,31,3,11,11,10,45,4,8,36,127,21,12,42,7,6,9,28,6,51,1681,29
"NBL1",1,1,0,2,2,1,0,7,2,2,4,16,7,1,3,5,1,2,0,2,1,505,8
"TMCO4",0,0,1,0,0,0,0,0,1,0,1,2,0,0,2,0,0,1,0,0,0,13,0
"RNF186",1,1,1,0,0,0,0,3,0,0,1,0,0,0,4,2,0,0,0,0,3,703,1
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"OTUD3",2,0,1,1,1,0,0,0,1,3,2,0,3,0,2,0,0,0,0,1,1,38,1
"PLA2G2A",1,1,0,0,0,0,0,1,0,0,5,3,1,1,1,0,2,1,1,0,1,1229,0
"RP3-340N1.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBXN10-AS1",1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0
"UBXN10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"RP4-745E8.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CAMK2N1",3,0,0,0,0,0,0,2,0,0,4,5,1,0,6,0,0,0,1,0,1,1364,1
"MUL1",1,0,1,0,0,0,0,1,1,0,3,2,2,0,3,1,1,1,0,1,4,22,2
"CDA",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,0,1,140,11
"PINK1",0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,0,0,2,0,0,2,77,5
"PINK1-AS",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,1,0
