"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",43,45,6,2,1,0,1,2,1,9,4,5,1,8,4,4,5,7,33,15,147,21
"AP006222.2",39,59,0,0,0,0,0,0,0,1,5,3,0,0,0,1,2,15,5,0,24,11
"RP4-669L17.10",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-206L10.9",3,4,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,4,5,1,24,0
"FAM87B",0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"LINC00115",2,4,1,0,0,0,0,2,0,2,1,1,0,0,1,0,0,0,2,0,11,5
"FAM41C",16,5,0,1,0,3,1,1,1,2,1,2,0,3,0,1,1,3,6,4,11,1
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"RP11-54O7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",1,42,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,1,0,0
"NOC2L",27,69,5,4,0,7,2,1,11,28,17,6,1,5,3,5,6,14,16,25,140,30
"KLHL17",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
"PLEKHN1",0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,4,44,1
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-54O7.17",10,13,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,13,0,13,6
"HES4",177,269,3,52,3,4,5,2,2,24,7,11,0,7,6,2,47,140,361,29,364,125
"ISG15",775,898,30,115,14,105,52,13,45,239,110,64,3,55,42,22,80,280,2512,269,1159,623
"AGRN",22,77,0,1,0,2,1,0,0,0,0,2,0,1,0,0,0,26,19,3,76,67
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"RNF223",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
"C1orf159",1,16,0,2,0,0,0,0,0,0,1,1,0,0,0,1,1,3,4,0,22,6
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-465B22.8",3,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,24,3
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"TNFRSF18",17,8,4,12,5,3,11,3,3,88,11,0,0,27,17,6,0,0,22,305,21,21
"TNFRSF4",28,12,2,27,1,1,4,0,0,135,9,1,0,56,7,2,8,1,25,580,15,124
"SDF4",123,327,7,25,2,18,3,3,4,44,18,21,3,19,8,13,13,49,69,76,271,146
"B3GALT6",13,41,2,3,0,2,1,0,1,4,1,0,0,5,2,0,3,4,9,8,37,19
"FAM132A",2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,56,12
"RP5-902P8.12",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2J2",27,77,1,11,0,12,5,1,1,14,8,11,3,12,5,4,4,21,24,23,121,34
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SCNN1D",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
"ACAP3",10,39,2,4,0,3,1,0,2,6,1,12,0,3,2,1,1,11,9,6,61,19
"PUSL1",9,20,5,2,0,3,0,2,0,3,4,3,0,2,0,1,1,2,8,9,43,7
"CPSF3L",32,74,5,5,0,10,2,0,4,10,7,7,1,14,2,2,5,15,25,14,100,33
"CPTP",7,17,3,2,0,2,0,1,0,7,4,0,0,2,1,0,1,2,2,2,65,15
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"DVL1",5,16,0,0,0,0,0,0,1,1,2,2,1,1,0,0,2,2,10,1,91,7
"MXRA8",4,624,0,1,0,1,0,0,1,2,1,54,0,1,1,0,0,40,4,0,8,4
"AURKAIP1",172,383,15,30,1,30,8,2,13,55,34,28,1,31,14,19,21,50,141,64,668,161
"CCNL2",34,84,3,3,2,14,1,0,2,17,6,8,0,11,2,5,5,19,18,18,152,50
"MRPL20",131,301,15,27,1,22,5,2,12,43,25,18,3,21,5,13,8,41,90,62,328,137
"RP4-758J18.13",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
"ANKRD65",1,36,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,21
"RP4-758J18.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"VWA1",5,124,0,0,0,1,0,0,0,1,1,28,0,0,0,1,0,10,5,0,112,495
"ATAD3C",3,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,4,6
"ATAD3B",17,32,2,1,0,3,0,1,0,2,2,1,0,2,2,0,3,4,14,5,54,15
"ATAD3A",13,59,0,3,1,1,0,0,2,5,3,3,0,3,4,0,2,6,9,4,65,18
"TMEM240",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",151,304,28,31,0,23,5,2,10,48,27,24,4,24,6,11,11,48,116,64,461,115
"RP5-832C2.5",1,1,1,1,0,1,0,0,0,2,0,0,0,1,0,0,1,0,2,0,1,1
"C1orf233",14,25,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,20,2
"RP11-345P4.9",5,17,1,2,0,3,0,1,0,3,4,0,0,0,1,0,0,4,7,6,6,6
"MIB2",25,35,3,0,1,7,2,3,2,15,6,2,1,5,5,1,4,7,16,5,91,20
"MMP23B",1,242,0,2,1,0,0,1,1,0,1,1,0,0,1,0,3,7,3,2,17,1
"CDK11B",14,34,2,2,0,11,0,3,8,17,7,4,0,7,3,1,3,10,15,10,85,28
"RP11-345P4.10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"SLC35E2B",7,30,1,0,1,4,0,3,0,7,2,5,0,1,1,0,5,7,6,5,35,9
"RP11-345P4.7",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",15,21,5,4,3,15,5,3,6,28,8,1,1,4,9,3,8,6,13,15,72,24
"SLC35E2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
"NADK",38,33,2,6,0,1,1,0,1,5,3,0,1,3,3,0,10,6,21,5,74,21
"GNB1",180,227,2,25,1,14,3,3,4,15,17,19,0,9,3,5,18,47,123,25,205,146
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TMEM52",2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,29,1
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GABRD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,16
"PRKCZ",6,14,1,0,1,2,1,0,1,3,4,1,0,2,0,1,0,2,3,4,84,7
"RP5-892K4.1",0,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,5,0
"RP11-181G12.2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"FAAP20",120,265,6,15,3,10,10,0,6,28,9,23,1,12,5,2,14,39,97,39,205,116
"SKI",44,92,13,8,1,9,1,0,3,9,12,4,1,4,10,6,3,12,24,9,44,53
"MORN1",0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,3,0,5,0
"RER1",143,267,7,24,6,16,3,2,5,21,16,18,2,12,7,5,17,32,89,40,293,85
"PEX10",12,25,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,4,6,2,34,24
"PLCH2",0,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,0,1,0,2,4,0
"PANK4",1,8,1,2,1,0,1,1,2,0,1,2,0,0,0,1,0,3,2,5,9,4
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
"RP3-395M20.12",62,14,4,10,0,2,2,0,2,9,4,0,4,5,4,4,1,13,69,7,16,11
"RP3-395M20.8",13,2,1,0,0,1,1,0,1,3,0,0,0,0,1,0,1,0,3,5,34,7
"TNFRSF14",116,37,8,14,0,10,4,3,8,39,14,6,0,11,6,4,6,13,70,44,100,64
"RP3-395M20.9",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2
"FAM213B",13,15,0,3,0,0,0,0,0,3,1,1,0,1,1,0,0,0,2,3,55,28
"MMEL1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4
"TTC34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1
"RP11-22L13.1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF16",0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,1
"MEGF6",2,38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,10,5
"TPRG1L",11,11,1,0,0,0,0,0,0,2,1,1,1,1,0,0,3,4,3,2,46,24
"WRAP73",14,24,3,0,3,2,1,0,1,4,2,0,0,4,2,1,0,6,5,13,16,10
"TP73",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TP73-AS1",7,9,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,1,4,1,9
"SMIM1",6,7,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,15,0
"LRRC47",13,43,4,4,1,5,0,2,0,13,7,3,0,5,3,4,1,3,9,8,25,22
"CEP104",8,21,2,3,0,2,0,0,0,6,2,2,1,0,2,1,2,8,4,5,24,17
"DFFB",5,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,7,2
"C1orf174",17,27,2,1,1,6,0,0,3,14,6,3,0,1,2,1,1,4,8,6,18,9
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC01346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"NPHP4",2,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,8,1
"KCNAB2",53,6,2,6,1,4,2,2,4,12,10,0,0,6,3,4,6,0,31,12,15,4
"CHD5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RPL22",1166,2345,92,282,14,139,90,37,134,490,220,173,35,399,76,85,197,390,1082,529,3053,1184
"RP1-120G22.11",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
"RNF207",2,11,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,4,0,10,34,4
"ICMT",18,82,2,1,0,0,1,1,0,8,2,3,1,4,1,3,1,12,8,6,89,44
"LINC00337",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"GPR153",1,12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,6,0,0,66,0
"ACOT7",23,65,1,5,0,3,3,0,1,6,1,3,0,4,0,1,6,2,11,5,102,64
"RP1-202O8.3",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0
"HES2",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,1
"ESPN",1,3,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,43,0
"TNFRSF25",9,7,5,0,0,2,3,0,0,65,6,0,0,31,3,2,0,2,1,75,19,15
"PLEKHG5",0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,12,24
"NOL9",5,19,0,1,0,5,3,1,0,7,0,2,0,0,1,1,1,5,1,4,18,13
"ZBTB48",8,12,0,2,0,3,0,0,0,0,2,2,0,0,0,0,1,4,3,5,18,2
"KLHL21",80,55,2,6,0,1,0,0,0,5,7,6,1,0,2,0,6,9,46,5,87,24
"PHF13",7,17,1,1,0,2,0,0,0,0,0,2,1,0,0,0,1,5,1,0,17,6
"THAP3",4,24,1,5,0,1,1,0,1,2,0,1,0,1,1,0,3,2,4,0,24,14
"DNAJC11",13,15,0,0,0,2,0,0,1,4,2,2,0,1,0,2,0,5,5,6,34,10
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CAMTA1",133,260,5,22,2,7,5,7,4,25,5,23,0,10,3,6,13,53,129,18,248,136
"VAMP3",71,84,2,9,0,7,1,0,0,7,4,13,0,5,1,3,4,25,58,5,169,88
"PER3",13,9,0,0,0,2,0,1,1,1,2,1,0,0,0,1,1,0,2,2,8,8
"RP3-467L1.4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"UTS2",38,1,4,4,3,11,5,0,0,20,16,0,0,7,10,7,1,1,17,26,17,7
"TNFRSF9",36,7,7,7,1,5,0,2,0,2,8,1,0,3,2,3,0,1,21,63,1,3
"PARK7",245,782,21,60,11,41,12,5,11,98,51,75,4,40,12,17,87,134,173,183,524,281
"ERRFI1",84,112,1,4,0,0,3,0,1,4,5,8,0,3,3,4,0,35,21,7,95,14
"RP11-431K24.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC45A1",1,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1
"RERE",25,56,2,5,0,3,1,1,3,6,0,9,3,0,1,1,4,9,19,8,125,36
"RP5-1115A15.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENO1",668,1083,38,197,10,74,19,8,34,189,69,83,6,64,35,32,24,119,642,319,954,393
"ENO1-AS1",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0
"CA6",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"SLC2A5",3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPR157",14,7,0,42,0,0,0,0,2,1,1,0,1,2,0,0,14,2,34,3,87,8
"MIR34AHG",5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,17,1
"RP3-510D11.2",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
"H6PD",15,58,1,1,0,0,0,0,0,1,1,2,1,3,4,0,2,4,7,4,21,14
"SPSB1",20,122,0,8,0,1,1,0,2,6,6,34,0,8,1,1,7,13,42,12,38,37
"SLC25A33",62,54,1,13,2,3,6,1,5,11,12,7,1,10,2,7,5,10,33,13,71,42
"TMEM201",2,12,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,1,5,11
"PIK3CD",11,10,1,2,1,2,1,0,0,8,5,0,0,1,0,0,2,0,9,2,11,2
"PIK3CD-AS2",2,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,17,1
"CLSTN1",33,102,3,2,1,4,1,0,0,10,1,7,0,3,2,4,0,18,16,14,208,62
"CTNNBIP1",59,72,1,16,1,4,1,1,0,6,2,2,0,3,1,3,2,3,51,10,185,53
"LZIC",32,37,1,1,1,8,1,0,1,5,1,3,0,5,0,0,1,9,12,12,50,15
"NMNAT1",3,10,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,2,9,2
"RBP7",12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24,0,2,47
"UBE4B",11,20,3,3,0,3,0,3,1,5,3,7,0,1,1,2,3,3,13,6,31,13
"KIF1B",62,61,4,5,0,2,2,0,0,4,3,4,0,3,0,0,11,7,38,6,65,44
"PGD",147,76,2,9,0,1,3,1,4,8,4,5,0,6,3,0,9,12,91,3,124,37
"APITD1-CORT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"APITD1",4,15,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,1,21,10
"DFFA",21,54,1,3,0,4,1,1,0,6,1,6,0,4,1,2,6,5,10,1,62,44
"PEX14",10,21,1,2,1,5,0,0,1,1,2,2,0,1,0,0,0,3,1,2,37,14
"CASZ1",0,1,0,0,0,1,0,0,1,4,1,1,0,0,1,0,1,0,1,0,40,6
"TARDBP",35,59,2,6,1,6,4,2,5,16,5,5,3,7,4,1,0,14,26,10,83,44
"RP4-635E18.8",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1
"SRM",63,368,10,16,0,12,0,2,2,14,17,9,0,11,6,7,6,33,35,20,188,90
"EXOSC10",15,23,2,2,0,6,2,1,2,8,1,0,0,1,0,0,2,8,3,6,40,14
"RP4-635E18.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
"MTOR",4,10,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,23,6
"UBIAD1",4,18,2,4,0,2,3,1,1,5,2,2,0,4,2,0,4,2,4,6,24,18
"PTCHD2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO2",3,16,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,2,0,6,29,0
"FBXO44",2,22,0,1,0,3,1,0,3,1,6,5,0,2,0,3,2,2,3,5,33,5
"FBXO6",28,28,0,7,0,1,2,0,1,5,2,1,0,0,2,2,5,3,19,1,49,6
"MAD2L2",30,119,3,21,1,10,3,2,3,4,5,5,1,6,5,1,27,8,62,9,41,46
"DRAXIN",0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
"AGTRAP",75,157,4,9,0,6,1,1,1,7,3,11,0,1,5,2,0,8,76,18,116,43
"C1orf167",1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,11,1
"MTHFR",21,12,0,5,0,0,0,0,3,2,0,1,1,0,1,0,1,8,14,1,41,16
"CLCN6",6,10,1,2,0,2,0,0,1,0,1,1,0,1,1,1,0,3,6,3,14,5
"NPPA-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"KIAA2013",32,48,0,2,0,3,2,1,1,3,3,3,0,2,1,2,1,5,12,10,102,35
"PLOD1",23,248,1,0,0,0,1,0,0,0,1,6,0,0,0,0,0,38,16,1,45,72
"MFN2",18,20,1,2,0,3,0,0,1,3,2,2,0,0,1,1,1,5,6,4,60,18
"MIIP",39,55,3,1,0,4,2,0,4,6,6,3,0,4,0,2,4,2,14,10,67,17
"TNFRSF8",0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,1
"TNFRSF1B",150,12,28,56,3,35,6,6,4,46,43,1,1,24,16,22,30,4,361,146,56,47
"VPS13D",28,15,1,2,0,1,0,1,1,1,5,0,0,4,1,2,5,6,12,1,36,8
"DHRS3",77,33,1,3,0,1,1,0,0,8,0,9,0,8,5,1,0,7,17,2,73,16
"RP11-474O21.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HNRNPCL2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",25,544,0,1,0,0,0,0,0,0,1,9,0,2,0,1,0,1,9,2,6,2
"PRDM2",29,68,4,8,1,8,1,5,15,17,9,4,5,11,5,0,3,5,29,36,47,36
"KAZN",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,9
"TMEM51-AS1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
"TMEM51",47,33,0,9,0,0,0,0,0,0,0,4,0,0,1,0,1,4,20,0,79,16
"FHAD1",11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2
"RP3-467K16.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP3-467K16.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
"EFHD2",202,95,6,43,4,13,4,3,3,33,9,9,1,7,7,12,11,10,228,29,340,66
"CTRC",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CELA2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CASP9",11,6,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,2,10,2,9,12
"DNAJC16",10,18,1,3,0,0,0,0,2,1,1,0,0,0,0,0,1,0,3,0,32,11
"AGMAT",0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"DDI2",14,16,1,1,0,2,1,0,3,5,4,1,0,3,2,1,0,4,9,6,57,35
"RP4-680D5.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"PLEKHM2",49,35,0,4,0,2,0,0,2,3,1,4,0,1,1,0,3,6,31,3,39,31
"SLC25A34",3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2
"RP11-169K16.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FBLIM1",3,128,0,0,0,2,0,0,0,0,1,13,0,0,0,0,0,59,0,3,84,34
"UQCRHL",36,58,1,9,0,4,2,0,2,6,4,1,2,4,4,3,2,5,32,15,146,19
"FLJ37453",5,8,1,4,0,0,0,1,0,2,0,2,0,0,0,0,2,3,6,3,23,10
"SPEN",23,37,3,5,0,3,2,1,3,8,6,3,0,2,1,2,2,16,19,5,116,43
"ZBTB17",9,26,0,5,1,1,2,1,0,9,5,2,1,5,1,2,2,4,21,8,30,25
"HSPB7",1,10,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,5,1,0,1,1
"FAM131C",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0
"EPHA2",9,18,1,2,0,0,0,0,2,1,1,1,0,1,1,1,3,5,23,1,577,33
"RP11-276H7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0
"ARHGEF19",1,18,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,3,1,1,19,5
"RSG1",3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0
"FBXO42",6,18,1,1,0,3,0,0,1,6,5,3,0,2,0,3,3,0,5,4,19,11
"SZRD1",55,133,6,10,3,15,2,0,3,17,12,8,0,13,3,6,5,21,41,27,112,65
"SPATA21",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"NECAP2",64,82,6,10,0,4,2,1,8,16,7,2,1,9,5,0,11,13,40,25,75,74
"RP4-798A10.2",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NBPF1",1,12,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,1,3,0,15,1
"CROCC",2,45,1,0,0,4,0,0,0,2,2,5,0,0,1,1,0,0,1,3,9,4
"RP11-108M9.4",11,31,0,1,0,0,1,0,1,2,2,3,0,1,0,0,0,2,7,2,35,19
"RP11-108M9.6",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
"MFAP2",8,443,0,1,0,0,0,1,0,1,1,19,0,1,0,0,0,9,2,1,15,35
"ATP13A2",6,10,0,1,0,1,0,0,0,5,1,3,0,1,2,0,7,9,8,5,103,33
"SDHB",106,95,7,15,1,13,5,1,1,22,9,11,3,11,4,5,5,14,60,24,219,62
"PADI2",10,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,0
"RP11-380J14.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-380J14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"PADI1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,0
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"PADI4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0
"RCC2",46,53,0,15,0,1,1,1,1,4,2,0,0,4,2,2,5,6,20,5,87,34
"ARHGEF10L",16,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,0,56,1
"IGSF21",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ALDH4A1",0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,8,3
"IFFO2",15,16,1,1,0,1,0,2,1,5,1,1,0,1,1,0,0,2,8,3,34,12
"UBR4",50,31,2,6,0,3,0,1,1,8,4,5,0,6,7,3,5,8,52,8,132,42
"RP1-43E13.2",4,11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,3,0,1,1
"EMC1",12,33,1,1,0,0,1,0,0,0,2,1,0,1,0,0,1,4,5,6,24,13
"MRTO4",10,47,2,2,0,4,0,0,1,5,9,3,1,3,6,1,1,6,10,12,69,22
"AKR7A3",4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,71,0
"AKR7A2",72,205,0,7,0,8,2,1,4,17,5,10,1,4,3,3,11,20,28,22,155,54
"PQLC2",14,26,0,1,0,0,0,0,0,2,0,3,0,1,0,0,2,3,5,2,13,6
"CAPZB",371,856,40,77,8,64,12,7,20,140,69,97,1,42,17,29,22,90,241,144,518,187
"MINOS1",402,643,16,47,4,34,9,6,5,52,33,40,1,25,8,18,13,95,308,70,854,240
