"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",14,8,4,2,2,2,2,5,6,3,3,4,1,0,0,4,4,1,3,21,18,127,7
"AP006222.2",23,10,1,1,2,0,1,1,1,1,2,1,2,0,0,1,0,1,3,7,5,71,8
"RP4-669L17.10",1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,4,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-206L10.9",3,3,0,1,0,0,0,1,1,0,1,1,0,2,0,1,0,0,0,1,3,14,0
"LINC00115",1,1,0,0,0,0,0,0,2,0,2,2,2,0,0,0,1,0,0,5,3,14,0
"FAM41C",3,3,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,4,3,28,1
"RP11-54O7.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOC2L",16,11,3,3,3,3,4,10,8,13,9,8,4,10,1,3,4,2,3,19,25,268,2
"KLHL17",1,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,1,9,2
"PLEKHN1",1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,4,15,0
"PERM1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"RP11-54O7.17",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"HES4",120,31,5,31,3,4,0,5,12,4,7,15,12,20,1,7,12,39,38,299,26,77,30
"ISG15",1230,274,44,83,125,138,41,138,174,51,204,225,44,112,2,64,91,109,85,2381,489,1546,112
"AGRN",12,17,0,2,0,1,0,2,5,0,2,1,1,0,0,0,1,0,15,12,1,105,21
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNF223",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0
"C1orf159",6,2,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,0,1,1,0,47,2
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33,1
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,1
"TNFRSF18",12,10,2,4,35,4,4,93,59,4,26,18,4,15,0,47,14,1,0,39,466,42,2
"TNFRSF4",19,6,1,3,6,0,2,113,9,2,54,0,4,49,1,5,10,3,2,57,583,59,90
"SDF4",118,76,4,12,10,12,3,33,18,10,19,16,8,15,1,10,8,10,15,88,82,589,49
"B3GALT6",10,7,1,4,2,1,0,1,2,4,2,0,1,3,0,4,0,0,0,10,10,44,5
"FAM132A",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UBE2J2",36,11,1,2,6,4,1,8,6,5,6,8,8,8,0,5,2,2,2,19,36,211,18
"RP5-902P8.10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0
"ACAP3",12,9,2,0,1,0,0,1,7,2,1,6,0,0,0,2,2,0,4,3,4,25,6
"PUSL1",6,4,1,0,2,0,1,0,2,2,3,1,0,1,2,3,2,1,1,11,5,98,4
"CPSF3L",22,15,1,1,6,3,1,5,6,6,8,5,3,2,0,0,3,4,8,18,20,222,8
"CPTP",6,5,0,0,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,5,4,72,9
"DVL1",9,1,0,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,2,2,82,1
"MXRA8",0,143,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,4,0
"AURKAIP1",136,59,10,16,9,19,6,25,33,25,29,33,14,28,3,24,10,9,17,112,94,1123,61
"CCNL2",12,10,4,0,8,6,4,12,10,10,3,3,1,6,0,4,1,3,2,12,9,181,14
"MRPL20",103,55,11,14,9,11,7,29,31,24,25,30,9,22,4,10,7,11,11,78,82,772,49
"RP4-758J18.13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0
"ANKRD65",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
"VWA1",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,40,155
"ATAD3C",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0
"ATAD3B",7,3,2,1,2,1,2,1,6,7,3,5,1,0,0,2,1,1,2,12,8,127,4
"ATAD3A",13,8,0,1,1,0,1,2,1,2,1,3,0,2,0,3,0,1,2,7,4,160,7
"TMEM240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SSU72",108,50,19,11,16,13,7,21,23,29,30,28,23,36,6,16,7,12,11,83,82,614,42
"RP5-832C2.5",0,0,1,0,0,0,1,0,3,4,1,6,2,6,0,0,0,0,0,3,3,15,1
"C1orf233",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-345P4.9",4,0,1,0,0,0,1,0,0,2,0,2,0,4,0,1,0,1,0,8,3,23,1
"MIB2",8,10,4,2,3,5,1,6,8,3,7,10,0,6,0,2,2,0,1,9,18,186,6
"MMP23B",0,30,1,0,0,2,0,1,1,0,0,2,0,0,0,0,2,0,0,1,1,10,0
"CDK11B",13,10,5,4,6,7,2,13,11,20,10,11,9,13,1,5,7,3,3,19,19,258,9
"RP11-345P4.10",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"SLC35E2B",8,5,1,0,1,4,2,3,3,7,3,6,2,1,0,2,1,4,2,3,10,77,7
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CDK11A",18,6,3,0,5,7,6,17,18,14,12,16,11,18,2,12,7,8,1,37,34,270,12
"SLC35E2",1,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,13,1
"NADK",39,7,5,1,2,0,2,2,0,5,1,1,4,1,0,0,0,7,1,14,7,111,6
"GNB1",118,47,4,13,9,7,3,14,15,10,18,7,9,16,0,7,4,22,16,119,41,442,53
"RP1-140A9.1",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM52",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RP11-547D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRKCZ",2,2,0,2,1,1,1,1,2,1,1,4,2,1,0,0,0,0,1,1,5,100,5
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,4,1
"RP11-181G12.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",65,61,4,7,8,7,4,13,15,15,17,18,4,13,2,3,5,13,20,50,34,440,32
"SKI",16,14,2,0,1,6,2,5,9,8,9,5,1,6,1,9,6,3,4,21,12,49,22
"MORN1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17,0
"RER1",106,63,4,9,8,9,8,23,15,6,13,27,6,11,0,12,7,8,16,72,35,836,27
"PEX10",11,7,0,0,0,0,0,3,1,1,0,2,0,0,0,2,0,1,3,6,5,79,6
"PLCH2",0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,1,1,0,0,0,1,7,0
"PANK4",3,2,1,1,0,0,0,2,3,0,1,3,0,3,0,0,1,0,0,0,2,17,1
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP3-395M20.12",24,1,3,11,1,3,0,2,5,10,9,5,8,2,0,4,3,1,4,45,14,31,5
"RP3-395M20.8",3,2,1,3,0,0,0,0,1,1,2,3,1,1,0,0,1,0,0,9,7,28,3
"TNFRSF14",94,19,5,6,6,5,3,14,7,19,18,19,23,20,1,1,12,2,7,60,60,352,20
"RP3-395M20.9",2,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,1,4,4,0
"FAM213B",11,3,1,0,1,0,0,0,3,2,2,2,3,0,0,2,0,0,0,8,7,116,21
"MMEL1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,3
"TTC34",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
"RP11-22L13.1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"ARHGEF16",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,108,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MEGF6",4,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TPRG1L",7,6,0,2,2,1,0,0,2,0,1,3,1,1,1,1,0,3,2,2,5,88,9
"WRAP73",6,6,2,1,3,0,0,2,4,3,3,4,1,1,0,2,0,0,4,5,15,62,3
"TP73",1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"TP73-AS1",3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"SMIM1",2,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0
"LRRC47",12,14,3,1,4,0,0,2,4,3,1,6,1,5,0,2,0,1,0,9,14,170,12
"CEP104",8,6,2,0,2,1,2,0,1,3,0,4,0,2,0,1,2,1,1,4,8,62,12
"DFFB",5,1,0,0,0,1,0,0,1,1,0,2,0,1,0,0,1,0,0,0,2,22,1
"C1orf174",10,11,2,0,2,3,1,0,6,1,3,6,0,3,0,0,1,0,0,2,14,153,2
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"NPHP4",3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,10,0
"KCNAB2",35,1,2,2,8,5,1,3,7,3,4,7,3,5,2,2,4,1,1,22,19,6,4
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RPL22",664,319,108,138,90,91,84,194,195,532,343,203,277,443,52,118,102,121,88,1085,577,6040,317
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RNF207",0,5,1,0,1,0,0,3,1,0,0,0,0,0,0,0,2,0,1,1,5,46,3
"ICMT",19,21,0,0,3,2,1,3,1,1,0,1,2,2,0,1,0,0,3,5,10,147,6
"LINC00337",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"GPR153",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,24,0
"ACOT7",27,3,1,2,5,10,6,6,8,2,2,8,2,0,0,4,3,3,1,6,15,304,24
"RP1-202O8.3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1
"HES2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,2
"ESPN",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,15,0
"TNFRSF25",3,2,2,0,11,1,1,26,9,1,24,4,1,18,1,4,1,0,0,6,74,49,6
"PLEKHG5",1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,28,9
"NOL9",2,5,1,0,0,1,2,3,3,3,0,2,1,2,0,4,3,1,0,3,9,47,7
"TAS1R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ZBTB48",8,3,0,0,1,2,0,1,1,0,0,2,1,0,0,1,0,0,3,5,7,38,2
"KLHL21",36,1,1,2,1,1,0,0,1,3,3,2,0,1,0,0,1,5,1,23,10,106,5
"PHF13",3,2,0,0,2,0,0,1,2,0,2,0,1,0,0,1,0,0,0,3,0,11,0
"THAP3",2,12,1,1,0,2,1,3,4,1,1,1,0,0,0,1,2,0,0,1,4,48,5
"DNAJC11",11,5,0,0,3,0,0,1,1,1,3,3,1,3,0,0,1,1,0,5,1,58,6
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"CAMTA1",76,46,6,9,3,5,4,10,13,17,20,8,6,8,2,5,3,3,15,81,24,324,34
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VAMP3",87,20,0,4,3,1,3,5,3,2,3,6,0,0,2,2,2,1,6,45,12,229,33
"PER3",3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2
"RP3-467L1.4",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTS2",8,0,2,1,0,8,4,3,12,2,8,7,1,3,1,7,3,0,0,12,16,92,2
"TNFRSF9",39,1,3,6,13,3,1,1,27,0,3,12,1,0,0,7,8,1,0,26,99,7,3
"PARK7",200,139,17,21,34,24,7,58,57,35,44,79,21,44,5,44,20,45,42,179,214,1626,127
"ERRFI1",32,16,0,1,0,0,0,1,1,0,1,0,1,4,0,0,0,0,17,28,5,953,2
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-431K24.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC45A1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RERE",8,7,2,0,4,2,1,2,1,4,4,2,4,4,1,2,1,1,1,8,28,156,13
"ENO1",792,212,27,100,44,54,32,83,113,65,113,89,18,57,6,42,35,31,37,967,354,4853,144
"ENO1-AS1",0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
"SLC2A5",29,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,1,0
"GPR157",3,2,1,9,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0,14,0,31,0
"MIR34AHG",3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1
"RP3-510D11.2",2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"H6PD",14,11,0,0,1,0,1,5,3,1,2,2,0,1,0,1,1,1,1,7,4,78,6
"SPSB1",9,23,0,3,2,2,1,5,5,1,6,1,2,4,0,1,0,2,6,18,4,59,7
"SLC25A33",30,7,1,4,1,4,2,4,7,8,3,3,12,5,0,2,0,5,4,30,9,279,10
"TMEM201",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,23,3
"PIK3CD",4,0,1,1,4,4,3,2,7,2,3,5,2,2,0,1,3,0,1,1,7,10,0
"PIK3CD-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PIK3CD-AS2",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1
"CLSTN1",19,16,0,2,3,4,2,2,5,4,4,5,3,3,0,6,3,3,2,8,15,243,16
"CTNNBIP1",26,12,1,3,2,1,1,4,4,1,1,7,1,3,0,3,3,3,5,23,10,199,23
"LZIC",20,3,2,3,0,2,1,2,1,5,8,4,1,5,0,3,2,1,3,17,11,89,3
"NMNAT1",4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,37,5
"RBP7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,2
"UBE4B",12,1,1,1,1,3,1,2,1,5,2,1,0,1,0,2,1,1,0,8,9,94,4
"KIF1B",51,9,1,1,0,0,1,1,2,2,1,2,1,1,0,1,1,6,2,51,10,98,12
"PGD",108,12,0,4,0,2,3,3,2,3,4,3,1,0,0,3,1,4,1,68,6,203,6
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"APITD1",4,3,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,105,5
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DFFA",17,8,3,1,1,3,0,3,3,4,1,4,2,3,0,2,2,4,2,7,13,67,26
"PEX14",8,4,0,1,2,0,2,3,1,1,1,1,1,0,0,1,0,0,1,5,3,49,3
"CASZ1",3,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,1,70,1
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"C1orf127",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"TARDBP",33,14,3,1,1,3,6,6,3,6,4,3,7,8,1,7,5,5,5,22,19,220,25
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"SRM",48,40,5,3,5,6,1,5,13,12,7,10,4,5,0,4,3,3,17,29,30,589,29
"EXOSC10",14,4,1,1,2,4,1,1,2,3,3,5,3,3,0,0,0,0,0,5,7,97,4
"RP4-635E18.6",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0
"MTOR",6,5,0,1,2,0,0,1,0,3,2,0,0,2,0,1,0,0,3,2,3,56,8
"UBIAD1",6,4,1,0,2,0,0,5,3,6,1,4,2,4,1,0,1,1,0,3,8,93,4
"PTCHD2",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0
"FBXO2",0,4,1,0,2,2,0,1,5,1,0,1,0,0,1,3,1,1,0,0,7,21,0
"FBXO44",4,3,1,0,2,5,0,2,0,1,4,1,3,2,0,1,3,0,0,0,3,42,3
"FBXO6",42,11,1,4,1,1,0,5,4,4,2,4,1,1,0,6,1,0,0,31,5,117,3
"MAD2L2",35,27,1,6,9,3,2,8,8,5,7,16,1,6,0,7,3,6,5,33,15,138,10
"DRAXIN",0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0
"AGTRAP",76,33,2,1,4,1,2,2,4,1,4,6,1,3,0,5,2,1,4,53,13,170,22
"C1orf167",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MTHFR",8,6,1,3,0,0,0,0,0,3,0,2,4,0,0,1,0,2,2,5,2,83,5
"CLCN6",8,2,0,0,2,0,0,0,3,1,0,0,1,0,0,0,1,0,0,3,1,11,5
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"KIAA2013",35,13,0,1,0,3,2,2,1,2,1,2,3,3,0,3,4,5,3,10,7,171,9
"PLOD1",39,34,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,10,5,6,106,26
"MFN2",16,4,0,0,3,0,0,2,1,1,3,2,0,0,0,2,1,0,0,4,2,43,5
"MIIP",34,9,1,2,4,2,0,5,4,4,2,7,1,2,0,2,2,6,3,13,18,112,2
"TNFRSF8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1
"TNFRSF1B",91,5,8,18,15,13,5,16,23,8,21,40,3,15,2,19,16,6,2,228,213,53,12
"VPS13D",7,5,0,2,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,9,3,27,7
"DHRS3",47,19,3,0,0,1,1,1,1,0,5,4,0,6,0,1,2,1,0,11,1,92,4
"RP11-474O21.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1orf158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"HNRNPCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"LRRC38",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",86,204,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,6,1
"PRDM2",25,12,7,0,6,6,7,7,14,40,11,17,15,9,1,10,11,2,1,20,60,50,9
"KAZN",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,2
"TMEM51-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"TMEM51",61,12,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,20,0,85,2
"FHAD1",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"EFHD2",184,15,7,18,7,6,1,6,17,7,14,18,3,4,0,17,11,10,6,150,42,493,25
"CTRC",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0
"CELA2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CASP9",15,2,1,4,1,0,0,3,3,4,0,2,5,2,0,0,0,0,1,5,3,32,9
"DNAJC16",6,3,1,0,2,1,0,0,1,2,0,2,1,1,0,0,0,0,0,1,5,45,8
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AGMAT",0,0,0,1,0,0,0,2,1,1,3,0,0,1,0,0,0,0,0,1,4,55,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DDI2",11,4,0,0,1,1,2,4,1,4,4,8,2,1,1,3,3,0,0,7,14,72,21
"RP4-680D5.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PLEKHM2",33,10,0,2,1,1,1,4,1,2,3,1,1,2,0,1,1,1,2,24,3,73,4
"SLC25A34",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FBLIM1",5,28,4,0,0,0,1,1,2,1,2,2,1,1,0,0,0,0,17,3,3,260,30
"UQCRHL",15,7,1,2,4,3,2,8,2,3,3,7,3,3,2,1,1,2,2,20,10,314,4
"FLJ37453",4,3,0,1,1,0,1,0,1,1,1,0,1,1,0,1,3,0,0,4,0,26,2
"SPEN",24,2,2,4,2,2,1,2,6,7,1,4,3,3,0,1,5,1,1,27,12,163,9
"ZBTB17",17,6,1,2,0,2,1,4,2,6,3,6,3,3,0,0,0,1,1,12,7,64,6
"C1orf64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HSPB7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"CLCNKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EPHA2",11,4,4,3,0,0,1,0,1,4,0,4,2,3,0,1,0,1,2,9,4,885,11
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"ARHGEF19",2,10,0,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,2,1,14,0
"RSG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"FBXO42",11,1,2,0,2,1,0,4,6,2,1,0,1,2,0,0,0,0,0,4,11,34,0
"SZRD1",57,20,3,6,8,6,3,11,13,9,8,14,3,6,2,7,4,8,9,52,25,176,15
"SPATA21",1,0,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0
"NECAP2",83,25,4,4,7,7,2,15,10,14,15,9,4,11,0,5,5,10,7,43,47,213,29
"RP4-798A10.2",1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0
"NBPF1",3,7,0,0,1,1,0,1,1,1,1,2,1,0,0,0,0,0,2,2,1,16,2
"CROCC",1,4,0,0,0,1,0,2,3,1,2,2,0,0,0,0,0,0,2,1,5,49,2
"RP11-108M9.4",10,3,2,4,1,0,0,1,2,0,3,1,2,2,2,0,0,2,5,8,1,2,24
"RP11-108M9.6",0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,10,1
"MFAP2",1,114,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,2,1,6,3
"ATP13A2",25,7,1,0,1,1,3,1,1,3,3,2,1,0,0,0,2,3,1,7,8,130,14
