"","Anti-inflammatory macro/mono","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"RP11-34P13.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FO538757.2",7,3,0,0,4,0,2,12,3,0,1,2,0,1,5,1163
"AP006222.2",21,0,0,0,1,0,1,6,0,0,0,1,0,0,6,289
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"RP11-206L10.9",0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,117
"FAM87B",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LINC00115",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,68
"FAM41C",4,0,0,0,1,0,3,0,0,0,0,0,0,1,2,152
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SAMD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"NOC2L",7,7,1,2,5,1,5,39,10,3,5,1,2,1,14,2588
"KLHL17",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,44
"PLEKHN1",1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,75
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-54O7.17",3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,78
"HES4",222,10,1,1,31,8,5,173,16,1,13,15,1,21,60,3017
"ISG15",190,42,2,9,66,11,12,409,91,6,15,25,17,17,152,3706
"AGRN",2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,427
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNF223",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,285
"C1orf159",2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,165
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"RP11-465B22.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
"TNFRSF18",3,47,0,36,22,38,0,132,10,0,2,83,9,4,217,44
"TNFRSF4",1,0,0,0,26,0,0,120,1,0,37,0,0,1,335,37
"SDF4",56,15,2,1,9,2,9,122,17,2,4,6,3,6,42,3186
"B3GALT6",3,1,0,0,1,0,0,10,2,0,2,0,0,0,10,257
"FAM132A",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,42
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2J2",10,3,2,0,5,2,2,50,5,0,2,4,1,3,14,1105
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"ACAP3",3,2,1,0,0,0,2,11,1,0,1,0,0,0,5,374
"PUSL1",3,4,1,0,2,0,1,13,4,0,2,0,0,0,7,466
"CPSF3L",12,1,0,1,1,2,3,31,5,1,2,1,0,1,9,1295
"CPTP",0,3,0,0,1,0,0,5,2,0,1,0,0,0,4,547
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"DVL1",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,527
"MXRA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"AURKAIP1",58,12,4,2,12,7,9,119,29,4,11,13,2,6,49,8317
"CCNL2",6,6,0,3,3,1,1,22,4,4,4,0,0,1,12,1534
"MRPL20",23,11,3,1,11,3,5,94,20,1,10,8,1,3,37,5423
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22
"ANKRD65",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"VWA1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808
"ATAD3C",0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,669
"ATAD3B",1,2,0,0,2,0,1,9,2,1,0,1,0,0,5,779
"ATAD3A",5,2,0,1,1,1,0,11,1,1,1,2,0,0,2,1289
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SSU72",33,9,0,2,13,5,15,86,17,1,13,6,1,3,35,4011
"RP5-832C2.5",0,0,0,0,0,0,0,9,1,2,0,0,0,0,2,111
"AL645728.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"C1orf233",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"RP11-345P4.9",0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,71
"MIB2",5,2,0,2,2,1,0,22,4,1,1,4,0,0,3,936
"MMP23B",0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,36
"CDK11B",6,0,0,1,1,0,4,23,5,2,1,1,0,0,9,929
"RP11-345P4.10",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
"SLC35E2B",2,1,0,1,1,0,3,8,2,1,0,1,1,0,3,552
"CDK11A",12,2,0,0,4,0,4,35,7,3,9,1,0,1,14,764
"SLC35E2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31
"NADK",23,1,0,0,2,1,1,18,1,3,1,1,0,1,3,619
"GNB1",50,6,1,3,2,1,5,57,15,3,6,3,2,6,18,2072
"RP1-140A9.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
"CFAP74",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RP11-547D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRKCZ",1,2,0,0,1,0,3,9,1,0,1,1,1,0,6,689
"RP5-892K4.1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"FAAP20",30,10,4,1,9,0,6,57,14,3,5,7,1,0,22,2219
"SKI",6,3,1,0,2,0,3,21,9,0,2,5,0,0,1,418
"MORN1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55
"RER1",50,12,4,2,11,3,5,90,15,4,9,9,3,2,28,3423
"PEX10",5,0,0,1,1,1,0,6,0,0,0,0,0,0,1,601
"PLCH2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
"PANK4",2,1,0,0,1,0,0,3,0,0,0,1,0,0,2,75
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP3-395M20.12",27,0,1,0,3,0,5,13,4,1,4,0,0,5,7,152
"RP3-395M20.8",4,0,0,0,0,0,1,6,1,0,0,0,0,0,0,141
"TNFRSF14",60,9,2,1,7,1,11,61,14,5,7,1,1,2,31,1557
"RP3-395M20.9",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18
"FAM213B",9,3,0,1,0,0,0,6,1,0,0,1,0,0,4,878
"MMEL1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,150
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TTC34",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"ARHGEF16",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"MEGF6",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,79
"RP11-46F15.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TPRG1L",0,0,0,0,0,0,1,5,2,2,0,0,0,0,2,632
"WRAP73",3,0,0,0,3,1,0,16,3,0,0,0,1,0,5,509
"TP73",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,26
"TP73-AS1",0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,6
"SMIM1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100
"LRRC47",6,2,0,0,2,0,1,8,3,0,3,0,1,0,3,995
"CEP104",4,1,0,0,1,0,1,5,4,0,2,1,0,0,2,449
"DFFB",0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,134
"C1orf174",0,1,0,1,0,0,1,15,4,0,0,1,1,0,1,535
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"LINC01346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"AJAP1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"NPHP4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"KCNAB2",15,4,0,1,1,0,1,31,6,1,2,3,1,2,21,400
"CHD5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"RPL22",320,90,18,50,99,31,201,993,167,92,192,91,18,56,322,52229
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"RNF207",1,0,0,0,2,0,0,2,0,0,1,0,0,1,2,83
"ICMT",4,2,0,0,1,0,1,9,2,0,1,0,0,0,3,463
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GPR153",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
"ACOT7",9,6,0,0,3,0,1,24,11,0,4,4,0,0,7,1481
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"HES2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329
"ESPN",0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,700
"TNFRSF25",1,3,0,1,19,4,0,148,6,0,10,0,1,0,34,215
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
"NOL9",2,0,0,2,1,0,0,13,3,0,0,1,0,0,1,372
"TAS1R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZBTB48",4,0,0,0,0,0,0,5,0,0,0,1,0,0,3,184
"KLHL21",16,0,0,0,0,0,0,4,0,0,1,0,0,2,0,733
"PHF13",2,0,0,0,1,0,1,4,1,0,1,0,0,0,1,214
"THAP3",4,2,1,0,0,1,0,8,2,0,0,1,0,0,1,220
"DNAJC11",4,0,1,0,0,0,1,5,0,0,0,0,0,0,1,323
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"CAMTA1",44,4,0,1,7,0,7,35,9,1,7,0,1,3,11,4414
"RP11-338N10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"VAMP3",31,2,1,0,1,0,1,12,5,0,3,1,0,3,3,1771
"PER3",1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,74
"UTS2",10,6,1,1,1,0,0,35,9,0,5,3,1,0,19,359
"TNFRSF9",37,12,2,1,2,3,0,20,7,0,1,3,0,3,40,14
"PARK7",101,41,5,17,46,8,22,330,62,12,36,21,7,8,124,11306
"ERRFI1",17,0,0,0,1,0,1,9,3,1,4,4,0,3,2,4609
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"RP11-431K24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SLC45A1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
"RERE",4,0,1,0,1,0,2,8,3,2,0,1,0,0,2,1078
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENO1",283,68,8,40,80,13,20,641,101,6,27,47,20,19,215,16250
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27
"CA6",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A5",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"GPR157",4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,482
"MIR34AHG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"RP3-510D11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"H6PD",1,0,1,0,0,0,1,6,4,0,0,2,0,0,2,420
"SPSB1",8,0,0,0,2,0,2,4,0,0,0,0,1,0,3,972
"SLC25A33",25,2,0,4,2,1,7,28,3,2,7,3,0,0,7,2668
"TMEM201",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,175
"PIK3CD",5,2,0,2,2,0,1,15,4,0,1,3,0,1,4,7
"PIK3CD-AS2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
"CLSTN1",5,3,0,0,0,1,1,17,2,0,0,2,0,1,4,1029
"CTNNBIP1",11,2,0,1,2,0,1,18,3,0,0,2,0,0,2,751
"LZIC",7,0,0,0,2,0,1,12,4,1,1,1,0,0,11,452
"NMNAT1",3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,128
"RBP7",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"UBE4B",2,2,0,0,1,1,0,8,3,1,1,2,0,0,4,436
"KIF1B",29,1,2,0,3,1,0,6,0,0,1,1,1,3,7,511
"PGD",31,0,0,0,1,0,0,13,4,0,2,2,1,1,5,1569
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"APITD1-CORT",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"APITD1",1,1,1,0,0,0,0,4,1,0,1,1,0,0,2,383
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"DFFA",9,3,0,2,1,0,3,10,5,2,1,1,0,0,5,1056
"PEX14",2,2,0,0,0,0,0,4,2,0,0,0,0,0,2,245
"CASZ1",0,0,0,0,0,0,1,4,0,0,1,0,2,0,3,331
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"C1orf127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TARDBP",7,1,1,1,3,0,4,20,7,0,1,2,1,3,7,1288
"RP4-635E18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RP4-635E18.8",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,14
"SRM",21,2,1,2,6,0,8,29,14,0,2,8,0,1,17,2668
"EXOSC10",2,4,0,0,1,0,0,6,0,0,0,1,2,0,1,430
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP4-635E18.6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"MTOR",4,0,0,0,0,0,2,6,1,0,2,0,0,1,1,210
"UBIAD1",2,2,0,2,2,0,4,11,3,1,1,0,0,0,1,447
"FBXO2",0,5,1,2,1,0,1,7,1,0,0,3,1,0,2,43
"FBXO44",2,1,0,1,2,0,3,9,4,1,0,1,1,1,1,59
"FBXO6",10,1,0,0,3,0,0,10,5,0,1,4,1,0,1,163
"MAD2L2",16,14,1,2,8,0,3,27,12,0,1,7,1,0,8,498
"DRAXIN",1,0,0,0,0,0,0,2,8,0,0,3,0,0,2,16
"AGTRAP",17,5,0,0,2,0,0,20,12,0,3,4,0,4,13,958
"C1orf167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"MTHFR",6,1,0,1,1,0,2,0,0,0,0,1,0,0,0,409
"CLCN6",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99
"NPPA-AS1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8
"KIAA2013",7,2,1,0,1,1,1,7,3,0,0,1,0,0,6,1073
"PLOD1",11,0,0,0,1,0,0,4,3,0,0,0,0,0,0,468
"MFN2",7,1,0,0,1,1,0,2,2,0,1,1,0,1,2,304
"MIIP",5,2,0,1,3,2,1,14,2,2,0,3,0,1,14,655
"TNFRSF8",0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0
"TNFRSF1B",48,10,1,9,11,2,5,113,21,3,13,12,4,12,98,459
"VPS13D",2,0,0,0,0,1,0,3,0,0,1,0,0,0,2,183
"DHRS3",17,0,0,0,1,0,0,13,0,0,1,0,0,1,3,1101
"RP11-474O21.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"C1orf158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"HNRNPCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PDPN",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRDM2",6,6,0,4,4,1,17,30,7,4,1,4,0,1,21,507
"KAZN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
"TMEM51-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"TMEM51",31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,554
"FHAD1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"EFHD2",123,6,2,3,17,1,4,99,14,0,2,5,1,7,34,3676
"CTRC",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6
"CELA2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CASP9",3,2,0,0,2,0,4,9,2,2,1,2,0,1,2,165
"DNAJC16",4,1,1,0,0,0,1,6,1,1,1,0,1,0,0,205
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"AGMAT",0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,589
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"DDI2",3,0,0,1,1,0,2,9,1,1,0,0,1,0,3,666
"RP4-680D5.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLEKHM2",13,0,1,1,1,0,1,9,2,0,0,2,0,0,2,300
"SLC25A34",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"FBLIM1",1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,818
"UQCRHL",5,1,0,0,0,1,1,9,4,0,2,1,0,0,5,1062
"FLJ37453",0,0,0,0,2,0,1,4,3,1,0,0,0,0,0,269
"SPEN",6,1,0,1,1,1,7,10,1,2,4,0,0,0,2,1091
"ZBTB17",3,3,1,0,1,0,1,5,2,0,2,2,0,2,3,171
"C1orf64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"EPHA2",5,4,0,1,0,1,1,10,5,0,1,0,0,1,7,8229
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"ARHGEF19",1,1,0,0,0,0,1,5,0,0,0,1,1,0,0,156
"RSG1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30
"FBXO42",1,3,0,1,2,0,0,10,0,0,2,0,0,1,1,165
"SZRD1",17,6,1,2,7,2,4,48,19,0,4,4,1,1,14,1188
"SPATA21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"NECAP2",28,4,1,0,7,3,6,73,10,2,1,2,0,3,24,1070
"RP4-798A10.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16
"RP4-798A10.7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17
"RP4-798A10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NBPF1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65
"CROCC",0,0,0,0,0,0,1,2,2,0,2,1,0,0,1,155
"RP11-108M9.4",6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,783
"RP11-108M9.6",0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,32
"MFAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"ATP13A2",15,0,0,0,0,0,1,7,1,0,1,0,0,0,1,691
"SDHB",32,5,1,1,6,1,4,39,5,0,5,3,0,0,13,3274
"PADI2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"RP11-380J14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-380J14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"PADI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"PADI4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"RCC2",7,1,1,1,1,0,0,6,3,0,1,2,1,0,0,925
"ARHGEF10L",2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,451
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"IGSF21",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ALDH4A1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
"IFFO2",2,0,0,0,3,0,3,2,0,0,0,0,0,0,3,383
"UBR4",15,1,1,0,4,0,3,22,1,0,0,0,0,1,8,1226
"RP1-43E13.2",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,60
"EMC1",4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,288
"MRTO4",2,0,0,1,1,1,2,16,2,1,0,2,1,1,6,1398
"AKR7A3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1158
"AKR7A2",19,6,1,0,6,0,4,39,7,0,3,7,1,0,8,2532
"PQLC2",10,0,0,0,0,0,1,2,2,0,0,0,0,0,0,145
"CAPZB",196,43,5,8,59,7,15,441,57,7,28,20,5,10,86,4235
"MINOS1",115,11,2,4,17,1,13,125,22,3,8,9,0,10,46,9098
"NBL1",17,5,0,4,11,4,1,30,15,0,2,8,0,0,1,4340
"TMCO4",3,1,0,1,0,0,0,9,0,0,0,0,0,0,3,249
"RNF186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"OTUD3",0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,274
"PLA2G2A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1619
"PLA2G2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PLA2G2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"RP3-340N1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLA2G2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"UBXN10-AS1",0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,50
"UBXN10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
"CAMK2N1",6,0,0,0,0,0,0,7,1,0,1,1,0,0,2,6407
"MUL1",1,2,0,0,1,0,0,11,1,1,2,1,0,0,4,206
"CDA",2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1268
"PINK1",4,1,0,0,0,0,0,4,3,0,0,0,1,1,0,651
"PINK1-AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"DDOST",47,6,1,2,8,2,2,51,11,1,9,3,2,5,12,3775
"KIF17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SH2D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HP1BP3",30,7,2,4,8,1,6,60,19,1,6,4,2,1,18,1886
"EIF4G3",3,5,0,0,2,1,1,13,3,0,1,1,0,1,2,604
"ECE1",1,3,0,0,1,1,1,5,0,0,1,0,0,0,5,645
"RP3-329E20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RP5-1071N3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"NBPF3",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,48
"ALPL",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
"RAP1GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
"USP48",7,3,2,0,2,0,1,22,6,2,2,1,1,0,14,798
"LDLRAD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HSPG2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP1-224A6.3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
"LINC00339",1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,33
"CDC42",188,40,7,12,41,14,30,354,78,14,31,32,10,34,113,7587
"RP1-224A6.9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"WNT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"ZBTB40",0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,173
"EPHA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C1QA",1543,0,0,0,0,0,0,1,0,0,0,1,0,0,4,63
"C1QC",1176,0,0,0,1,1,0,2,1,0,0,0,0,0,0,32
"C1QB",1540,0,0,0,0,1,0,1,0,0,0,1,0,0,1,60
"EPHB2",6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2884
"C1orf234",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"KDM1A",2,2,0,0,1,0,1,9,0,0,0,0,0,0,1,934
"LUZP1",7,5,0,0,12,0,1,54,6,0,4,3,2,1,17,2080
"HTR1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
"LINC01355",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
"HNRNPR",19,8,1,5,11,2,8,64,11,4,7,4,1,2,16,2520
"ZNF436",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,31
"ZNF436-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58
"RP5-1057J7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"TCEA3",1,0,0,0,0,3,0,1,0,1,1,0,0,0,0,2667
"ASAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"E2F2",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60
"RP1-150O5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"ID3",14,4,1,11,0,1,27,11,4,6,0,15,7,0,17,2574
"MDS2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
"RPL11",756,262,58,127,346,93,773,3010,547,268,661,212,77,137,1147,176919
"TCEB3",5,2,1,1,4,0,2,13,4,2,3,1,0,3,4,610
"TCEB3-AS1",1,1,0,0,0,1,2,2,1,1,1,0,1,0,0,237
"PITHD1",14,6,3,6,7,2,4,58,17,2,9,8,2,2,28,1745
"LYPLA2",3,4,0,3,3,1,1,37,8,1,2,1,1,0,7,1369
"GALE",7,0,0,0,0,0,1,8,1,0,2,0,0,1,2,1320
"HMGCL",7,0,0,0,1,0,0,9,0,0,1,1,0,1,2,721
"FUCA1",17,3,0,3,2,1,0,11,2,1,0,2,1,0,0,837
