"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",21,5,0,2,0,3,2,1,1,0,0,0,19,0,0,8,0,1,0,1,8,9,178,6
"AP006222.2",27,7,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,1,2,2,1,43,1
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"RP11-206L10.9",5,0,0,0,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,11,0
"LINC00115",1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0
"FAM41C",7,0,0,1,0,0,0,0,1,1,0,1,3,0,0,1,0,0,0,0,1,2,6,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOC2L",16,6,1,5,5,3,2,2,0,0,4,2,31,2,2,8,6,3,3,6,13,18,200,1
"KLHL17",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1
"PLEKHN1",2,1,0,0,0,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,1,8,0
"RP11-54O7.17",16,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,6,1
"HES4",303,68,2,46,0,6,1,0,0,5,4,5,88,7,0,21,18,3,46,3,169,67,64,25
"ISG15",798,252,33,79,9,168,29,67,11,42,52,20,681,79,13,146,33,12,75,390,954,452,1660,126
"AGRN",17,9,0,5,0,2,0,0,1,1,0,0,2,1,0,0,2,0,0,0,8,1,55,15
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0
"C1orf159",11,2,0,2,0,0,0,0,0,0,1,0,2,0,0,2,1,0,1,1,0,0,43,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0
"TNFRSF18",27,12,2,3,1,1,3,19,22,9,23,0,117,6,0,38,20,11,2,6,5,223,20,3
"TNFRSF4",35,11,0,4,0,0,0,26,1,17,68,0,321,1,1,135,3,0,11,7,16,563,54,30
"SDF4",119,27,9,9,1,3,1,6,2,6,5,1,82,8,0,24,7,3,7,13,43,58,289,29
"B3GALT6",13,5,0,3,1,0,0,0,0,0,5,1,8,1,0,2,0,0,2,1,3,5,27,0
"FAM132A",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,80,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"UBE2J2",29,5,2,7,1,5,3,1,3,3,4,1,41,4,0,11,2,1,3,0,11,20,94,5
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
"ACAP3",7,2,0,1,3,1,1,1,1,2,0,1,8,3,0,1,0,0,2,0,4,0,67,1
"PUSL1",17,2,3,3,0,0,0,0,1,0,0,0,12,4,0,3,1,0,0,1,2,2,33,1
"CPSF3L",21,8,0,6,3,0,2,1,3,2,3,0,17,2,3,7,0,1,0,4,12,15,154,3
"CPTP",5,1,0,0,0,1,1,0,1,0,0,0,6,2,0,2,1,0,1,0,4,3,42,1
"DVL1",9,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,45,4
"MXRA8",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"AURKAIP1",174,33,7,29,2,14,11,3,3,4,14,9,89,12,2,28,7,6,16,23,90,58,904,21
"CCNL2",24,6,2,4,1,2,4,4,1,2,2,1,21,2,1,4,0,1,3,1,5,21,134,7
"MRPL20",133,26,13,20,1,6,4,6,3,7,8,5,95,15,0,29,9,6,9,17,73,43,450,21
"RP4-758J18.13",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"ANKRD65",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VWA1",3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33,63
"ATAD3C",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0
"ATAD3B",10,3,1,2,1,0,0,0,0,0,0,0,5,1,0,1,2,0,0,0,2,3,58,1
"ATAD3A",11,5,0,2,1,0,0,0,1,0,0,0,9,0,0,2,0,2,0,0,7,7,62,2
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",123,25,5,22,4,7,3,6,5,5,7,6,109,13,1,33,7,2,13,9,50,63,571,11
"RP5-832C2.5",2,0,0,4,0,0,1,0,1,0,0,0,3,0,1,2,0,0,0,3,3,2,25,1
"C1orf233",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"RP11-345P4.9",7,1,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,0,0,2,5,1
"MIB2",13,5,4,0,0,1,2,0,1,1,4,1,11,8,1,7,1,1,1,1,3,10,131,6
"MMP23B",0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"CDK11B",16,2,1,3,0,6,2,2,1,0,0,4,24,7,2,4,4,1,0,1,9,14,155,5
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SLC35E2B",10,3,1,2,0,1,0,0,1,2,0,0,12,3,0,2,1,0,3,3,2,7,27,2
"RP11-345P4.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",13,5,3,7,0,4,1,0,1,0,1,4,36,8,3,12,4,2,6,3,11,15,157,4
"SLC35E2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1
"NADK",39,1,0,2,1,1,0,0,1,0,0,0,14,1,0,2,2,3,2,2,11,7,78,3
"GNB1",153,25,3,19,0,2,0,3,1,3,10,2,51,7,1,15,1,1,11,3,57,23,144,24
"TMEM52",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"PRKCZ",4,1,1,0,0,3,0,0,0,1,1,1,6,1,1,1,0,0,1,0,0,6,37,2
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,3,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",90,18,2,20,2,4,4,3,4,4,2,5,54,10,1,14,5,3,9,4,44,22,227,14
"SKI",22,6,5,7,1,4,1,0,1,1,1,0,32,5,0,6,9,2,1,0,6,6,26,8
"MORN1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1
"RER1",120,16,4,6,4,3,1,4,1,2,7,0,61,10,0,10,2,1,7,7,44,28,300,13
"PEX10",21,4,0,4,1,1,0,1,0,0,0,0,5,0,0,2,1,0,0,1,4,0,22,1
"PLCH2",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
"PANK4",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,7,1
"RP3-395M20.12",70,2,0,9,0,2,0,0,2,0,0,2,15,6,1,8,1,2,1,0,30,9,46,3
"RP3-395M20.8",10,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,3,19,1
"TNFRSF14",180,19,6,11,3,14,9,3,1,3,5,5,70,9,3,27,3,4,10,5,33,38,115,10
"RP3-395M20.9",6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0
"FAM213B",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,50,3
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
"TTC34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-22L13.1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ARHGEF16",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,84,1
"MEGF6",1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0
"TPRG1L",11,0,0,2,0,0,1,0,1,1,1,1,6,1,0,3,1,1,0,1,2,2,42,5
"WRAP73",8,4,0,2,1,2,0,0,1,2,0,2,11,2,0,1,0,0,1,0,1,7,41,0
"TP73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TP73-AS1",2,2,0,0,0,0,0,0,0,1,1,1,2,1,0,1,1,0,0,0,0,0,0,1
"SMIM1",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,8,0
"LRRC47",18,2,2,0,0,0,0,1,0,1,0,0,8,1,1,2,0,0,1,1,5,5,76,4
"CEP104",16,0,0,1,1,1,0,0,0,3,1,2,6,2,0,2,1,0,1,1,4,1,43,3
"DFFB",1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,9,0
"C1orf174",9,2,2,0,0,0,3,1,1,0,2,1,13,3,0,3,4,1,0,1,3,9,67,1
"LINC01134",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NPHP4",5,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,9,1
"KCNAB2",41,1,2,6,1,4,2,4,1,2,2,0,21,3,0,6,1,1,4,0,11,15,23,2
"RPL22",1125,220,67,259,27,48,46,35,62,50,92,100,1226,117,55,502,112,27,114,85,566,455,5135,180
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RNF207",2,3,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,4,5,0
"ICMT",19,9,1,0,0,0,0,0,1,0,1,0,9,0,0,5,0,0,1,2,7,6,32,5
"LINC00337",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GPR153",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"ACOT7",32,6,2,3,0,2,0,0,1,1,1,0,8,2,0,3,1,1,3,1,5,7,134,8
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"HES2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1
"ESPN",1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,71,0
"TNFRSF25",5,1,0,0,1,3,1,9,0,8,9,0,142,7,1,51,2,0,0,1,1,60,61,6
"PLEKHG5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,2
"NOL9",2,4,0,0,1,0,0,0,0,0,1,0,9,2,0,2,0,0,2,1,5,7,32,1
"ZBTB48",4,2,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,2,1,24,1
"KLHL21",35,4,1,4,1,0,0,1,0,0,0,0,3,0,0,1,2,0,2,0,6,3,34,0
"PHF13",5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,10,0
"THAP3",11,1,0,1,0,1,0,0,1,1,0,0,7,2,0,2,1,0,2,1,4,1,29,1
"DNAJC11",4,2,1,2,0,1,0,1,0,1,1,1,7,0,2,3,1,0,1,1,4,1,55,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"CAMTA1",109,15,2,15,1,3,1,2,3,3,1,3,37,10,1,11,5,1,5,4,48,19,424,18
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VAMP3",62,4,1,5,1,2,2,0,0,0,2,3,20,4,0,4,1,1,3,0,22,8,170,11
"PER3",9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8,1
"UTS2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"TNFRSF9",52,1,1,1,8,0,1,1,0,1,0,0,0,4,0,0,8,1,1,1,2,104,5,0
"PARK7",233,54,24,28,10,21,18,18,10,24,15,8,161,35,3,69,23,7,43,19,97,157,673,46
"ERRFI1",35,43,0,0,1,0,0,1,0,0,1,0,4,1,0,2,2,0,0,2,9,9,940,1
"RP11-431K24.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"SLC45A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RERE",30,7,0,0,0,0,0,0,0,1,0,1,7,3,2,1,0,0,2,2,3,5,129,7
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENO1",497,30,20,58,8,20,13,17,16,19,23,13,272,38,8,73,19,10,14,8,261,185,1491,46
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0
"SLC2A5",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0
"GPR157",18,2,0,11,0,0,0,0,0,0,1,0,1,1,0,0,0,0,10,0,16,0,23,0
"MIR34AHG",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1
"RP3-510D11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"H6PD",14,3,0,1,0,0,0,0,0,0,1,0,4,3,0,3,0,0,3,0,4,5,20,3
"SPSB1",6,21,0,0,0,0,0,2,1,0,1,1,7,3,1,2,0,0,6,2,4,4,26,6
"SLC25A33",36,13,1,8,0,4,2,0,1,1,0,0,21,3,1,4,1,0,6,1,17,5,159,2
"TMEM201",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,3
"PIK3CD",11,1,3,1,0,1,0,0,1,0,0,1,11,5,0,2,0,0,2,0,3,2,1,0
"PIK3CD-AS2",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
"CLSTN1",22,5,4,1,0,0,0,0,1,2,3,1,11,3,0,5,1,0,3,3,4,10,137,15
"CTNNBIP1",39,4,0,11,1,1,4,0,0,1,2,0,9,2,0,2,2,0,1,2,24,6,144,3
"LZIC",18,3,2,2,0,3,2,0,0,1,0,0,14,1,0,3,2,0,0,3,9,8,55,3
"NMNAT1",6,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,26,3
"RBP7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,14
"UBE4B",15,0,0,0,0,1,0,0,1,2,1,2,11,3,2,3,1,2,1,0,5,5,26,0
"KIF1B",74,4,0,4,0,2,1,0,0,0,1,0,4,2,0,2,0,0,7,1,16,5,37,4
"PGD",130,7,0,7,0,0,1,0,0,0,0,1,5,1,0,5,2,0,3,4,36,6,103,4
"APITD1",7,3,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,3,1,2,4,28,1
"DFFA",23,2,2,1,0,2,0,0,0,1,1,0,12,4,2,3,0,0,10,3,8,4,61,7
"PEX14",11,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,1,1,0,3,29,0
"CASZ1",1,0,1,1,0,2,1,0,0,0,1,0,2,2,0,0,0,0,0,0,1,2,44,0
"TARDBP",29,5,1,3,1,4,2,3,2,1,2,2,19,2,1,8,1,0,3,3,5,14,152,3
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRM",56,19,6,10,0,5,0,1,3,0,1,0,36,7,1,11,6,0,7,20,29,15,206,15
"EXOSC10",6,1,0,0,0,0,0,0,0,1,0,1,5,2,0,4,1,0,0,1,4,1,51,2
"RP4-635E18.7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
"MTOR",6,0,0,1,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,1,0,21,4
"UBIAD1",4,1,0,0,1,1,1,0,0,0,1,1,6,2,0,1,0,0,0,0,1,3,52,1
"FBXO2",2,1,0,0,1,0,0,0,0,1,0,0,2,3,0,0,1,0,0,0,0,1,7,0
"FBXO44",3,5,0,1,0,0,0,0,0,0,2,0,4,2,0,2,0,2,0,0,1,6,14,3
"FBXO6",69,2,0,2,0,3,2,0,0,1,2,1,7,5,0,2,1,1,3,2,20,8,29,1
"MAD2L2",44,8,2,9,1,1,1,2,0,3,2,0,24,5,0,6,5,2,5,4,25,5,42,5
"DRAXIN",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"AGTRAP",63,9,1,5,2,1,3,0,1,1,0,0,10,4,0,1,3,0,1,0,27,8,99,4
"C1orf167",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MTHFR",13,0,0,4,0,0,0,1,0,1,0,3,2,0,1,1,0,0,0,0,3,2,41,0
"CLCN6",6,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,11,0
"NPPA-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"KIAA2013",32,4,2,1,0,1,5,0,1,0,0,0,8,2,1,1,1,0,3,0,7,6,95,6
"PLOD1",26,16,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,7,1,28,8
"MFN2",13,3,0,0,0,2,0,1,0,0,1,1,5,0,0,0,0,0,2,0,3,4,38,6
"MIIP",41,4,1,2,1,1,2,1,1,1,0,0,4,1,0,6,1,1,2,2,10,14,77,2
"TNFRSF8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TNFRSF1B",152,7,4,23,3,8,6,5,9,2,9,2,56,16,3,16,16,1,20,1,108,107,33,3
"VPS13D",13,4,0,4,0,0,0,0,2,0,0,1,6,0,0,0,0,0,1,1,5,3,29,1
"DHRS3",50,4,1,5,1,0,0,1,0,0,0,1,8,1,0,1,4,0,0,0,4,2,68,2
"RP11-474O21.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"PDPN",22,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"PRDM2",24,8,3,4,1,2,0,1,2,1,3,7,31,8,4,17,3,2,5,6,5,47,73,2
"KAZN",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2
"TMEM51-AS1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"TMEM51",39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,7,0,57,0
"FHAD1",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
"RP3-467K16.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-467K16.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFHD2",338,18,4,41,2,4,3,4,2,5,10,1,63,13,2,15,7,7,3,3,122,45,280,13
"CTRC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"CASP9",13,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,2,0,0,1,8,1,13,0
"DNAJC16",7,0,0,0,0,0,1,0,0,0,1,0,4,1,0,1,0,0,1,1,3,1,18,0
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AGMAT",1,1,0,0,2,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,1,40,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DDI2",8,4,0,0,1,1,5,0,0,0,0,1,15,0,0,3,2,0,1,2,1,5,52,7
"RP4-680D5.9",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PLEKHM2",60,4,0,2,0,0,1,0,0,1,0,1,3,1,1,1,1,0,0,0,13,4,32,5
"SLC25A34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM82",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FBLIM1",1,6,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,1,1,3,137,6
"UQCRHL",38,1,3,5,1,6,2,0,0,0,1,1,15,2,1,4,3,0,0,5,14,8,179,1
"FLJ37453",3,0,0,2,1,0,0,1,1,0,0,1,2,1,0,0,0,0,2,3,2,2,64,3
"SPEN",28,3,1,4,0,1,2,1,1,0,0,5,14,3,2,2,0,2,2,0,8,10,132,5
"ZBTB17",14,1,2,1,0,1,0,0,0,1,0,0,7,4,1,2,2,0,0,0,5,3,36,1
"HSPB7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM131C",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"EPHA2",17,3,1,2,0,0,1,0,0,1,0,0,7,1,0,2,1,1,1,0,2,5,550,11
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"ARHGEF19",2,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,1,0,0,0,3,1,15,0
"RSG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"FBXO42",9,2,0,0,0,2,0,0,1,0,0,1,5,2,0,2,2,1,2,0,1,3,21,2
"SZRD1",54,10,1,7,3,4,2,1,1,3,8,4,37,7,3,9,3,1,4,4,21,23,109,9
"SPATA21",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"NECAP2",67,12,3,6,0,2,1,2,3,4,4,3,37,4,2,14,4,1,6,3,14,30,82,7
"RP4-798A10.2",1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"NBPF1",4,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,19,0
"CROCC",2,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,20,1
"RP11-108M9.4",10,4,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,1,6,1,49,3
"RP11-108M9.6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,3
"MFAP2",0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
"ATP13A2",72,2,0,1,0,0,1,0,0,0,0,0,8,2,1,1,1,1,6,0,12,2,74,5
"SDHB",160,9,4,6,3,3,1,3,1,5,3,5,52,6,2,8,4,4,3,3,50,26,302,9
"PADI2",10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0
"RP11-380J14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PADI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC004824.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RCC2",54,10,0,8,0,5,1,1,0,1,0,1,8,4,1,3,2,1,6,1,17,6,84,2
"ARHGEF10L",8,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,85,1
"IGSF21",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALDH4A1",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1
"IFFO2",2,1,0,2,0,0,0,0,1,1,1,0,4,0,0,0,1,0,0,0,4,4,11,0
"UBR4",32,9,4,3,1,1,0,2,2,2,0,3,11,4,2,5,7,1,1,2,15,8,142,4
"RP1-43E13.2",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0
"EMC1",8,2,0,2,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,5,0,24,2
"MRTO4",16,3,1,2,0,0,0,1,0,0,1,2,14,2,0,6,1,4,3,1,4,7,83,4
"AKR7A3",8,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,1,5,1,296,0
"AKR7A2",47,19,2,9,0,5,1,0,3,2,1,0,14,3,0,4,7,0,3,2,18,11,200,7
"PQLC2",6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0
"CAPZB",458,48,18,50,4,22,8,9,6,24,21,4,210,33,2,46,14,12,7,6,127,97,365,30
