"","Anti-inflammatory macro/mono","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"FO538757.2",9,0,4,0,8,2,7,0,1,3,3,1,5,756,1
"AP006222.2",8,0,1,0,1,1,1,0,1,2,0,0,0,579,0
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,1,0,14,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-206L10.9",1,0,0,0,0,0,0,0,0,0,0,0,0,44,0
"LINC00115",0,0,0,0,0,0,1,0,0,0,0,0,1,111,0
"FAM41C",1,0,1,0,1,0,2,1,0,0,0,0,0,127,1
"RP11-54O7.1",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"SAMD11",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NOC2L",5,1,6,2,6,0,5,2,7,4,2,1,8,2038,2
"KLHL17",0,0,0,1,0,0,0,0,0,0,0,0,1,52,0
"PLEKHN1",0,0,0,0,0,0,1,0,0,0,0,0,3,92,0
"RP11-54O7.17",5,0,0,0,0,0,1,0,0,0,0,0,2,334,0
"HES4",51,0,1,1,8,2,19,0,4,2,0,20,12,3504,24
"ISG15",177,5,34,34,48,3,195,21,23,1,3,140,65,6458,27
"AGRN",4,0,0,0,0,0,0,0,1,0,0,2,3,984,9
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,199,0
"C1orf159",1,0,0,0,2,1,0,0,0,0,0,0,1,239,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-465B22.8",1,0,0,0,1,0,1,0,0,0,0,0,0,570,1
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"TNFRSF18",1,0,56,0,54,0,81,8,5,0,0,1,179,26,0
"TNFRSF4",1,0,3,0,26,1,35,4,18,0,0,2,261,50,9
"SDF4",32,4,16,3,11,3,36,5,10,1,1,7,36,3916,8
"B3GALT6",3,0,0,0,2,0,6,0,1,0,0,1,1,368,4
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,58,5
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UBE2J2",17,0,5,0,6,0,11,7,2,0,2,0,7,1355,1
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ACAP3",3,0,0,0,1,0,3,0,1,0,1,2,2,579,2
"PUSL1",3,0,2,0,1,0,8,1,0,0,1,1,3,771,0
"CPSF3L",7,1,3,0,6,0,11,4,2,0,1,5,5,1547,0
"CPTP",6,0,2,0,1,0,0,0,0,0,0,0,0,766,1
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
"DVL1",3,0,0,0,0,0,0,0,1,0,0,0,2,951,4
"MXRA8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AURKAIP1",59,0,13,6,27,3,46,11,11,3,2,14,25,12543,17
"CCNL2",6,1,7,0,2,1,10,5,3,1,1,1,4,1188,4
"MRPL20",52,0,14,2,15,3,42,8,10,4,2,12,29,8297,17
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"ANKRD65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",1,0,1,0,0,0,0,0,0,0,0,0,0,212,27
"ATAD3C",0,0,0,0,0,0,0,0,0,0,0,0,0,129,0
"ATAD3B",1,0,1,0,0,2,2,0,1,0,0,2,2,771,0
"ATAD3A",5,1,1,0,2,0,3,0,1,0,2,0,0,1515,2
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"SSU72",40,6,20,1,29,11,45,4,12,1,2,10,26,5759,17
"RP5-832C2.5",0,0,0,0,0,2,1,0,0,0,0,0,0,86,0
"C1orf233",2,0,0,0,0,0,1,0,0,0,0,0,0,128,0
"RP11-345P4.9",1,0,1,0,3,0,1,0,0,0,0,1,3,132,0
"MIB2",1,0,5,2,6,0,13,3,1,3,1,2,8,1152,1
"MMP23B",0,0,0,0,0,0,0,0,0,1,0,0,0,14,0
"CDK11B",6,0,1,1,0,0,7,1,2,1,1,0,11,913,0
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"SLC35E2B",0,0,3,0,3,0,1,2,3,1,1,0,2,532,2
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDK11A",3,0,1,0,4,2,12,0,3,0,1,1,4,600,2
"SLC35E2",0,0,0,0,0,0,0,0,0,0,0,0,1,35,0
"NADK",11,0,1,0,3,1,3,0,1,1,0,2,4,930,0
"GNB1",36,3,3,4,14,1,18,2,7,0,0,7,11,2988,12
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM52",1,0,0,0,0,0,0,0,0,0,0,0,0,164,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRKCZ",1,0,0,1,1,2,1,1,0,0,0,0,2,827,0
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FAAP20",29,1,13,6,15,7,28,7,3,0,2,8,22,2611,12
"SKI",7,0,1,2,4,1,2,2,2,0,0,3,5,381,8
"MORN1",1,0,0,0,0,0,1,0,0,0,0,0,0,108,0
"RER1",31,0,11,1,18,3,24,4,3,2,1,10,16,4200,5
"PEX10",4,0,1,0,3,2,1,0,0,0,0,2,0,877,2
"PLCH2",0,0,2,0,0,0,1,0,0,0,0,0,0,14,0
"PANK4",3,0,1,0,0,0,1,0,0,0,0,1,1,118,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"RP3-395M20.12",7,0,1,0,1,0,6,2,2,2,2,6,5,629,0
"RP3-395M20.8",4,0,1,0,0,1,2,1,0,1,0,1,4,331,1
"TNFRSF14",36,3,11,3,17,4,37,8,10,0,1,2,20,1495,4
"RP3-395M20.9",0,1,0,0,0,0,0,0,0,0,0,0,1,65,0
"FAM213B",10,0,1,0,2,1,1,0,0,0,0,0,4,1351,1
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,128,1
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TTC34",0,0,0,0,0,0,1,0,1,0,0,0,0,5,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"ARHGEF16",1,0,0,0,0,0,0,0,0,0,0,0,0,658,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"MEGF6",0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TPRG1L",1,0,1,2,0,0,1,2,0,0,0,0,1,907,2
"WRAP73",1,0,5,0,1,0,9,2,2,0,0,0,4,496,2
"TP73",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"TP73-AS1",1,0,0,0,0,0,1,0,1,0,0,0,1,2,0
"SMIM1",1,0,1,0,0,0,0,0,0,0,0,0,1,5,0
"LRRC47",5,2,2,0,1,0,5,2,2,0,0,1,3,1090,1
"CEP104",5,0,0,2,1,0,2,0,0,0,0,0,2,390,0
"DFFB",1,0,0,0,0,0,0,0,0,0,0,0,0,159,0
"C1orf174",3,1,3,0,2,0,4,3,0,0,0,1,3,725,1
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPHP4",0,1,0,0,1,0,1,0,0,0,0,0,0,85,0
"KCNAB2",11,1,1,1,10,1,18,1,3,0,2,1,7,68,0
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RPL22",274,14,115,30,188,81,398,55,190,14,20,131,243,62729,89
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
"RNF207",0,0,0,0,1,0,1,1,0,0,0,0,2,101,1
"ICMT",6,0,4,0,4,0,4,0,0,1,0,1,6,878,3
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"GPR153",0,0,0,0,0,0,0,0,0,0,0,0,1,128,0
"ACOT7",5,0,2,1,3,1,4,3,0,0,1,1,4,1915,5
"RP1-202O8.3",0,0,1,0,0,0,0,0,0,0,0,0,0,28,0
"HES2",0,0,0,0,1,0,0,0,1,0,0,0,1,525,0
"ESPN",0,0,0,0,1,0,1,0,1,0,0,1,0,334,0
"TNFRSF25",1,0,7,1,33,0,37,1,14,0,1,0,42,120,3
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,0,109,2
"NOL9",0,0,2,0,1,0,0,1,0,0,0,0,1,361,1
"ZBTB48",5,1,1,0,1,0,2,0,0,0,0,0,1,164,0
"KLHL21",4,0,1,0,0,0,2,1,0,0,0,0,2,628,1
"PHF13",1,0,0,0,0,0,2,2,1,0,0,0,1,220,0
"THAP3",2,0,1,0,2,0,3,1,1,0,0,1,3,360,1
"DNAJC11",2,0,0,1,2,1,2,0,0,0,0,1,2,494,1
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"CAMTA1",31,0,4,4,11,2,11,2,6,1,0,9,12,4579,14
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"VAMP3",22,0,3,0,4,0,2,2,3,1,0,7,5,1541,7
"PER3",1,0,2,0,0,0,0,0,1,0,0,0,0,18,0
"UTS2",9,1,4,0,6,1,6,6,4,2,1,3,15,156,0
"TNFRSF9",13,0,20,2,2,0,6,6,0,0,1,1,34,4,0
"PARK7",78,2,54,14,67,7,113,21,18,2,4,24,85,11639,22
"ERRFI1",5,0,3,0,0,0,1,0,0,0,0,1,2,1690,1
"RP11-431K24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"RP11-431K24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC45A1",0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
"RERE",1,0,1,0,1,1,4,1,1,1,0,1,2,871,1
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ENO1",209,4,73,20,105,10,243,27,39,5,10,74,157,38074,35
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC2A5",6,0,0,0,0,0,0,0,0,0,0,0,0,39,0
"GPR157",0,0,0,0,0,0,0,0,0,0,0,1,0,271,0
"MIR34AHG",1,0,0,0,0,0,0,0,0,0,0,0,0,61,0
"RP3-510D11.2",0,0,1,0,0,0,0,0,0,0,0,0,0,43,0
"H6PD",4,0,0,0,0,1,4,0,0,0,1,2,4,474,1
"SPSB1",0,0,0,0,0,0,1,0,0,0,0,0,2,396,5
"SLC25A33",11,0,3,2,1,2,4,3,1,0,0,3,3,1087,0
"TMEM201",1,0,0,0,1,0,0,0,1,0,0,0,0,230,0
"PIK3CD",0,1,0,0,2,0,5,3,3,1,1,1,3,7,0
"PIK3CD-AS2",0,0,1,0,0,0,0,0,0,0,0,0,3,3,0
"CLSTN1",6,1,2,1,3,0,6,6,1,0,0,0,3,1776,4
"CTNNBIP1",11,0,3,1,8,0,8,1,0,0,1,3,6,1413,3
"LZIC",12,1,2,1,4,0,7,1,2,0,0,3,5,1015,2
"NMNAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,273,1
"RBP7",1,0,0,0,0,0,0,0,0,0,0,10,0,6,3
"UBE4B",3,0,2,1,4,0,6,5,1,0,2,1,7,506,0
"KIF1B",14,0,0,0,0,0,0,2,1,0,0,3,2,568,3
"PGD",14,0,3,0,3,1,6,2,1,0,0,9,4,4042,1
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"APITD1",2,0,1,1,1,0,3,0,0,0,0,0,1,809,2
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"DFFA",5,0,5,1,4,2,6,2,2,0,0,1,1,1263,1
"RP5-1113E3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PEX14",2,0,1,0,0,0,8,1,2,0,0,2,1,281,0
"CASZ1",0,0,0,1,0,0,1,0,0,1,0,0,0,378,0
"C1orf127",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TARDBP",10,1,6,0,4,2,5,2,0,0,0,2,10,1497,4
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SRM",9,0,4,2,9,2,13,3,3,0,0,2,13,3429,9
"EXOSC10",1,1,1,0,3,1,3,0,1,0,0,2,2,501,2
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
"MTOR",2,0,1,0,0,0,0,0,1,0,0,1,1,303,1
"UBIAD1",0,0,2,0,1,0,1,0,0,0,0,1,1,441,1
"PTCHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FBXO2",0,0,1,0,2,0,1,0,0,0,0,0,0,7,0
"FBXO44",1,1,5,0,4,1,7,4,0,0,1,0,3,72,1
"FBXO6",8,0,4,2,2,0,4,1,0,0,0,2,2,466,0
"MAD2L2",7,0,10,1,6,2,18,1,0,0,1,3,6,805,3
"DRAXIN",0,0,5,0,0,0,3,2,0,0,0,0,1,11,0
"AGTRAP",15,0,3,0,10,1,8,0,0,0,2,6,7,1661,4
"C1orf167",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"MTHFR",10,0,0,0,1,0,1,0,1,0,0,1,2,376,0
"CLCN6",0,0,0,0,0,1,0,1,0,0,0,1,0,145,0
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"KIAA2013",9,0,1,0,1,0,2,1,2,0,0,1,3,1737,1
"PLOD1",16,0,2,0,0,0,0,2,0,0,0,1,1,915,6
"MFN2",3,0,1,0,0,0,0,0,0,0,0,0,1,555,2
"MIIP",5,0,4,0,5,0,11,2,1,0,0,0,8,669,2
"TNFRSF8",1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"TNFRSF1B",27,3,10,6,14,1,35,8,8,3,0,29,54,270,8
"VPS13D",1,0,1,0,0,0,2,0,0,0,0,0,0,260,3
"DHRS3",15,0,0,0,0,0,3,1,0,1,0,1,1,1428,1
"RP11-474O21.5",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"C1orf158",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"PDPN",15,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"PRDM2",3,1,4,0,1,4,5,1,3,0,1,2,6,263,0
"KAZN",0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"TMEM51",14,0,1,0,0,0,0,0,0,0,0,2,0,509,0
"C1orf195",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FHAD1",3,0,0,0,0,0,0,0,0,0,0,1,0,6,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EFHD2",56,2,8,3,25,1,39,5,5,4,1,11,22,3485,2
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CELA2A",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CASP9",0,0,2,0,0,0,3,0,1,0,0,1,0,119,3
"DNAJC16",0,0,0,0,0,0,0,0,0,0,0,0,0,227,0
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
"AGMAT",1,0,1,0,3,1,2,1,0,0,0,0,1,1108,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,1,0,18,0
"DDI2",4,0,2,1,2,1,4,0,1,0,0,1,5,625,2
"PLEKHM2",10,0,2,1,3,0,5,0,0,0,0,5,2,344,3
"SLC25A34",0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
"FBLIM1",0,0,1,0,1,0,0,1,1,0,1,0,0,829,7
"UQCRHL",3,0,0,0,2,1,7,2,1,0,0,0,2,1562,1
"FLJ37453",1,1,2,0,0,0,1,0,0,0,0,1,0,222,0
"SPEN",6,1,4,2,1,0,6,3,0,0,0,1,3,701,1
"ZBTB17",1,0,1,0,5,1,4,0,0,0,0,1,2,154,1
"C1orf64",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"HSPB7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLCNKA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"EPHA2",7,1,4,0,0,1,1,0,0,0,1,0,1,6256,3
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"ARHGEF19",0,0,1,0,0,0,1,1,1,0,0,2,0,128,0
"RSG1",2,0,1,0,1,0,0,0,0,0,0,0,0,53,0
"FBXO42",1,0,1,0,0,1,2,0,0,0,0,1,3,206,0
"SZRD1",16,1,7,2,9,1,10,4,3,1,1,7,7,1379,1
"SPATA21",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NECAP2",11,0,4,1,9,0,27,3,11,0,1,4,21,856,2
"RP4-798A10.2",0,0,0,0,0,0,1,0,0,0,0,0,0,10,1
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,0,0,1,54,0
"RP4-798A10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NBPF1",0,0,0,0,0,0,0,0,0,0,0,0,0,119,0
"CROCC",0,0,0,0,0,0,1,0,1,0,0,0,1,154,0
"RP11-108M9.4",3,0,0,0,0,0,0,0,1,0,0,0,1,761,0
"RP11-108M9.6",0,0,0,0,0,0,1,0,1,0,0,0,2,54,0
"MFAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,76,2
"ATP13A2",3,0,0,0,1,0,2,0,2,0,0,0,1,1374,2
"SDHB",21,1,9,2,10,0,14,2,5,1,0,7,11,4809,4
"PADI2",2,0,0,0,0,0,1,0,0,0,0,0,0,686,0
"PADI1",0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"PADI4",0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"AC004824.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RCC2",12,0,2,2,3,0,4,1,1,0,0,1,3,1814,6
"ARHGEF10L",2,0,0,0,0,0,0,0,0,0,1,1,0,566,1
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,203,0
"IGSF21",8,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"ALDH4A1",1,0,0,0,0,0,0,0,0,0,0,0,0,491,0
"IFFO2",3,0,0,0,2,0,3,1,0,0,0,0,3,402,0
"UBR4",10,0,1,1,6,0,3,3,1,0,0,6,7,1202,1
"RP1-43E13.2",1,0,0,0,0,0,0,1,0,0,0,0,0,36,0
"EMC1",8,0,0,0,0,1,0,0,1,0,0,0,1,487,2
"MRTO4",5,0,3,0,4,2,5,0,1,0,0,0,1,1507,2
"AKR7A3",0,0,0,0,0,0,0,1,0,0,0,2,1,3025,0
"AKR7A2",10,0,9,2,9,1,19,2,3,0,2,2,7,3286,5
"PQLC2",2,0,1,0,1,0,0,0,0,0,0,0,0,271,1
"CAPZB",151,3,43,15,99,9,160,26,28,2,8,26,69,5303,26
"MINOS1",73,3,16,4,25,5,49,12,11,0,2,10,21,13283,23
"NBL1",6,1,14,3,20,0,18,15,3,0,0,0,0,6969,3
"TMCO4",3,0,1,1,3,1,3,0,1,0,0,0,2,213,0
"RNF186",0,0,0,0,0,0,0,0,0,0,0,0,0,1163,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"OTUD3",0,0,0,0,1,0,1,0,0,0,0,0,0,311,0
"PLA2G2A",6,0,2,1,2,0,3,2,0,0,1,2,2,8260,0
"PLA2G2F",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PLA2G2C",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UBXN10-AS1",0,0,0,0,1,0,3,0,0,0,0,0,1,53,0
"UBXN10",0,0,0,0,0,0,0,0,0,0,0,0,0,163,0
"CAMK2N1",1,0,1,0,1,0,5,1,0,0,0,1,3,6015,0
"MUL1",0,0,0,2,0,0,5,0,0,0,0,0,1,334,1
"CDA",4,0,0,3,0,0,0,0,0,0,0,2,1,1603,3
"PINK1",4,0,0,0,0,0,4,0,0,0,0,1,2,1015,9
"PINK1-AS",0,0,0,0,0,0,0,0,0,0,0,0,1,20,0
"DDOST",21,0,11,7,12,4,15,3,5,1,0,5,9,5054,0
"KIF17",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SH2D5",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HP1BP3",16,2,6,2,10,3,19,3,7,0,4,6,6,1912,4
"EIF4G3",3,0,0,1,2,1,6,4,2,0,0,2,3,828,3
"ECE1",0,0,3,0,1,1,5,0,0,0,0,1,2,1039,19
"RP5-1071N3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"NBPF3",1,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"ALPL",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RAP1GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,125,0
"USP48",5,0,4,0,2,1,10,2,1,0,0,0,8,1050,1
"LDLRAD2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HSPG2",1,0,0,0,0,0,0,0,0,0,0,0,0,384,93
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP1-224A6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"LINC00339",2,0,1,0,1,0,0,0,0,0,0,0,1,153,0
"CDC42",100,4,42,7,60,11,92,17,23,1,3,44,71,7556,34
"RP1-224A6.9",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"WNT4",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ZBTB40",0,0,1,0,2,0,1,0,0,0,0,0,2,148,0
"EPHA8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C1QA",901,0,0,0,0,0,0,0,0,0,0,1,1,38,0
"C1QC",695,0,0,0,0,0,0,0,0,0,0,1,0,19,0
"C1QB",1092,1,0,0,0,0,2,1,0,0,0,1,0,44,0
"EPHB2",5,0,0,0,0,0,1,1,1,0,2,0,0,4493,0
"C1orf234",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"KDM1A",2,0,0,1,0,1,3,0,1,0,0,0,1,1335,1
"LUZP1",2,0,3,3,5,0,29,1,2,0,0,0,7,996,9
"HTR1D",0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
"LINC01355",0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
"HNRNPR",15,0,13,2,21,2,41,7,7,1,3,7,17,3445,2
"ZNF436",0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
"ZNF436-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
"RP5-1057J7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TCEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,673,0
"ASAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
"E2F2",0,0,0,0,0,0,0,0,0,0,0,0,1,161,0
"RP1-150O5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"ID3",18,0,9,1,0,3,1,3,1,0,0,5,16,9325,80
"MDS2",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"RPL11",716,71,377,112,596,336,1491,255,498,35,73,385,828,205150,219
"TCEB3",3,0,3,2,5,0,11,1,1,0,0,0,3,563,3
"TCEB3-AS1",1,0,0,0,0,0,1,0,0,0,0,0,1,203,1
"PITHD1",13,0,5,2,14,2,14,4,3,1,1,0,9,1583,0
"LYPLA2",7,1,2,2,4,2,11,2,1,1,0,2,12,1397,2
"GALE",5,0,0,1,3,0,4,1,0,0,2,0,2,2903,3
"HMGCL",12,0,1,0,1,1,3,0,3,0,0,1,1,1257,2
"FUCA1",14,0,1,0,0,0,1,1,0,0,0,0,3,1418,0
"CNR2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"PNRC2",4,1,9,0,7,3,12,3,3,1,1,7,16,2218,5
"SRSF10",10,0,10,2,19,2,13,4,6,1,1,6,12,2489,5
"RP11-293P20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"MYOM3",0,0,0,0,0,0,0,0,0,0,0,0,0,203,2
"IL22RA1",0,0,0,0,0,0,0,0,0,0,0,0,0,466,0
"IFNLR1",0,0,1,0,1,0,0,0,0,0,0,0,0,282,0
"RP11-10N16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"GRHL3",1,0,0,0,0,0,0,0,0,0,0,0,0,155,0
"STPG1",0,0,0,0,1,0,1,1,0,0,0,0,1,209,0
"NIPAL3",5,0,3,1,5,0,6,1,1,0,0,0,4,452,3
"RCAN3",4,0,4,0,7,0,11,2,4,0,2,0,17,441,0
"RP4-594I10.3",1,1,0,0,0,0,4,0,0,0,0,0,1,42,0
"NCMAP",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"SRRM1",20,1,15,6,21,9,51,9,12,3,0,5,22,3406,5
"CLIC4",11,0,1,0,0,0,0,0,0,0,0,4,0,66,16
"RUNX3",7,3,18,9,13,1,27,14,6,4,4,5,21,15,0
"RP4-706G24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"SYF2",15,5,19,2,17,6,54,10,14,1,0,4,21,3773,12
"RSRP1",13,9,21,4,28,6,55,11,12,2,3,4,47,1491,6
"RP3-465N24.6",0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
