"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FO538757.2",29,85,1,0,11,1,0,4,0,9,1,3,1,1,0,15,3,4,315,26,5
"AP006222.2",51,117,1,0,19,0,2,1,1,3,2,4,0,1,1,24,6,5,126,18,14
"RP4-669L17.10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-206L10.9",3,9,0,0,0,0,1,1,0,1,0,0,1,0,0,4,0,1,20,2,4
"FAM87B",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",9,6,0,0,1,0,1,1,0,2,0,0,0,3,1,1,0,1,23,4,0
"FAM41C",5,10,0,0,0,0,0,0,0,2,0,1,0,1,0,5,0,2,14,1,3
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-54O7.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",1,40,0,0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
"NOC2L",28,117,0,2,13,0,0,3,0,7,0,3,2,2,4,9,8,13,446,39,5
"KLHL17",1,6,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,0,23,2,0
"PLEKHN1",8,10,1,0,1,0,1,0,0,5,0,1,0,1,0,0,0,9,123,2,0
"PERM1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,0,7,1,2
"HES4",5,75,0,0,14,0,1,2,1,0,0,1,0,0,2,48,2,0,141,20,25
"ISG15",944,1326,2,4,87,10,18,24,9,80,9,2,10,19,90,153,148,112,8445,325,51
"AGRN",34,120,0,0,9,0,1,7,0,1,0,0,0,0,1,33,6,2,192,73,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
"C1orf159",7,22,0,0,2,0,0,0,0,3,1,1,0,0,0,2,3,3,83,3,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-465B22.8",8,11,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3,157,2,1
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
"TNFRSF18",49,38,0,1,1,0,11,1,3,46,1,0,6,13,1,2,13,527,15,3,0
"TNFRSF4",26,24,0,2,4,0,0,15,4,16,1,0,17,1,0,0,8,605,26,356,1
"SDF4",201,875,5,5,105,0,2,22,3,26,3,6,4,7,19,83,55,61,1691,170,38
"B3GALT6",16,32,0,0,4,0,0,1,0,0,0,0,0,0,0,4,3,2,64,18,0
"FAM132A",1,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,84,8,1
"UBE2J2",53,210,1,2,20,2,3,4,1,13,5,2,0,6,0,12,19,23,381,41,13
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SCNN1D",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"ACAP3",24,56,0,0,8,0,0,4,0,2,1,0,1,0,0,2,2,2,126,13,2
"PUSL1",12,57,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,5,217,13,2
"CPSF3L",46,183,0,6,18,1,3,5,1,21,6,2,4,5,2,29,10,12,561,47,9
"CPTP",18,45,0,0,10,0,1,2,0,1,0,0,2,1,1,4,0,5,168,28,6
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DVL1",16,40,0,0,2,0,0,1,0,3,0,0,0,0,1,2,5,0,336,12,2
"MXRA8",8,1811,0,0,195,0,0,3,1,0,1,8,1,1,0,71,0,4,38,9,27
"AURKAIP1",320,729,3,7,73,1,8,23,2,36,13,1,5,11,48,77,86,72,3040,177,38
"CCNL2",33,159,2,0,15,2,0,5,0,14,1,1,2,1,1,28,10,10,348,54,6
"MRPL20",262,710,2,9,81,2,12,16,5,45,6,10,5,13,20,102,53,80,2733,151,52
"RP4-758J18.13",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
"ANKRD65",0,58,0,0,9,0,0,0,1,0,0,0,0,0,0,2,0,0,1,16,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"VWA1",4,24,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,252,341,0
"ATAD3C",1,6,0,1,2,0,0,1,0,3,0,0,0,0,1,1,0,0,44,9,0
"ATAD3B",15,23,0,0,2,0,0,0,0,2,1,0,2,1,1,2,2,4,188,9,3
"ATAD3A",21,84,1,0,7,0,1,2,0,2,0,0,0,1,2,14,1,10,295,8,4
"TMEM240",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SSU72",118,378,3,5,44,2,4,10,3,18,6,2,6,4,3,45,30,48,694,102,16
"RP5-832C2.5",2,2,1,0,1,0,0,0,0,2,0,0,0,1,0,2,2,4,11,0,0
"C1orf233",17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-345P4.9",2,21,0,0,4,0,0,0,0,2,0,1,0,1,1,0,1,2,29,4,1
"MIB2",30,95,1,0,6,1,1,3,1,14,2,2,4,2,4,11,8,5,1005,20,6
"MMP23B",4,461,0,1,128,1,0,0,0,0,0,4,0,2,0,3,0,1,23,3,0
"CDK11B",29,95,1,1,7,1,1,4,2,7,2,1,1,0,0,19,9,18,449,43,8
"RP11-345P4.10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1
"SLC35E2B",26,76,1,0,6,1,1,2,0,7,1,2,2,1,0,13,2,6,183,30,2
"CDK11A",24,50,0,4,6,0,0,3,1,5,0,0,0,5,1,9,5,16,307,32,4
"SLC35E2",2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,18,0,0
"NADK",71,62,0,0,12,0,0,2,1,4,0,1,1,0,2,5,18,1,267,24,7
"GNB1",232,332,3,3,21,1,4,22,2,17,4,4,3,7,4,46,53,26,885,122,15
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TMEM52",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"RP11-547D24.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"GABRD",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,30,3
"PRKCZ",3,51,0,1,3,0,0,5,0,1,0,0,0,0,1,1,0,9,260,5,0
"RP5-892K4.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
"RP11-181G12.2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",161,451,1,9,57,2,2,6,2,21,1,1,3,5,8,70,28,25,747,86,16
"SKI",57,111,0,0,23,2,1,3,1,9,0,1,0,0,0,15,14,5,107,45,16
"MORN1",0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,42,1,0
"RER1",229,651,3,11,71,0,3,17,1,53,10,7,5,8,35,65,56,52,2034,94,24
"PEX10",27,70,0,0,11,0,0,1,1,3,1,0,0,1,1,5,5,2,127,9,6
"PLCH2",1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,54,0,0
"PANK4",11,26,0,1,5,0,1,4,0,3,0,0,0,0,1,9,1,1,79,9,1
"RP3-395M20.12",11,6,0,0,0,1,0,3,1,2,0,0,0,4,0,8,4,6,56,5,0
"RP3-395M20.8",13,15,0,0,2,0,1,1,0,3,0,0,0,3,4,0,0,5,243,3,0
"TNFRSF14",158,145,1,2,19,3,5,9,6,27,3,1,11,2,1,18,27,51,509,61,6
"RP3-395M20.9",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,1,0
"FAM213B",21,29,0,0,7,0,0,4,1,2,0,0,0,1,6,6,1,7,443,32,3
"MMEL1",1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,115,0,0
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TTC34",2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6
"PRDM16",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,24,2,8
"RP1-163G9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-22L13.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ARHGEF16",3,1,0,0,0,0,1,1,0,0,0,0,0,0,3,2,2,0,336,0,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"MEGF6",8,96,0,0,5,0,0,8,0,1,0,0,0,0,0,4,2,1,61,5,0
"RP11-46F15.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TPRG1L",27,70,0,1,12,1,0,5,0,2,1,0,0,1,0,8,5,7,178,23,6
"WRAP73",24,65,0,2,9,0,0,3,1,7,1,1,1,0,0,17,9,11,175,19,0
"TP73",1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,17,0,0
"RP5-1092A11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TP73-AS1",9,33,0,0,3,0,0,0,1,0,0,0,1,0,0,6,0,1,3,5,1
"SMIM1",21,21,0,1,2,0,0,0,2,0,0,0,0,1,0,0,3,1,33,0,1
"LRRC47",27,85,0,1,9,1,2,3,0,2,0,1,0,0,2,7,6,6,198,19,8
"CEP104",15,48,1,1,5,0,1,1,0,4,1,1,0,0,0,7,1,7,136,24,2
"DFFB",4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,36,5,0
"C1orf174",27,90,1,1,15,0,0,1,0,8,1,0,4,1,0,11,12,7,208,17,3
"LINC01134",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"AJAP1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"NPHP4",1,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16,2,0
"KCNAB2",116,15,2,1,4,2,3,0,1,13,6,0,2,4,0,2,17,34,168,11,1
"CHD5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"RPL22",1695,5582,19,103,802,30,62,161,57,459,87,66,133,98,324,638,469,532,12939,1294,345
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"RNF207",4,58,0,0,8,0,0,0,0,3,0,0,0,0,0,1,0,10,64,4,0
"ICMT",30,151,0,0,17,1,2,4,0,9,1,0,1,2,2,21,3,7,246,46,9
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"GPR153",0,28,0,0,7,0,0,0,0,1,0,0,0,1,0,5,1,0,119,0,0
"ACOT7",37,114,1,4,15,0,0,3,5,7,0,3,0,2,15,18,5,7,912,67,5
"RP1-202O8.3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0
"HES2",4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,61,10,0
"ESPN",0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,106,1,0
"TNFRSF25",4,8,0,0,2,0,4,1,0,43,1,0,5,1,0,1,4,51,48,12,1
"PLEKHG5",3,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,58,29,0
"NOL9",9,32,1,0,2,0,0,2,0,3,0,0,0,0,0,2,2,5,82,13,3
"ZBTB48",21,23,0,1,7,0,0,0,1,7,3,0,0,1,0,3,6,4,111,7,3
"KLHL21",15,27,0,0,1,0,1,0,1,0,0,0,1,0,0,5,2,6,127,8,1
"PHF13",7,18,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,1,27,10,0
"THAP3",16,70,0,1,7,0,0,1,1,2,1,1,0,1,0,10,4,4,92,13,7
"DNAJC11",26,87,1,2,12,1,1,1,0,4,1,1,0,4,2,15,6,6,250,17,9
"RP11-242F24.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CAMTA1",195,446,3,4,34,1,0,7,3,19,6,4,5,5,13,82,50,17,1058,109,63
"VAMP3",176,200,0,1,38,1,2,12,0,8,0,4,0,1,6,39,33,10,563,77,23
"PER3",25,27,0,0,6,0,0,2,1,0,0,2,0,0,0,2,1,0,85,9,0
"RP3-467L1.4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UTS2",48,6,1,1,0,0,1,1,1,14,1,0,0,1,0,1,9,27,181,1,0
"TNFRSF9",10,8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,48,4,3,0
"PARK7",457,1884,6,32,210,8,15,50,11,122,23,16,18,22,77,213,120,209,3732,373,114
"ERRFI1",115,275,0,1,20,0,0,3,0,1,0,0,0,0,0,44,24,4,241,15,9
"RP11-431K24.1",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0
"RP11-431K24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-431K24.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"SLC45A1",0,15,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
"RERE",22,116,1,1,20,1,0,6,2,2,0,2,2,1,0,16,6,3,288,47,16
"RP5-1115A15.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENO1",1252,3812,3,47,147,11,35,55,9,226,28,16,18,20,123,250,414,449,8350,563,67
"ENO1-AS1",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,3,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLC2A5",68,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
"GPR157",5,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,21,2,2
"MIR34AHG",9,19,0,0,1,0,0,2,0,1,0,0,0,0,0,3,0,1,5,2,0
"RP3-510D11.2",1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,1
"H6PD",25,123,0,2,28,0,1,2,0,2,0,1,0,0,0,17,3,2,99,27,4
"SPSB1",3,262,0,0,14,0,2,2,0,2,0,3,0,0,0,12,1,6,60,47,6
"SLC25A33",10,36,0,0,4,0,0,0,0,1,1,0,1,1,0,8,7,3,133,12,1
"TMEM201",1,9,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,32,4,0
"PIK3CD",26,11,2,2,1,0,1,0,1,6,1,0,2,1,0,1,6,3,3,1,0
"PIK3CD-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",2,13,0,0,3,0,0,0,0,1,0,0,0,0,2,4,0,1,18,0,0
"CLSTN1",59,171,2,1,25,0,1,8,1,7,2,1,1,2,3,18,3,5,736,58,5
"CTNNBIP1",56,96,0,5,5,1,0,2,1,8,3,1,0,2,11,6,12,10,571,49,2
"LZIC",56,77,2,0,16,0,2,1,0,7,1,1,2,1,2,11,11,14,372,21,3
"NMNAT1",9,33,0,0,4,1,0,0,1,1,0,0,0,1,0,1,0,5,76,9,1
"RBP7",14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,2,34,0
"UBE4B",21,45,0,1,5,0,0,0,2,2,1,0,1,1,1,5,3,6,104,14,2
"KIF1B",37,73,0,0,7,0,0,3,1,1,0,1,0,0,0,9,4,4,185,40,6
"PGD",165,94,0,4,19,0,0,2,2,8,1,0,3,1,5,5,44,5,380,21,2
"APITD1-CORT",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"APITD1",5,47,1,0,5,0,0,0,0,4,0,0,0,0,0,3,0,2,140,5,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"DFFA",34,104,0,2,17,1,1,7,3,10,2,0,0,1,0,21,8,5,220,31,9
"PEX14",18,59,3,0,10,0,0,2,0,4,1,0,0,1,1,7,2,3,106,13,4
"CASZ1",2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,183,2,1
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C1orf127",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",77,146,1,5,18,2,3,6,1,11,2,2,4,5,0,20,16,11,435,50,18
"RP4-635E18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,0
"SRM",25,186,1,0,10,0,1,3,0,2,3,2,2,2,3,12,5,5,393,36,1
"EXOSC10",31,51,1,3,9,2,1,2,0,3,0,0,2,1,1,14,2,7,238,29,10
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"RP4-635E18.6",0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,21,1,0
"MTOR",11,30,0,0,2,0,0,1,0,1,0,1,0,0,0,6,1,2,96,17,3
"ANGPTL7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",17,50,1,1,2,0,0,1,0,1,2,0,0,0,0,8,1,3,77,15,7
"FBXO2",2,19,0,0,3,0,1,0,0,7,3,0,1,0,0,0,1,4,21,0,0
"FBXO44",15,49,1,0,10,0,4,3,0,5,1,2,0,1,0,3,0,13,61,2,2
"FBXO6",34,58,0,1,1,0,2,0,0,9,0,0,0,2,0,3,13,4,58,1,0
"MAD2L2",61,197,0,3,29,2,5,7,0,17,0,1,1,2,3,16,23,26,167,27,8
"DRAXIN",2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
"AGTRAP",134,395,0,5,43,3,2,15,7,10,3,1,2,2,2,12,53,23,337,38,8
"C1orf167",1,15,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,16,0,4
"MTHFR",32,37,0,0,7,0,0,3,0,2,1,1,1,1,0,5,7,3,119,14,8
"CLCN6",16,15,0,0,3,0,0,0,0,0,0,1,0,0,0,2,5,0,69,10,0
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
"KIAA2013",62,85,1,3,8,0,1,2,2,2,3,0,0,0,3,13,9,4,384,39,2
"PLOD1",53,393,0,2,21,0,0,3,0,1,0,4,0,0,1,37,2,2,154,111,2
"MFN2",36,60,0,0,3,0,0,1,1,4,1,0,0,0,0,5,5,5,163,12,0
"MIIP",59,70,1,0,11,1,3,3,0,4,2,1,1,0,0,7,13,20,117,9,7
"TNFRSF8",11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,4,0
"TNFRSF1B",271,24,0,5,8,3,7,0,0,26,1,0,3,4,0,1,115,145,80,35,0
"VPS13D",20,43,0,2,4,0,1,3,0,5,0,0,0,1,1,26,4,3,196,22,16
"DHRS3",76,107,0,0,55,0,3,2,0,6,0,0,2,4,3,8,6,4,463,31,16
"RP11-474O21.5",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"LRRC38",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",116,2029,0,0,83,0,0,96,0,1,0,0,0,0,0,0,8,1,34,5,0
"PRDM2",59,112,0,3,17,2,1,5,0,15,3,0,2,7,0,17,8,12,164,16,6
"RP11-344F13.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",1,21,0,0,19,0,0,0,0,0,0,1,0,0,0,4,0,1,7,8,1
"TMEM51-AS1",4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"TMEM51",152,82,0,3,25,0,0,3,0,1,1,0,0,0,0,13,37,1,276,11,9
"FHAD1",16,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,16,1,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"EFHD2",239,110,1,7,12,3,3,0,0,15,4,1,1,8,10,9,63,43,1681,50,1
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"CASP9",9,23,0,2,3,0,0,0,0,1,0,0,0,2,0,4,2,2,52,19,2
"DNAJC16",18,34,0,1,4,0,0,2,0,3,0,0,0,1,0,6,3,2,89,11,1
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"AGMAT",2,8,0,1,0,0,1,0,0,0,1,0,0,0,3,0,1,1,88,1,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DDI2",31,43,1,0,1,0,0,1,0,5,0,1,0,0,0,11,5,3,140,30,3
"RP4-680D5.9",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHM2",70,68,0,1,4,0,1,1,0,2,0,0,0,2,0,7,15,1,77,18,2
"SLC25A34",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
"RP11-169K16.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,2
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"FBLIM1",5,234,0,0,27,1,0,6,0,0,0,0,0,1,1,107,3,2,353,77,35
"UQCRHL",22,65,0,1,9,0,1,2,0,2,2,2,0,1,2,10,15,9,307,22,3
"FLJ37453",5,23,0,0,2,0,0,0,0,1,0,0,0,0,0,4,2,3,37,6,1
"SPEN",65,69,0,1,10,0,1,3,1,6,2,0,3,0,0,18,12,4,263,30,10
"ZBTB17",7,68,0,2,6,0,1,3,1,4,1,0,1,0,0,9,4,7,65,29,4
"HSPB7",0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,1,0,8
"CLCNKA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLCNKB",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM131C",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"EPHA2",5,30,0,0,2,0,0,5,0,0,0,0,0,0,1,7,1,3,410,21,3
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ARHGEF19",3,71,0,0,3,2,0,1,0,1,1,0,0,0,0,2,0,1,45,2,0
"RSG1",0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,2,0
"FBXO42",19,49,0,0,13,0,1,1,0,3,0,0,1,2,0,6,4,3,76,4,1
"SZRD1",78,244,0,5,29,0,3,8,1,20,4,0,0,1,6,32,20,15,425,42,19
"SPATA21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"NECAP2",149,141,1,5,16,0,4,10,1,23,2,1,1,6,0,19,19,38,340,84,3
"RP4-798A10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RP4-798A10.7",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,27,0,1
"RP4-798A10.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NBPF1",3,23,0,0,2,0,0,0,0,0,0,0,0,1,0,3,1,1,50,3,0
"CROCC",6,46,0,0,6,1,1,1,0,0,0,0,0,0,0,4,0,3,23,4,3
"RP11-108M9.4",35,62,0,4,6,0,1,2,0,1,0,0,1,1,0,11,11,0,167,15,5
"RP11-108M9.6",0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0
"MFAP2",4,787,0,0,63,0,0,19,0,0,1,4,0,0,1,4,0,1,26,42,2
"ATP13A2",14,24,0,0,7,0,0,1,0,1,0,0,1,0,4,2,5,2,352,44,1
"SDHB",167,282,1,7,34,0,4,7,4,16,1,2,2,3,24,42,46,29,1315,57,28
"PADI2",24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,12,0,0
"PADI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PADI4",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,1,0
"AC004824.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RCC2",83,101,0,7,3,0,0,4,2,1,1,1,0,1,1,14,13,4,331,35,1
"ARHGEF10L",67,35,0,2,3,1,0,0,0,0,0,0,0,0,0,9,8,1,287,6,3
"IGSF21",35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"ALDH4A1",5,15,0,0,1,0,0,1,0,1,0,0,0,0,2,6,0,0,52,2,0
"IFFO2",4,8,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,3,17,12,1
"UBR4",94,125,0,0,29,0,0,3,0,7,3,1,0,2,7,15,14,13,787,43,5
"RP1-43E13.2",1,18,0,0,3,0,0,1,0,0,1,0,0,0,0,1,1,2,45,4,0
"EMC1",23,62,0,0,10,0,0,2,0,3,1,2,0,0,2,8,3,2,171,17,3
"MRTO4",38,126,1,0,15,0,1,3,0,5,0,1,1,0,2,15,4,11,425,22,3
"AKR7A3",8,17,0,0,2,0,1,1,0,1,0,0,1,1,13,5,4,2,1080,3,0
"AKR7A2",70,520,0,4,81,2,3,11,0,10,2,4,4,2,12,36,18,27,701,60,20
"PQLC2",25,68,0,0,6,0,0,1,0,2,0,0,0,1,0,8,2,1,76,4,3
