"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Fibroblasts","Follicular CD4 Tcells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
"FO538757.2",37,16,2,1,1,9,2,3,8,6,4,1,2,3,6,7,11,516,28,2
"AP006222.2",55,21,0,0,0,15,0,0,1,6,1,1,1,0,13,6,4,168,20,6
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RP11-206L10.9",4,1,0,0,0,5,0,0,1,1,1,0,0,0,2,1,0,39,3,0
"LINC00115",5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,34,2,1
"FAM41C",4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,17,0,0
"RP11-54O7.1",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-54O7.3",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,10,0,0,0,41,0,0,0,0,0,0,0,0,1,0,0,1,3,0
"NOC2L",31,20,1,0,0,14,1,0,7,4,1,3,0,5,16,7,9,842,34,0
"KLHL17",0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,31,0,0
"PLEKHN1",4,3,0,0,0,0,1,0,4,1,0,0,0,0,0,2,6,191,4,0
"PERM1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-54O7.17",1,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,2,1
"HES4",9,27,0,0,0,4,0,0,0,0,0,0,0,2,37,6,2,334,20,6
"ISG15",1112,507,13,17,33,164,10,6,47,49,18,24,2,223,169,270,127,19675,338,8
"AGRN",28,23,0,0,1,10,0,1,1,0,1,0,0,2,17,3,0,343,60,0
"RNF223",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0
"C1orf159",11,1,0,0,0,4,0,0,0,0,0,0,0,0,2,2,1,136,3,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"RP11-465B22.8",6,3,1,0,0,1,0,0,0,1,0,4,0,1,0,4,2,300,2,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"TNFRSF18",56,4,0,10,1,2,16,9,17,10,5,30,0,0,1,15,314,36,4,0
"TNFRSF4",43,3,0,1,0,2,17,0,33,0,9,4,0,2,0,29,513,47,214,0
"SDF4",262,126,3,5,1,142,4,2,18,12,7,13,2,41,55,66,66,3001,154,2
"B3GALT6",21,11,1,0,0,5,0,0,0,0,0,0,0,0,3,2,0,95,15,0
"FAM132A",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,169,7,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UBE2J2",64,30,4,2,1,28,0,1,10,11,6,5,2,1,16,19,31,621,49,2
"SCNN1D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0
"ACAP3",15,5,1,0,0,5,0,0,1,0,1,0,0,1,5,1,4,243,5,1
"PUSL1",20,9,1,0,0,12,0,0,4,1,0,0,0,4,5,9,7,417,10,0
"CPSF3L",43,29,3,3,2,24,5,1,7,9,3,6,0,5,22,17,19,953,37,2
"CPTP",13,13,0,0,0,10,0,0,2,3,0,2,1,0,10,3,4,263,15,1
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DVL1",16,11,0,1,0,4,0,0,1,0,0,1,1,3,2,5,4,518,13,0
"MXRA8",2,263,0,1,0,152,1,0,0,1,0,0,0,1,44,0,0,6,0,2
"AURKAIP1",354,148,8,10,3,120,7,2,28,23,13,12,2,85,71,104,65,5959,181,12
"CCNL2",40,19,2,3,0,24,1,1,6,2,7,3,0,2,18,7,9,550,44,1
"MRPL20",278,131,6,5,3,127,6,2,24,23,13,18,2,56,63,83,63,4722,148,13
"RP4-758J18.13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
"ANKRD65",3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,23,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"VWA1",2,5,0,0,0,7,0,0,0,0,0,0,0,4,2,1,1,333,237,0
"ATAD3C",5,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,62,8,0
"ATAD3B",14,4,1,1,0,4,0,0,1,0,2,2,0,4,8,4,4,410,7,0
"ATAD3A",21,12,0,3,0,5,0,1,5,1,0,1,0,7,7,9,3,485,21,0
"TMEM240",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0
"SSU72",153,77,0,2,4,47,10,1,19,14,5,12,1,6,31,44,58,1128,88,1
"RP5-832C2.5",2,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,4,12,0,0
"AL645728.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C1orf233",14,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"RP11-345P4.9",2,3,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,33,4,0
"MIB2",33,23,1,5,1,13,1,0,5,10,2,0,1,12,6,2,6,1303,12,1
"MMP23B",1,51,0,1,1,273,0,0,0,1,0,2,1,1,1,1,0,22,0,0
"CDK11B",33,22,2,2,2,9,1,0,5,10,4,5,2,1,14,14,17,763,28,3
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0
"SLC35E2B",15,12,0,2,0,11,1,2,5,3,1,1,0,0,5,5,7,238,28,0
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CDK11A",19,16,1,1,0,10,3,1,2,0,0,7,2,0,7,7,23,538,17,3
"SLC35E2",2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26,2,0
"NADK",125,2,1,1,0,20,0,1,0,3,2,5,0,4,9,35,3,494,14,2
"GNB1",217,55,1,1,3,31,3,1,3,5,4,3,4,18,29,61,22,1469,129,5
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TMEM52",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,60,2,0
"CFAP74",1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,22,0
"RP11-547D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PRKCZ",2,10,0,1,0,7,0,0,1,1,2,1,0,1,3,0,9,385,6,0
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-181G12.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",152,74,2,4,2,86,6,3,8,10,4,7,0,28,47,43,28,1187,90,4
"SKI",41,28,0,0,0,35,0,1,6,6,1,2,1,0,15,8,9,175,46,0
"MORN1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,95,1,0
"RER1",240,123,7,7,2,92,7,2,23,17,8,8,1,71,60,74,48,3519,84,7
"PEX10",27,8,1,0,0,9,2,0,1,0,1,4,0,1,7,6,5,190,3,1
"PLCH2",0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,37,0,0
"PANK4",9,5,3,0,1,7,1,0,5,1,0,0,0,0,1,1,5,106,6,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP3-395M20.12",15,1,2,2,0,0,1,0,0,3,2,2,0,0,7,4,4,90,4,0
"RP3-395M20.8",19,2,0,0,2,3,0,0,5,3,0,4,0,5,2,3,4,427,3,0
"TNFRSF14",140,17,1,4,4,30,4,1,20,15,9,6,2,4,11,44,56,896,48,2
"RP3-395M20.9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,1,0
"FAM213B",29,7,0,0,0,5,0,0,1,0,0,1,0,10,8,0,4,762,23,0
"MMEL1",4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,153,2,0
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"TTC34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"LINC00982",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,1
"PRDM16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,41,3,2
"RP1-163G9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"ARHGEF16",7,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,424,1,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MEGF6",10,9,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,69,6,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"TPRG1L",27,5,1,0,0,10,1,0,1,1,1,0,0,2,9,5,5,280,13,1
"WRAP73",22,8,2,3,1,6,5,0,6,4,3,2,3,2,10,5,10,325,18,0
"TP73",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,1,0
"TP73-AS1",12,1,0,1,0,6,0,0,0,1,0,1,0,0,1,2,4,2,8,0
"SMIM1",14,1,0,0,1,5,0,3,1,0,0,2,1,0,1,4,1,48,2,0
"LRRC47",14,16,1,3,0,12,0,0,4,4,1,0,0,0,6,4,8,346,12,5
"RP1-286D6.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP104",16,13,1,1,1,6,1,0,4,1,2,2,0,1,6,2,4,168,21,3
"DFFB",4,1,1,1,0,2,1,0,0,2,0,0,0,0,2,1,2,62,1,0
"C1orf174",39,18,0,2,2,19,1,1,5,3,3,2,0,0,11,13,8,323,12,2
"LINC01134",3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,10,0,0
"LINC01346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"NPHP4",7,1,0,0,0,2,1,0,0,0,0,0,0,1,1,3,1,33,2,0
"KCNAB2",112,4,2,6,2,2,2,0,7,6,8,10,1,2,1,24,24,205,8,1
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0
"RPL22",1708,954,70,62,16,902,84,23,390,209,257,189,34,529,506,602,635,20088,1324,47
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0
"RNF207",10,9,0,1,0,11,0,0,2,0,1,0,0,0,5,0,4,108,6,0
"ICMT",46,22,0,0,0,12,0,1,1,3,1,3,0,4,14,10,3,464,30,3
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"GPR153",5,4,0,0,0,7,0,0,0,0,0,0,0,2,3,0,1,205,2,0
"ACOT7",33,15,0,2,0,11,4,2,2,4,3,3,0,21,8,6,5,1665,53,0
"RP1-202O8.3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,0,0
"HES2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,8,0
"ESPN",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,185,0,0
"TNFRSF25",13,1,0,0,0,1,2,0,26,1,8,0,0,0,0,4,58,96,25,0
"PLEKHG5",3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,96,21,0
"NOL9",12,7,0,0,0,5,0,0,0,2,4,2,0,0,6,2,5,141,15,1
"ZBTB48",20,2,0,1,0,5,0,1,1,1,0,2,0,0,5,2,5,142,10,0
"KLHL21",7,2,0,1,0,1,0,0,1,0,0,2,0,1,4,3,1,141,7,0
"PHF13",5,4,0,0,0,5,0,0,0,1,0,1,0,0,3,0,1,73,6,0
"THAP3",23,19,2,3,0,16,0,0,3,2,4,3,1,0,5,2,8,148,14,0
"DNAJC11",47,22,0,0,1,11,1,2,1,4,3,2,0,9,11,7,11,423,27,1
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CAMTA1",209,89,3,3,1,61,2,2,13,9,5,5,5,32,55,71,32,1713,106,14
"RP4-549F15.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-338N10.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAMP3",171,40,0,2,0,35,0,2,6,3,2,1,1,21,24,35,18,972,86,7
"PER3",19,3,0,0,0,6,0,0,1,0,0,0,0,0,3,2,1,61,11,1
"UTS2",41,1,8,3,1,1,1,1,5,9,3,3,0,9,0,13,22,372,4,1
"TNFRSF9",16,0,1,3,0,0,0,2,0,1,0,2,0,1,0,8,28,6,0,0
"PARK7",537,346,18,20,13,329,28,10,79,76,27,31,4,141,170,151,202,6977,357,22
"ERRFI1",112,84,0,0,0,17,0,0,2,0,1,1,0,1,18,17,3,408,17,3
"RP11-431K24.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0
"RP11-431K24.4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"SLC45A1",2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,2,0
"RERE",34,19,1,0,0,17,2,1,2,3,3,1,1,1,9,6,9,402,32,0
"RP5-1115A15.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
"ENO1",1434,798,30,24,10,223,41,15,130,64,38,43,10,262,174,440,385,15123,506,17
"ENO1-AS1",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,29,1,0
"SLC2A5",56,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GPR157",7,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,25,1,0
"MIR34AHG",5,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,6,1,0
"RP3-510D11.2",0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"H6PD",30,21,1,0,0,27,2,0,2,2,1,1,0,1,7,8,3,153,21,0
"SPSB1",8,34,0,2,0,24,2,1,0,2,0,1,0,1,14,0,3,119,39,3
"SLC25A33",19,11,0,1,0,3,0,0,0,2,1,2,0,0,6,4,3,310,5,0
"TMEM201",9,4,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,67,6,0
"PIK3CD",28,1,3,0,1,0,0,0,2,2,1,4,0,0,3,6,6,5,2,0
"PIK3CD-AS2",0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,15,0,0
"CLSTN1",62,30,4,1,1,17,0,1,3,1,0,1,0,8,15,15,10,1078,62,2
"CTNNBIP1",70,22,0,0,0,13,0,0,7,6,0,1,0,17,5,22,11,1003,48,0
"LZIC",49,17,0,0,1,9,2,0,8,8,0,4,0,6,12,17,15,560,14,1
"NMNAT1",14,2,0,0,0,8,0,0,0,0,0,0,0,0,5,4,1,105,8,0
"RBP7",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,111,0
"UBE4B",24,9,0,1,0,7,0,1,2,2,1,4,0,2,2,4,9,179,6,1
"KIF1B",35,14,1,1,1,9,0,0,1,1,0,0,0,0,8,7,3,289,18,2
"PGD",265,32,1,0,0,21,1,1,1,1,1,5,1,6,2,59,4,624,20,0
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"APITD1",12,10,0,0,0,3,0,0,0,1,3,0,0,2,1,0,1,218,3,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"DFFA",34,18,2,1,0,20,0,1,5,5,3,1,0,2,8,13,8,318,41,0
"PEX14",18,10,0,1,0,6,1,1,2,1,1,0,0,2,10,0,7,178,9,1
"CASZ1",1,0,0,0,0,2,0,0,2,0,0,0,1,0,3,2,3,336,4,0
"C1orf127",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",81,35,1,2,1,16,5,0,8,6,2,3,2,2,14,21,19,732,53,2
"RP4-635E18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SRM",38,54,0,1,0,30,2,0,2,2,3,1,0,5,8,6,7,658,29,0
"EXOSC10",21,14,1,3,0,11,1,0,7,2,0,3,1,2,10,5,7,390,17,2
"RP4-635E18.6",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,27,2,0
"MTOR",8,10,0,0,1,4,0,0,4,2,0,0,0,3,4,2,1,131,17,0
"ANGPTL7",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",13,11,1,1,0,8,0,0,2,1,1,2,0,2,1,2,5,116,11,1
"PTCHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FBXO2",1,5,0,3,0,1,0,0,2,6,0,0,0,0,2,0,4,43,0,0
"FBXO44",15,6,1,3,0,13,1,0,5,6,0,6,0,0,5,4,3,53,3,0
"FBXO6",58,12,1,2,1,12,2,0,5,3,0,4,0,0,2,20,4,59,4,0
"MAD2L2",64,35,3,4,2,24,1,1,4,13,0,6,0,2,13,24,25,243,33,0
"DRAXIN",1,0,0,1,0,0,0,0,2,3,0,2,0,0,0,0,2,1,0,0
"AGTRAP",179,86,2,2,2,60,3,0,11,15,3,4,1,12,10,77,20,587,47,1
"C1orf167",0,7,0,0,0,24,0,0,0,1,0,0,0,0,2,0,0,7,1,2
"MTHFR",18,7,0,0,0,9,3,0,1,1,2,1,0,1,5,8,4,202,14,1
"CLCN6",24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,124,1,2
"NPPA-AS1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0
"KIAA2013",67,13,1,2,0,19,0,1,3,3,1,0,1,5,13,5,8,604,31,1
"PLOD1",47,76,0,0,1,33,0,1,0,0,0,0,0,0,24,6,2,233,61,0
"MFN2",27,8,0,0,0,7,0,0,2,2,1,0,0,0,6,3,1,332,14,1
"MIIP",80,13,0,1,1,10,5,0,6,1,2,3,3,3,9,31,28,206,7,0
"TNFRSF8",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,9,1,4,0
"TNFRSF1B",236,6,4,6,2,14,3,0,21,10,3,9,4,2,3,108,102,161,67,1
"VPS13D",26,4,1,1,1,23,1,0,2,3,2,0,1,3,16,3,3,333,12,4
"DHRS3",106,10,0,0,0,97,1,0,9,6,1,2,0,3,6,11,4,791,16,1
"RP11-474O21.5",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"HNRNPCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"LRRC38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",126,364,0,0,0,164,0,0,0,1,0,0,0,0,0,6,0,22,1,0
"PRDM2",37,19,0,3,2,26,4,0,3,4,6,2,0,1,8,8,27,280,24,1
"RP11-344F13.1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,1,0,0,0,19,0,1,0,0,0,0,0,0,1,0,0,18,6,0
"TMEM51-AS1",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
"TMEM51",114,16,0,0,0,19,0,0,0,0,0,0,0,0,7,30,0,451,3,1
"C1orf195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FHAD1",25,7,0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,29,1,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"EFHD2",286,25,2,1,0,11,1,2,13,5,5,16,1,20,10,103,40,2835,36,0
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"CASP9",6,3,0,0,0,5,0,0,2,0,0,2,0,1,0,2,6,90,17,0
"DNAJC16",20,8,1,1,0,5,1,0,0,1,1,2,0,1,2,4,1,122,9,1
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"AGMAT",0,1,0,0,0,1,0,0,1,3,1,0,0,4,1,0,4,155,2,0
"RP4-680D5.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"DDI2",25,8,0,0,0,6,0,1,3,1,0,1,1,0,1,5,1,233,15,0
"RP4-680D5.9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHM2",84,15,1,0,0,13,1,0,0,2,0,0,0,0,6,10,2,118,13,0
"SLC25A34",5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,7,0,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
"FBLIM1",5,44,0,0,1,26,0,0,2,1,0,0,0,1,69,1,5,597,61,5
"UQCRHL",38,14,2,0,0,13,1,2,3,3,2,3,0,13,9,10,7,664,15,0
"FLJ37453",3,3,0,0,0,1,0,0,3,0,1,1,0,0,4,2,1,36,7,0
"SPEN",55,10,1,0,0,7,1,1,3,1,1,4,0,1,10,5,10,449,21,0
"ZBTB17",23,16,0,0,0,9,0,0,4,2,0,1,0,1,3,12,4,98,13,0
"C1orf64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPB7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
"EPHA2",5,1,0,0,0,3,0,0,1,1,0,0,0,7,13,1,0,678,23,0
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"ARHGEF19",1,11,0,0,0,5,0,0,1,2,1,0,0,0,3,0,2,65,7,0
"RSG1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,2,0
"FBXO42",19,10,0,0,0,9,0,0,5,3,1,1,0,0,6,4,6,142,11,1
"SZRD1",101,49,2,3,3,20,0,0,11,13,6,5,0,8,18,23,18,779,40,2
"SPATA21",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NECAP2",149,32,2,0,1,16,1,3,13,9,13,1,3,3,14,46,51,558,76,2
"RP4-798A10.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0
"RP4-798A10.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"RP4-798A10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NBPF1",8,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,58,2,0
"CROCC",5,9,0,0,0,7,0,3,1,1,0,0,1,0,3,1,3,36,8,0
"RP11-108M9.4",32,15,0,0,0,14,0,0,2,0,1,1,0,1,5,5,1,231,16,0
"RP11-108M9.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0
"MFAP2",1,126,0,0,0,92,0,0,0,0,0,0,0,0,0,1,1,8,17,0
"ATP13A2",18,6,0,0,0,2,1,0,1,1,0,1,0,10,3,2,4,627,28,1
"SDHB",211,48,4,3,1,56,3,2,14,16,4,6,1,38,31,65,32,2529,52,1
"PADI2",17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,18,0,0
"PADI1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PADI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PADI4",0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,1,1,0,0
"RCC2",76,15,0,2,0,13,0,0,3,1,0,1,0,2,8,10,4,548,34,1
"ARHGEF10L",89,14,0,0,1,7,0,0,1,1,1,0,0,0,3,13,1,399,3,1
"IGSF21",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"ALDH4A1",7,8,0,0,0,1,0,0,1,0,0,0,0,0,2,3,1,73,4,0
"IFFO2",3,2,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,27,6,0
"UBR4",72,25,0,3,0,19,0,1,9,6,2,1,0,17,10,19,14,1453,36,1
"RP1-43E13.2",1,1,0,0,0,5,0,1,0,1,1,0,0,0,1,0,3,43,1,0
"EMC1",27,5,1,0,0,11,0,0,1,1,1,0,0,4,4,8,5,281,17,0
"MRTO4",41,16,0,0,0,17,0,1,5,2,1,5,1,5,8,11,9,792,39,0
"AKR7A3",14,6,0,0,0,3,0,0,0,2,0,0,0,32,2,5,2,1692,1,0
"AKR7A2",84,111,1,5,2,97,11,0,9,4,3,13,1,22,34,16,35,1197,54,2
"PQLC2",23,14,0,1,0,10,0,0,0,2,0,1,0,1,7,5,1,103,6,0
"CAPZB",643,390,23,21,8,230,30,3,83,74,18,30,10,69,128,176,152,3470,216,9
"RP5-1056L3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MINOS1",463,267,8,12,6,156,9,6,55,26,15,23,4,131,135,150,98,6481,230,23
"NBL1",26,431,2,4,0,177,1,0,4,7,3,4,1,32,22,8,3,1914,52,3
"TMCO4",6,5,0,0,1,5,0,0,2,2,1,0,0,1,0,0,6,163,2,0
"RNF186",3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,172,1,0
"OTUD3",1,4,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,104,3,1
"PLA2G2A",10,16,1,1,0,3636,0,0,0,1,0,2,0,4,233,4,3,224,3,1
"PLA2G5",0,5,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"PLA2G2D",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
