"","ImmProt_T4.naive_01","ImmProt_T4.naive_02","ImmProt_T4.naive_03","ImmProt_T4.naive_04","ImmProt_T4.naive_01_activated","ImmProt_T4.naive_02_activated","ImmProt_T4.naive_03_activated","ImmProt_T4.naive_04_activated"
"55568",1,0,1,1,0,0,0,0
"56606",1,0,0,0,0,0,0,0
"2590",0,0,0,0,1,1,1,1
"154091",NA,NA,NA,NA,NA,NA,NA,NA
"3425",1,1,1,1,0,0,0,0
"2591",0,1,1,0,0,1,1,0
"144195",NA,NA,NA,NA,NA,NA,NA,NA
"11182",0,0,0,0,0,0,1,0
"114805",NA,NA,NA,NA,NA,NA,NA,NA
"6523",NA,NA,NA,NA,NA,NA,NA,NA
"587",1,1,1,1,1,1,1,1
"8693",0,0,0,0,1,0,0,1
"63917",NA,NA,NA,NA,NA,NA,NA,NA
"50614",NA,NA,NA,NA,NA,NA,NA,NA
"8501",NA,NA,NA,NA,NA,NA,NA,NA
"2589",0,0,0,1,0,1,1,0
"178",0,1,0,1,0,1,1,0
"51809",0,0,0,0,0,1,1,1
"55586",NA,NA,NA,NA,NA,NA,NA,NA
"114134",1,1,1,1,1,1,1,1
"117248",NA,NA,NA,NA,NA,NA,NA,NA
"11227",NA,NA,NA,NA,NA,NA,NA,NA
"6526",0,0,0,0,1,1,1,0
"11226",1,1,1,1,0,0,1,0
"79695",NA,NA,NA,NA,NA,NA,NA,NA
"79623",NA,NA,NA,NA,NA,NA,NA,NA
"3422",0,0,0,0,1,1,1,0
"91734",NA,NA,NA,NA,NA,NA,NA,NA
"26290",NA,NA,NA,NA,NA,NA,NA,NA
"81031",NA,NA,NA,NA,NA,NA,NA,NA
"126792",0,0,1,0,1,1,0,1
"5837",NA,NA,NA,NA,NA,NA,NA,NA
"5836",1,0,0,1,1,0,0,1
"5834",1,1,1,1,1,1,1,1
"160728",NA,NA,NA,NA,NA,NA,NA,NA
"8801",1,1,1,1,1,1,1,1
"11285",0,0,0,1,1,1,0,0
"8802",1,1,1,1,1,1,1,1
"2729",1,1,0,1,0,0,0,0
"8972",0,1,1,0,0,0,0,1
"2618",1,1,0,1,1,1,1,1
"2730",0,0,0,0,1,1,1,1
"8803",1,1,1,1,1,1,1,1
"10723",0,0,0,0,0,0,1,1
"9990",0,0,1,0,0,1,1,0
"2746",1,1,1,1,1,1,1,1
"6560",0,0,0,0,1,1,1,1
"2747",1,1,1,1,1,1,1,1
"5019",1,1,1,1,1,1,1,1
"10841",NA,NA,NA,NA,NA,NA,NA,NA
"57468",NA,NA,NA,NA,NA,NA,NA,NA
"3795",0,0,0,0,1,1,1,0
"1629",1,1,1,1,0,0,0,0
"27165",NA,NA,NA,NA,NA,NA,NA,NA
"594",0,1,1,1,1,0,0,0
"2744",1,1,1,1,1,1,1,1
"8564",0,0,0,0,1,1,1,0
"3938",NA,NA,NA,NA,NA,NA,NA,NA
"593",0,0,1,1,1,1,0,0
"26873",0,0,0,0,0,1,0,0
"79751",0,0,1,0,0,1,1,1
"83733",NA,NA,NA,NA,NA,NA,NA,NA
"4942",0,0,0,0,1,1,1,0
"2639",0,1,1,1,1,0,0,0
"53",0,0,0,1,0,1,1,1
"3931",1,0,1,1,1,0,0,0
"7372",0,0,0,0,1,1,1,1
"57084",NA,NA,NA,NA,NA,NA,NA,NA
"1811",NA,NA,NA,NA,NA,NA,NA,NA
"246213",NA,NA,NA,NA,NA,NA,NA,NA
"57030",NA,NA,NA,NA,NA,NA,NA,NA
"387775",NA,NA,NA,NA,NA,NA,NA,NA
"10861",NA,NA,NA,NA,NA,NA,NA,NA
"1836",0,0,0,0,1,0,0,0
"124637",NA,NA,NA,NA,NA,NA,NA,NA
"51179",NA,NA,NA,NA,NA,NA,NA,NA
"54363",NA,NA,NA,NA,NA,NA,NA,NA
"366",1,1,1,1,1,1,1,1
"1583",1,1,1,1,1,1,1,1
"2628",0,0,0,0,1,1,0,0
"1584",NA,NA,NA,NA,NA,NA,NA,NA
"1585",NA,NA,NA,NA,NA,NA,NA,NA
"11283",1,1,1,1,1,1,1,1
"9380",1,1,1,1,1,1,1,1
"1586",NA,NA,NA,NA,NA,NA,NA,NA
"2713",NA,NA,NA,NA,NA,NA,NA,NA
"4047",0,1,1,1,0,0,1,0
"1588",NA,NA,NA,NA,NA,NA,NA,NA
"29124",NA,NA,NA,NA,NA,NA,NA,NA
"5321",0,0,1,1,0,0,0,0
"2710",0,0,0,0,1,1,1,0
"1576",NA,NA,NA,NA,NA,NA,NA,NA
"2712",1,0,0,0,1,0,1,0
"1178",0,1,0,1,1,0,0,0
"51268",NA,NA,NA,NA,NA,NA,NA,NA
"1056",NA,NA,NA,NA,NA,NA,NA,NA
"3029",0,1,0,1,1,0,0,0
"6536",NA,NA,NA,NA,NA,NA,NA,NA
"1589",NA,NA,NA,NA,NA,NA,NA,NA
"1593",0,0,0,0,1,0,0,0
"3990",NA,NA,NA,NA,NA,NA,NA,NA
"1548",NA,NA,NA,NA,NA,NA,NA,NA
"80339",NA,NA,NA,NA,NA,NA,NA,NA
"4023",0,0,0,0,0,0,1,0
"5226",1,1,1,1,1,1,1,1
"1553",NA,NA,NA,NA,NA,NA,NA,NA
"11343",1,1,1,1,0,0,0,1
"1562",NA,NA,NA,NA,NA,NA,NA,NA
"27232",NA,NA,NA,NA,NA,NA,NA,NA
"1558",NA,NA,NA,NA,NA,NA,NA,NA
"57678",NA,NA,NA,NA,NA,NA,NA,NA
"50487",NA,NA,NA,NA,NA,NA,NA,NA
"284098",NA,NA,NA,NA,NA,NA,NA,NA
"1559",NA,NA,NA,NA,NA,NA,NA,NA
"93183",1,1,1,1,0,0,0,0
"9227",0,0,0,0,1,0,1,0
"1565",1,1,1,1,1,1,1,1
"54965",0,0,1,1,1,1,0,0
"1572",NA,NA,NA,NA,NA,NA,NA,NA
"51302",NA,NA,NA,NA,NA,NA,NA,NA
"2936",1,1,1,1,1,1,1,1
"6309",NA,NA,NA,NA,NA,NA,NA,NA
"64816",NA,NA,NA,NA,NA,NA,NA,NA
"4048",1,1,1,1,1,1,1,1
"1577",NA,NA,NA,NA,NA,NA,NA,NA
"4056",0,1,0,0,0,0,0,0
"5052",1,1,1,1,1,1,1,1
"7001",1,1,1,1,1,1,1,1
"1551",NA,NA,NA,NA,NA,NA,NA,NA
"4259",1,1,1,1,0,0,0,0
"10858",NA,NA,NA,NA,NA,NA,NA,NA
"2876",1,1,1,1,1,1,1,1
"66002",0,0,0,0,0,0,0,1
"8529",NA,NA,NA,NA,NA,NA,NA,NA
"2879",1,1,1,1,1,1,1,1
"4258",0,0,0,0,1,1,1,1
"4051",1,0,0,1,1,0,1,0
"9420",1,1,1,1,1,1,1,1
"1582",NA,NA,NA,NA,NA,NA,NA,NA
"2877",NA,NA,NA,NA,NA,NA,NA,NA
"5831",0,0,0,0,1,1,0,0
"2878",0,0,1,1,1,0,0,0
"2954",0,0,0,1,1,1,1,0
"257202",NA,NA,NA,NA,NA,NA,NA,NA
"2882",0,0,0,1,1,0,0,1
"5048",1,1,1,1,1,1,1,1
"2548",0,0,0,1,1,1,0,0
"10935",1,1,1,1,1,1,1,1
"5051",0,1,1,1,0,0,1,1
"5050",1,1,1,1,1,1,1,1
"2937",1,1,1,1,1,1,1,0
"5049",1,1,1,1,1,1,1,1
"64087",0,1,1,1,1,1,1,1
"7941",0,1,1,0,0,0,0,0
"56922",0,1,0,1,1,0,1,0
"23417",1,1,1,1,0,0,0,0
"2678",0,0,0,0,1,1,1,1
"347734",0,0,0,0,1,1,1,1
"57194",NA,NA,NA,NA,NA,NA,NA,NA
"5337",1,1,0,1,1,0,0,0
"4357",0,0,0,0,1,0,1,1
"5338",0,0,1,0,1,0,1,0
"2679",NA,NA,NA,NA,NA,NA,NA,NA
"4190",1,1,1,1,0,0,0,0
"130013",NA,NA,NA,NA,NA,NA,NA,NA
"4191",1,1,1,1,1,1,1,1
"4200",1,1,1,1,1,1,1,1
"4881",NA,NA,NA,NA,NA,NA,NA,NA
"5091",0,0,0,0,1,1,1,0
"4882",NA,NA,NA,NA,NA,NA,NA,NA
"2984",NA,NA,NA,NA,NA,NA,NA,NA
"2974",NA,NA,NA,NA,NA,NA,NA,NA
"2982",0,0,0,0,0,0,1,0
"2986",NA,NA,NA,NA,NA,NA,NA,NA
"4199",0,0,0,0,1,1,0,0
"10873",1,1,1,1,1,1,1,1
"3620",0,1,0,0,0,0,1,0
"2983",1,0,1,1,0,0,0,0
"3000",0,1,1,1,1,0,0,0
"1557",NA,NA,NA,NA,NA,NA,NA,NA
"1545",0,0,0,0,1,0,0,1
"5244",NA,NA,NA,NA,NA,NA,NA,NA
"2977",NA,NA,NA,NA,NA,NA,NA,NA
"1543",0,0,0,0,1,1,1,0
"1544",NA,NA,NA,NA,NA,NA,NA,NA
"9615",NA,NA,NA,NA,NA,NA,NA,NA
"4144",0,0,0,0,1,1,1,1
"4143",1,1,1,1,1,1,1,1
"5150",0,0,0,0,0,1,1,1
"27430",1,1,1,1,1,1,1,1
"4548",0,0,0,0,1,0,0,1
"763",NA,NA,NA,NA,NA,NA,NA,NA
"5143",NA,NA,NA,NA,NA,NA,NA,NA
"11238",1,1,1,1,0,0,0,0
"4598",0,0,0,0,1,1,1,0
"5137",0,1,0,0,0,0,0,0
"3636",0,0,0,0,1,1,1,0
"5151",NA,NA,NA,NA,NA,NA,NA,NA
"23556",1,1,1,0,0,0,0,1
"55650",NA,NA,NA,NA,NA,NA,NA,NA
"3635",1,1,1,1,1,1,1,1
"3633",0,0,0,1,1,1,1,0
"8867",1,1,1,1,0,0,1,0
"5140",1,1,1,0,0,0,0,1
"27124",NA,NA,NA,NA,NA,NA,NA,NA
"53905",NA,NA,NA,NA,NA,NA,NA,NA
"50506",NA,NA,NA,NA,NA,NA,NA,NA
"5142",NA,NA,NA,NA,NA,NA,NA,NA
"343",NA,NA,NA,NA,NA,NA,NA,NA
"5281",NA,NA,NA,NA,NA,NA,NA,NA
"3632",0,0,0,0,1,1,1,1
"10846",NA,NA,NA,NA,NA,NA,NA,NA
"84720",1,1,1,1,0,0,0,0
"56623",NA,NA,NA,NA,NA,NA,NA,NA
"5141",0,0,0,0,1,0,1,0
"8622",NA,NA,NA,NA,NA,NA,NA,NA
"3628",0,0,1,1,1,1,0,0
"3707",1,1,1,1,0,0,0,0
"80235",NA,NA,NA,NA,NA,NA,NA,NA
"5144",0,0,0,0,1,1,0,0
"3706",NA,NA,NA,NA,NA,NA,NA,NA
"5153",NA,NA,NA,NA,NA,NA,NA,NA
"80271",1,0,1,1,0,0,0,0
"94005",1,1,1,0,0,1,1,0
"27115",NA,NA,NA,NA,NA,NA,NA,NA
"128869",1,1,1,1,0,0,0,0
"51477",0,0,0,0,1,1,1,0
"10026",1,1,1,1,0,0,0,0
"5138",0,0,0,0,0,1,0,1
"51604",1,0,1,1,0,0,0,0
"3631",1,1,1,1,0,0,0,0
"5139",0,0,0,0,0,1,0,1
"8821",0,0,1,0,0,0,0,0
"50940",NA,NA,NA,NA,NA,NA,NA,NA
"2595",0,0,0,1,1,0,1,0
"84693",0,1,1,1,0,0,0,0
"8733",0,1,0,1,0,0,0,1
"5136",NA,NA,NA,NA,NA,NA,NA,NA
"4594",0,0,1,1,0,1,1,0
"3028",1,1,1,1,1,1,1,1
"5152",NA,NA,NA,NA,NA,NA,NA,NA
"3033",1,1,1,1,1,1,1,1
"3037",NA,NA,NA,NA,NA,NA,NA,NA
"80168",NA,NA,NA,NA,NA,NA,NA,NA
"116255",NA,NA,NA,NA,NA,NA,NA,NA
"5146",NA,NA,NA,NA,NA,NA,NA,NA
"4507",1,1,1,1,1,1,1,1
"3038",NA,NA,NA,NA,NA,NA,NA,NA
"3036",NA,NA,NA,NA,NA,NA,NA,NA
"27235",NA,NA,NA,NA,NA,NA,NA,NA
"6521",0,0,0,0,1,1,0,0
"83697",NA,NA,NA,NA,NA,NA,NA,NA
"10797",0,0,0,0,1,1,1,1
"56913",0,0,0,0,0,1,0,1
"443",NA,NA,NA,NA,NA,NA,NA,NA
"91703",0,0,0,0,1,1,0,0
"6522",0,1,0,1,0,1,0,0
"6508",NA,NA,NA,NA,NA,NA,NA,NA
"5145",NA,NA,NA,NA,NA,NA,NA,NA
"4668",0,0,0,0,1,1,1,0
"9498",NA,NA,NA,NA,NA,NA,NA,NA
"57282",1,1,1,1,1,1,1,1
"6528",NA,NA,NA,NA,NA,NA,NA,NA
"3098",1,1,1,1,1,1,1,1
"80201",NA,NA,NA,NA,NA,NA,NA,NA
"8654",0,0,0,0,0,1,1,1
"2645",NA,NA,NA,NA,NA,NA,NA,NA
"483",1,1,1,1,1,1,1,1
"3101",1,1,1,1,0,0,1,0
"5149",1,1,1,1,1,1,1,1
"478",1,1,1,1,1,1,1,1
"480",NA,NA,NA,NA,NA,NA,NA,NA
"481",0,0,0,0,1,0,1,1
"3099",0,0,0,0,1,1,1,1
"5147",0,0,0,0,1,1,1,0
"482",NA,NA,NA,NA,NA,NA,NA,NA
"476",1,1,1,1,1,1,1,1
"477",0,0,0,0,0,1,0,0
"23439",NA,NA,NA,NA,NA,NA,NA,NA
"3081",1,1,1,1,1,1,1,1
"11112",1,1,1,1,1,1,1,1
"3067",1,1,1,1,1,1,1,1
"6549",NA,NA,NA,NA,NA,NA,NA,NA
"6550",NA,NA,NA,NA,NA,NA,NA,NA
"5148",NA,NA,NA,NA,NA,NA,NA,NA
"496",NA,NA,NA,NA,NA,NA,NA,NA
"6548",0,0,0,0,0,1,1,1
"495",1,1,1,1,1,1,1,1
"55748",1,1,1,1,1,1,1,1
"5158",NA,NA,NA,NA,NA,NA,NA,NA
"84735",1,0,1,1,0,0,0,0
"6559",NA,NA,NA,NA,NA,NA,NA,NA
"8942",1,1,1,0,0,0,0,0
"5162",1,1,1,1,1,1,1,1
"3157",0,0,0,0,1,1,1,0
"5161",NA,NA,NA,NA,NA,NA,NA,NA
"123041",NA,NA,NA,NA,NA,NA,NA,NA
"1737",1,1,1,1,1,1,1,1
"3158",NA,NA,NA,NA,NA,NA,NA,NA
"5160",1,1,1,1,1,1,1,1
"55163",0,0,0,0,1,1,1,0
"25769",NA,NA,NA,NA,NA,NA,NA,NA
"54511",NA,NA,NA,NA,NA,NA,NA,NA
"10396",0,0,1,0,1,1,0,0
"57419",NA,NA,NA,NA,NA,NA,NA,NA
"9187",NA,NA,NA,NA,NA,NA,NA,NA
"5105",NA,NA,NA,NA,NA,NA,NA,NA
"124583",0,0,0,0,1,1,1,1
"3155",0,0,0,0,1,1,1,0
"5106",1,1,1,1,1,1,1,1
"3162",0,0,0,0,1,1,0,1
"3163",1,1,1,1,1,1,1,1
"79077",0,0,0,0,1,1,1,1
"8310",0,0,0,0,1,1,0,1
"9583",1,1,1,1,0,0,0,0
"26062",NA,NA,NA,NA,NA,NA,NA,NA
"197257",1,1,1,1,1,1,1,1
"5833",1,1,0,1,1,0,0,0
"1841",1,1,1,1,1,1,1,1
"10400",NA,NA,NA,NA,NA,NA,NA,NA
"6448",1,0,1,1,0,0,0,0
"29922",0,0,0,0,1,1,1,1
"26227",0,1,0,1,1,1,1,1
"10201",0,0,1,1,0,1,1,0
"5730",1,1,1,1,1,1,1,1
"4830",1,0,1,1,0,1,1,1
"27306",0,1,0,0,1,0,0,0
"80142",0,1,1,1,0,0,0,0
"4831",1,1,1,1,1,1,1,1
"4832",0,0,1,0,0,0,0,0
"200576",0,1,0,0,1,1,0,0
"8396",1,0,1,1,0,0,0,1
"9536",0,1,0,0,0,0,0,0
"4833",1,0,0,0,0,0,1,1
"6005",1,1,1,1,1,1,1,1
"79837",0,1,0,0,1,1,1,0
"5740",0,0,0,0,0,0,1,0
"5289",0,0,0,1,0,0,0,0
"57127",NA,NA,NA,NA,NA,NA,NA,NA
"6557",NA,NA,NA,NA,NA,NA,NA,NA
"5277",NA,NA,NA,NA,NA,NA,NA,NA
"114971",1,1,1,1,0,1,0,0
"6558",0,0,0,0,0,1,1,1
"349565",1,1,1,1,0,0,0,0
"9489",0,0,1,1,1,1,1,0
"64802",1,1,0,1,1,0,0,0
"23057",NA,NA,NA,NA,NA,NA,NA,NA
"8818",NA,NA,NA,NA,NA,NA,NA,NA
"5743",1,1,1,1,1,1,1,1
"5742",0,1,0,0,0,0,0,0
"10135",1,0,0,0,1,1,1,1
"6898",NA,NA,NA,NA,NA,NA,NA,NA
"5053",NA,NA,NA,NA,NA,NA,NA,NA
"5283",NA,NA,NA,NA,NA,NA,NA,NA
"5264",NA,NA,NA,NA,NA,NA,NA,NA
"4837",NA,NA,NA,NA,NA,NA,NA,NA
"5409",NA,NA,NA,NA,NA,NA,NA,NA
"5728",1,0,0,1,0,1,0,0
"645740",NA,NA,NA,NA,NA,NA,NA,NA
"8871",1,0,0,0,1,1,1,1
"51227",NA,NA,NA,NA,NA,NA,NA,NA
"8395",1,1,1,1,1,1,1,1
"9091",0,0,0,0,1,0,0,0
"4842",NA,NA,NA,NA,NA,NA,NA,NA
"23396",0,0,0,0,1,1,1,0
"4843",NA,NA,NA,NA,NA,NA,NA,NA
"5279",NA,NA,NA,NA,NA,NA,NA,NA
"8394",0,0,0,0,1,1,1,1
"55361",0,1,1,1,0,1,0,0
"201288",NA,NA,NA,NA,NA,NA,NA,NA
"4846",NA,NA,NA,NA,NA,NA,NA,NA
"5297",0,0,0,0,1,1,1,1
"4860",1,1,1,1,1,1,1,1
"5298",0,0,0,0,1,1,1,0
"5294",0,0,0,0,1,1,1,0
"123745",NA,NA,NA,NA,NA,NA,NA,NA
"5290",1,1,1,1,0,0,0,1
"6580",NA,NA,NA,NA,NA,NA,NA,NA
"5295",1,1,1,1,0,0,0,0
"10870",0,0,0,0,1,0,0,0
"55808",NA,NA,NA,NA,NA,NA,NA,NA
"5251",1,1,1,1,0,0,0,0
"5320",NA,NA,NA,NA,NA,NA,NA,NA
"8503",NA,NA,NA,NA,NA,NA,NA,NA
"30833",0,0,0,1,1,1,1,0
"81579",NA,NA,NA,NA,NA,NA,NA,NA
"56953",NA,NA,NA,NA,NA,NA,NA,NA
"23533",0,0,0,0,0,1,1,0
"8398",0,1,0,0,0,0,0,0
"5296",NA,NA,NA,NA,NA,NA,NA,NA
"5322",NA,NA,NA,NA,NA,NA,NA,NA
"4907",0,0,0,1,0,1,1,0
"5291",1,1,0,1,0,0,0,0
"5293",1,1,0,1,0,0,0,0
"6476",NA,NA,NA,NA,NA,NA,NA,NA
"5009",NA,NA,NA,NA,NA,NA,NA,NA
"4952",0,0,0,0,0,1,1,0
"64600",NA,NA,NA,NA,NA,NA,NA,NA
"64064",NA,NA,NA,NA,NA,NA,NA,NA
"23236",1,1,1,1,1,1,1,1
"100137049",NA,NA,NA,NA,NA,NA,NA,NA
"30814",NA,NA,NA,NA,NA,NA,NA,NA
"26279",1,1,1,1,1,1,1,1
"5335",1,1,0,0,0,0,0,0
"8399",NA,NA,NA,NA,NA,NA,NA,NA
"5332",0,0,0,0,1,1,1,0
"257068",NA,NA,NA,NA,NA,NA,NA,NA
"5319",NA,NA,NA,NA,NA,NA,NA,NA
"6489",NA,NA,NA,NA,NA,NA,NA,NA
"5336",0,0,0,0,1,1,1,1
"23007",NA,NA,NA,NA,NA,NA,NA,NA
"29906",NA,NA,NA,NA,NA,NA,NA,NA
"5334",1,1,1,1,0,0,0,0
"10654",0,0,0,0,1,1,1,1
"9651",1,0,0,0,0,0,1,0
"9807",0,0,0,0,1,1,1,0
"412",1,1,1,1,1,1,1,1
"51196",NA,NA,NA,NA,NA,NA,NA,NA
"117283",NA,NA,NA,NA,NA,NA,NA,NA
"5331",1,0,0,0,0,1,1,1
"84812",NA,NA,NA,NA,NA,NA,NA,NA
"5330",1,1,1,1,1,1,1,1
"6391",1,1,1,1,1,1,1,1
"113026",NA,NA,NA,NA,NA,NA,NA,NA
"6392",0,1,0,1,1,0,1,0
"6390",1,1,1,1,1,1,1,1
"51447",NA,NA,NA,NA,NA,NA,NA,NA
"5333",0,1,0,0,1,0,1,0
"6389",1,1,1,1,1,1,1,1
"6821",0,1,1,1,0,0,1,1
"89869",0,0,0,0,0,1,0,0
"6533",0,0,0,0,0,0,1,1
"5288",NA,NA,NA,NA,NA,NA,NA,NA
"55350",NA,NA,NA,NA,NA,NA,NA,NA
"5092",0,0,0,0,1,1,1,0
"5287",1,0,0,0,0,1,1,0
"23530",1,1,1,1,1,1,1,1
"5286",0,1,0,0,1,1,1,0
"8876",0,0,1,0,0,0,0,0
"79178",0,1,0,1,1,0,0,1
"5305",1,1,1,1,1,1,1,1
"8875",0,0,1,0,0,0,0,0
"64499",0,0,0,1,0,0,0,0
"6567",NA,NA,NA,NA,NA,NA,NA,NA
"7177",0,0,0,1,0,0,0,0
"1890",0,0,0,0,1,1,1,1
"27068",1,1,1,1,1,1,1,1
"1636",1,1,1,1,1,1,1,1
"9365",NA,NA,NA,NA,NA,NA,NA,NA
"9331",NA,NA,NA,NA,NA,NA,NA,NA
"55217",1,1,0,0,1,0,0,0
"7368",1,1,1,1,1,1,1,1
"7296",0,1,0,1,1,1,1,1
"8613",NA,NA,NA,NA,NA,NA,NA,NA
"5315",1,1,1,1,1,1,1,1
"8611",0,0,0,0,0,1,1,1
"26063",0,0,1,0,0,0,1,0
"8612",NA,NA,NA,NA,NA,NA,NA,NA
"1666",1,1,1,1,1,1,1,1
"874",1,1,0,1,1,1,1,1
"5498",0,0,0,0,1,1,1,0
"11181",NA,NA,NA,NA,NA,NA,NA,NA
"10901",0,0,0,1,0,1,1,0
"126410",1,1,1,1,1,1,1,1
"80162",0,1,0,0,0,1,1,0
"7166",NA,NA,NA,NA,NA,NA,NA,NA
"8288",0,0,0,0,1,1,0,0
"2053",1,1,1,1,0,0,0,1
"9588",1,1,1,1,1,1,1,1
"121278",NA,NA,NA,NA,NA,NA,NA,NA
"8897",1,1,0,1,0,0,0,0
"4353",1,1,1,1,1,1,1,1
"8898",0,0,0,0,1,1,1,1
"169355",NA,NA,NA,NA,NA,NA,NA,NA
"6999",NA,NA,NA,NA,NA,NA,NA,NA
"2880",NA,NA,NA,NA,NA,NA,NA,NA
"5625",NA,NA,NA,NA,NA,NA,NA,NA
"9152",NA,NA,NA,NA,NA,NA,NA,NA
"6578",NA,NA,NA,NA,NA,NA,NA,NA
"6561",NA,NA,NA,NA,NA,NA,NA,NA
"9497",0,0,0,0,1,1,1,0
"115584",NA,NA,NA,NA,NA,NA,NA,NA
"6575",NA,NA,NA,NA,NA,NA,NA,NA
"6916",1,0,1,0,0,1,0,1
"23761",1,0,0,1,0,1,1,0
"6574",1,1,0,1,0,0,0,0
"7054",NA,NA,NA,NA,NA,NA,NA,NA
"142680",NA,NA,NA,NA,NA,NA,NA,NA
"9791",0,0,0,0,1,1,1,0
"6534",NA,NA,NA,NA,NA,NA,NA,NA
"81490",1,1,1,1,1,1,1,1
"10005",0,0,0,1,1,0,0,1
"3293",NA,NA,NA,NA,NA,NA,NA,NA
"1622",1,1,1,1,1,1,1,1
"225",0,1,0,0,1,1,1,0
"10965",1,1,1,1,0,0,0,0
"28965",NA,NA,NA,NA,NA,NA,NA,NA
"122970",NA,NA,NA,NA,NA,NA,NA,NA
"10020",0,0,0,0,1,1,1,0
"23205",1,1,1,1,1,1,1,1
"5805",NA,NA,NA,NA,NA,NA,NA,NA
"26061",0,0,0,0,1,1,0,0
"112483",0,1,0,1,0,0,0,0
"6303",NA,NA,NA,NA,NA,NA,NA,NA
"29880",0,0,0,0,1,1,1,0
"54716",NA,NA,NA,NA,NA,NA,NA,NA
"7355",NA,NA,NA,NA,NA,NA,NA,NA
"6564",NA,NA,NA,NA,NA,NA,NA,NA
"8566",1,1,1,1,1,1,1,1
"113235",1,1,1,1,1,1,1,1
"151531",NA,NA,NA,NA,NA,NA,NA,NA
"1200",0,1,0,1,1,1,1,0
"2168",1,1,1,1,1,1,1,1
"7358",0,0,0,0,1,1,1,0
"23169",1,1,1,1,1,1,1,1
"51056",1,1,0,1,1,1,1,1
"7378",1,0,0,0,1,0,1,1
"9390",NA,NA,NA,NA,NA,NA,NA,NA
"80146",1,1,0,1,1,0,0,0
"5184",0,0,0,1,1,1,1,0
"4891",NA,NA,NA,NA,NA,NA,NA,NA
"5168",0,0,1,1,0,0,0,0
"2944",1,0,0,0,1,0,0,0
"30061",NA,NA,NA,NA,NA,NA,NA,NA
"84912",NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA,NA
"64080",0,0,0,1,1,1,1,0
"4524",0,0,0,1,0,1,1,1
"3906",NA,NA,NA,NA,NA,NA,NA,NA
"65263",NA,NA,NA,NA,NA,NA,NA,NA
"8608",NA,NA,NA,NA,NA,NA,NA,NA
"25796",1,1,1,1,1,1,1,1
"5959",NA,NA,NA,NA,NA,NA,NA,NA
"7357",1,0,1,1,1,0,0,1
"28982",0,0,0,0,1,1,1,1
"6120",0,0,0,0,1,1,1,0
"11046",NA,NA,NA,NA,NA,NA,NA,NA
"54576",NA,NA,NA,NA,NA,NA,NA,NA
"54575",NA,NA,NA,NA,NA,NA,NA,NA
"51109",0,1,1,1,1,1,1,0
"157506",0,0,0,0,1,1,1,1
"54578",NA,NA,NA,NA,NA,NA,NA,NA
"54579",NA,NA,NA,NA,NA,NA,NA,NA
"10864",NA,NA,NA,NA,NA,NA,NA,NA
"9356",NA,NA,NA,NA,NA,NA,NA,NA
"54657",NA,NA,NA,NA,NA,NA,NA,NA
"195814",NA,NA,NA,NA,NA,NA,NA,NA
"9376",NA,NA,NA,NA,NA,NA,NA,NA
"112724",1,1,1,1,0,0,1,1
"50700",NA,NA,NA,NA,NA,NA,NA,NA
"54658",NA,NA,NA,NA,NA,NA,NA,NA
"348932",NA,NA,NA,NA,NA,NA,NA,NA
"54659",NA,NA,NA,NA,NA,NA,NA,NA
"54577",NA,NA,NA,NA,NA,NA,NA,NA
"57665",1,1,1,1,0,0,0,0
"120103",NA,NA,NA,NA,NA,NA,NA,NA
"1080",NA,NA,NA,NA,NA,NA,NA,NA
"85320",NA,NA,NA,NA,NA,NA,NA,NA
"145226",NA,NA,NA,NA,NA,NA,NA,NA
"54600",NA,NA,NA,NA,NA,NA,NA,NA
"222962",NA,NA,NA,NA,NA,NA,NA,NA
"8228",1,1,1,1,1,1,1,1
"113278",NA,NA,NA,NA,NA,NA,NA,NA
"10351",NA,NA,NA,NA,NA,NA,NA,NA
"54981",1,1,1,1,0,0,0,0
"7364",NA,NA,NA,NA,NA,NA,NA,NA
"9429",NA,NA,NA,NA,NA,NA,NA,NA
"7367",NA,NA,NA,NA,NA,NA,NA,NA
"55867",NA,NA,NA,NA,NA,NA,NA,NA
"54490",NA,NA,NA,NA,NA,NA,NA,NA
"364",NA,NA,NA,NA,NA,NA,NA,NA
"7366",NA,NA,NA,NA,NA,NA,NA,NA
"6482",0,0,0,0,1,1,1,1
"360",NA,NA,NA,NA,NA,NA,NA,NA
"6484",1,0,1,0,0,0,0,0
"7363",NA,NA,NA,NA,NA,NA,NA,NA
"89872",NA,NA,NA,NA,NA,NA,NA,NA
"7365",NA,NA,NA,NA,NA,NA,NA,NA
"6483",0,0,0,0,0,1,0,0
"21",NA,NA,NA,NA,NA,NA,NA,NA
"10720",NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA
"54963",0,0,0,0,1,1,1,0
"10057",0,0,0,0,1,1,0,0
"125206",NA,NA,NA,NA,NA,NA,NA,NA
"7498",NA,NA,NA,NA,NA,NA,NA,NA
"10090",NA,NA,NA,NA,NA,NA,NA,NA
"200010",NA,NA,NA,NA,NA,NA,NA,NA
"9653",0,0,1,0,1,1,1,1
"9942",0,0,0,0,0,0,1,0
"6524",NA,NA,NA,NA,NA,NA,NA,NA
