"","ImmProt_Th17_01","ImmProt_Th17_02","ImmProt_Th17_03","ImmProt_Th17_04"
"314",NA,NA,NA,NA
"26",1,1,1,1
"8639",NA,NA,NA,NA
"1591",NA,NA,NA,NA
"1594",1,1,1,1
"10993",1,1,1,1
"6818",1,1,1,0
"89874",NA,NA,NA,NA
"3945",1,1,1,1
"3948",NA,NA,NA,NA
"55293",0,0,1,1
"160287",NA,NA,NA,NA
"92483",NA,NA,NA,NA
"3939",1,1,1,1
"9194",0,0,1,1
"6566",1,0,0,0
"9123",0,0,0,1
"57835",NA,NA,NA,NA
"8671",1,1,1,1
"1738",1,1,1,1
"4967",1,1,1,1
"1743",1,1,1,1
"8050",0,1,1,0
"128",1,1,1,1
"137872",NA,NA,NA,NA
"130",NA,NA,NA,NA
"127",1,1,1,1
"131",NA,NA,NA,NA
"126",NA,NA,NA,NA
"124",NA,NA,NA,NA
"125",NA,NA,NA,NA
"1312",1,1,1,1
"117247",1,1,1,1
"220",NA,NA,NA,NA
"221",0,1,1,0
"218",NA,NA,NA,NA
"222",NA,NA,NA,NA
"3242",NA,NA,NA,NA
"18",0,1,1,1
"2531",1,0,1,0
"23498",1,0,1,1
"55268",0,0,1,1
"883",0,1,1,1
"51166",NA,NA,NA,NA
"1644",NA,NA,NA,NA
"4128",0,0,1,1
"4129",1,0,0,1
"8604",1,1,1,1
"10165",0,1,1,0
"2572",NA,NA,NA,NA
"2571",NA,NA,NA,NA
"51380",NA,NA,NA,NA
"2805",1,1,1,1
"2806",1,1,1,1
"8659",0,1,0,1
"6817",0,0,0,1
"6799",NA,NA,NA,NA
"6822",NA,NA,NA,NA
"6573",0,0,1,0
"316",NA,NA,NA,NA
"6570",NA,NA,NA,NA
"6571",1,1,1,1
"2348",NA,NA,NA,NA
"2352",1,1,1,1
"4125",0,1,1,1
"53947",NA,NA,NA,NA
"51146",NA,NA,NA,NA
"28",NA,NA,NA,NA
"206358",1,1,1,1
"6538",NA,NA,NA,NA
"6529",NA,NA,NA,NA
"6539",1,1,1,1
"6540",NA,NA,NA,NA
"3032",1,1,1,1
"10449",1,1,1,1
"38",1,1,1,1
"3030",1,1,1,1
"39",1,1,1,1
"30",1,1,1,1
"32",NA,NA,NA,NA
"9197",1,1,0,0
"79611",NA,NA,NA,NA
"84532",0,0,1,0
"64841",0,1,1,1
"55577",1,1,1,1
"5238",0,1,0,1
"9487",NA,NA,NA,NA
"162417",NA,NA,NA,NA
"43",NA,NA,NA,NA
"6572",NA,NA,NA,NA
"47",1,1,1,1
"54187",0,1,1,1
"26503",0,1,1,1
"54",1,1,1,1
"140838",0,1,1,1
"51205",1,0,0,1
"36",1,1,1,1
"34",1,1,1,1
"35",1,1,1,1
"84129",NA,NA,NA,NA
"28976",1,1,1,1
"80724",0,1,0,0
"27034",0,1,0,0
"3712",1,1,1,1
"134526",NA,NA,NA,NA
"51",1,0,1,0
"95",1,0,1,0
"50",1,1,1,1
"48",0,1,1,0
"8309",NA,NA,NA,NA
"52",1,1,1,1
"55",0,1,0,0
"788",1,1,1,1
"55902",1,0,0,1
"65985",1,1,0,1
"438",NA,NA,NA,NA
"1571",NA,NA,NA,NA
"100",1,1,1,1
"3177",NA,NA,NA,NA
"205",1,1,1,1
"204",1,1,1,1
"26289",0,1,1,0
"50808",1,1,1,1
"262",1,1,1,1
"113",0,1,0,0
"109",NA,NA,NA,NA
"115",NA,NA,NA,NA
"112",1,1,1,1
"107",NA,NA,NA,NA
"114",NA,NA,NA,NA
"55811",NA,NA,NA,NA
"196883",NA,NA,NA,NA
"111",NA,NA,NA,NA
"108",NA,NA,NA,NA
"2030",0,1,0,0
"9154",NA,NA,NA,NA
"64078",1,1,1,1
"9153",NA,NA,NA,NA
"55315",1,1,1,1
"11164",1,1,1,1
"952",0,1,1,0
"1375",NA,NA,NA,NA
"1374",1,1,0,0
"126129",NA,NA,NA,NA
"1376",1,0,1,0
"9061",0,1,1,1
"9060",1,0,1,1
"158",1,1,1,1
"10331",NA,NA,NA,NA
"374907",1,1,1,1
"10678",1,1,1,1
"79369",NA,NA,NA,NA
"11041",1,1,1,1
"93010",NA,NA,NA,NA
"79814",0,1,0,1
"56894",0,1,1,0
"10555",1,0,0,0
"137964",0,0,0,1
"56895",1,0,1,1
"55326",1,0,0,0
"129642",0,1,1,1
"64850",NA,NA,NA,NA
"64902",NA,NA,NA,NA
"189",NA,NA,NA,NA
"3074",0,1,1,0
"3073",0,1,1,1
"10606",1,1,1,1
"8402",1,1,1,1
"1468",1,1,1,0
"64849",NA,NA,NA,NA
"1645",1,1,1,1
"1109",NA,NA,NA,NA
"6718",1,1,1,1
"6510",0,1,1,0
"6509",1,1,1,1
"56301",NA,NA,NA,NA
"6520",1,1,1,0
"211",0,1,1,1
"23464",1,0,0,1
"212",NA,NA,NA,NA
"59272",NA,NA,NA,NA
"6542",NA,NA,NA,NA
"6541",0,1,0,0
"84889",NA,NA,NA,NA
"54407",1,0,0,0
"81539",1,1,0,0
"340024",NA,NA,NA,NA
"11254",NA,NA,NA,NA
"57393",NA,NA,NA,NA
"55089",NA,NA,NA,NA
"2875",NA,NA,NA,NA
"84706",1,1,0,1
"92745",1,1,1,1
"10991",NA,NA,NA,NA
"284273",0,0,0,1
"10327",1,1,1,1
"8854",1,1,1,1
"224",0,0,1,1
"223",1,1,1,1
"216",1,0,1,1
"501",1,0,1,0
"217",0,0,1,0
"219",1,1,1,0
"239",0,0,1,1
"247",1,0,1,1
"246",0,1,0,1
"231",1,1,1,1
"8574",1,1,1,1
"23600",1,1,1,1
"115286",1,0,0,1
"271",0,0,1,0
"272",1,1,1,1
"270",NA,NA,NA,NA
"290",1,1,0,0
"278",NA,NA,NA,NA
"277",1,1,1,1
"279",1,1,1,1
"280",1,1,1,1
"6519",NA,NA,NA,NA
"276",1,1,1,1
"11136",NA,NA,NA,NA
"10998",NA,NA,NA,NA
"113451",NA,NA,NA,NA
"9057",1,1,0,0
"384",0,0,0,1
"445",0,1,0,0
"83884",NA,NA,NA,NA
"10166",0,1,1,1
"410",1,0,1,0
"427",1,0,1,1
"9963",NA,NA,NA,NA
"9962",NA,NA,NA,NA
"80150",1,1,1,1
"440",0,1,1,1
"790",1,1,1,1
"6505",NA,NA,NA,NA
"6512",NA,NA,NA,NA
"6511",NA,NA,NA,NA
"6507",1,1,1,1
"6506",1,1,1,1
"9296",0,1,1,1
"51606",0,1,1,0
"533",NA,NA,NA,NA
"90423",1,1,1,1
"528",0,1,1,0
"525",NA,NA,NA,NA
"10312",1,1,0,0
"127124",NA,NA,NA,NA
"245973",NA,NA,NA,NA
"50617",NA,NA,NA,NA
"9114",1,0,0,1
"23545",0,0,1,0
"8992",NA,NA,NA,NA
"535",0,1,1,0
"527",1,1,1,0
"526",1,1,1,1
"523",1,1,1,1
"529",1,1,1,1
"9550",0,1,1,1
"51382",0,1,1,1
"245972",1,0,1,0
"957",NA,NA,NA,NA
"956",NA,NA,NA,NA
"955",NA,NA,NA,NA
"953",0,1,1,0
"954",NA,NA,NA,NA
"377841",NA,NA,NA,NA
"293",1,1,1,1
"291",1,1,0,0
"292",1,1,1,1
"4126",0,1,0,1
"8706",NA,NA,NA,NA
"10317",NA,NA,NA,NA
"84002",NA,NA,NA,NA
"3141",0,0,1,1
"140679",NA,NA,NA,NA
"8424",NA,NA,NA,NA
"53630",NA,NA,NA,NA
"635",1,1,1,1
"23743",NA,NA,NA,NA
"10599",NA,NA,NA,NA
"1244",NA,NA,NA,NA
"8714",1,1,1,0
"28234",NA,NA,NA,NA
"645",1,1,1,1
"644",1,1,1,1
"9488",0,1,0,0
"10380",1,1,1,1
"686",0,0,1,1
"8884",1,1,1,1
"80704",NA,NA,NA,NA
"51733",NA,NA,NA,NA
"7108",0,1,1,0
"50814",0,1,1,0
"3295",1,0,1,0
"6307",0,1,1,1
"493",1,1,1,1
"492",1,1,0,0
"491",NA,NA,NA,NA
"490",1,0,0,0
"847",1,1,1,1
"6543",NA,NA,NA,NA
"6547",NA,NA,NA,NA
"6546",0,0,1,0
"166785",1,0,0,1
"2538",NA,NA,NA,NA
"92579",0,1,1,1
"1373",0,1,1,0
"873",1,1,1,1
"10423",1,1,1,1
"8760",1,0,1,0
"1040",NA,NA,NA,NA
"56994",1,1,1,1
"10390",0,0,1,1
"64781",1,1,1,1
"10087",0,0,1,1
"6565",NA,NA,NA,NA
"9023",NA,NA,NA,NA
"1103",NA,NA,NA,NA
"162466",1,1,1,1
"9468",NA,NA,NA,NA
"5130",0,1,0,1
"6579",NA,NA,NA,NA
"6555",NA,NA,NA,NA
"6554",NA,NA,NA,NA
"55349",1,0,0,1
"1120",0,1,0,1
"1119",NA,NA,NA,NA
"60482",NA,NA,NA,NA
"6582",NA,NA,NA,NA
"6584",NA,NA,NA,NA
"6820",NA,NA,NA,NA
"10948",0,1,1,0
"19",0,1,1,1
"1118",0,1,0,1
"27159",NA,NA,NA,NA
"54682",NA,NA,NA,NA
"9058",NA,NA,NA,NA
"6576",1,1,1,1
"1159",1,1,1,1
"548596",1,1,1,1
"1160",NA,NA,NA,NA
"1158",0,0,1,0
"1152",0,1,0,0
"5172",NA,NA,NA,NA
"65010",NA,NA,NA,NA
"54675",NA,NA,NA,NA
"10559",1,1,1,0
"55907",1,1,1,1
"8034",0,0,1,1
"8824",NA,NA,NA,NA
"51805",1,1,0,0
"51004",1,1,0,0
"10229",0,1,0,1
"2650",0,1,1,0
"9245",NA,NA,NA,NA
"51301",0,0,0,1
"192134",NA,NA,NA,NA
"386757",NA,NA,NA,NA
"6535",NA,NA,NA,NA
"1384",1,1,0,1
"6583",1,1,1,1
"1431",1,1,1,1
"54677",1,0,1,1
"8140",1,1,0,0
"23428",NA,NA,NA,NA
"1036",NA,NA,NA,NA
"23657",1,1,1,1
"57379",1,1,1,1
"978",1,1,1,1
"7371",1,1,1,1
"83549",0,1,1,0
"51727",1,1,1,1
"129607",0,1,1,0
"160851",1,0,0,1
"8526",0,1,1,0
"1606",1,1,1,1
"8527",1,1,1,1
"1607",0,1,1,0
"1608",1,0,0,0
"1609",0,1,1,1
"8525",0,1,1,0
"9162",NA,NA,NA,NA
"1610",NA,NA,NA,NA
"51022",NA,NA,NA,NA
"2745",1,1,1,1
"8528",NA,NA,NA,NA
"10455",0,1,1,0
"1632",1,1,1,1
"1633",1,1,1,1
"1638",NA,NA,NA,NA
"6319",1,1,1,1
"9415",1,1,1,1
"3992",0,0,1,1
"8694",1,0,0,0
"84649",1,1,1,1
"1716",0,0,1,1
"6513",0,1,1,1
"6517",NA,NA,NA,NA
"6515",0,0,1,1
"1718",1,1,1,1
"1581",NA,NA,NA,NA
"1717",0,1,1,0
"8560",0,1,0,1
"123099",NA,NA,NA,NA
"11309",1,1,1,1
"6783",1,1,1,1
"1723",0,0,1,1
"1809",NA,NA,NA,NA
"1808",1,1,1,1
"1807",NA,NA,NA,NA
"23539",NA,NA,NA,NA
"2224",0,0,1,1
"29958",NA,NA,NA,NA
"60386",0,1,0,1
"84920",0,1,1,0
"79087",0,1,0,1
"26002",NA,NA,NA,NA
"1621",1,1,1,1
"7299",NA,NA,NA,NA
"6530",NA,NA,NA,NA
"6581",NA,NA,NA,NA
"669",0,1,0,1
"5224",NA,NA,NA,NA
"5223",1,1,1,1
"4597",0,1,1,1
"51071",0,1,1,1
"1806",0,1,1,1
"7083",1,1,1,1
"7084",1,1,1,0
"1854",1,1,1,1
"3704",1,1,1,1
"10682",0,1,1,1
"1892",1,1,1,1
"549",1,0,0,1
"1962",0,1,1,1
"1891",1,1,1,1
