"","ImmProt_mTregs_01","ImmProt_mTregs_02","ImmProt_mTregs_03","ImmProt_mTregs_04","ImmProt_mTregs_01_activated","ImmProt_mTregs_02_activated","ImmProt_mTregs_03_activated","ImmProt_nTregs_01","ImmProt_nTregs_02","ImmProt_nTregs_03","ImmProt_nTregs_04","ImmProt_nTregs_01_activated","ImmProt_nTregs_02_activated","ImmProt_nTregs_03_activated"
"27109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"513",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10632",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"506",0,1,1,0,0,0,0,0,1,0,1,0,0,0
"539",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29796",1,1,1,1,1,1,1,0,1,1,1,1,1,1
"4519",0,1,1,1,1,1,1,1,1,1,1,0,1,0
"1537",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7381",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10975",0,1,0,1,1,1,1,0,1,1,1,1,1,1
"27089",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7384",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7386",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7388",1,1,1,1,1,1,1,0,1,1,1,1,1,1
"7385",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7351",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4535",0,1,1,0,1,1,1,1,1,1,0,1,0,1
"4540",1,0,1,1,1,1,0,0,1,1,1,1,1,0
"4541",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4729",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126328",0,1,1,1,1,1,1,0,1,1,1,1,1,1
"4717",0,0,1,1,0,1,1,0,1,0,1,0,1,1
"4719",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4707",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4705",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4536",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"4713",1,1,0,1,1,1,1,0,1,1,1,1,1,0
"4538",0,1,1,0,1,0,0,0,1,1,1,0,1,0
"4731",1,1,0,1,1,1,1,0,1,0,1,1,0,0
"4695",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4708",0,1,0,0,1,1,0,0,0,1,1,1,0,0
"4711",1,1,1,1,0,1,1,1,1,1,1,1,1,1
"4723",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4706",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4701",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4724",1,1,0,1,1,1,0,0,0,1,1,0,1,0
"4718",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4698",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4537",1,1,0,1,0,0,1,0,1,1,1,0,0,1
"55967",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4728",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4715",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51079",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54539",0,0,1,1,0,1,1,1,1,0,0,0,1,1
"4714",1,0,1,1,1,0,0,0,1,1,1,0,1,1
"4720",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4712",0,0,1,1,1,1,0,1,1,0,0,1,0,1
"4722",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4704",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4694",1,0,1,0,1,1,1,1,1,0,0,1,1,0
"4702",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4709",1,1,1,1,1,1,1,0,1,1,1,1,1,1
"4725",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4710",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4697",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4726",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4716",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"374291",0,1,1,1,1,1,1,0,1,1,1,1,1,1
"1345",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1340",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1329",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4514",0,1,0,0,1,0,1,1,1,0,0,1,0,1
"4513",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1327",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1351",0,0,1,1,1,0,1,0,1,1,1,1,0,0
"1349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1347",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9377",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1337",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4512",1,1,1,0,0,0,1,0,1,0,1,0,1,0
"1350",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9167",1,1,0,1,1,1,1,1,1,1,1,1,1,1
"125965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4363",0,1,0,1,1,0,0,0,1,1,1,0,0,1
"146712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10554",1,0,0,1,1,0,0,0,1,1,1,0,1,1
"240",1,0,0,1,0,1,1,0,0,1,1,0,1,1
"534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622",0,1,1,0,1,1,1,0,1,1,1,0,1,1
"57818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124935",0,0,0,0,1,0,0,0,1,1,1,0,0,1
"6531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11000",0,0,1,0,1,1,0,1,0,1,0,0,1,0
"4758",0,1,1,0,0,1,1,1,0,0,0,1,0,0
"2618",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2629",0,1,0,1,1,1,0,0,1,1,1,0,1,1
"7264",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"284098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3163",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7923",0,1,0,0,1,0,0,0,1,0,0,0,1,0
"10723",1,0,1,0,0,1,0,0,0,1,0,0,0,1
"201288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9651",0,0,1,1,0,1,1,0,1,0,1,1,1,1
"8396",1,1,1,0,1,0,0,0,1,1,1,0,1,0
"8399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93100",0,1,1,0,0,0,1,0,1,0,0,0,1,1
"55229",0,1,1,0,1,0,0,0,1,1,1,0,1,0
"26063",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"2880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0,1,1,1,1,0,1,0,1,1,0,0,0,1
"55750",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8644",0,1,1,1,0,0,1,0,0,1,1,0,0,0
"1066",0,1,0,1,1,1,0,1,0,1,1,0,1,1
"5446",1,1,0,0,1,0,0,0,1,0,0,1,1,1
"4905",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4700",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4696",0,1,0,1,1,1,0,0,1,1,1,0,1,1
"341947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
