"REACTION","SUBSYSTEM"
"HMR_3988","Amino sugar and nucleotide sugar metabolism"
"HMR_4124","Amino sugar and nucleotide sugar metabolism"
"HMR_4158","Amino sugar and nucleotide sugar metabolism"
"HMR_4159","Amino sugar and nucleotide sugar metabolism"
"HMR_4299","Amino sugar and nucleotide sugar metabolism"
"HMR_4300","Amino sugar and nucleotide sugar metabolism"
"HMR_4494","Amino sugar and nucleotide sugar metabolism"
"HMR_4524","Amino sugar and nucleotide sugar metabolism"
"HMR_4525","Amino sugar and nucleotide sugar metabolism"
"HMR_4526","Amino sugar and nucleotide sugar metabolism"
"HMR_4527","Amino sugar and nucleotide sugar metabolism"
"HMR_4528","Amino sugar and nucleotide sugar metabolism"
"HMR_4529","Amino sugar and nucleotide sugar metabolism"
"HMR_4530","Amino sugar and nucleotide sugar metabolism"
"HMR_4531","Amino sugar and nucleotide sugar metabolism"
"HMR_4532","Amino sugar and nucleotide sugar metabolism"
"HMR_4533","Amino sugar and nucleotide sugar metabolism"
"HMR_4534","Amino sugar and nucleotide sugar metabolism"
"HMR_4536","Amino sugar and nucleotide sugar metabolism"
"HMR_4628","Amino sugar and nucleotide sugar metabolism"
"HMR_4629","Amino sugar and nucleotide sugar metabolism"
"HMR_4631","Amino sugar and nucleotide sugar metabolism"
"HMR_7696","Amino sugar and nucleotide sugar metabolism"
"HMR_7697","Amino sugar and nucleotide sugar metabolism"
"HMR_7698","Amino sugar and nucleotide sugar metabolism"
"HMR_8366","Amino sugar and nucleotide sugar metabolism"
"HMR_8367","Amino sugar and nucleotide sugar metabolism"
"HMR_8368","Amino sugar and nucleotide sugar metabolism"
"HMR_8371","Amino sugar and nucleotide sugar metabolism"
"HMR_8372","Amino sugar and nucleotide sugar metabolism"
"HMR_8373","Amino sugar and nucleotide sugar metabolism"
"HMR_8375","Amino sugar and nucleotide sugar metabolism"
"HMR_8376","Amino sugar and nucleotide sugar metabolism"
"HMR_8377","Amino sugar and nucleotide sugar metabolism"
"HMR_8672","Amino sugar and nucleotide sugar metabolism"
"HMR_8674","Amino sugar and nucleotide sugar metabolism"
"HMR_8675","Amino sugar and nucleotide sugar metabolism"
"HMR_5130","Aminoacyl-tRNA biosynthesis"
"HMR_5131","Aminoacyl-tRNA biosynthesis"
"HMR_5132","Aminoacyl-tRNA biosynthesis"
"HMR_5133","Aminoacyl-tRNA biosynthesis"
"HMR_5134","Aminoacyl-tRNA biosynthesis"
"HMR_5135","Aminoacyl-tRNA biosynthesis"
"HMR_5136","Aminoacyl-tRNA biosynthesis"
"HMR_5137","Aminoacyl-tRNA biosynthesis"
"HMR_5138","Aminoacyl-tRNA biosynthesis"
"HMR_5139","Aminoacyl-tRNA biosynthesis"
"HMR_5140","Aminoacyl-tRNA biosynthesis"
"HMR_5141","Aminoacyl-tRNA biosynthesis"
"HMR_5142","Aminoacyl-tRNA biosynthesis"
"HMR_5143","Aminoacyl-tRNA biosynthesis"
"HMR_5144","Aminoacyl-tRNA biosynthesis"
"HMR_5145","Aminoacyl-tRNA biosynthesis"
"HMR_5146","Aminoacyl-tRNA biosynthesis"
"HMR_5147","Aminoacyl-tRNA biosynthesis"
"HMR_5148","Aminoacyl-tRNA biosynthesis"
"HMR_5149","Aminoacyl-tRNA biosynthesis"
"HMR_5150","Aminoacyl-tRNA biosynthesis"
"HMR_1944","Androgen metabolism"
"HMR_1945","Androgen metabolism"
"HMR_1952","Androgen metabolism"
"HMR_1953","Androgen metabolism"
"HMR_1958","Androgen metabolism"
"HMR_1959","Androgen metabolism"
"HMR_1960","Androgen metabolism"
"HMR_1962","Androgen metabolism"
"HMR_1963","Androgen metabolism"
"HMR_1967","Androgen metabolism"
"HMR_1968","Androgen metabolism"
"HMR_1969","Androgen metabolism"
"HMR_1970","Androgen metabolism"
"HMR_1971","Androgen metabolism"
"HMR_1973","Androgen metabolism"
"HMR_1974","Androgen metabolism"
"HMR_1976","Androgen metabolism"
"HMR_1977","Androgen metabolism"
"HMR_1978","Androgen metabolism"
"HMR_1982","Androgen metabolism"
"HMR_1983","Androgen metabolism"
"HMR_2014","Androgen metabolism"
"HMR_2015","Androgen metabolism"
"HMR_2016","Androgen metabolism"
"HMR_2017","Androgen metabolism"
"HMR_2018","Androgen metabolism"
"HMR_2019","Androgen metabolism"
"HMR_2020","Androgen metabolism"
"HMR_2022","Androgen metabolism"
"HMR_2024","Androgen metabolism"
"HMR_2025","Androgen metabolism"
"RE3111M","Androgen metabolism"
"RE3218L","Androgen metabolism"
"RE3218R","Androgen metabolism"
"RE3220L","Androgen metabolism"
"RE3220R","Androgen metabolism"
"HMR_0931","Arachidonic acid metabolism"
"HMR_0932","Arachidonic acid metabolism"
"HMR_0933","Arachidonic acid metabolism"
"HMR_0934","Arachidonic acid metabolism"
"HMR_0935","Arachidonic acid metabolism"
"HMR_0936","Arachidonic acid metabolism"
"HMR_0937","Arachidonic acid metabolism"
"HMR_0938","Arachidonic acid metabolism"
"HMR_0939","Arachidonic acid metabolism"
"HMR_0940","Arachidonic acid metabolism"
"HMR_0941","Arachidonic acid metabolism"
"HMR_0942","Arachidonic acid metabolism"
"HMR_0943","Arachidonic acid metabolism"
"HMR_0944","Arachidonic acid metabolism"
"HMR_0945","Arachidonic acid metabolism"
"HMR_0946","Arachidonic acid metabolism"
"HMR_0947","Arachidonic acid metabolism"
"HMR_0948","Arachidonic acid metabolism"
"HMR_0949","Arachidonic acid metabolism"
"HMR_0950","Arachidonic acid metabolism"
"HMR_0951","Arachidonic acid metabolism"
"HMR_0953","Arachidonic acid metabolism"
"HMR_0954","Arachidonic acid metabolism"
"HMR_0955","Arachidonic acid metabolism"
"HMR_0956","Arachidonic acid metabolism"
"HMR_0957","Arachidonic acid metabolism"
"HMR_0958","Arachidonic acid metabolism"
"HMR_0959","Arachidonic acid metabolism"
"HMR_0960","Arachidonic acid metabolism"
"HMR_0961","Arachidonic acid metabolism"
"HMR_0963","Arachidonic acid metabolism"
"HMR_0964","Arachidonic acid metabolism"
"HMR_0967","Arachidonic acid metabolism"
"HMR_0969","Arachidonic acid metabolism"
"HMR_0971","Arachidonic acid metabolism"
"HMR_0973","Arachidonic acid metabolism"
"HMR_0976","Arachidonic acid metabolism"
"HMR_0979","Arachidonic acid metabolism"
"HMR_0980","Arachidonic acid metabolism"
"HMR_0981","Arachidonic acid metabolism"
"HMR_0983","Arachidonic acid metabolism"
"HMR_0985","Arachidonic acid metabolism"
"HMR_0986","Arachidonic acid metabolism"
"HMR_0987","Arachidonic acid metabolism"
"HMR_0988","Arachidonic acid metabolism"
"HMR_0989","Arachidonic acid metabolism"
"HMR_0990","Arachidonic acid metabolism"
"HMR_0991","Arachidonic acid metabolism"
"HMR_0992","Arachidonic acid metabolism"
"HMR_0993","Arachidonic acid metabolism"
"HMR_0994","Arachidonic acid metabolism"
"HMR_0995","Arachidonic acid metabolism"
"HMR_0996","Arachidonic acid metabolism"
"HMR_0997","Arachidonic acid metabolism"
"HMR_0998","Arachidonic acid metabolism"
"HMR_0999","Arachidonic acid metabolism"
"HMR_1000","Arachidonic acid metabolism"
"HMR_1002","Arachidonic acid metabolism"
"HMR_1003","Arachidonic acid metabolism"
"HMR_1004","Arachidonic acid metabolism"
"HMR_1006","Arachidonic acid metabolism"
"HMR_1007","Arachidonic acid metabolism"
"HMR_1008","Arachidonic acid metabolism"
"HMR_1010","Arachidonic acid metabolism"
"HMR_1011","Arachidonic acid metabolism"
"HMR_1013","Arachidonic acid metabolism"
"HMR_1014","Arachidonic acid metabolism"
"HMR_1015","Arachidonic acid metabolism"
"HMR_1016","Arachidonic acid metabolism"
"HMR_1017","Arachidonic acid metabolism"
"HMR_1018","Arachidonic acid metabolism"
"HMR_1020","Arachidonic acid metabolism"
"HMR_1021","Arachidonic acid metabolism"
"HMR_1022","Arachidonic acid metabolism"
"HMR_1023","Arachidonic acid metabolism"
"HMR_1025","Arachidonic acid metabolism"
"HMR_1026","Arachidonic acid metabolism"
"HMR_1027","Arachidonic acid metabolism"
"HMR_1028","Arachidonic acid metabolism"
"HMR_1029","Arachidonic acid metabolism"
"HMR_1030","Arachidonic acid metabolism"
"HMR_1033","Arachidonic acid metabolism"
"HMR_1034","Arachidonic acid metabolism"
"HMR_1037","Arachidonic acid metabolism"
"HMR_1039","Arachidonic acid metabolism"
"HMR_1040","Arachidonic acid metabolism"
"HMR_1041","Arachidonic acid metabolism"
"HMR_1042","Arachidonic acid metabolism"
"HMR_1043","Arachidonic acid metabolism"
"HMR_1045","Arachidonic acid metabolism"
"HMR_1048","Arachidonic acid metabolism"
"HMR_1049","Arachidonic acid metabolism"
"HMR_1050","Arachidonic acid metabolism"
"HMR_1053","Arachidonic acid metabolism"
"HMR_1054","Arachidonic acid metabolism"
"HMR_1055","Arachidonic acid metabolism"
"HMR_1057","Arachidonic acid metabolism"
"HMR_1058","Arachidonic acid metabolism"
"HMR_1059","Arachidonic acid metabolism"
"HMR_1061","Arachidonic acid metabolism"
"HMR_1062","Arachidonic acid metabolism"
"HMR_1063","Arachidonic acid metabolism"
"HMR_1064","Arachidonic acid metabolism"
"HMR_1065","Arachidonic acid metabolism"
"HMR_1066","Arachidonic acid metabolism"
"HMR_1067","Arachidonic acid metabolism"
"HMR_1068","Arachidonic acid metabolism"
"HMR_1069","Arachidonic acid metabolism"
"HMR_1070","Arachidonic acid metabolism"
"HMR_1071","Arachidonic acid metabolism"
"HMR_1072","Arachidonic acid metabolism"
"HMR_1073","Arachidonic acid metabolism"
"HMR_1074","Arachidonic acid metabolism"
"HMR_1075","Arachidonic acid metabolism"
"HMR_1077","Arachidonic acid metabolism"
"HMR_1079","Arachidonic acid metabolism"
"HMR_3015","Arachidonic acid metabolism"
"RE2048N","Arachidonic acid metabolism"
"RE3287R","Arachidonic acid metabolism"
"RE3470C","Arachidonic acid metabolism"
"RE3470M","Arachidonic acid metabolism"
"RE3470X","Arachidonic acid metabolism"
"RE3474R","Arachidonic acid metabolism"
"RE3475N","Arachidonic acid metabolism"
"RE3476M","Arachidonic acid metabolism"
"RE3476X","Arachidonic acid metabolism"
"RE3513N","Arachidonic acid metabolism"
"RE3514C","Arachidonic acid metabolism"
"RE3514R","Arachidonic acid metabolism"
"RE3520M","Arachidonic acid metabolism"
"RE3520N","Arachidonic acid metabolism"
"RE3521M","Arachidonic acid metabolism"
"RE3525N","Arachidonic acid metabolism"
"RE3525X","Arachidonic acid metabolism"
"RE3526C","Arachidonic acid metabolism"
"RE3526M","Arachidonic acid metabolism"
"RE3526X","Arachidonic acid metabolism"
"DKMPPD","Arginine and proline metabolism"
"DPROOp","Arginine and proline metabolism"
"EHGLAT","Arginine and proline metabolism"
"HMR_3806","Arginine and proline metabolism"
"HMR_3807","Arginine and proline metabolism"
"HMR_3809","Arginine and proline metabolism"
"HMR_3816","Arginine and proline metabolism"
"HMR_3819","Arginine and proline metabolism"
"HMR_3820","Arginine and proline metabolism"
"HMR_3832","Arginine and proline metabolism"
"HMR_3833","Arginine and proline metabolism"
"HMR_3835","Arginine and proline metabolism"
"HMR_3837","Arginine and proline metabolism"
"HMR_3838","Arginine and proline metabolism"
"HMR_3895","Arginine and proline metabolism"
"HMR_3897","Arginine and proline metabolism"
"HMR_3956","Arginine and proline metabolism"
"HMR_3993","Arginine and proline metabolism"
"HMR_4073","Arginine and proline metabolism"
"HMR_4075","Arginine and proline metabolism"
"HMR_4077","Arginine and proline metabolism"
"HMR_4190","Arginine and proline metabolism"
"HMR_4191","Arginine and proline metabolism"
"HMR_4212","Arginine and proline metabolism"
"HMR_4422","Arginine and proline metabolism"
"HMR_4423","Arginine and proline metabolism"
"HMR_4424","Arginine and proline metabolism"
"HMR_4583","Arginine and proline metabolism"
"HMR_4605","Arginine and proline metabolism"
"HMR_4606","Arginine and proline metabolism"
"HMR_4607","Arginine and proline metabolism"
"HMR_4776","Arginine and proline metabolism"
"HMR_4777","Arginine and proline metabolism"
"HMR_4778","Arginine and proline metabolism"
"HMR_4779","Arginine and proline metabolism"
"HMR_4780","Arginine and proline metabolism"
"HMR_4781","Arginine and proline metabolism"
"HMR_4784","Arginine and proline metabolism"
"HMR_4785","Arginine and proline metabolism"
"HMR_4786","Arginine and proline metabolism"
"HMR_4787","Arginine and proline metabolism"
"HMR_5384","Arginine and proline metabolism"
"HMR_6929","Arginine and proline metabolism"
"HMR_6930","Arginine and proline metabolism"
"HMR_6931","Arginine and proline metabolism"
"HMR_6932","Arginine and proline metabolism"
"HMR_6933","Arginine and proline metabolism"
"HMR_6934","Arginine and proline metabolism"
"HMR_6935","Arginine and proline metabolism"
"HMR_6936","Arginine and proline metabolism"
"HMR_6938","Arginine and proline metabolism"
"HMR_6939","Arginine and proline metabolism"
"HMR_6940","Arginine and proline metabolism"
"HMR_6941","Arginine and proline metabolism"
"HMR_6942","Arginine and proline metabolism"
"HMR_6943","Arginine and proline metabolism"
"HMR_6944","Arginine and proline metabolism"
"HMR_6945","Arginine and proline metabolism"
"HMR_6946","Arginine and proline metabolism"
"HMR_6947","Arginine and proline metabolism"
"HMR_6948","Arginine and proline metabolism"
"HMR_6949","Arginine and proline metabolism"
"HMR_6950","Arginine and proline metabolism"
"HMR_6951","Arginine and proline metabolism"
"HMR_6952","Arginine and proline metabolism"
"HMR_6953","Arginine and proline metabolism"
"HMR_6954","Arginine and proline metabolism"
"HMR_6955","Arginine and proline metabolism"
"HMR_6956","Arginine and proline metabolism"
"HMR_6957","Arginine and proline metabolism"
"HMR_6958","Arginine and proline metabolism"
"HMR_6959","Arginine and proline metabolism"
"HMR_6960","Arginine and proline metabolism"
"HMR_6961","Arginine and proline metabolism"
"HMR_6962","Arginine and proline metabolism"
"HMR_6963","Arginine and proline metabolism"
"HMR_6964","Arginine and proline metabolism"
"HMR_6965","Arginine and proline metabolism"
"HMR_6966","Arginine and proline metabolism"
"HMR_6967","Arginine and proline metabolism"
"HMR_6973","Arginine and proline metabolism"
"HMR_8096","Arginine and proline metabolism"
"HMR_8097","Arginine and proline metabolism"
"HMR_8098","Arginine and proline metabolism"
"HMR_8416","Arginine and proline metabolism"
"HMR_8425","Arginine and proline metabolism"
"HMR_8426","Arginine and proline metabolism"
"HMR_8427","Arginine and proline metabolism"
"HMR_8431","Arginine and proline metabolism"
"HMR_8432","Arginine and proline metabolism"
"HMR_8603","Arginine and proline metabolism"
"HMR_8604","Arginine and proline metabolism"
"HMR_8605","Arginine and proline metabolism"
"HMR_8606","Arginine and proline metabolism"
"HMR_8607","Arginine and proline metabolism"
"HMR_8608","Arginine and proline metabolism"
"HMR_8609","Arginine and proline metabolism"
"HMR_8610","Arginine and proline metabolism"
"HMR_8611","Arginine and proline metabolism"
"NABTNOm","Arginine and proline metabolism"
"PROAKGOX1r","Arginine and proline metabolism"
"r0145","Arginine and proline metabolism"
"HMR_10062","Artificial reactions"
"HMR_10063","Artificial reactions"
"HMR_10064","Artificial reactions"
"HMR_10065","Artificial reactions"
"HMR_9725","Artificial reactions"
"arachidonates","Artificial reactions"
"biomass_HMR_RenalCancer","Artificial reactions"
"biomass_Recon3D","Artificial reactions"
"biomass_components","Artificial reactions"
"biomass_human","Artificial reactions"
"biomass_maintenance_Recon3D","Artificial reactions"
"biomass_maintenance_noTrTr_Recon3D","Artificial reactions"
"cofactors_vitamins","Artificial reactions"
"others","Artificial reactions"
"steroids","Artificial reactions"
"vitaminA","Artificial reactions"
"vitaminD","Artificial reactions"
"vitaminE","Artificial reactions"
"xenobiotics","Artificial reactions"
"HMR_6393","Ascorbate and aldarate metabolism"
"HMR_6394","Ascorbate and aldarate metabolism"
"HMR_6396","Ascorbate and aldarate metabolism"
"HMR_6405","Ascorbate and aldarate metabolism"
"HMR_8345","Ascorbate and aldarate metabolism"
"HMR_8346","Ascorbate and aldarate metabolism"
"HMR_8348","Ascorbate and aldarate metabolism"
"HMR_8349","Ascorbate and aldarate metabolism"
"HMR_8619","Ascorbate and aldarate metabolism"
"HMR_8620","Ascorbate and aldarate metabolism"
"HMR_8621","Ascorbate and aldarate metabolism"
"HMR_8622","Ascorbate and aldarate metabolism"
"HMR_8623","Ascorbate and aldarate metabolism"
"HMR_8624","Ascorbate and aldarate metabolism"
"HMR_8625","Ascorbate and aldarate metabolism"
"13DAMPPOX","Beta-alanine metabolism"
"3HPCOAHYD","Beta-alanine metabolism"
"BAMPPALDOXm","Beta-alanine metabolism"
"HMR_4078","Beta-alanine metabolism"
"HMR_4079","Beta-alanine metabolism"
"HMR_4174","Beta-alanine metabolism"
"HMR_4330","Beta-alanine metabolism"
"HMR_4347","Beta-alanine metabolism"
"HMR_4425","Beta-alanine metabolism"
"HMR_4427","Beta-alanine metabolism"
"HMR_4688","Beta-alanine metabolism"
"HMR_4689","Beta-alanine metabolism"
"HMR_4735","Beta-alanine metabolism"
"HMR_7991","Beta-alanine metabolism"
"HMR_7992","Beta-alanine metabolism"
"HMR_7993","Beta-alanine metabolism"
"PRPNCOAHYDx","Beta-alanine metabolism"
"HMR_3522","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3523","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3524","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3525","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3526","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3527","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3528","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3529","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3530","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3531","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3532","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3533","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3534","Beta oxidation of branched-chain fatty acids (mitochondrial)"
"HMR_3275","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3277","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3278","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3279","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3280","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3281","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3282","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3283","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3284","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3285","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3286","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3287","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3288","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3290","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3292","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3293","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3294","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3296","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3298","Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)"
"HMR_3301","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3302","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3304","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3305","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3306","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3307","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3309","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3310","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3311","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3312","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3314","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3315","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3316","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3317","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3319","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3320","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3321","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3322","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3323","Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)"
"HMR_3107","Beta oxidation of even-chain fatty acids (mitochondrial)"
"HMR_3108","Beta oxidation of even-chain fatty acids (mitochondrial)"
"HMR_3109","Beta oxidation of even-chain fatty acids (mitochondrial)"
"HMR_3110","Beta oxidation of even-chain fatty acids (mitochondrial)"
