"","ImmProt_Th2_01","ImmProt_Th2_02","ImmProt_Th2_03","ImmProt_Th2_04"
"26",0,1,0,0
"314",NA,NA,NA,NA
"8639",NA,NA,NA,NA
"1591",NA,NA,NA,NA
"1594",1,1,1,1
"10993",1,1,1,1
"6818",1,1,0,0
"89874",NA,NA,NA,NA
"55293",1,1,0,1
"3945",1,1,1,1
"92483",NA,NA,NA,NA
"160287",NA,NA,NA,NA
"3948",NA,NA,NA,NA
"3939",1,1,1,1
"134526",NA,NA,NA,NA
"51",1,1,0,0
"95",0,1,0,1
"50",1,1,1,1
"48",0,1,0,1
"8309",NA,NA,NA,NA
"52",1,1,1,1
"55",0,1,0,0
"788",1,1,1,1
"9194",1,0,0,1
"55902",0,1,0,1
"9123",1,0,0,0
"6566",0,0,0,1
"57835",NA,NA,NA,NA
"65985",0,0,0,1
"8671",1,1,1,1
"438",NA,NA,NA,NA
"1571",NA,NA,NA,NA
"4967",1,1,1,1
"100",1,1,1,1
"8050",0,1,0,0
"1738",1,1,1,1
"3177",NA,NA,NA,NA
"1743",1,1,1,1
"126",NA,NA,NA,NA
"205",0,1,0,1
"128",1,1,1,1
"204",1,1,1,1
"130",NA,NA,NA,NA
"127",0,0,1,0
"131",NA,NA,NA,NA
"124",NA,NA,NA,NA
"125",NA,NA,NA,NA
"26289",0,1,0,1
"137872",NA,NA,NA,NA
"1312",1,1,1,1
"50808",1,1,1,1
"262",1,1,1,1
"117247",1,1,1,1
"222",NA,NA,NA,NA
"113",0,0,0,1
"218",NA,NA,NA,NA
"108",NA,NA,NA,NA
"220",NA,NA,NA,NA
"221",0,0,0,1
"114",NA,NA,NA,NA
"111",NA,NA,NA,NA
"3242",NA,NA,NA,NA
"115",NA,NA,NA,NA
"18",1,0,0,1
"109",NA,NA,NA,NA
"55811",NA,NA,NA,NA
"196883",NA,NA,NA,NA
"2531",1,0,0,1
"107",NA,NA,NA,NA
"23498",1,0,0,0
"112",1,1,1,1
"55268",0,1,0,1
"51166",NA,NA,NA,NA
"2030",1,0,0,1
"883",0,1,0,1
"1644",NA,NA,NA,NA
"4129",0,0,1,0
"9154",NA,NA,NA,NA
"64078",1,1,1,1
"4128",0,1,0,0
"9153",NA,NA,NA,NA
"10165",1,0,0,1
"55315",0,1,0,0
"8604",1,1,1,1
"245972",0,0,1,1
"2572",NA,NA,NA,NA
"9114",0,1,0,1
"11164",1,1,1,1
"2571",NA,NA,NA,NA
"952",1,0,0,0
"51380",NA,NA,NA,NA
"1375",NA,NA,NA,NA
"533",NA,NA,NA,NA
"2805",1,1,0,1
"50617",NA,NA,NA,NA
"1374",1,0,0,1
"2806",1,1,1,1
"8659",0,1,1,0
"126129",NA,NA,NA,NA
"10312",1,0,0,1
"6817",0,1,0,0
"535",1,1,0,0
"127124",NA,NA,NA,NA
"523",1,1,1,1
"1376",1,0,0,1
"6799",NA,NA,NA,NA
"9060",0,1,0,0
"8992",NA,NA,NA,NA
"9061",0,1,0,1
"158",1,1,1,1
"9550",0,1,0,1
"4363",1,0,0,1
"529",1,1,0,1
"6822",NA,NA,NA,NA
"6573",0,1,0,0
"146712",NA,NA,NA,NA
"528",0,1,0,1
"316",NA,NA,NA,NA
"10678",0,0,1,0
"6571",1,1,1,1
"6570",NA,NA,NA,NA
"10331",NA,NA,NA,NA
"51382",1,0,0,1
"2348",NA,NA,NA,NA
"90423",1,1,1,1
"534",NA,NA,NA,NA
"374907",1,1,1,1
"2352",1,1,1,1
"51606",0,1,0,1
"11041",1,1,1,1
"93010",NA,NA,NA,NA
"9296",0,1,0,1
"79369",NA,NA,NA,NA
"4125",0,1,0,1
"954",NA,NA,NA,NA
"79814",0,1,0,1
"53947",NA,NA,NA,NA
"51146",NA,NA,NA,NA
"28",NA,NA,NA,NA
"953",1,0,0,0
"206358",0,0,0,1
"957",NA,NA,NA,NA
"56895",1,0,0,1
"6540",NA,NA,NA,NA
"137964",1,0,0,1
"129642",1,0,1,0
"956",NA,NA,NA,NA
"955",NA,NA,NA,NA
"6539",1,1,1,1
"56894",0,0,0,1
"10555",1,1,1,1
"55326",1,0,1,1
"10554",1,0,0,1
"6529",NA,NA,NA,NA
"6538",NA,NA,NA,NA
"10449",1,1,1,1
"38",1,1,1,1
"64850",NA,NA,NA,NA
"377841",NA,NA,NA,NA
"3032",1,1,1,1
"292",1,1,1,1
"293",1,1,1,1
"64902",NA,NA,NA,NA
"3030",1,1,1,1
"189",NA,NA,NA,NA
"291",1,0,0,1
"39",1,1,1,1
"30",1,1,0,1
"32",NA,NA,NA,NA
"9197",1,0,0,1
"4126",1,0,0,0
"3073",0,1,0,1
"3074",0,1,0,1
"79611",NA,NA,NA,NA
"10606",1,1,1,1
"8706",NA,NA,NA,NA
"84532",1,1,0,1
"64841",0,1,0,1
"55577",1,1,1,1
"5238",0,1,0,1
"8705",NA,NA,NA,NA
"9487",NA,NA,NA,NA
"10317",NA,NA,NA,NA
"162417",NA,NA,NA,NA
"43",NA,NA,NA,NA
"6572",NA,NA,NA,NA
"84002",NA,NA,NA,NA
"47",1,1,0,1
"570",NA,NA,NA,NA
"3141",0,1,0,1
"54187",1,1,0,1
"140679",NA,NA,NA,NA
"26503",0,0,0,1
"54",1,1,0,1
"8424",NA,NA,NA,NA
"51205",0,1,0,1
"53630",NA,NA,NA,NA
"140838",0,1,0,1
"622",1,1,0,1
"36",1,1,1,1
"34",1,1,1,1
"84129",NA,NA,NA,NA
"23743",NA,NA,NA,NA
"80724",1,0,0,1
"635",1,1,1,1
"27034",0,1,0,1
"10599",NA,NA,NA,NA
"28976",1,1,0,1
"1244",NA,NA,NA,NA
"35",1,1,1,1
"3712",1,1,0,1
"1607",0,0,0,1
"8714",1,1,0,0
"28234",NA,NA,NA,NA
"644",1,1,1,1
"1468",1,0,0,1
"8402",1,1,1,1
"64849",NA,NA,NA,NA
"645",1,1,0,1
"9488",1,1,1,1
"1610",NA,NA,NA,NA
"10380",1,1,1,1
"686",0,1,0,0
"1645",1,1,1,1
"2745",1,1,1,1
"1109",NA,NA,NA,NA
"8884",1,1,1,1
"80704",NA,NA,NA,NA
"51022",NA,NA,NA,NA
"51733",NA,NA,NA,NA
"7108",0,0,0,1
"6718",1,1,1,1
"8528",NA,NA,NA,NA
"6510",1,0,0,1
"50814",1,0,1,1
"3295",0,0,1,1
"6307",1,0,0,1
"6509",1,1,1,1
"1632",1,1,1,1
"56301",NA,NA,NA,NA
"492",1,0,0,0
"10455",1,0,0,1
"490",1,0,0,1
"6520",1,0,0,1
"1633",1,1,1,1
"211",0,1,0,1
"493",1,0,0,1
"6319",1,1,1,1
"9415",1,1,1,1
"491",NA,NA,NA,NA
"23464",1,0,0,0
"3992",0,1,0,0
"212",NA,NA,NA,NA
"8694",0,0,1,1
"847",1,1,1,1
"84649",0,1,0,0
"1716",0,1,0,1
"6546",1,1,1,1
"6547",NA,NA,NA,NA
"54407",0,1,1,0
"6541",1,1,0,0
"6543",NA,NA,NA,NA
"6515",1,0,0,1
"59272",NA,NA,NA,NA
"84889",NA,NA,NA,NA
"6517",NA,NA,NA,NA
"81539",0,1,1,1
"340024",NA,NA,NA,NA
"6513",1,0,0,1
"55089",NA,NA,NA,NA
"1718",1,1,1,1
"2538",NA,NA,NA,NA
"1581",NA,NA,NA,NA
"57818",NA,NA,NA,NA
"92579",0,0,1,0
"1373",0,0,0,1
"873",1,1,1,1
"11254",NA,NA,NA,NA
"57393",NA,NA,NA,NA
"6542",NA,NA,NA,NA
"84706",0,1,0,0
"1717",0,0,0,1
"2875",NA,NA,NA,NA
"8560",0,0,0,1
"10423",1,0,0,1
"123099",NA,NA,NA,NA
"92745",1,1,1,1
"10991",NA,NA,NA,NA
"1040",NA,NA,NA,NA
"11309",1,1,1,1
"8760",1,0,0,1
"284273",1,0,0,1
"6783",0,0,1,0
"1723",0,0,0,1
"10327",1,1,1,1
"10390",1,0,1,1
"56994",1,1,1,1
"1807",NA,NA,NA,NA
"64781",1,1,1,1
"1809",NA,NA,NA,NA
"8854",1,1,1,1
"1808",1,1,1,1
"10087",0,1,0,1
"23539",NA,NA,NA,NA
"6565",NA,NA,NA,NA
"9023",NA,NA,NA,NA
"224",1,0,0,1
"501",0,1,0,0
"2224",0,1,0,1
"1103",NA,NA,NA,NA
"29958",NA,NA,NA,NA
"60386",1,0,0,1
"223",1,1,1,1
"216",0,0,0,1
"162466",1,1,1,1
"84920",1,0,0,1
"5130",0,1,0,0
"9468",NA,NA,NA,NA
"6579",NA,NA,NA,NA
"217",1,0,0,1
"219",0,1,0,1
"79087",1,0,0,1
"239",1,0,0,0
"6555",NA,NA,NA,NA
"6554",NA,NA,NA,NA
"26002",NA,NA,NA,NA
"1621",1,1,1,1
"8647",NA,NA,NA,NA
"247",1,0,0,1
"7299",NA,NA,NA,NA
"55349",1,0,0,0
"6530",NA,NA,NA,NA
"246",1,1,0,1
"6531",NA,NA,NA,NA
"6581",NA,NA,NA,NA
"240",1,0,0,1
"231",1,1,1,1
"8574",1,1,1,1
"23600",1,0,0,0
"1119",NA,NA,NA,NA
"1120",0,1,0,1
"5224",NA,NA,NA,NA
"60482",NA,NA,NA,NA
"6582",NA,NA,NA,NA
"115286",0,0,0,1
"5223",1,1,1,1
"6584",NA,NA,NA,NA
"669",0,1,0,1
"271",0,1,0,1
"6820",NA,NA,NA,NA
"4597",0,1,0,0
"51071",1,0,0,1
"10948",1,0,0,1
"19",1,1,0,0
"272",0,0,1,0
"1806",0,1,0,1
"270",NA,NA,NA,NA
"7083",1,1,1,1
"290",1,1,0,0
"1118",1,0,0,1
"7084",0,1,0,0
"54682",NA,NA,NA,NA
"27159",NA,NA,NA,NA
"3704",1,1,1,1
"279",1,1,1,1
"277",1,1,1,1
"1854",1,1,1,1
"10682",1,0,0,1
"9058",NA,NA,NA,NA
"276",1,1,1,1
"278",NA,NA,NA,NA
"1892",1,1,1,1
"549",1,0,0,1
"11136",NA,NA,NA,NA
"6519",NA,NA,NA,NA
"1962",0,1,1,0
"280",1,1,1,1
"6576",1,1,1,1
"1891",1,1,1,1
"1160",NA,NA,NA,NA
"11001",1,0,0,0
"1159",0,0,0,1
"548596",0,0,0,1
"1152",0,0,1,0
"1158",0,0,1,0
"5172",NA,NA,NA,NA
"65010",NA,NA,NA,NA
"10998",NA,NA,NA,NA
"113451",NA,NA,NA,NA
"53919",NA,NA,NA,NA
"9057",1,0,0,1
"384",1,1,1,1
"28231",NA,NA,NA,NA
"54675",NA,NA,NA,NA
"10257",0,0,0,1
"10559",1,0,0,1
"445",1,1,1,1
"28232",NA,NA,NA,NA
"55907",1,1,1,1
"2108",0,0,1,0
"8034",1,0,0,1
"2109",1,1,1,1
"83884",NA,NA,NA,NA
"10166",1,0,0,1
"8824",NA,NA,NA,NA
"410",0,1,0,1
"2110",0,1,0,1
"51805",0,1,0,1
"55500",1,0,1,0
"427",0,1,0,1
"55224",NA,NA,NA,NA
"51004",0,1,0,1
"10229",0,1,0,0
"9962",NA,NA,NA,NA
"2181",1,0,0,1
"9245",NA,NA,NA,NA
"2650",1,1,1,1
"51301",0,0,0,1
"2182",1,0,0,1
"9963",NA,NA,NA,NA
"2180",1,0,0,1
"192134",NA,NA,NA,NA
"386757",NA,NA,NA,NA
"80150",1,1,1,1
"51703",1,0,0,0
"81616",NA,NA,NA,NA
"23305",1,0,0,1
"440",0,1,0,1
"6535",NA,NA,NA,NA
"1384",1,0,0,1
"116285",NA,NA,NA,NA
"6583",1,1,1,1
"5167",1,1,1,1
"790",1,1,1,1
"5169",1,1,1,1
"54898",NA,NA,NA,NA
"6511",NA,NA,NA,NA
"1431",1,1,1,1
"6785",NA,NA,NA,NA
"6505",NA,NA,NA,NA
"54677",0,1,0,1
"60481",1,0,0,1
"6507",1,1,1,1
"79071",NA,NA,NA,NA
"1579",NA,NA,NA,NA
"6512",NA,NA,NA,NA
"2194",0,1,0,1
"6506",1,1,1,1
"376497",1,0,0,1
"10999",1,0,0,1
"525",NA,NA,NA,NA
"11000",1,1,0,1
"230",1,1,1,1
"226",1,1,1,1
"527",0,0,0,1
"8140",1,0,0,0
"229",1,1,1,1
"23545",1,1,0,1
"5207",NA,NA,NA,NA
"526",1,1,1,1
"23428",NA,NA,NA,NA
"5208",0,1,0,1
"1036",NA,NA,NA,NA
"245973",NA,NA,NA,NA
"5210",1,1,1,1
"8789",0,1,0,0
"5209",0,1,0,1
"124935",1,0,0,1
"2203",0,1,0,0
"2235",1,1,1,1
"23657",1,1,1,1
"57379",1,1,1,1
"2629",0,1,1,1
"10840",NA,NA,NA,NA
"26301",NA,NA,NA,NA
"79901",0,0,1,0
"978",1,1,1,1
"7371",0,1,0,0
"83549",0,1,0,1
"7915",1,1,0,1
"125061",1,1,1,1
"4329",1,1,1,1
"51727",1,1,1,1
"1719",1,1,1,1
"129607",0,1,0,0
"2356",0,0,1,1
"2731",1,1,1,1
"29988",1,1,1,1
"275",1,1,0,0
"2653",0,1,0,0
"1609",1,0,0,1
"155184",NA,NA,NA,NA
"2651",NA,NA,NA,NA
"6514",NA,NA,NA,NA
"6518",0,0,1,0
"8525",0,1,0,1
"66035",NA,NA,NA,NA
"55343",NA,NA,NA,NA
"7264",1,1,0,1
"160428",NA,NA,NA,NA
"8836",0,1,0,1
"4522",1,1,1,1
"25902",1,0,0,1
"1608",1,0,1,0
"79017",0,1,0,0
"2519",0,0,0,1
"2997",0,0,0,1
"160851",0,0,1,1
"9162",NA,NA,NA,NA
"2184",0,1,0,1
"8527",1,1,1,1
"8908",NA,NA,NA,NA
"2271",1,1,1,1
"2992",0,1,0,1
"2523",NA,NA,NA,NA
"8526",1,0,0,1
"2998",NA,NA,NA,NA
"2525",NA,NA,NA,NA
"2687",NA,NA,NA,NA
"6470",0,1,0,1
"1606",1,1,1,1
"6472",1,1,1,1
"10690",NA,NA,NA,NA
"9334",1,0,0,1
"8704",NA,NA,NA,NA
"2717",0,1,0,1
"8703",1,1,1,1
"2632",0,1,0,1
"2683",1,0,0,1
"2820",1,1,0,1
"5832",1,0,0,1
"2990",1,1,0,1
"9563",0,0,0,1
"8372",0,0,1,1
"3290",1,1,1,1
"2539",0,1,0,0
"3291",NA,NA,NA,NA
"3292",NA,NA,NA,NA
"26035",1,0,0,0
"2542",1,1,1,1
"2593",0,1,0,0
"54480",0,0,1,0
"2132",1,1,1,1
"7923",0,1,0,1
"3294",NA,NA,NA,NA
"2131",1,1,1,1
"51478",0,1,0,1
"9514",NA,NA,NA,NA
"3283",NA,NA,NA,NA
"2720",0,1,0,1
"3284",NA,NA,NA,NA
"27087",NA,NA,NA,NA
"4758",1,1,0,0
"80270",1,1,1,1
"57026",0,1,0,1
"5476",0,1,0,1
"135152",NA,NA,NA,NA
"2588",0,1,0,0
"26229",1,0,0,1
"2581",1,0,0,0
"4669",0,1,0,1
"3421",1,1,0,1
"2583",NA,NA,NA,NA
"55454",1,1,0,1
"3420",1,1,1,1
"3340",1,1,1,1
"8509",1,0,0,0
"9348",NA,NA,NA,NA
"55790",1,0,0,1
"64579",NA,NA,NA,NA
"3419",1,1,1,1
"79586",1,0,0,1
"3417",0,1,0,1
"2137",NA,NA,NA,NA
"3418",1,1,1,1
"22856",1,1,1,1
"337876",NA,NA,NA,NA
"7173",NA,NA,NA,NA
"2135",1,1,1,1
"2134",NA,NA,NA,NA
"55568",0,0,0,1
"56606",1,1,1,1
"2590",1,0,0,1
"154091",NA,NA,NA,NA
"3425",0,0,0,1
"2591",1,1,1,1
"144195",NA,NA,NA,NA
"11182",1,1,1,1
"114805",NA,NA,NA,NA
"6523",NA,NA,NA,NA
"587",1,1,1,1
"8693",1,0,0,1
"63917",NA,NA,NA,NA
"50614",NA,NA,NA,NA
"8501",NA,NA,NA,NA
"2589",1,0,0,1
"178",0,1,0,1
"51809",0,1,0,0
"55586",NA,NA,NA,NA
"114134",1,1,1,1
"117248",NA,NA,NA,NA
"11227",NA,NA,NA,NA
"6526",1,1,1,1
"11226",1,0,1,0
"79695",NA,NA,NA,NA
"79623",NA,NA,NA,NA
"3422",0,1,0,0
"91734",NA,NA,NA,NA
"26290",NA,NA,NA,NA
"81031",NA,NA,NA,NA
"126792",1,0,0,1
