ID,Plasmax,Plasmax_v2,Plasmax_unconstrained,HPLM,HPLM_v2,HPLM_unconstrained,RPMI-1640,RPMI-1640_v2,RPMI-1640_unconstrained
HMR_9460,0.00308333,0.00308333,1000,0.003125,0.003125,1000,0,0,0
EX_cu2[e],0.00000021667,0.00000021667,1000,0,0,0,0,0,0
HMR_9065,0.001375,0.001375,1000,0.00166667,0.00166667,1000,0,0,0
HMR_9096,0.000092492,0.000092492,1000,0,0,0,0,0,0
HMR_9146,0.000095833,0.000095833,1000,0.000095833,0.000095833,1000,0.000094583,0.000094583,1000
HMR_9318,0.001375,0.001375,1000,0.00208333,0.00208333,1000,0,0,0
HMR_9139,0,0,0,0.00166667,0.00166667,1000,0,0,0
HMR_9140,0,0,0,0.0025,0.0025,1000,0,0,0
HMR_9034,0.23166667,0.23166667,1000,0.20833333,0.20833333,1000,0.46295833,0.46295833,1000
HMR_9063,0.02708333,0.02708333,1000,0.02291667,0.02291667,1000,0.085625,0.085625,1000
HMR_9071,0.00408333,0.00408333,1000,0.00333333,0.00333333,1000,0.00566667,0.00566667,1000
HMR_9067,0.01375,0.01375,1000,0.0125,0.0125,1000,0.00554167,0.00554167,1000
HMR_9341,0.003,0.003,1000,0.00291667,0.00291667,1000,0,0,0
HMR_9085,0.00341667,0.00341667,1000,0.005,0.005,1000,0,0,0
HMR_9351,0.00154167,0.00154167,1000,0.00104167,0.00104167,1000,0.0001375,0.0001375,1000
HMR_9079,1000,1000,1000,1000,1000,1000,1000,1000,1000
EX_h2co3[e],1000,1000,1000,1000,1000,1000,1000,1000,1000
HMR_9047,1000,1000,1000,1000,1000,1000,1000,1000,1000
HMR_9354,1000,1000,1000,1000,1000,1000,1000,1000,1000
HMR_9164,0,0,0,0.00041667,0.00041667,1000,0,0,0
HMR_9078,1.09129167,1000,1000,1,1000,1000,0.99208333,1000,1000
EX_hcys_L[e],0.000375,0.000375,1000,0,0,0,0,0,0
HMR_9038,0.005,0.005,1000,0.00458333,0.00458333,1000,0.00404167,0.00404167,1000
HMR_9358,0.00020833,0.00020833,1000,0.00041667,0.00041667,1000,0,0,0
HMR_9039,0.00583333,0.00583333,1000,0.00291667,0.00291667,1000,0.01591667,0.01591667,1000
HMR_9361,0.0004625,0.0004625,1000,0.00809583,0.00809583,1000,0.0081,0.0081,1000
HMR_9081,0.22208333,0.22208333,1000,0.17083333,0.17083333,1000,0.22220833,0.22220833,1000
HMR_9136,0.02083333,0.02083333,1000,0.06666667,0.06666667,1000,0,0,0
HMR_9135,0.02083333,0.02083333,1000,0.06666667,0.06666667,1000,0,0,0
HMR_9363,0.00270833,0.00270833,1000,0.00416667,0.00416667,1000,0.00865417,0.00865417,1000
HMR_9040,0.00708333,0.00708333,1000,0.00666667,0.00666667,1000,0.01591667,0.01591667,1000
HMR_9041,0.00916667,0.00916667,1000,0.00833333,0.00833333,1000,0.009125,0.009125,1000
HMR_9042,0.00125,0.00125,1000,0.00125,0.00125,1000,0.00420833,0.00420833,1000
EX_mg2[e],0.033875,0.033875,1000,0.03458333,0.03458333,1000,0.01695833,0.01695833,1000
HMR_9077,6.12154408,6.12154408,1000,5.4475,5.4475,1000,5.77191667,5.77191667,1000
HMR_9378,0.00034167,0.00034167,1000,0.00034167,0.00034167,1000,0.00034167,0.00034167,1000
EX_nh4[e],0.00208344,0.00208344,1000,0.00166667,0.00166667,1000,0,0,0
HMR_9048,1000,1000,1000,1000,1000,1000,1000,1000,1000
HMR_9383,1000,1000,1000,1000,1000,1000,1000,1000,1000
HMR_9087,0.00333333,0.00333333,1000,0.00041667,0.00041667,1000,0,0,0
HMR_9043,0.00283333,0.00283333,1000,0.00333333,0.00333333,1000,0.00379167,0.00379167,1000
HMR_9072,0.04208333,1000,1000,0.03625,1000,1000,0.23475,1000,1000
HMR_9145,0.00035,0.00035,1000,0.0000875,0.0000875,1000,0.000043333,0.000043333,1000
HMR_9068,0.015,0.015,1000,0.00833333,0.00833333,1000,0.00725,0.00725,1000
HMR_9144,0.00020417,0.00020417,1000,0.00020417,0.00020417,1000,0.00020417,0.00020417,1000
HMR_9133,0.00416667,0.00416667,1000,0.00208333,0.00208333,1000,0,0,0
HMR_9143,0.0000125,0.0000125,1000,0.000020833,0.000020833,1000,0.000022083,0.000022083,1000
HMR_9069,0.00583333,0.00583333,1000,0.00625,0.00625,1000,0.01191667,0.01191667,1000
HMR_9074,0.03406872,0.03406872,1000,0.01458333,0.01458333,1000,0.01695833,0.01695833,1000
HMR_9415,0.00095833,0.00095833,1000,0.00083333,0.00083333,1000,0,0,0
HMR_9418,0.00541667,0.00541667,1000,0.00375,0.00375,1000,0,0,0
HMR_9159,0.000125,0.000125,1000,0.000125,0.000125,1000,0.000125,0.000125,1000
HMR_9044,0.01,0.01,1000,0.00583333,0.00583333,1000,0.007,0.007,1000
HMR_9045,0.00325,0.00325,1000,0.0025,0.0025,1000,0.00104167,0.00104167,1000
HMR_9064,0.00308333,0.00308333,1000,0.00333333,0.00333333,1000,0.004625,0.004625,1000
HMR_9437,0.000083333,0.000083333,1000,0,0,0,0,0,0
HMR_9075,0.01125,0.01125,1000,0.01458333,0.01458333,1000,0,0,0
HMR_9438,0.125,0.125,1000,0.20833333,0.20833333,1000,0,0,0
HMR_9439,0.000125,0.000125,1000,0,0,0,0,0,0
HMR_9046,0.00958333,0.00958333,1000,0.00916667,0.00916667,1000,0.007125,0.007125,1000
HMR_9080,0.0000625,0.0000625,1000,0,0,0,0,0,0
