"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FO538757.2",13,14,0,1,11,1,0,8,1,0,5,5,22,13,12,0,6,6,2,0,19,9,5,1,12,5,16,108,29,0
"AP006222.2",21,12,0,0,3,0,0,7,2,0,1,2,2,1,6,0,0,2,0,1,30,2,2,0,4,2,5,38,23,0
"RP4-669L17.10",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,3,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",5,3,0,0,3,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,9,3,0,0,2,4,2,14,3,1
"FAM87B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"LINC00115",2,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,1,0,3,11,3,0
"FAM41C",0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,2,1,0
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,17,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
"NOC2L",8,24,1,0,12,3,0,18,2,0,3,3,33,15,19,0,7,6,2,3,26,4,8,3,10,9,14,157,57,3
"KLHL17",2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0
"PLEKHN1",2,2,0,0,4,0,0,0,2,0,0,0,0,3,4,0,0,0,0,0,2,3,0,0,1,3,7,10,2,0
"RP11-54O7.17",3,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,1,0,1,3,7,4
"HES4",1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,2,2
"ISG15",249,243,11,5,64,2,12,52,12,1,38,58,33,96,70,2,8,25,6,2,463,45,32,2,81,60,206,395,309,8
"AGRN",2,15,0,1,3,1,0,1,0,0,0,1,1,1,2,0,0,1,0,0,67,2,0,0,0,1,2,69,82,1
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0
"C1orf159",2,2,0,0,3,0,0,1,1,0,0,0,0,1,2,0,0,2,0,1,3,1,0,0,1,3,0,24,5,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RP11-465B22.8",5,6,0,0,1,0,0,2,0,1,0,0,3,1,1,0,1,1,0,0,3,2,2,0,1,0,1,95,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"TNFRSF18",11,1,0,0,50,0,0,1,39,0,33,3,2,27,46,0,2,5,4,1,3,3,0,0,88,38,356,13,2,0
"TNFRSF4",22,0,1,0,5,0,0,2,23,0,10,11,1,27,6,0,1,22,0,2,0,3,2,0,56,11,370,8,72,0
"SDF4",35,42,2,1,14,1,1,27,2,0,6,9,7,13,10,0,6,5,2,2,36,17,5,2,14,13,34,182,100,2
"B3GALT6",4,1,0,0,1,0,0,3,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,2,3,13,13,0
"FAM132A",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,24,30,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"UBE2J2",23,23,2,4,14,0,1,10,5,0,7,4,16,12,14,2,4,2,2,0,26,13,5,9,21,13,26,95,53,0
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
"SCNN1D",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
"ACAP3",5,7,0,0,6,0,1,10,2,0,3,0,2,3,3,0,4,1,1,0,18,3,1,1,6,4,3,37,18,0
"PUSL1",9,4,0,0,3,1,0,2,0,1,1,1,2,1,4,1,1,1,1,0,6,1,1,3,3,5,3,52,7,0
"CPSF3L",14,22,1,1,18,0,1,10,2,1,1,3,9,13,8,0,3,1,2,0,22,6,1,4,8,10,16,116,29,1
"CPTP",8,2,0,0,1,1,0,3,0,0,0,2,4,0,3,0,2,1,0,0,5,3,0,1,2,2,6,22,14,0
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
"DVL1",4,4,0,0,1,1,0,2,2,0,1,0,2,3,1,1,0,2,0,0,6,3,0,0,1,1,1,53,22,1
"MXRA8",1,167,0,0,0,0,4,51,1,0,0,0,0,1,0,5,0,0,0,0,90,0,1,0,0,0,0,2,1,1
"AURKAIP1",136,113,12,3,51,2,5,65,15,3,32,26,58,44,44,4,21,21,7,6,136,63,25,34,67,43,85,946,197,7
"CCNL2",20,36,2,0,21,2,0,13,5,1,4,7,13,11,16,1,3,6,1,0,36,5,1,3,12,8,15,162,91,1
"MRPL20",105,102,8,7,36,3,0,65,12,3,31,24,53,42,55,6,18,13,4,5,110,26,17,23,65,25,76,724,224,11
"RP4-758J18.13",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"ANKRD65",0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19,0
"VWA1",1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,19,278,0
"ATAD3C",1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,7,0,0,2,1,1,2,27,0
"ATAD3B",3,5,1,0,0,0,0,4,1,0,1,1,5,2,4,0,0,1,0,0,7,4,1,1,5,5,4,42,17,0
"ATAD3A",6,8,0,2,7,0,0,0,0,0,1,0,5,5,3,1,0,1,0,1,9,6,1,4,8,5,6,74,17,1
"TMEM240",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"SSU72",57,34,6,3,23,3,2,39,9,0,21,10,30,24,31,2,12,14,2,1,42,20,11,10,26,15,49,240,97,4
"RP5-832C2.5",2,0,0,0,9,0,0,1,1,0,0,1,11,6,6,0,0,5,0,1,3,1,0,1,5,9,9,5,11,0
"C1orf233",6,3,0,0,2,1,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,1,1,0,1,1,1,23,4,0
"RP11-345P4.9",3,2,0,1,1,1,1,1,0,0,0,0,5,1,3,1,1,1,1,0,4,0,1,1,2,0,1,9,3,0
"MIB2",3,3,1,0,12,2,0,10,3,1,8,2,13,10,15,0,7,3,6,2,13,7,1,2,4,7,14,77,9,0
"MMP23B",0,24,1,0,1,0,0,89,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0
"CDK11B",29,22,3,1,17,6,0,6,2,1,11,0,16,20,25,2,6,10,5,3,39,7,3,6,21,17,37,217,61,3
"SLC35E2B",10,15,2,0,9,1,0,11,4,0,5,2,19,8,9,1,4,3,2,1,15,12,2,0,10,9,13,99,32,0
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",17,9,4,0,11,0,0,4,2,0,3,6,17,13,16,2,10,2,2,1,19,6,4,6,14,19,16,116,35,1
"SLC35E2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,9,2,0
"NADK",39,5,0,3,5,0,0,6,0,0,1,2,6,3,0,0,4,1,1,0,15,4,6,1,9,3,4,83,28,1
"GNB1",100,67,5,5,33,2,1,25,12,1,12,14,37,24,25,2,7,9,2,1,99,9,19,8,40,28,41,287,223,7
"RP1-140A9.1",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM52",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0
"CFAP74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"GABRD",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,71,0
"PRKCZ",1,5,0,0,4,0,0,1,1,1,3,1,5,1,5,0,2,1,1,0,2,1,2,0,3,1,1,66,12,0
"RP5-892K4.1",0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,2,0,1,5,0,0
"RP11-181G12.2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"FAAP20",43,61,1,2,43,0,3,43,6,1,12,17,39,24,38,3,9,7,5,5,110,13,9,5,24,21,44,280,121,7
"SKI",10,22,3,0,4,0,0,21,2,0,7,3,11,13,15,1,2,8,0,0,40,3,6,0,12,6,9,35,56,1
"MORN1",1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,1,1,0,19,5,0
"RER1",119,80,7,6,33,0,2,45,11,1,14,17,38,31,37,1,10,14,2,5,88,43,17,12,48,22,48,434,122,6
"PEX10",13,6,0,0,2,0,0,7,0,0,0,4,1,1,4,0,2,1,0,1,11,0,1,1,1,1,3,37,21,0
"PLCH2",1,0,1,0,2,0,0,0,0,0,0,0,4,1,3,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0
"PANK4",3,1,0,0,4,1,0,0,1,0,2,2,0,6,2,0,0,0,0,1,5,0,0,0,0,0,4,13,7,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0
"RP3-395M20.12",16,1,0,0,3,0,0,0,0,0,2,1,13,4,4,0,1,1,2,0,32,4,2,0,1,1,15,17,6,1
"RP3-395M20.8",6,2,1,0,4,0,0,0,0,1,1,0,4,1,2,0,1,1,1,0,2,5,1,0,4,2,10,31,5,0
"TNFRSF14",93,32,8,3,17,3,1,13,9,0,8,11,24,22,14,0,7,14,3,4,21,13,12,4,14,4,56,134,51,1
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,3,10,0,0
"FAM213B",11,4,2,0,3,1,0,0,2,0,2,3,2,1,5,0,1,2,1,0,5,0,0,0,2,1,7,69,18,0
"MMEL1",6,1,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,4,39,7,0
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TTC34",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1
"PRDM16",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0
"RP11-22L13.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF16",0,0,0,0,1,0,0,0,0,0,1,1,2,0,2,0,0,1,1,0,2,2,0,0,1,1,1,80,1,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MEGF6",2,8,0,0,0,0,1,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,2,0
"TPRG1L",14,6,1,1,4,0,0,4,1,0,0,2,4,2,5,0,0,1,1,0,7,5,0,0,2,2,3,77,21,1
"WRAP73",9,12,1,0,8,1,0,3,1,0,2,3,4,5,9,1,2,1,0,0,15,2,2,1,10,2,13,61,20,0
"TP73",0,0,0,0,4,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,6,3,2,2,0,0
"RP5-1092A11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TP73-AS1",4,3,0,0,3,0,0,4,0,0,0,0,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,6,0
"SMIM1",1,2,0,1,1,0,0,2,0,0,1,17,4,1,0,1,0,0,1,0,1,3,0,0,1,0,2,14,1,2
"LRRC47",7,13,0,0,1,0,1,6,1,0,0,0,2,5,4,0,0,0,0,0,8,3,1,0,3,6,3,55,17,1
"CEP104",18,14,0,1,8,1,0,7,1,0,8,4,13,5,10,2,2,4,0,0,22,5,1,1,6,7,19,60,46,2
"DFFB",2,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,3,1,1,0,0,0,1,11,5,0
"C1orf174",10,27,2,0,3,0,0,6,0,0,2,10,11,6,10,0,1,5,4,0,16,2,5,1,20,9,10,72,17,0
"LINC01134",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"NPHP4",1,2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,2,2,0,18,6,1
"KCNAB2",25,3,0,1,12,2,0,2,1,2,15,1,7,15,23,0,0,2,0,1,3,5,3,0,21,18,29,12,8,0
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RPL22",832,741,70,81,286,23,12,553,84,15,209,233,1090,395,435,42,353,286,49,41,800,216,185,260,363,223,686,5906,1917,65
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF207",4,19,0,0,2,0,0,7,3,0,0,1,0,6,3,1,1,2,0,0,6,1,0,0,5,0,12,11,6,1
"ICMT",18,15,3,0,1,0,0,9,1,0,2,0,4,4,6,0,1,0,0,1,25,1,1,3,14,6,6,70,37,2
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0
"GPR153",1,7,0,0,0,0,0,4,1,1,0,0,1,0,1,0,0,0,0,1,4,0,1,0,0,0,2,32,0,0
"ACOT7",23,8,0,0,9,0,0,4,3,0,6,48,8,6,12,0,1,1,1,0,7,10,1,3,26,18,3,208,45,1
"RP1-202O8.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,4,2,0
"HES2",1,3,0,0,2,0,0,1,0,0,1,0,0,1,2,0,1,1,0,2,1,1,1,1,1,1,4,158,11,0
"ESPN",1,3,0,0,2,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,3,0,0,0,2,0,58,0,0
"TNFRSF25",5,5,2,0,19,1,0,1,17,0,25,1,0,39,32,1,0,12,0,0,3,3,3,0,39,19,58,73,31,0
"PLEKHG5",0,1,0,0,1,0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,1,0,0,1,0,1,31,24,0
"NOL9",5,4,1,1,0,0,2,2,0,1,0,1,1,1,6,0,1,0,0,2,4,1,0,1,9,3,6,46,26,2
"ZBTB48",3,3,1,0,4,0,0,3,0,0,0,4,3,1,3,0,2,1,0,0,4,0,0,1,1,3,3,35,6,1
"KLHL21",6,5,1,0,1,0,0,1,0,1,3,1,3,3,1,0,1,0,1,1,5,1,0,1,5,1,6,21,12,1
"PHF13",4,4,0,0,1,0,1,7,2,0,1,0,3,1,2,0,1,0,0,0,9,1,0,1,5,5,3,24,11,0
"THAP3",7,13,3,0,4,0,0,5,0,0,0,0,3,5,4,1,1,0,2,2,10,2,0,1,5,3,6,38,18,2
"DNAJC11",6,4,0,0,2,0,0,3,0,1,0,1,3,1,4,0,3,2,2,0,1,3,1,0,5,1,1,54,7,1
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"CAMTA1",97,59,6,6,24,3,5,30,5,1,17,16,37,17,39,3,16,12,2,3,121,23,24,21,30,19,46,685,225,10
"VAMP3",57,22,1,2,9,0,2,8,2,1,5,6,12,3,8,3,2,5,0,1,34,4,10,3,6,3,9,151,143,2
"PER3",11,13,0,0,1,0,0,12,0,0,0,1,2,1,3,0,0,1,0,0,9,1,1,0,2,0,0,13,30,2
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"UTS2",1,0,0,0,2,0,0,0,0,0,0,18,0,2,1,0,1,1,1,1,1,1,0,0,0,3,9,0,0,0
"TNFRSF9",26,2,6,0,94,2,0,1,2,1,3,38,2,9,53,0,0,2,5,0,1,0,0,0,32,41,108,2,2,0
"PARK7",254,231,14,15,132,6,5,119,30,4,41,66,86,99,157,12,29,27,15,9,252,66,29,51,130,164,220,1280,422,19
"ERRFI1",14,45,0,0,0,1,1,20,0,0,0,0,2,1,3,0,1,1,1,0,39,0,1,0,0,2,5,66,32,2
"RP11-431K24.1",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,1,0
"RP11-431K24.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC45A1",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0
"RERE",16,30,3,0,6,0,1,13,3,1,5,7,23,7,7,4,18,7,3,0,37,11,4,8,4,3,20,235,91,1
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENO1",400,189,15,16,96,3,5,45,26,6,55,59,57,95,107,10,20,41,13,8,176,41,86,35,178,113,220,1408,313,7
"ENO1-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLC2A5",7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,2,0,0,0,0,0,0
"GPR157",9,5,1,1,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,3,1,1,0,0,0,0,31,3,1
"MIR34AHG",4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0
"RP3-510D11.2",4,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,4,1
"H6PD",10,22,1,1,6,2,0,17,2,0,3,3,7,3,7,0,4,2,0,1,11,3,1,1,2,6,4,67,49,1
"SPSB1",4,20,0,0,2,0,0,10,1,0,1,0,0,1,3,3,1,1,0,0,5,2,0,0,4,3,8,26,18,0
"SLC25A33",6,1,0,0,1,1,0,3,1,0,0,2,4,1,2,0,2,1,0,0,5,1,2,3,0,3,0,43,11,0
"TMEM201",3,2,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,5,2,2,0,1,4,2,10,5,0
"PIK3CD",5,0,1,1,7,2,0,0,2,0,7,3,10,5,12,0,1,0,3,0,0,2,3,1,14,10,16,4,2,0
"PIK3CD-AS1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",1,1,0,0,0,0,0,3,0,0,0,1,3,0,1,0,1,0,0,0,1,3,0,1,1,0,1,2,0,0
"CLSTN1",12,25,0,2,9,1,2,11,1,0,4,0,18,15,11,0,3,5,4,1,18,3,2,1,8,10,11,132,64,0
"CTNNBIP1",11,3,0,0,3,0,0,5,1,0,2,1,4,1,4,0,0,0,1,0,2,3,1,2,2,5,3,30,28,0
"LZIC",34,17,5,1,8,1,0,14,1,0,7,7,8,7,12,0,4,3,2,0,20,2,4,1,15,12,20,99,23,0
"NMNAT1",6,6,0,2,0,1,0,4,0,0,1,0,2,5,1,0,1,2,0,0,8,1,0,1,0,1,1,53,19,0
"RBP7",2,0,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,7,0,0,0,0,1,537,0
"UBE4B",13,3,0,1,4,0,0,2,2,0,2,1,8,6,6,1,1,2,1,0,10,4,3,1,1,4,10,39,27,2
"KIF1B",17,21,1,1,3,1,1,16,1,0,0,0,8,4,1,0,0,3,1,0,30,1,5,1,0,4,12,62,59,2
"PGD",70,28,0,2,5,0,0,4,1,0,4,4,7,6,5,0,1,4,1,0,11,4,9,2,11,5,9,144,10,0
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"APITD1-CORT",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,0,0
"APITD1",9,4,0,0,1,0,0,3,0,0,1,1,3,1,0,0,0,0,0,0,3,0,2,2,9,3,2,46,8,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DFFA",15,19,0,1,16,1,0,12,2,1,2,6,27,5,11,4,4,5,3,3,34,6,1,5,9,10,15,185,83,3
"RP5-1113E3.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEX14",7,4,0,0,6,0,1,1,2,0,2,2,3,1,4,0,0,0,0,1,6,4,0,0,3,5,7,27,7,0
"CASZ1",3,2,1,0,5,0,0,0,0,0,0,1,5,1,6,1,1,2,2,0,3,2,0,0,0,1,5,85,16,1
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TARDBP",33,24,1,3,13,1,1,24,4,1,10,4,34,11,25,1,8,11,1,1,30,11,6,9,19,20,28,246,88,0
"RP4-635E18.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"SRM",13,19,0,0,3,1,0,21,2,0,2,1,9,5,6,0,1,5,1,0,19,20,3,4,5,5,7,120,44,0
"EXOSC10",13,15,2,0,7,0,1,2,1,0,1,3,10,3,10,0,1,3,1,0,14,3,0,0,10,7,6,78,32,0
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP4-635E18.6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0
"MTOR",6,12,1,1,5,0,0,8,0,0,1,1,4,4,4,0,1,0,0,0,11,7,0,1,5,6,13,53,27,1
"ANGPTL7",0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBIAD1",8,7,0,0,5,0,1,3,1,2,2,0,8,3,1,0,2,2,0,0,16,1,0,3,5,3,7,48,16,0
"PTCHD2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"FBXO2",0,0,0,0,13,0,0,1,0,0,7,0,2,2,7,0,0,0,0,0,0,1,0,0,1,3,7,26,1,0
"FBXO44",4,4,1,0,11,0,0,3,4,0,6,2,13,2,12,0,1,3,1,2,3,3,1,0,1,6,8,14,2,0
"FBXO6",26,10,1,2,4,0,1,5,1,0,2,3,5,6,15,1,1,1,1,0,6,9,2,3,8,7,6,40,10,0
"MAD2L2",28,24,0,1,25,1,2,7,3,0,8,4,11,12,35,0,5,2,1,0,21,15,8,5,28,38,19,36,38,2
"DRAXIN",1,0,0,0,19,0,0,0,2,0,0,0,0,3,18,0,0,1,0,1,0,1,0,0,2,10,0,0,1,0
"AGTRAP",42,40,2,1,8,0,1,20,3,0,1,12,8,10,11,1,2,4,3,1,12,6,12,1,12,13,6,62,44,1
"C1orf167",0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"MTHFR",13,10,0,2,1,1,1,8,1,0,3,5,4,3,3,1,3,0,0,2,24,2,3,3,3,3,13,47,21,2
"CLCN6",9,3,0,0,2,1,0,1,0,0,0,1,5,2,2,0,2,0,0,0,5,1,3,2,0,0,3,29,14,1
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"KIAA2013",41,18,1,2,11,1,0,12,3,0,2,5,14,10,11,1,3,0,2,0,16,16,6,3,12,7,14,145,35,3
"PLOD1",29,52,1,1,1,1,0,17,0,0,1,0,1,2,9,2,0,0,0,0,35,4,4,0,3,2,1,32,64,0
"MFN2",13,4,0,1,2,0,0,3,0,0,3,1,5,8,2,2,1,0,0,0,8,4,3,1,5,2,2,59,26,0
"MIIP",22,15,2,0,15,0,0,5,5,0,6,18,7,10,13,0,2,4,0,0,9,4,3,2,7,14,28,60,19,1
"TNFRSF8",3,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,4,0
"TNFRSF1B",68,8,6,2,57,4,1,2,7,1,18,1,19,45,41,0,4,10,6,1,4,9,33,0,66,36,123,33,82,0
"VPS13D",5,9,2,0,4,0,0,8,2,0,3,2,9,4,12,1,1,3,2,1,15,4,2,1,1,3,7,47,36,0
